,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,13.330034,1.0,0.23699448,1.0,,,1.0
1,60.33253,1.0,0.7278635,1.0,,,1.0
2,15.583794,1.0,0.0,1.0,,,1.0
3,49.789387,1.0,0.80943644,1.0,,,1.0
4,66.91373,1.0,0.0,1.0,,,1.0
5,20.729706,1.0,0.3808988,1.0,,,1.0
6,29.006056,1.0,0.85821223,1.0,,,1.0
7,33.302765,1.0,0.45842934,1.0,,,1.0
8,43.880405,1.0,0.33170822,1.0,,,1.0
9,17.246632,1.0,0.8693216,1.0,,,1.0
10,14.054416,1.0,0.49492973,1.0,,,1.0
11,20.253557,1.0,0.41235107,1.0,,,1.0
12,66.482666,1.0,0.782564,1.0,,,1.0
13,23.464256,1.0,0.9447733,1.0,,,1.0
14,23.567036,1.0,0.8263808,1.0,,,1.0
15,25.471416,1.0,0.0,1.0,,,1.0
16,6.137578,1.0,0.0,1.0,,,1.0
17,102.72474,1.0,0.7125744,1.0,,,1.0
18,38.96952,1.0,1.252124,1.0,,,1.0
19,48.545094,1.0,0.16555594,1.0,,,1.0
20,56.433765,1.0,0.15403004,1.0,,,1.0
21,18.898735,1.0,0.43031067,1.0,,,1.0
22,19.165085,1.0,0.47643194,1.0,,,1.0
23,50.058445,1.0,0.6862758,1.0,,,1.0
24,23.18951,1.0,0.8027263,1.0,,,1.0
25,78.47665,1.0,0.37826982,1.0,,,1.0
26,15.569077,1.0,0.0,1.0,,,1.0
27,31.186705,1.0,0.36157507,1.0,,,1.0
28,88.84265,1.0,0.71379334,1.0,,,1.0
29,25.57826,1.0,0.8084497,1.0,,,1.0
30,8.013602,1.0,0.0,1.0,,,1.0
31,8.313794,1.0,0.44874102,1.0,,,1.0
32,29.234522,1.0,0.92600656,1.0,,,1.0
33,17.875727,1.0,0.37469628,1.0,,,1.0
34,11.762051,1.0,0.0,1.0,,,1.0
35,16.745567,1.0,0.0,1.0,,,1.0
36,43.38592,1.0,0.0,1.0,,,1.0
37,37.984512,1.0,0.9688733,1.0,,,1.0
38,37.0169,1.0,0.41860294,1.0,,,1.0
39,11.223997,1.0,0.16761237,1.0,,,1.0
40,10.21602,1.0,0.0,1.0,,,1.0
41,6.2028284,1.0,0.0,1.0,,,1.0
42,86.44912,1.0,0.3700936,1.0,,,1.0
43,31.790745,1.0,0.78657544,1.0,,,1.0
44,21.140133,1.0,0.0,1.0,,,1.0
45,15.589736,1.0,0.4289462,1.0,,,1.0
46,94.40702,1.0,0.6683129,1.0,,,1.0
47,4.0559335,1.0,1.1309777,1.0,,,1.0
48,19.011799,1.0,0.16441368,1.0,,,1.0
49,73.504425,1.0,0.9196308,1.0,,,1.0
50,17.862709,1.0,0.38600656,1.0,,,1.0
51,26.038668,1.0,0.867306,1.0,,,1.0
52,24.420267,1.0,0.4177824,1.0,,,1.0
53,99.35336,1.0,0.73152876,1.0,,,1.0
54,32.96296,1.0,0.78090847,1.0,,,1.0
55,20.501278,1.0,0.0,1.0,,,1.0
56,8.467684,1.0,0.0,1.0,,,1.0
57,54.31632,1.0,0.16453749,1.0,,,1.0
58,5.4948792,1.0,0.0,1.0,,,1.0
59,20.80803,1.0,0.8775427,1.0,,,1.0
60,124.35362,1.0,0.8611545,1.0,,,1.0
61,89.530876,1.0,0.70562774,1.0,,,1.0
62,41.83559,1.0,0.35902482,1.0,,,1.0
63,27.576813,1.0,0.97152334,1.0,,,1.0
64,1.971703,1.0,0.0,1.0,,,1.0
65,9.569617,1.0,0.9852974,1.0,,,1.0
66,3.2597945,1.0,0.0,1.0,,,1.0
67,32.76053,1.0,0.84485054,1.0,,,1.0
68,14.504583,1.0,1.267012,1.0,,,1.0
69,13.538914,1.0,0.0,1.0,,,1.0
70,34.280518,1.0,0.4304628,1.0,,,1.0
71,20.514862,1.0,0.9437033,1.0,,,1.0
72,15.829303,1.0,0.9999012,1.0,,,1.0
73,6.262397,1.0,0.1827395,1.0,,,1.0
74,85.39203,1.0,0.8354574,1.0,,,1.0
75,49.789387,1.0,0.37274486,1.0,,,1.0
76,22.288519,1.0,0.0,1.0,,,1.0
77,45.776028,1.0,0.73756975,1.0,,,1.0
78,15.120454,1.0,0.9457076,1.0,,,1.0
79,26.111038,1.0,0.9733127,1.0,,,1.0
80,14.605317,1.0,0.17354931,1.0,,,1.0
81,21.516731,1.0,0.0,1.0,,,1.0
82,14.740854,1.0,0.97313946,1.0,,,1.0
83,19.562376,1.0,0.51268286,1.0,,,1.0
84,62.83131,1.0,0.97564745,1.0,,,1.0
85,26.618895,1.0,0.5327783,1.0,,,1.0
86,37.243046,1.0,0.17769498,1.0,,,1.0
87,52.333042,1.0,0.17471567,1.0,,,1.0
88,35.703056,1.0,0.19136022,1.0,,,1.0
89,17.857367,1.0,0.8474188,1.0,,,1.0
90,7.9717326,1.0,0.0,1.0,,,1.0
91,25.733253,1.0,0.3914705,1.0,,,1.0
92,26.358833,1.0,0.92420965,1.0,,,1.0
93,51.034954,1.0,0.17615701,1.0,,,1.0
94,46.373108,1.0,0.8095786,1.0,,,1.0
95,78.47665,1.0,0.2484255,1.0,,,1.0
96,16.645365,1.0,0.0,1.0,,,1.0
97,41.893364,1.0,0.0,1.0,,,1.0
98,86.02153,1.0,0.7419037,1.0,,,1.0
99,9.886144,1.0,0.49089345,1.0,,,1.0
100,104.3949,1.0,0.75675696,1.0,,,1.0
101,31.779602,1.0,0.0,1.0,,,1.0
102,16.289019,1.0,0.0,1.0,,,1.0
103,26.37467,1.0,0.40846115,1.0,,,1.0
104,31.694244,1.0,0.9348779,1.0,,,1.0
105,30.149088,1.0,0.0,1.0,,,1.0
106,79.106575,1.0,0.0,1.0,,,1.0
107,19.516108,1.0,0.86238116,1.0,,,1.0
108,78.334885,1.0,0.18946159,1.0,,,1.0
109,27.43373,1.0,0.0,1.0,,,1.0
110,13.011626,1.0,0.0,1.0,,,1.0
111,15.175941,1.0,0.44729424,1.0,,,1.0
112,10.139115,1.0,1.275704,1.0,,,1.0
113,16.9954,1.0,0.0,1.0,,,1.0
114,124.35362,1.0,0.6679161,1.0,,,1.0
115,94.0619,1.0,0.68785566,1.0,,,1.0
116,14.577487,1.0,0.46771595,1.0,,,1.0
117,36.056908,1.0,0.37969816,1.0,,,1.0
118,23.634144,1.0,0.18540397,1.0,,,1.0
119,53.88359,1.0,0.32752073,1.0,,,1.0
120,66.482666,1.0,0.16380571,1.0,,,1.0
121,23.667639,1.0,0.20236187,1.0,,,1.0
122,26.069431,1.0,0.44166398,1.0,,,1.0
123,78.22397,1.0,0.73547995,1.0,,,1.0
124,47.659477,1.0,0.0,1.0,,,1.0
125,8.992772,1.0,0.2282049,1.0,,,1.0
126,53.14647,1.0,0.3901195,1.0,,,1.0
127,50.466843,1.0,0.4595653,1.0,,,1.0
128,26.088165,1.0,0.0,1.0,,,1.0
129,33.345943,1.0,0.8196522,1.0,,,1.0
130,11.6617565,1.0,0.0,1.0,,,1.0
131,5.5356035,1.0,0.0,1.0,,,1.0
132,60.302986,1.0,0.37748012,1.0,,,1.0
133,23.464256,1.0,0.7998593,1.0,,,1.0
134,78.47665,1.0,0.33412156,1.0,,,1.0
135,13.154562,1.0,0.39150327,1.0,,,1.0
