,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,1.2894138,1.0,0.0,1.0,,,1.0
1,1.4509093,1.0,4.0,1.0,,,1.0
2,0.0,1.0,0.0,1.0,,,1.0
3,1.2060508,1.0,4.0,1.0,,,1.0
4,2.4853396,1.0,4.0,1.0,,,1.0
5,0.0,1.0,0.0,1.0,,,1.0
6,0.0,1.0,0.0,1.0,,,1.0
7,0.0,1.0,0.0,1.0,,,1.0
8,0.0,1.0,0.0,1.0,,,1.0
9,0.0,1.0,0.0,1.0,,,1.0
10,2.7918906,1.0,0.0,1.0,,,1.0
11,0.0,1.0,0.0,1.0,,,1.0
12,1.7638551,1.0,4.0,1.0,,,1.0
13,0.0,1.0,0.0,1.0,,,1.0
14,2.5098274,1.0,0.0,1.0,,,1.0
15,8.831305,1.0,4.0,1.0,,,1.0
16,0.0,1.0,0.0,1.0,,,1.0
17,0.0,1.0,0.0,1.0,,,1.0
18,11.444469,1.0,4.0,1.0,,,1.0
19,0.0,1.0,0.0,1.0,,,1.0
20,0.0,1.0,0.0,1.0,,,1.0
21,0.0,1.0,0.0,1.0,,,1.0
22,0.0,1.0,0.0,1.0,,,1.0
23,3.9081118,1.0,0.0,1.0,,,1.0
24,0.0,1.0,0.0,1.0,,,1.0
25,2.9303422,1.0,0.0,1.0,,,1.0
26,2.3699007,1.0,4.0,1.0,,,1.0
27,1.5831317,1.0,4.0,1.0,,,1.0
28,8.256584,1.0,4.0,1.0,,,1.0
29,0.90786946,1.0,0.0,1.0,,,1.0
30,0.0,1.0,0.0,1.0,,,1.0
31,0.0,1.0,0.0,1.0,,,1.0
32,0.7396423,1.0,0.0,1.0,,,1.0
33,0.0,1.0,0.0,1.0,,,1.0
34,0.0,1.0,0.0,1.0,,,1.0
35,2.2997513,1.0,4.0,1.0,,,1.0
36,1.0841925,1.0,0.0,1.0,,,1.0
37,9.224667,1.0,4.0,1.0,,,1.0
38,10.42883,1.0,4.0,1.0,,,1.0
39,0.0,1.0,0.0,1.0,,,1.0
40,0.0,1.0,0.0,1.0,,,1.0
41,1.4056463,1.0,4.0,1.0,,,1.0
42,0.0,1.0,0.0,1.0,,,1.0
43,7.326918,1.0,0.0,1.0,,,1.0
44,6.8584437,1.0,4.0,1.0,,,1.0
45,0.55811065,1.0,0.0,1.0,,,1.0
46,2.7105088,1.0,4.0,1.0,,,1.0
47,0.0,1.0,0.0,1.0,,,1.0
48,0.0,1.0,0.0,1.0,,,1.0
49,0.0,1.0,0.0,1.0,,,1.0
50,0.0,1.0,0.0,1.0,,,1.0
51,0.0,1.0,0.0,1.0,,,1.0
52,0.0,1.0,0.0,1.0,,,1.0
53,4.0514793,1.0,4.0,1.0,,,1.0
54,3.0909572,1.0,4.0,1.0,,,1.0
55,0.0,1.0,0.0,1.0,,,1.0
56,1.4686103,1.0,4.0,1.0,,,1.0
57,0.0,1.0,0.0,1.0,,,1.0
58,1.9503975,1.0,4.0,1.0,,,1.0
59,2.1810472,1.0,4.0,1.0,,,1.0
60,0.0,1.0,0.0,1.0,,,1.0
61,7.955211,1.0,4.0,1.0,,,1.0
62,0.0,1.0,0.0,1.0,,,0.0
63,2.1640425,1.0,4.0,1.0,,,0.0
64,10.436385,1.0,0.0,1.0,,,0.0
65,2.2168608,1.0,4.0,1.0,,,0.0
66,2.7437663,1.0,4.0,1.0,,,0.0
67,1.8597274,1.0,4.0,1.0,,,0.0
68,1.8252062,1.0,4.0,1.0,,,
