,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,48.34185,1.0,0.0,1.0,,,1.0
1,55.651394,1.0,6.6706214,1.0,,,1.0
2,91.55695,1.0,9.23069,1.0,,,1.0
3,65.14233,1.0,0.0,1.0,,,1.0
4,100.10623,1.0,96.00564,1.0,,,1.0
5,69.32699,1.0,95.05585,1.0,,,1.0
6,44.133106,1.0,0.0,1.0,,,1.0
7,28.51925,1.0,0.0,1.0,,,1.0
8,23.14406,1.0,4.949232,1.0,,,1.0
9,91.34719,1.0,4.7381372,1.0,,,1.0
10,65.92371,1.0,0.0,1.0,,,1.0
11,87.065445,1.0,16.612375,1.0,,,1.0
12,62.240364,1.0,12.298836,1.0,,,1.0
13,94.320076,1.0,0.0,1.0,,,1.0
14,59.910015,1.0,75.19544,1.0,,,1.0
15,5.945092,1.0,0.0,1.0,,,1.0
16,60.33491,1.0,4.600653,1.0,,,1.0
17,136.18497,1.0,20.117706,1.0,,,1.0
18,79.15048,1.0,5.383563,1.0,,,1.0
19,11.542895,1.0,0.0,1.0,,,1.0
20,96.59481,1.0,0.0,1.0,,,1.0
21,92.71494,1.0,4.8989797,1.0,,,1.0
22,92.33692,1.0,0.0,1.0,,,1.0
23,43.793797,1.0,0.0,1.0,,,1.0
24,33.8172,1.0,0.0,1.0,,,1.0
25,61.32654,1.0,7.676176,1.0,,,1.0
26,105.94802,1.0,13.1519575,1.0,,,1.0
27,68.64259,1.0,0.0,1.0,,,1.0
28,73.608116,1.0,128.96518,1.0,,,1.0
29,97.087326,1.0,0.0,1.0,,,1.0
30,157.62434,1.0,3.309751,1.0,,,1.0
31,24.632242,1.0,0.0,1.0,,,1.0
32,121.73689,1.0,6.4678435,1.0,,,1.0
33,118.21323,1.0,0.0,1.0,,,1.0
34,114.357346,1.0,46.19839,1.0,,,1.0
35,50.130295,1.0,0.0,1.0,,,1.0
36,104.95071,1.0,25.372229,1.0,,,1.0
37,78.17734,1.0,0.0,1.0,,,1.0
38,123.615555,1.0,57.03281,1.0,,,1.0
39,49.42265,1.0,7.085168,1.0,,,1.0
40,49.39152,1.0,0.0,1.0,,,1.0
41,28.232777,1.0,0.0,1.0,,,1.0
42,64.58594,1.0,315.8537,1.0,,,1.0
43,45.101055,1.0,29.667627,1.0,,,1.0
44,56.166485,1.0,0.0,1.0,,,1.0
45,56.432453,1.0,4.890452,1.0,,,1.0
46,32.222534,1.0,201.73578,1.0,,,1.0
47,30.740347,1.0,0.0,1.0,,,1.0
48,102.21406,1.0,0.0,1.0,,,1.0
49,40.880745,1.0,0.0,1.0,,,1.0
50,7.3295455,1.0,0.0,1.0,,,1.0
51,0.0,1.0,0.0,1.0,,,1.0
52,18.585384,1.0,0.0,1.0,,,1.0
53,170.28773,1.0,236.44728,1.0,,,1.0
54,77.001205,1.0,2.9129505,1.0,,,1.0
55,87.04117,1.0,0.0,1.0,,,1.0
56,90.75507,1.0,0.0,1.0,,,1.0
57,28.42621,1.0,0.0,1.0,,,1.0
58,105.94578,1.0,28.450733,1.0,,,1.0
59,142.43692,1.0,99.66761,1.0,,,1.0
60,72.559654,1.0,0.0,1.0,,,1.0
61,34.38486,1.0,0.0,1.0,,,1.0
62,23.563221,1.0,291.69153,1.0,,,1.0
63,110.02811,1.0,0.0,1.0,,,1.0
64,26.528114,1.0,0.0,1.0,,,1.0
65,69.517784,1.0,4.3558774,1.0,,,1.0
66,123.981155,1.0,54.59053,1.0,,,1.0
67,66.51628,1.0,0.0,1.0,,,1.0
68,110.04259,1.0,174.3035,1.0,,,1.0
69,41.0374,1.0,106.59931,1.0,,,1.0
70,40.856308,1.0,1.7782794,1.0,,,1.0
71,126.49201,1.0,10.383607,1.0,,,1.0
72,118.135414,1.0,35.32188,1.0,,,1.0
73,85.86572,1.0,11.640408,1.0,,,1.0
74,35.243744,1.0,16.621094,1.0,,,1.0
75,82.14445,1.0,3.7126875,1.0,,,1.0
76,78.06556,1.0,6.26441,1.0,,,1.0
77,25.725502,1.0,5.727341,1.0,,,1.0
78,35.636745,1.0,0.0,1.0,,,1.0
79,87.33414,1.0,0.0,1.0,,,1.0
80,45.36227,1.0,0.0,1.0,,,1.0
81,78.19357,1.0,10.429525,1.0,,,1.0
82,83.75967,1.0,3.0274,1.0,,,1.0
83,71.891174,1.0,6.708204,1.0,,,1.0
84,0.80036944,1.0,0.0,1.0,,,1.0
85,114.81706,1.0,0.0,1.0,,,1.0
86,123.8607,1.0,6.191977,1.0,,,1.0
87,76.814186,1.0,32.16594,1.0,,,1.0
88,1.4477997,1.0,0.0,1.0,,,1.0
89,142.15187,1.0,56.781403,1.0,,,1.0
