,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.2177305,1.0,94.524445,1.0,,,1.0
1,15.799222,1.0,18.556791,1.0,,,1.0
2,4.375051,1.0,3.1301692,1.0,,,1.0
3,27.993988,1.0,0.0,1.0,,,1.0
4,6.680311,1.0,18.204313,1.0,,,1.0
5,12.618608,1.0,25.228949,1.0,,,1.0
6,4.077242,1.0,18.867367,1.0,,,1.0
7,16.642569,1.0,0.0,1.0,,,1.0
8,17.324186,1.0,134.0985,1.0,,,1.0
9,6.142059,1.0,175.69444,1.0,,,1.0
10,7.5748315,1.0,30.711473,1.0,,,1.0
11,6.475319,1.0,277.29208,1.0,,,1.0
12,3.6473877,1.0,0.0,1.0,,,1.0
13,7.937163,1.0,237.98973,1.0,,,1.0
14,5.959939,1.0,1.0,1.0,,,1.0
15,7.8801455,1.0,250.09903,1.0,,,1.0
16,13.99441,1.0,21.070505,1.0,,,1.0
17,16.545418,1.0,0.0,1.0,,,1.0
18,7.0727234,1.0,15.005552,1.0,,,1.0
19,29.902588,1.0,41.501617,1.0,,,1.0
20,12.147611,1.0,59.26182,1.0,,,1.0
21,9.470742,1.0,0.0,1.0,,,1.0
22,21.465546,1.0,24.479574,1.0,,,1.0
23,17.430262,1.0,24.870436,1.0,,,1.0
24,16.161423,1.0,3.6628416,1.0,,,1.0
25,7.057424,1.0,33.310577,1.0,,,1.0
26,7.3147907,1.0,0.0,1.0,,,1.0
27,7.9790955,1.0,4.8989797,1.0,,,1.0
28,8.911971,1.0,403.76,1.0,,,1.0
29,23.817045,1.0,40.52474,1.0,,,1.0
30,12.60798,1.0,95.208496,1.0,,,1.0
31,14.386432,1.0,7.4809275,1.0,,,1.0
32,3.4926646,1.0,0.0,1.0,,,1.0
33,8.305829,1.0,35.699974,1.0,,,1.0
34,9.396593,1.0,21.826855,1.0,,,1.0
35,17.393585,1.0,22.653181,1.0,,,1.0
36,11.450459,1.0,0.0,1.0,,,1.0
37,3.3657875,1.0,0.0,1.0,,,1.0
38,17.393585,1.0,17.212696,1.0,,,1.0
39,25.308846,1.0,46.331688,1.0,,,1.0
40,8.927275,1.0,23.302183,1.0,,,1.0
41,8.623612,1.0,5.957892,1.0,,,1.0
42,6.3776097,1.0,0.0,1.0,,,1.0
43,36.555332,1.0,0.0,1.0,,,1.0
44,2.4783459,1.0,19.732819,1.0,,,1.0
45,8.799717,1.0,26.314898,1.0,,,1.0
46,7.425169,1.0,67.32914,1.0,,,1.0
47,10.193763,1.0,29.226124,1.0,,,1.0
48,11.787853,1.0,38.191418,1.0,,,1.0
49,33.774174,1.0,0.0,1.0,,,1.0
50,10.064654,1.0,0.0,1.0,,,1.0
51,16.097805,1.0,0.0,1.0,,,1.0
52,7.5380774,1.0,30.964483,1.0,,,1.0
53,15.269732,1.0,274.20145,1.0,,,1.0
54,10.889883,1.0,36.16552,1.0,,,1.0
55,11.520244,1.0,0.0,1.0,,,1.0
56,18.643608,1.0,26.295738,1.0,,,1.0
57,2.743183,1.0,24.643503,1.0,,,1.0
58,5.2426114,1.0,8.302695,1.0,,,1.0
59,8.292736,1.0,0.0,1.0,,,1.0
60,11.707376,1.0,0.0,1.0,,,1.0
61,4.381468,1.0,1.7782794,1.0,,,1.0
62,5.8184485,1.0,0.0,1.0,,,1.0
63,13.99441,1.0,0.0,1.0,,,1.0
64,13.940766,1.0,32.70757,1.0,,,1.0
65,5.7721777,1.0,12.535933,1.0,,,1.0
66,14.894129,1.0,0.0,1.0,,,1.0
67,4.452469,1.0,0.0,1.0,,,1.0
68,8.028734,1.0,2.4494898,1.0,,,1.0
69,29.23602,1.0,20.133654,1.0,,,1.0
70,10.293836,1.0,8.711755,1.0,,,1.0
71,31.056396,1.0,0.0,1.0,,,1.0
72,20.120008,1.0,46.93388,1.0,,,1.0
73,23.112394,1.0,45.52828,1.0,,,1.0
74,0.9674789,1.0,0.0,1.0,,,1.0
75,5.1143084,1.0,14.344237,1.0,,,1.0
76,3.6262822,1.0,0.0,1.0,,,1.0
77,5.1372795,1.0,4.4093337,1.0,,,1.0
78,13.852741,1.0,44.031967,1.0,,,1.0
79,11.412131,1.0,23.806316,1.0,,,1.0
80,9.990091,1.0,0.0,1.0,,,1.0
81,10.022839,1.0,0.0,1.0,,,1.0
82,2.2351418,1.0,50.0263,1.0,,,1.0
83,24.206223,1.0,3.0,1.0,,,1.0
84,8.811616,1.0,15.470912,1.0,,,1.0
85,3.7162828,1.0,0.0,1.0,,,1.0
86,6.6605005,1.0,775.146,1.0,,,1.0
87,1.9782588,1.0,0.0,1.0,,,1.0
88,14.972447,1.0,0.0,1.0,,,1.0
89,22.632853,1.0,343.41327,1.0,,,1.0
90,7.278209,1.0,262.86716,1.0,,,1.0
91,11.055326,1.0,96.93575,1.0,,,1.0
92,9.396593,1.0,12.782854,1.0,,,1.0
93,2.8529568,1.0,0.0,1.0,,,1.0
94,3.4234543,1.0,147.26166,1.0,,,1.0
95,21.595634,1.0,0.0,1.0,,,1.0
96,13.610354,1.0,17.856138,1.0,,,1.0
97,9.3351345,1.0,191.61414,1.0,,,1.0
98,16.212626,1.0,14.119453,1.0,,,1.0
99,10.828891,1.0,0.0,1.0,,,1.0
100,5.4733377,1.0,78.49283,1.0,,,1.0
101,7.5748315,1.0,26.064648,1.0,,,1.0
102,14.753209,1.0,4.651162,1.0,,,1.0
103,11.697946,1.0,0.0,1.0,,,1.0
104,15.284255,1.0,7.085168,1.0,,,1.0
105,6.6166906,1.0,0.0,1.0,,,1.0
106,0.2675464,1.0,0.0,1.0,,,1.0
107,12.921675,1.0,5.264296,1.0,,,1.0
108,9.414134,1.0,90.18948,1.0,,,1.0
109,0.9310859,1.0,0.0,1.0,,,1.0
110,5.0520263,1.0,0.0,1.0,,,1.0
111,6.691645,1.0,41.07904,1.0,,,1.0
112,4.254895,1.0,4.4005585,1.0,,,1.0
113,17.0415,1.0,6.344228,1.0,,,1.0
114,4.0412474,1.0,0.0,1.0,,,1.0
115,10.271657,1.0,86.50099,1.0,,,1.0
116,2.9463081,1.0,0.0,1.0,,,1.0
117,38.85353,1.0,32.007656,1.0,,,1.0
118,15.065958,1.0,28.372522,1.0,,,1.0
119,6.551227,1.0,19.183184,1.0,,,1.0
120,7.2883196,1.0,32.326275,1.0,,,1.0
121,13.044466,1.0,0.0,1.0,,,1.0
122,20.522055,1.0,13.774493,1.0,,,1.0
123,9.597976,1.0,15.550768,1.0,,,1.0
124,27.176466,1.0,5.3199573,1.0,,,1.0
125,20.50754,1.0,8.524295,1.0,,,1.0
126,9.309289,1.0,1.8612098,1.0,,,1.0
127,19.257229,1.0,9.486833,1.0,,,1.0
128,9.019545,1.0,280.07184,1.0,,,1.0
129,5.1405516,1.0,0.0,1.0,,,1.0
130,3.070294,1.0,0.0,1.0,,,1.0
131,12.036934,1.0,8.292192,1.0,,,1.0
132,10.331579,1.0,0.0,1.0,,,1.0
133,4.607969,1.0,5.477226,1.0,,,1.0
134,17.51217,1.0,9.211558,1.0,,,1.0
135,3.3267672,1.0,10.814876,1.0,,,1.0
136,12.064555,1.0,6.5135555,1.0,,,1.0
137,3.408263,1.0,0.0,1.0,,,1.0
138,3.5885756,1.0,2.3003266,1.0,,,1.0
139,10.040124,1.0,158.42093,1.0,,,1.0
140,16.219084,1.0,0.0,1.0,,,1.0
141,16.58608,1.0,18.89589,1.0,,,1.0
142,13.92704,1.0,0.0,1.0,,,1.0
143,2.5493445,1.0,13.28882,1.0,,,1.0
144,5.6136065,1.0,63.77973,1.0,,,1.0
145,7.3869753,1.0,29.38324,1.0,,,1.0
146,26.832926,1.0,15.921544,1.0,,,1.0
147,14.922736,1.0,236.16081,1.0,,,1.0
148,9.529219,1.0,0.0,1.0,,,1.0
149,17.468609,1.0,0.0,1.0,,,1.0
150,12.454957,1.0,4.775302,1.0,,,1.0
151,8.274218,1.0,129.726,1.0,,,1.0
152,4.4529285,1.0,6.6477637,1.0,,,1.0
153,11.582792,1.0,7.58617,1.0,,,1.0
154,23.047758,1.0,0.0,1.0,,,1.0
155,27.964323,1.0,36.291077,1.0,,,1.0
156,9.09674,1.0,18.18838,1.0,,,1.0
157,8.001014,1.0,10.241137,1.0,,,1.0
158,7.3635745,1.0,5.4711294,1.0,,,1.0
159,9.172682,1.0,0.0,1.0,,,1.0
160,11.125874,1.0,0.0,1.0,,,1.0
161,16.642569,1.0,0.0,1.0,,,1.0
162,11.052633,1.0,7.1680493,1.0,,,1.0
163,12.396035,1.0,1.8612098,1.0,,,1.0
164,8.475751,1.0,61.879158,1.0,,,1.0
165,8.944538,1.0,59.435444,1.0,,,1.0
166,4.5192595,1.0,13.967819,1.0,,,1.0
167,2.1444228,1.0,0.0,1.0,,,1.0
168,4.7721543,1.0,7.825423,1.0,,,1.0
169,10.404316,1.0,123.46857,1.0,,,1.0
170,9.396593,1.0,35.597553,1.0,,,1.0
171,10.696029,1.0,8.003903,1.0,,,1.0
172,2.897142,1.0,0.0,1.0,,,1.0
173,5.914059,1.0,59.002964,1.0,,,1.0
174,18.440332,1.0,34.703392,1.0,,,1.0
175,7.5380774,1.0,28.731514,1.0,,,1.0
176,14.276005,1.0,0.0,1.0,,,1.0
177,4.511341,1.0,4.8989797,1.0,,,1.0
178,2.8019512,1.0,4.8205705,1.0,,,1.0
179,23.025166,1.0,119.388336,1.0,,,1.0
180,6.1372743,1.0,212.53474,1.0,,,1.0
181,18.695572,1.0,5.143687,1.0,,,1.0
182,8.876598,1.0,17.438614,1.0,,,1.0
183,12.585836,1.0,6.027587,1.0,,,1.0
184,10.120857,1.0,9.211558,1.0,,,1.0
185,21.471418,1.0,219.59598,1.0,,,1.0
186,5.914059,1.0,188.20671,1.0,,,1.0
187,8.624361,1.0,262.90518,1.0,,,1.0
188,16.545418,1.0,0.0,1.0,,,1.0
189,7.045583,1.0,0.0,1.0,,,1.0
190,6.8662004,1.0,14.2405405,1.0,,,1.0
191,9.396593,1.0,0.0,1.0,,,1.0
192,9.62085,1.0,11.465314,1.0,,,1.0
193,21.866898,1.0,0.0,1.0,,,1.0
194,29.378227,1.0,16.679585,1.0,,,1.0
195,15.234581,1.0,5.9743733,1.0,,,1.0
196,2.5626178,1.0,0.0,1.0,,,1.0
197,17.942095,1.0,0.0,1.0,,,1.0
198,15.284255,1.0,9.94759,1.0,,,1.0
199,13.904197,1.0,2.1147425,1.0,,,1.0
200,21.52833,1.0,16.959093,1.0,,,1.0
201,49.99573,1.0,120.03287,1.0,,,1.0
202,5.6426487,1.0,30.160048,1.0,,,1.0
203,4.92562,1.0,14.186124,1.0,,,1.0
204,17.06884,1.0,50.352573,1.0,,,1.0
205,6.5349135,1.0,11.149985,1.0,,,1.0
206,12.827765,1.0,0.0,1.0,,,1.0
207,9.060288,1.0,100.9318,1.0,,,1.0
208,16.080557,1.0,9.188443,1.0,,,1.0
209,6.171335,1.0,8.759755,1.0,,,1.0
210,4.782991,1.0,0.0,1.0,,,1.0
211,11.030392,1.0,4.0308905,1.0,,,1.0
212,14.931497,1.0,0.0,1.0,,,1.0
213,5.7263584,1.0,98.36956,1.0,,,1.0
214,23.957163,1.0,4.472136,1.0,,,1.0
215,7.320013,1.0,0.0,1.0,,,1.0
216,15.065958,1.0,9.929253,1.0,,,1.0
217,7.6633387,1.0,25.21193,1.0,,,1.0
218,16.323599,1.0,17.14107,1.0,,,1.0
219,13.547721,1.0,8.288682,1.0,,,1.0
220,0.0,1.0,0.0,1.0,,,1.0
221,8.341494,1.0,343.71317,1.0,,,1.0
222,1.4298859,1.0,42.76819,1.0,,,1.0
223,11.095563,1.0,4.582576,1.0,,,1.0
224,15.149544,1.0,24.363752,1.0,,,1.0
225,13.663444,1.0,42.111797,1.0,,,1.0
226,13.981112,1.0,0.0,1.0,,,1.0
227,14.216251,1.0,72.26817,1.0,,,1.0
228,6.955195,1.0,0.0,1.0,,,1.0
229,0.22449978,1.0,0.0,1.0,,,1.0
230,17.05013,1.0,2.632148,1.0,,,1.0
231,18.00082,1.0,0.0,1.0,,,1.0
232,34.129505,1.0,0.0,1.0,,,1.0
