,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.310453,1.0,0.1,1.0,,,1.0
1,9.352795,1.0,0.0,1.0,,,1.0
2,9.439214,1.0,0.06666667,1.0,,,1.0
3,7.2242866,1.0,0.16666667,1.0,,,1.0
4,5.478385,1.0,0.0,1.0,,,1.0
5,8.097731,1.0,0.083333336,1.0,,,1.0
6,10.277243,1.0,0.2,1.0,,,1.0
7,1.8664503,1.0,0.0,1.0,,,1.0
8,6.1719923,1.0,0.0,1.0,,,1.0
9,7.8342633,1.0,0.15384616,1.0,,,1.0
10,9.429072,1.0,0.0,1.0,,,1.0
11,8.9736185,1.0,0.2,1.0,,,1.0
12,10.908548,1.0,0.0,1.0,,,1.0
13,9.173176,1.0,0.037037037,1.0,,,1.0
14,3.247046,1.0,0.11111111,1.0,,,1.0
15,9.881498,1.0,0.0625,1.0,,,1.0
16,8.8397455,1.0,0.16666667,1.0,,,1.0
17,9.638616,1.0,0.25,1.0,,,1.0
18,5.817145,1.0,0.2857143,1.0,,,1.0
19,5.427103,1.0,0.16666667,1.0,,,1.0
20,8.595048,1.0,0.13333334,1.0,,,1.0
21,9.372536,1.0,0.045454547,1.0,,,1.0
22,3.9984899,1.0,0.33333334,1.0,,,1.0
23,7.673952,1.0,0.0,1.0,,,1.0
24,10.277243,1.0,0.0,1.0,,,1.0
25,6.4532957,1.0,0.0,1.0,,,1.0
26,7.644258,1.0,0.16666667,1.0,,,1.0
27,9.16024,1.0,0.22222222,1.0,,,1.0
28,9.429072,1.0,0.0,1.0,,,1.0
29,8.730073,1.0,0.14285715,1.0,,,1.0
30,7.146515,1.0,0.11111111,1.0,,,1.0
31,1.545579,1.0,0.0,1.0,,,1.0
32,8.525612,1.0,0.22222222,1.0,,,1.0
33,9.881498,1.0,0.071428575,1.0,,,1.0
34,8.557711,1.0,0.16666667,1.0,,,1.0
35,6.0164785,1.0,0.11764706,1.0,,,1.0
36,10.270147,1.0,0.05263158,1.0,,,1.0
37,2.4514565,1.0,0.25,1.0,,,1.0
38,8.595048,1.0,0.18181819,1.0,,,1.0
39,6.8394074,1.0,0.0,1.0,,,1.0
40,6.73184,1.0,0.2857143,1.0,,,1.0
41,9.16024,1.0,0.0,1.0,,,1.0
42,7.10215,1.0,0.04347826,1.0,,,1.0
43,5.3437057,1.0,0.04347826,1.0,,,1.0
44,7.4051538,1.0,0.0952381,1.0,,,1.0
45,8.595048,1.0,0.2,1.0,,,1.0
46,4.3592157,1.0,0.0,1.0,,,1.0
47,7.699124,1.0,0.11764706,1.0,,,1.0
48,6.485723,1.0,0.0,1.0,,,1.0
49,7.541212,1.0,0.14285715,1.0,,,1.0
50,10.908548,1.0,0.0,1.0,,,1.0
