,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,6.7099075,0.0,0.0,0.0,,,1.0
1,5.132035,0.0,12.5,1.0,,,1.0
2,11.851339,0.0,7.25,1.0,,,1.0
3,7.7470427,0.0,0.75,0.0,,,1.0
4,17.527124,0.0,1.5,1.0,,,1.0
5,6.239183,0.0,7.0,1.0,,,1.0
6,12.356787,0.0,0.25,0.0,,,1.0
7,7.128763,0.0,1.0,0.0,,,1.0
8,8.152674,0.0,1.0,0.0,,,1.0
9,6.6971908,0.0,0.5,1.0,,,1.0
10,12.731915,0.0,7.75,1.0,,,1.0
11,9.966325,0.0,1.0,0.0,,,1.0
12,7.875119,0.0,2.25,1.0,,,1.0
13,11.5443125,0.0,21.25,1.0,,,1.0
14,10.07577,0.0,0.0,0.0,,,1.0
15,8.847787,0.0,0.5,0.0,,,1.0
16,12.402917,0.0,0.0,0.0,,,1.0
17,10.6024065,0.0,1.5,0.0,,,1.0
18,18.857107,0.0,0.25,0.0,,,1.0
19,8.694564,0.0,7.0,1.0,,,1.0
20,8.738506,0.0,4.75,1.0,,,1.0
21,18.0116,0.0,1.25,0.0,,,1.0
22,10.070681,0.0,6.5,1.0,,,1.0
23,7.700165,0.0,0.25,0.0,,,1.0
24,7.665887,0.0,2.0,0.0,,,1.0
25,11.433173,0.0,0.0,0.0,,,1.0
26,18.127668,0.0,0.0,0.0,,,1.0
27,5.832914,0.0,17.0,1.0,,,1.0
28,6.1116643,0.0,0.0,0.0,,,1.0
29,14.154905,0.0,1.75,0.0,,,1.0
30,6.0971885,0.0,0.25,0.0,,,1.0
31,12.783856,0.0,15.75,1.0,,,1.0
32,9.351595,0.0,4.0,1.0,,,1.0
33,9.426587,0.0,0.0,0.0,,,1.0
34,5.341387,0.0,9.75,1.0,,,1.0
35,14.758408,0.0,0.25,0.0,,,1.0
36,10.931329,0.0,0.25,1.0,,,1.0
37,10.566164,0.0,0.25,0.0,,,1.0
38,6.195124,0.0,12.5,1.0,,,1.0
39,12.484206,0.0,0.25,0.0,,,1.0
40,11.802372,0.0,8.5,1.0,,,1.0
41,10.013023,0.0,2.5,0.0,,,1.0
42,11.806347,0.0,2.75,1.0,,,1.0
43,11.90309,0.0,0.75,0.0,,,1.0
44,9.934281,0.0,0.5,0.0,,,1.0
45,5.388087,0.0,0.75,0.0,,,1.0
46,10.751101,0.0,10.75,1.0,,,1.0
47,11.32449,0.0,4.5,1.0,,,1.0
48,18.212925,0.0,2.0,1.0,,,1.0
49,7.8681645,0.0,1.75,1.0,,,1.0
50,11.136763,0.0,16.0,1.0,,,1.0
51,11.176422,0.0,3.75,1.0,,,1.0
52,6.7138224,0.0,0.75,0.0,,,1.0
53,7.7574162,0.0,2.75,1.0,,,1.0
54,16.136879,0.0,0.5,0.0,,,1.0
55,7.00642,0.0,1.0,0.0,,,1.0
56,16.49208,0.0,2.75,1.0,,,1.0
57,15.698524,0.0,5.75,1.0,,,1.0
58,14.319132,0.0,1.5,0.0,,,1.0
59,15.368056,0.0,11.25,1.0,,,1.0
60,4.1672397,0.0,28.0,1.0,,,1.0
61,11.380669,0.0,6.5,1.0,,,1.0
62,12.39563,0.0,0.0,0.0,,,1.0
63,12.407199,0.0,2.75,1.0,,,1.0
64,18.277477,0.0,0.75,0.0,,,1.0
65,7.030599,0.0,3.0,1.0,,,1.0
66,10.138613,0.0,6.0,1.0,,,1.0
67,6.675475,0.0,0.0,0.0,,,1.0
68,5.341387,0.0,14.75,1.0,,,1.0
69,14.685862,0.0,1.75,1.0,,,1.0
70,16.76598,0.0,2.5,1.0,,,1.0
71,12.427964,0.0,1.5,0.0,,,1.0
72,12.960777,0.0,0.5,0.0,,,1.0
73,8.152674,0.0,2.75,1.0,,,1.0
74,7.171438,0.0,12.5,1.0,,,1.0
75,11.136763,0.0,4.0,1.0,,,1.0
76,14.093683,0.0,1.75,0.0,,,1.0
77,15.368056,0.0,11.25,1.0,,,1.0
78,15.461225,0.0,0.0,0.0,,,1.0
79,6.5514183,0.0,1.0,0.0,,,1.0
80,8.065634,0.0,0.75,0.0,,,1.0
81,10.595961,0.0,1.5,0.0,,,1.0
82,7.2437415,0.0,10.0,1.0,,,1.0
83,7.8681645,0.0,3.0,1.0,,,1.0
84,5.675983,0.0,1.0,0.0,,,1.0
85,9.392596,0.0,8.75,1.0,,,1.0
86,3.9666514,0.0,1.5,0.0,,,1.0
87,9.895717,0.0,2.0,1.0,,,1.0
88,8.118019,0.0,2.0,1.0,,,1.0
89,7.7800064,0.0,1.0,0.0,,,1.0
90,16.106142,0.0,11.25,1.0,,,1.0
91,9.351595,0.0,0.5,0.0,,,1.0
92,10.354789,0.0,3.25,1.0,,,1.0
93,9.361709,0.0,1.75,1.0,,,1.0
94,6.910124,0.0,1.25,0.0,,,1.0
95,15.79497,0.0,5.25,1.0,,,1.0
96,10.354789,0.0,1.5,0.0,,,1.0
97,8.783554,0.0,1.0,0.0,,,1.0
98,5.8052673,0.0,27.75,1.0,,,1.0
99,13.049512,0.0,5.5,1.0,,,1.0
100,4.770562,0.0,0.75,0.0,,,1.0
101,7.0033073,0.0,2.0,0.0,,,1.0
102,11.806347,0.0,0.5,0.0,,,1.0
103,12.806443,0.0,7.0,1.0,,,1.0
104,11.023873,0.0,1.0,0.0,,,1.0
105,11.111824,0.0,2.0,0.0,,,1.0
106,10.650928,0.0,0.75,0.0,,,1.0
107,8.798857,0.0,2.25,1.0,,,1.0
108,9.172751,0.0,4.75,1.0,,,1.0
109,10.541319,0.0,0.75,0.0,,,1.0
110,6.209425,0.0,2.0,0.0,,,1.0
111,19.359894,0.0,0.75,0.0,,,1.0
112,10.680393,0.0,4.5,1.0,,,1.0
113,13.285396,0.0,3.5,1.0,,,1.0
114,16.298365,0.0,5.0,1.0,,,1.0
115,16.515533,0.0,2.25,1.0,,,1.0
116,6.924356,0.0,0.25,0.0,,,1.0
117,10.041649,0.0,3.25,1.0,,,1.0
118,11.515383,0.0,0.25,0.0,,,1.0
119,11.305944,0.0,1.0,0.0,,,1.0
120,14.426443,0.0,0.0,0.0,,,1.0
121,8.998947,0.0,2.25,0.0,,,1.0
