,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.311667,0.0,2.0,1.0,,,1.0
1,9.3543005,0.0,0.0,0.0,,,1.0
2,4.719022,0.0,4.0,1.0,,,1.0
3,8.643889,0.0,2.0,1.0,,,1.0
4,6.176522,0.0,0.0,0.0,,,1.0
5,1.6088729,0.0,2.0,1.0,,,1.0
6,9.427823,0.0,0.0,0.0,,,1.0
7,3.3424635,0.0,0.0,0.0,,,1.0
8,4.5747733,0.0,2.0,1.0,,,1.0
9,9.174682,0.0,2.0,1.0,,,1.0
10,5.4390144,0.0,4.0,1.0,,,1.0
11,8.596554,0.0,4.0,1.0,,,1.0
12,9.380338,0.0,2.0,1.0,,,1.0
13,5.768928,0.0,0.0,0.0,,,1.0
14,3.9997041,0.0,4.0,1.0,,,1.0
15,7.6735845,0.0,0.0,0.0,,,1.0
16,8.735303,0.0,4.0,1.0,,,1.0
17,7.53458,0.0,2.0,1.0,,,1.0
18,9.66396,0.0,0.0,0.0,,,1.0
19,8.806618,0.0,1.0,0.0,,,1.0
20,6.457825,0.0,0.0,0.0,,,1.0
21,7.6429706,0.0,4.0,1.0,,,1.0
22,7.102287,0.0,4.0,1.0,,,1.0
23,9.161609,0.0,4.0,1.0,,,1.0
24,9.427823,0.0,0.0,0.0,,,1.0
25,8.731579,0.0,2.0,1.0,,,1.0
26,5.8328547,0.0,2.0,1.0,,,1.0
27,6.7799745,0.0,4.0,1.0,,,1.0
28,7.1452274,0.0,4.0,1.0,,,1.0
29,2.202356,0.0,2.0,1.0,,,1.0
30,1.545579,0.0,0.0,0.0,,,1.0
31,9.041569,0.0,4.0,1.0,,,1.0
32,8.525612,0.0,4.0,1.0,,,1.0
33,7.536587,0.0,0.0,0.0,,,1.0
34,8.780031,0.0,1.0,0.0,,,1.0
35,9.885175,0.0,2.0,1.0,,,1.0
36,6.837242,0.0,2.0,1.0,,,1.0
37,2.3830948,0.0,4.0,1.0,,,1.0
38,9.161609,0.0,0.0,0.0,,,1.0
39,8.171855,0.0,0.0,0.0,,,1.0
40,7.4639144,0.0,1.0,0.0,,,1.0
41,7.102287,0.0,2.0,1.0,,,1.0
42,8.551354,0.0,4.0,1.0,,,1.0
43,3.4325662,0.0,4.0,1.0,,,1.0
44,8.596554,0.0,4.0,1.0,,,1.0
45,7.7003384,0.0,4.0,1.0,,,1.0
46,6.487229,0.0,0.0,0.0,,,1.0
47,7.539962,0.0,4.0,1.0,,,1.0
48,3.8111453,0.0,4.0,1.0,,,1.0
49,5.0413704,0.0,2.0,1.0,,,1.0
50,0.49500364,0.0,0.0,0.0,,,1.0
51,7.2849264,0.0,0.0,0.0,,,1.0
52,2.0422843,0.0,0.0,0.0,,,1.0
53,6.2890553,0.0,1.0,0.0,,,1.0
54,10.839364,0.0,2.0,1.0,,,1.0
55,5.828396,0.0,1.0,0.0,,,1.0
56,7.7386193,0.0,4.0,1.0,,,1.0
57,7.1452274,0.0,4.0,1.0,,,1.0
58,3.6296425,0.0,1.0,0.0,,,1.0
59,6.9146314,0.0,0.0,0.0,,,1.0
60,6.13018,0.0,0.0,0.0,,,1.0
61,5.0413704,0.0,2.0,1.0,,,1.0
62,6.918273,0.0,1.0,0.0,,,1.0
63,9.430027,0.0,4.0,1.0,,,1.0
64,5.713162,0.0,2.0,1.0,,,1.0
65,4.6422253,0.0,2.0,1.0,,,1.0
66,5.1229124,0.0,4.0,1.0,,,1.0
67,2.3765295,0.0,4.0,1.0,,,1.0
68,7.411983,0.0,4.0,1.0,,,1.0
69,7.4601684,0.0,2.0,1.0,,,1.0
70,5.866009,0.0,2.0,1.0,,,1.0
71,3.4636877,0.0,1.0,0.0,,,1.0
72,9.238344,0.0,4.0,1.0,,,1.0
73,10.200261,0.0,2.0,1.0,,,1.0
74,2.6374614,0.0,4.0,1.0,,,1.0
75,3.850626,0.0,2.0,1.0,,,1.0
76,4.4932904,0.0,0.0,0.0,,,1.0
77,2.8731394,0.0,1.0,0.0,,,1.0
78,6.4228783,0.0,2.0,1.0,,,1.0
79,5.64608,0.0,0.0,0.0,,,1.0
80,8.774606,0.0,0.0,0.0,,,1.0
81,7.2055626,0.0,2.0,1.0,,,1.0
82,5.316699,0.0,4.0,1.0,,,1.0
83,7.211177,0.0,4.0,1.0,,,1.0
84,5.2088995,0.0,0.0,0.0,,,1.0
85,8.5878105,0.0,4.0,1.0,,,1.0
86,6.0511994,0.0,0.0,0.0,,,1.0
87,7.2019877,0.0,2.0,1.0,,,1.0
88,6.8968163,0.0,4.0,1.0,,,1.0
89,6.902058,0.0,0.0,0.0,,,1.0
90,6.8938274,0.0,2.0,1.0,,,1.0
91,6.4555593,0.0,4.0,1.0,,,1.0
92,8.408794,0.0,0.0,0.0,,,1.0
93,6.7338705,0.0,2.0,1.0,,,1.0
94,0.78678334,0.0,0.0,0.0,,,1.0
95,6.9600744,0.0,4.0,1.0,,,1.0
96,3.7309005,0.0,0.0,0.0,,,1.0
97,3.768284,0.0,0.0,0.0,,,1.0
98,8.097731,0.0,2.0,1.0,,,1.0
99,8.32449,0.0,4.0,1.0,,,1.0
100,8.440515,0.0,2.0,1.0,,,1.0
101,5.292206,0.0,4.0,1.0,,,1.0
102,9.486201,0.0,0.0,0.0,,,1.0
103,8.159127,0.0,0.0,0.0,,,1.0
104,5.5657144,0.0,0.0,0.0,,,1.0
105,7.7148776,0.0,4.0,1.0,,,1.0
106,3.940805,0.0,1.0,0.0,,,1.0
107,8.100859,0.0,2.0,1.0,,,1.0
108,3.38872,0.0,2.0,1.0,,,1.0
109,6.015191,0.0,2.0,1.0,,,1.0
110,8.366177,0.0,1.0,0.0,,,1.0
111,8.0645075,0.0,0.0,0.0,,,0.0
112,6.4471054,0.0,0.0,0.0,,,0.0
113,8.874072,0.0,0.0,0.0,,,0.0
114,10.223513,0.0,0.0,0.0,,,0.0
115,7.0046363,0.0,0.0,0.0,,,0.0
116,5.6157513,0.0,0.0,0.0,,,0.0
117,6.505298,0.0,0.0,0.0,,,0.0
118,4.3614492,0.0,0.0,0.0,,,0.0
119,5.6011276,0.0,1.0,0.0,,,0.0
120,7.590599,0.0,0.0,0.0,,,0.0
121,2.870664,0.0,0.0,0.0,,,0.0
122,4.253431,0.0,0.0,0.0,,,0.0
123,7.182678,0.0,0.0,0.0,,,0.0
124,9.430027,0.0,0.0,0.0,,,0.0
125,6.9211655,0.0,0.0,0.0,,,0.0
126,6.8150244,0.0,0.0,0.0,,,0.0
127,6.2531495,0.0,0.0,0.0,,,0.0
128,7.794382,0.0,0.0,0.0,,,0.0
129,5.938666,0.0,0.0,0.0,,,0.0
130,6.424577,0.0,0.0,0.0,,,0.0
131,7.383283,0.0,0.0,0.0,,,0.0
132,5.3449197,0.0,0.0,0.0,,,0.0
133,4.448839,0.0,0.0,0.0,,,0.0
134,4.8489227,0.0,0.0,0.0,,,0.0
135,5.059045,0.0,0.0,0.0,,,0.0
136,3.9997041,0.0,0.0,0.0,,,0.0
137,7.643173,0.0,0.0,0.0,,,0.0
138,3.8891172,0.0,0.0,0.0,,,0.0
139,6.4700313,0.0,0.0,0.0,,,0.0
140,5.0002937,0.0,0.0,0.0,,,0.0
141,5.2263136,0.0,0.0,0.0,,,0.0
142,5.7646236,0.0,0.0,0.0,,,0.0
143,4.5407887,0.0,0.0,0.0,,,0.0
144,5.8273396,0.0,0.0,0.0,,,0.0
145,5.907861,0.0,0.0,0.0,,,0.0
146,8.262619,0.0,0.0,0.0,,,0.0
147,5.984126,0.0,0.0,0.0,,,0.0
148,6.0248747,0.0,0.0,0.0,,,0.0
149,5.859338,0.0,0.0,0.0,,,0.0
150,7.691417,0.0,0.0,0.0,,,0.0
151,3.8721967,0.0,0.0,0.0,,,0.0
152,6.5965805,0.0,0.0,0.0,,,0.0
153,5.891068,0.0,0.0,0.0,,,0.0
154,5.1678624,0.0,0.0,0.0,,,0.0
155,6.8704276,0.0,0.0,0.0,,,0.0
156,6.638208,0.0,0.0,0.0,,,0.0
157,4.05248,0.0,2.0,1.0,,,0.0
158,7.691417,0.0,0.0,0.0,,,0.0
159,8.658735,0.0,0.0,0.0,,,0.0
160,3.3545153,0.0,0.0,0.0,,,0.0
161,6.591082,0.0,0.0,0.0,,,0.0
162,8.785447,0.0,0.0,0.0,,,0.0
163,8.673449,0.0,0.0,0.0,,,0.0
164,8.402667,0.0,0.0,0.0,,,0.0
165,6.141254,0.0,0.0,0.0,,,0.0
166,6.3160467,0.0,0.0,0.0,,,0.0
167,6.0505075,0.0,0.0,0.0,,,0.0
168,2.8042939,0.0,0.0,0.0,,,0.0
169,7.3585606,0.0,0.0,0.0,,,0.0
170,8.0753145,0.0,0.0,0.0,,,0.0
171,5.98109,0.0,0.0,0.0,,,0.0
172,5.289866,0.0,0.0,0.0,,,0.0
173,6.01759,0.0,0.0,0.0,,,0.0
174,7.1452274,0.0,0.0,0.0,,,0.0
175,6.0288053,0.0,0.0,0.0,,,0.0
176,2.0709205,0.0,0.0,0.0,,,0.0
177,6.0336547,0.0,0.0,0.0,,,0.0
178,6.7785373,0.0,0.0,0.0,,,0.0
179,5.4906306,0.0,0.0,0.0,,,0.0
180,6.457825,0.0,0.0,0.0,,,0.0
181,5.4427557,0.0,0.0,0.0,,,0.0
182,7.284692,0.0,0.0,0.0,,,0.0
183,6.245477,0.0,0.0,0.0,,,0.0
184,4.4822264,0.0,0.0,0.0,,,0.0
185,7.311681,0.0,0.0,0.0,,,0.0
186,8.731579,0.0,0.0,0.0,,,0.0
187,6.400801,0.0,0.0,0.0,,,0.0
188,5.804496,0.0,0.0,0.0,,,0.0
189,5.4785156,0.0,0.0,0.0,,,0.0
190,6.8968163,0.0,0.0,0.0,,,0.0
191,8.717001,0.0,0.0,0.0,,,0.0
192,4.865371,0.0,0.0,0.0,,,0.0
193,5.5657144,0.0,0.0,0.0,,,0.0
194,5.441041,0.0,0.0,0.0,,,0.0
195,9.771382,0.0,0.0,0.0,,,0.0
196,5.5134354,0.0,0.0,0.0,,,0.0
197,7.4066095,0.0,0.0,0.0,,,0.0
198,7.7003384,0.0,0.0,0.0,,,0.0
199,7.51576,0.0,0.0,0.0,,,0.0
200,6.529265,0.0,0.0,0.0,,,0.0
201,8.621471,0.0,0.0,0.0,,,0.0
202,3.786429,0.0,0.0,0.0,,,0.0
203,5.631746,0.0,0.0,0.0,,,0.0
204,8.484325,0.0,0.0,0.0,,,0.0
205,8.076252,0.0,0.0,0.0,,,0.0
206,6.2603683,0.0,0.0,0.0,,,0.0
207,4.174189,0.0,0.0,0.0,,,0.0
208,6.0333877,0.0,0.0,0.0,,,0.0
209,8.0753145,0.0,0.0,0.0,,,0.0
210,3.4271019,0.0,0.0,0.0,,,0.0
211,8.047238,0.0,0.0,0.0,,,0.0
212,6.487398,0.0,1.0,0.0,,,0.0
213,6.6435966,0.0,0.0,0.0,,,0.0
214,1.9958307,0.0,0.0,0.0,,,0.0
215,4.831013,0.0,0.0,0.0,,,0.0
216,6.3059635,0.0,0.0,0.0,,,0.0
217,3.472518,0.0,0.0,0.0,,,0.0
218,3.672989,0.0,0.0,0.0,,,0.0
219,3.2529876,0.0,0.0,0.0,,,0.0
220,8.440515,0.0,0.0,0.0,,,0.0
221,6.69323,0.0,0.0,0.0,,,0.0
222,8.484325,0.0,0.0,0.0,,,0.0
223,6.4783177,0.0,0.0,0.0,,,0.0
224,4.7036924,0.0,0.0,0.0,,,0.0
225,9.432872,0.0,0.0,0.0,,,0.0
226,6.0505075,0.0,0.0,0.0,,,0.0
227,5.7624207,0.0,0.0,0.0,,,0.0
228,1.8643703,0.0,0.0,0.0,,,0.0
229,8.097731,0.0,2.0,1.0,,,0.0
230,8.806618,0.0,0.0,0.0,,,0.0
231,4.5210485,0.0,0.0,0.0,,,0.0
232,10.271653,0.0,1.0,0.0,,,0.0
233,7.2103696,0.0,0.0,0.0,,,0.0
234,6.404355,0.0,0.0,0.0,,,0.0
235,5.414905,0.0,0.0,0.0,,,0.0
236,4.925397,0.0,0.0,0.0,,,0.0
237,3.5123367,0.0,0.0,0.0,,,0.0
238,5.3882403,0.0,0.0,0.0,,,0.0
239,4.719022,0.0,0.0,0.0,,,0.0
240,5.329979,0.0,0.0,0.0,,,0.0
241,4.6119485,0.0,0.0,0.0,,,0.0
242,6.9860196,0.0,0.0,0.0,,,0.0
243,3.6244826,0.0,0.0,0.0,,,0.0
244,7.1537366,0.0,0.0,0.0,,,0.0
245,7.951469,0.0,0.0,0.0,,,0.0
246,5.288182,0.0,0.0,0.0,,,0.0
247,2.3269892,0.0,0.0,0.0,,,0.0
248,4.1052947,0.0,0.0,0.0,,,0.0
249,2.6041799,0.0,0.0,0.0,,,0.0
250,7.347051,0.0,0.0,0.0,,,0.0
251,6.7338705,0.0,0.0,0.0,,,0.0
252,5.0517497,0.0,0.0,0.0,,,0.0
253,8.664757,0.0,0.0,0.0,,,0.0
254,6.6316547,0.0,0.0,0.0,,,0.0
255,4.386942,0.0,0.0,0.0,,,0.0
256,7.463257,0.0,0.0,0.0,,,0.0
257,4.400821,0.0,0.0,0.0,,,0.0
258,4.745061,0.0,0.0,0.0,,,0.0
259,6.365784,0.0,0.0,0.0,,,0.0
260,5.345586,0.0,0.0,0.0,,,0.0
261,7.2708735,0.0,0.0,0.0,,,0.0
262,2.0070658,0.0,0.0,0.0,,,0.0
263,7.7550764,0.0,0.0,0.0,,,0.0
264,5.3491163,0.0,0.0,0.0,,,0.0
265,8.32449,0.0,1.0,0.0,,,0.0
266,7.1625433,0.0,0.0,0.0,,,0.0
267,7.7694163,0.0,0.0,0.0,,,0.0
268,5.907861,0.0,0.0,0.0,,,0.0
269,6.233037,0.0,0.0,0.0,,,0.0
270,5.2922115,0.0,0.0,0.0,,,0.0
271,5.8328547,0.0,1.0,0.0,,,0.0
272,4.78558,0.0,0.0,0.0,,,0.0
273,7.2528815,0.0,0.0,0.0,,,0.0
274,5.8178644,0.0,0.0,0.0,,,0.0
275,9.66396,0.0,0.0,0.0,,,0.0
276,5.6260495,0.0,0.0,0.0,,,0.0
277,6.2847934,0.0,0.0,0.0,,,0.0
278,6.505298,0.0,0.0,0.0,,,0.0
279,7.2645063,0.0,0.0,0.0,,,0.0
280,3.935673,0.0,0.0,0.0,,,0.0
281,5.6001525,0.0,0.0,0.0,,,0.0
282,4.400821,0.0,0.0,0.0,,,0.0
283,6.879596,0.0,0.0,0.0,,,0.0
284,5.040175,0.0,0.0,0.0,,,0.0
285,6.9585834,0.0,0.0,0.0,,,0.0
286,3.6024544,0.0,0.0,0.0,,,0.0
287,7.6545806,0.0,0.0,0.0,,,0.0
288,5.1386614,0.0,0.0,0.0,,,0.0
289,4.887429,0.0,0.0,0.0,,,0.0
290,4.711487,0.0,0.0,0.0,,,0.0
291,6.3510947,0.0,0.0,0.0,,,0.0
292,8.758133,0.0,0.0,0.0,,,0.0
293,3.9541514,0.0,1.0,0.0,,,0.0
294,6.5503116,0.0,0.0,0.0,,,0.0
295,5.6001525,0.0,0.0,0.0,,,0.0
296,6.0787754,0.0,0.0,0.0,,,0.0
297,6.012884,0.0,0.0,0.0,,,0.0
298,5.440216,0.0,0.0,0.0,,,0.0
299,3.7922568,0.0,0.0,0.0,,,0.0
300,6.015191,0.0,0.0,0.0,,,0.0
301,7.0494905,0.0,0.0,0.0,,,0.0
302,6.196486,0.0,0.0,0.0,,,0.0
303,7.51576,0.0,0.0,0.0,,,0.0
304,6.8704276,0.0,0.0,0.0,,,0.0
305,8.484325,0.0,0.0,0.0,,,0.0
306,5.64608,0.0,0.0,0.0,,,0.0
307,6.682276,0.0,0.0,0.0,,,0.0
308,5.9115386,0.0,0.0,0.0,,,0.0
309,2.1796231,0.0,0.0,0.0,,,0.0
310,5.843199,0.0,0.0,0.0,,,0.0
311,7.063857,0.0,0.0,0.0,,,0.0
312,6.838777,0.0,0.0,0.0,,,0.0
313,5.1064415,0.0,0.0,0.0,,,0.0
314,6.377308,0.0,0.0,0.0,,,0.0
315,6.196486,0.0,0.0,0.0,,,0.0
316,9.286706,0.0,1.0,0.0,,,0.0
317,2.835447,0.0,0.0,0.0,,,0.0
318,3.7922568,0.0,0.0,0.0,,,0.0
319,7.590014,0.0,0.0,0.0,,,0.0
320,7.457381,0.0,0.0,0.0,,,0.0
321,4.717512,0.0,0.0,0.0,,,0.0
322,10.484931,0.0,0.0,0.0,,,0.0
323,7.411983,0.0,0.0,0.0,,,0.0
324,3.369957,0.0,0.0,0.0,,,0.0
325,6.5082936,0.0,0.0,0.0,,,0.0
326,4.5616455,0.0,0.0,0.0,,,0.0
327,6.591082,0.0,0.0,0.0,,,0.0
328,4.443119,0.0,0.0,0.0,,,0.0
329,7.2528386,0.0,0.0,0.0,,,0.0
330,5.1287627,0.0,0.0,0.0,,,0.0
331,9.410575,0.0,0.0,0.0,,,0.0
332,8.258465,0.0,0.0,0.0,,,0.0
333,4.3234506,0.0,0.0,0.0,,,0.0
334,5.8658247,0.0,0.0,0.0,,,0.0
335,8.678587,0.0,0.0,0.0,,,0.0
336,7.4639144,0.0,0.0,0.0,,,0.0
337,6.487229,0.0,0.0,0.0,,,0.0
338,8.440515,0.0,0.0,0.0,,,0.0
339,7.2019877,0.0,0.0,0.0,,,0.0
340,8.569021,0.0,0.0,0.0,,,0.0
341,4.2950015,0.0,0.0,0.0,,,0.0
342,9.3543005,0.0,0.0,0.0,,,0.0
343,2.6041799,0.0,0.0,0.0,,,0.0
344,4.8074355,0.0,0.0,0.0,,,0.0
345,4.4822264,0.0,0.0,0.0,,,0.0
346,5.345026,0.0,0.0,0.0,,,0.0
347,5.773601,0.0,0.0,0.0,,,0.0
348,3.8721967,0.0,0.0,0.0,,,0.0
349,6.2427487,0.0,0.0,0.0,,,0.0
350,4.1962786,0.0,0.0,0.0,,,0.0
351,8.227661,0.0,0.0,0.0,,,0.0
352,4.4792557,0.0,0.0,0.0,,,0.0
353,6.3811183,0.0,0.0,0.0,,,0.0
354,8.7304535,0.0,0.0,0.0,,,0.0
355,6.277236,0.0,0.0,0.0,,,0.0
356,7.4606757,0.0,0.0,0.0,,,0.0
357,10.023213,0.0,0.0,0.0,,,0.0
358,6.1986847,0.0,0.0,0.0,,,0.0
359,5.5134354,0.0,0.0,0.0,,,0.0
360,7.9196224,0.0,0.0,0.0,,,0.0
361,2.53165,0.0,0.0,0.0,,,0.0
362,6.7081785,0.0,0.0,0.0,,,0.0
363,5.859338,0.0,0.0,0.0,,,0.0
364,7.4606757,0.0,0.0,0.0,,,0.0
365,8.5878105,0.0,0.0,0.0,,,0.0
366,3.3493276,0.0,0.0,0.0,,,0.0
367,4.5616455,0.0,0.0,0.0,,,0.0
368,7.463257,0.0,0.0,0.0,,,0.0
369,2.2876961,0.0,0.0,0.0,,,0.0
370,2.3269892,0.0,0.0,0.0,,,0.0
371,8.522752,0.0,0.0,0.0,,,0.0
372,6.529265,0.0,0.0,0.0,,,0.0
373,7.393118,0.0,0.0,0.0,,,0.0
374,9.381135,0.0,0.0,0.0,,,0.0
375,6.175381,0.0,0.0,0.0,,,0.0
376,7.7003384,0.0,0.0,0.0,,,0.0
377,6.1357336,0.0,0.0,0.0,,,0.0
378,5.773601,0.0,0.0,0.0,,,0.0
379,5.382869,0.0,0.0,0.0,,,0.0
380,6.696256,0.0,0.0,0.0,,,0.0
381,5.939824,0.0,0.0,0.0,,,0.0
382,8.204158,0.0,0.0,0.0,,,0.0
383,6.542877,0.0,0.0,0.0,,,0.0
384,4.899025,0.0,0.0,0.0,,,0.0
385,3.0235746,0.0,0.0,0.0,,,0.0
386,6.32074,0.0,0.0,0.0,,,0.0
387,7.2528386,0.0,0.0,0.0,,,0.0
388,1.8111664,0.0,0.0,0.0,,,0.0
389,8.213787,0.0,0.0,0.0,,,0.0
390,0.76470155,0.0,0.0,0.0,,,0.0
391,5.386615,0.0,0.0,0.0,,,0.0
392,7.414241,0.0,0.0,0.0,,,0.0
393,6.1800413,0.0,0.0,0.0,,,0.0
394,4.9874296,0.0,0.0,0.0,,,0.0
395,7.7021184,0.0,0.0,0.0,,,0.0
396,2.5981455,0.0,0.0,0.0,,,0.0
397,6.32074,0.0,0.0,0.0,,,0.0
398,4.717512,0.0,0.0,0.0,,,0.0
399,5.998545,0.0,0.0,0.0,,,0.0
400,3.185469,0.0,0.0,0.0,,,0.0
401,6.7804494,0.0,0.0,0.0,,,0.0
402,7.4035068,0.0,0.0,0.0,,,0.0
403,8.846106,0.0,0.0,0.0,,,0.0
404,4.8807755,0.0,0.0,0.0,,,0.0
405,7.014973,0.0,0.0,0.0,,,0.0
406,8.780501,0.0,0.0,0.0,,,0.0
407,5.3278766,0.0,0.0,0.0,,,0.0
408,10.222949,0.0,0.0,0.0,,,0.0
409,4.0954447,0.0,0.0,0.0,,,0.0
410,4.7986,0.0,0.0,0.0,,,0.0
411,5.829914,0.0,0.0,0.0,,,0.0
412,4.979207,0.0,0.0,0.0,,,0.0
413,8.806618,0.0,0.0,0.0,,,0.0
414,6.367991,0.0,0.0,0.0,,,0.0
415,5.453008,0.0,0.0,0.0,,,0.0
416,7.86008,0.0,0.0,0.0,,,0.0
417,7.1238136,0.0,0.0,0.0,,,0.0
418,8.105128,0.0,0.0,0.0,,,0.0
419,8.678587,0.0,0.0,0.0,,,0.0
420,6.3510947,0.0,0.0,0.0,,,0.0
421,9.151732,0.0,0.0,0.0,,,0.0
422,4.338196,0.0,0.0,0.0,,,0.0
423,7.8667965,0.0,0.0,0.0,,,0.0
424,4.456086,0.0,0.0,0.0,,,0.0
425,5.631746,0.0,0.0,0.0,,,0.0
426,3.2350059,0.0,0.0,0.0,,,0.0
427,6.7081785,0.0,0.0,0.0,,,0.0
428,3.3089614,0.0,0.0,0.0,,,0.0
429,5.3064146,0.0,0.0,0.0,,,0.0
430,7.342768,0.0,0.0,0.0,,,0.0
431,5.3064146,0.0,2.0,1.0,,,0.0
432,6.4783177,0.0,0.0,0.0,,,0.0
433,5.2263136,0.0,0.0,0.0,,,0.0
434,7.042735,0.0,0.0,0.0,,,0.0
435,4.9333663,0.0,0.0,0.0,,,0.0
436,5.486136,0.0,0.0,0.0,,,0.0
437,6.406745,0.0,0.0,0.0,,,0.0
438,4.9142313,0.0,0.0,0.0,,,0.0
439,3.4745007,0.0,0.0,0.0,,,0.0
440,6.34215,0.0,0.0,0.0,,,0.0
441,8.164864,0.0,0.0,0.0,,,0.0
442,2.8468502,0.0,0.0,0.0,,,0.0
443,7.1153874,0.0,0.0,0.0,,,0.0
444,6.8938274,0.0,0.0,0.0,,,0.0
445,8.383423,0.0,0.0,0.0,,,0.0
446,1.8139739,0.0,0.0,0.0,,,0.0
447,3.5856931,0.0,0.0,0.0,,,0.0
448,8.534905,0.0,0.0,0.0,,,0.0
449,4.777863,0.0,0.0,0.0,,,0.0
450,5.036163,0.0,0.0,0.0,,,0.0
451,5.550927,0.0,0.0,0.0,,,0.0
452,4.76722,0.0,0.0,0.0,,,0.0
453,2.2704625,0.0,0.0,0.0,,,0.0
454,5.65064,0.0,0.0,0.0,,,0.0
455,4.7986813,0.0,0.0,0.0,,,0.0
456,6.524959,0.0,0.0,0.0,,,0.0
457,6.2367425,0.0,0.0,0.0,,,0.0
458,6.7239847,0.0,0.0,0.0,,,0.0
459,6.135243,0.0,0.0,0.0,,,0.0
460,6.7107234,0.0,0.0,0.0,,,0.0
461,8.188891,0.0,0.0,0.0,,,0.0
462,5.445796,0.0,0.0,0.0,,,0.0
463,7.691417,0.0,0.0,0.0,,,0.0
464,5.7299695,0.0,0.0,0.0,,,0.0
465,4.1386046,0.0,0.0,0.0,,,0.0
466,5.866009,0.0,0.0,0.0,,,0.0
467,8.245564,0.0,0.0,0.0,,,0.0
468,3.4190283,0.0,0.0,0.0,,,0.0
469,5.6276736,0.0,0.0,0.0,,,0.0
470,2.979056,0.0,0.0,0.0,,,0.0
471,3.848418,0.0,0.0,0.0,,,0.0
472,2.6110792,0.0,0.0,0.0,,,0.0
473,6.9116826,0.0,0.0,0.0,,,0.0
474,5.962449,0.0,0.0,0.0,,,0.0
475,4.777863,0.0,0.0,0.0,,,0.0
476,2.233154,0.0,0.0,0.0,,,0.0
477,2.0709205,0.0,0.0,0.0,,,0.0
478,6.2028933,0.0,0.0,0.0,,,0.0
479,6.553128,0.0,0.0,0.0,,,0.0
480,6.6643276,0.0,0.0,0.0,,,0.0
481,2.8468502,0.0,0.0,0.0,,,0.0
482,7.7550764,0.0,0.0,0.0,,,0.0
483,4.338002,0.0,0.0,0.0,,,0.0
484,6.6115956,0.0,0.0,0.0,,,0.0
485,6.793195,0.0,0.0,0.0,,,0.0
486,6.6245747,0.0,0.0,0.0,,,0.0
487,7.388706,0.0,0.0,0.0,,,0.0
488,6.7338705,0.0,1.0,0.0,,,0.0
489,5.0517497,0.0,0.0,0.0,,,0.0
490,6.9270296,0.0,0.0,0.0,,,0.0
491,8.311667,0.0,0.0,0.0,,,0.0
