,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.310453,1.0,1.2022458,1.0,,,1.0
1,9.352498,1.0,0.0,1.0,,,1.0
2,9.438064,1.0,0.2835785,1.0,,,1.0
3,4.719022,1.0,1.8658836,1.0,,,1.0
4,2.6989744,1.0,1.442695,1.0,,,1.0
5,8.308449,1.0,0.7213475,1.0,,,1.0
6,8.6477165,1.0,0.8044138,1.0,,,1.0
7,1.8660176,1.0,0.0,0.0,,,1.0
8,7.8437834,1.0,1.7567649,1.0,,,1.0
9,1.3587481,1.0,0.0,0.0,,,1.0
10,9.431179,1.0,0.0,1.0,,,1.0
11,3.3448,1.0,0.0,0.0,,,1.0
12,9.894426,1.0,0.8268746,1.0,,,1.0
13,5.8362923,1.0,1.5165086,1.0,,,1.0
14,5.449964,1.0,1.7051365,1.0,,,1.0
15,8.7335005,1.0,1.6646807,1.0,,,1.0
16,10.277243,1.0,0.0,1.0,,,1.0
17,7.538407,1.0,0.9924051,1.0,,,1.0
18,6.38036,1.0,0.4024296,1.0,,,1.0
19,7.646797,1.0,1.6400923,1.0,,,1.0
20,7.1004844,1.0,1.6553779,1.0,,,1.0
21,2.800612,1.0,0.0,0.0,,,1.0
22,7.1490545,1.0,1.525949,1.0,,,1.0
23,2.2008972,1.0,0.9187844,1.0,,,1.0
24,5.8678117,1.0,1.7309614,1.0,,,1.0
25,9.042385,1.0,2.2376633,1.0,,,1.0
26,8.789283,1.0,0.36067376,1.0,,,1.0
27,9.894426,1.0,1.155642,1.0,,,1.0
28,8.568479,1.0,1.728643,1.0,,,1.0
29,6.0190177,1.0,1.6499418,1.0,,,1.0
30,2.2105396,1.0,0.0,0.0,,,1.0
31,6.0190177,1.0,0.0,0.0,,,1.0
32,4.3202453,1.0,1.7309614,1.0,,,1.0
33,2.3843448,1.0,1.7336079,1.0,,,1.0
34,6.735673,1.0,1.896492,1.0,,,1.0
35,9.162426,1.0,0.0,1.0,,,1.0
36,6.2201166,1.0,1.5209132,1.0,,,1.0
37,8.175179,1.0,0.0,1.0,,,1.0
38,8.549552,1.0,1.5621701,1.0,,,1.0
39,7.404721,1.0,1.5528196,1.0,,,1.0
40,6.4854264,1.0,0.0,0.0,,,1.0
41,4.5751166,1.0,1.1162213,1.0,,,1.0
42,0.49500364,1.0,0.0,0.0,,,1.0
43,6.278294,1.0,0.36067376,1.0,,,1.0
44,6.735673,1.0,1.5051702,1.0,,,1.0
45,7.5908313,1.0,0.0,1.0,,,1.0
46,5.829355,1.0,0.55811065,1.0,,,1.0
47,7.7536955,1.0,2.3614795,1.0,,,1.0
48,4.783951,1.0,0.7213475,1.0,,,1.0
49,7.213489,1.0,0.81470656,1.0,,,1.0
50,7.323894,1.0,1.5483735,1.0,,,1.0
51,4.223359,1.0,0.81321764,1.0,,,1.0
52,6.9163237,1.0,0.4342945,1.0,,,1.0
53,5.1203394,1.0,1.875733,1.0,,,1.0
54,6.151531,1.0,1.9577934,1.0,,,1.0
55,2.0763988,1.0,1.8022294,1.0,,,1.0
56,8.258465,1.0,0.48089835,1.0,,,1.0
57,7.0981646,1.0,1.9075979,1.0,,,1.0
58,6.81381,1.0,1.8339772,1.0,,,1.0
59,8.2026,1.0,0.0,1.0,,,1.0
60,2.376873,1.0,2.3956795,1.0,,,1.0
61,7.4582195,1.0,1.039009,1.0,,,1.0
62,7.287004,1.0,0.79496825,1.0,,,1.0
63,6.824152,1.0,1.7639084,1.0,,,1.0
64,7.2107325,1.0,1.7750144,1.0,,,1.0
65,9.364731,1.0,1.5580716,1.0,,,1.0
66,9.236542,1.0,1.4940841,1.0,,,1.0
67,10.197245,1.0,0.78099996,1.0,,,1.0
68,3.1441956,1.0,1.9051299,1.0,,,1.0
69,2.641288,1.0,1.7639084,1.0,,,1.0
70,6.8968163,1.0,2.1552303,1.0,,,1.0
71,7.449374,1.0,0.787826,1.0,,,1.0
72,3.6909356,1.0,0.0,0.0,,,1.0
73,6.9833746,1.0,1.9577934,1.0,,,1.0
74,9.982566,1.0,1.8609941,1.0,,,1.0
75,6.4228783,1.0,0.70665,1.0,,,1.0
