,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,15.797476,1.0,0.94240916,1.0,,,1.0
1,8.408533,1.0,0.9971966,1.0,,,1.0
2,9.733275,1.0,0.0,1.0,,,1.0
3,15.606424,1.0,0.3743141,1.0,,,1.0
4,13.73916,1.0,0.91566795,1.0,,,1.0
5,8.388604,1.0,0.9082578,1.0,,,1.0
6,4.0795197,1.0,1.3595539,1.0,,,1.0
7,5.6837053,1.0,1.037514,1.0,,,1.0
8,14.932191,1.0,1.0377455,1.0,,,1.0
9,23.18142,1.0,0.846277,1.0,,,1.0
10,7.56834,1.0,1.0650649,1.0,,,1.0
11,2.9587343,1.0,1.1542926,1.0,,,1.0
12,14.6314,1.0,0.89312327,1.0,,,1.0
13,7.8758464,1.0,1.0718567,1.0,,,1.0
14,13.682338,1.0,0.84827375,1.0,,,1.0
15,16.779306,1.0,0.4405213,1.0,,,1.0
16,29.897387,1.0,0.77755183,1.0,,,1.0
17,9.692595,1.0,0.0,1.0,,,1.0
18,7.3223577,1.0,0.2153135,1.0,,,1.0
19,12.044944,1.0,0.0,1.0,,,1.0
20,16.345793,1.0,0.92850477,1.0,,,1.0
21,17.410582,1.0,0.8620726,1.0,,,1.0
22,4.0220566,1.0,1.7886713,1.0,,,1.0
23,7.9723463,1.0,1.0385606,1.0,,,1.0
24,8.91812,1.0,0.9927522,1.0,,,1.0
25,23.034767,1.0,0.79271954,1.0,,,1.0
26,8.202069,1.0,1.3847014,1.0,,,1.0
27,8.298376,1.0,1.0677605,1.0,,,1.0
28,10.389188,1.0,0.84835833,1.0,,,1.0
29,16.200119,1.0,1.2637142,1.0,,,1.0
30,7.1008263,1.0,1.0310856,1.0,,,1.0
31,16.745111,1.0,0.8900662,1.0,,,1.0
32,9.430675,1.0,0.8870285,1.0,,,1.0
33,25.082945,1.0,0.7642636,1.0,,,1.0
34,18.064707,1.0,0.923521,1.0,,,1.0
