,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,15.797476,1.0,4.0,1.0,,,1.0
1,8.408533,1.0,4.0,1.0,,,1.0
2,9.733275,1.0,0.0,1.0,,,1.0
3,15.606424,1.0,2.0,1.0,,,1.0
4,13.73916,1.0,4.0,1.0,,,1.0
5,8.388604,1.0,4.0,1.0,,,1.0
6,4.0795197,1.0,4.0,1.0,,,1.0
7,5.6837053,1.0,4.0,1.0,,,1.0
8,14.932191,1.0,4.0,1.0,,,1.0
9,23.18142,1.0,4.0,1.0,,,1.0
10,7.56834,1.0,4.0,1.0,,,1.0
11,2.9587343,1.0,4.0,1.0,,,1.0
12,14.6314,1.0,4.0,1.0,,,1.0
13,7.8758464,1.0,4.0,1.0,,,1.0
14,13.682338,1.0,4.0,1.0,,,1.0
15,16.779306,1.0,2.0,1.0,,,1.0
16,29.897387,1.0,4.0,1.0,,,1.0
17,9.692595,1.0,0.0,0.0,,,1.0
18,7.3223577,1.0,1.0,1.0,,,1.0
19,12.044944,1.0,0.0,1.0,,,1.0
20,16.345793,1.0,4.0,1.0,,,1.0
21,17.410582,1.0,4.0,1.0,,,1.0
22,4.0220566,1.0,4.0,1.0,,,1.0
23,7.9723463,1.0,4.0,1.0,,,1.0
24,8.91812,1.0,4.0,1.0,,,1.0
25,23.034767,1.0,4.0,1.0,,,1.0
26,8.202069,1.0,4.0,1.0,,,1.0
27,8.298376,1.0,4.0,1.0,,,1.0
28,10.389188,1.0,4.0,1.0,,,1.0
29,16.200119,1.0,4.0,1.0,,,1.0
30,7.1008263,1.0,4.0,1.0,,,1.0
31,16.745111,1.0,4.0,1.0,,,1.0
32,9.430675,1.0,4.0,1.0,,,1.0
33,25.082945,1.0,4.0,1.0,,,1.0
34,18.064707,1.0,4.0,1.0,,,1.0
35,17.390594,1.0,4.0,1.0,,,1.0
36,13.037928,1.0,0.0,1.0,,,1.0
37,8.91895,1.0,4.0,1.0,,,1.0
38,12.716392,1.0,4.0,1.0,,,1.0
39,10.307444,1.0,4.0,1.0,,,1.0
40,7.4190416,1.0,4.0,1.0,,,1.0
41,9.813104,1.0,4.0,1.0,,,1.0
42,8.107618,1.0,4.0,1.0,,,1.0
43,5.352112,1.0,4.0,1.0,,,1.0
44,12.002474,1.0,4.0,1.0,,,1.0
45,12.3157215,1.0,4.0,1.0,,,1.0
46,33.765827,1.0,0.0,1.0,,,1.0
47,16.100014,1.0,1.0,1.0,,,1.0
48,7.55,1.0,4.0,1.0,,,1.0
49,25.004263,1.0,4.0,1.0,,,1.0
50,7.538755,1.0,4.0,1.0,,,1.0
51,15.267567,1.0,4.0,1.0,,,1.0
52,10.852075,1.0,4.0,1.0,,,1.0
53,11.711232,1.0,2.0,1.0,,,1.0
54,14.991703,1.0,4.0,1.0,,,1.0
55,1.8873174,0.0,4.0,1.0,,,1.0
56,2.7475328,1.0,4.0,1.0,,,1.0
57,4.769579,1.0,4.0,1.0,,,1.0
58,8.48241,1.0,0.0,0.0,,,1.0
59,16.068699,1.0,4.0,1.0,,,1.0
60,11.659562,1.0,1.0,1.0,,,1.0
61,5.7168255,1.0,4.0,1.0,,,1.0
62,1.605212,0.0,2.0,0.0,,,1.0
63,5.8172975,1.0,0.0,0.0,,,1.0
64,19.126059,1.0,4.0,1.0,,,1.0
65,32.587463,1.0,4.0,1.0,,,1.0
66,31.046328,1.0,4.0,1.0,,,1.0
67,13.682338,1.0,1.0,1.0,,,1.0
68,17.262499,1.0,2.0,1.0,,,1.0
69,5.9482255,1.0,4.0,1.0,,,1.0
70,2.6534145,1.0,4.0,1.0,,,1.0
71,8.022712,1.0,4.0,1.0,,,1.0
72,14.527427,1.0,4.0,1.0,,,1.0
73,17.241627,1.0,0.0,1.0,,,1.0
74,25.254385,1.0,4.0,1.0,,,1.0
75,9.910194,1.0,4.0,1.0,,,1.0
76,7.56834,1.0,4.0,1.0,,,1.0
77,20.505203,1.0,4.0,1.0,,,1.0
78,21.280209,1.0,0.0,1.0,,,1.0
79,5.111425,1.0,4.0,1.0,,,1.0
80,11.050753,1.0,4.0,1.0,,,1.0
81,13.435839,1.0,4.0,1.0,,,1.0
82,8.926088,1.0,4.0,1.0,,,1.0
83,12.296898,1.0,4.0,1.0,,,1.0
84,9.985256,1.0,0.0,1.0,,,1.0
85,10.027938,1.0,0.0,1.0,,,1.0
86,16.487207,1.0,4.0,1.0,,,1.0
87,6.4438863,1.0,4.0,1.0,,,1.0
88,23.934286,1.0,4.0,1.0,,,1.0
89,8.950216,1.0,4.0,1.0,,,1.0
90,24.474758,1.0,4.0,1.0,,,1.0
91,9.286608,1.0,4.0,1.0,,,1.0
92,4.7512965,1.0,2.0,1.0,,,1.0
93,6.655983,1.0,4.0,1.0,,,1.0
94,7.460635,1.0,0.0,0.0,,,1.0
95,20.511726,1.0,1.0,1.0,,,1.0
96,20.014055,1.0,4.0,1.0,,,1.0
97,1.978459,0.0,0.0,0.0,,,1.0
98,19.41831,1.0,4.0,1.0,,,1.0
99,14.547343,1.0,2.0,1.0,,,1.0
100,23.001232,1.0,4.0,1.0,,,1.0
101,7.275533,1.0,4.0,1.0,,,1.0
102,13.954789,1.0,4.0,1.0,,,1.0
103,9.392116,1.0,4.0,1.0,,,1.0
104,16.068699,1.0,4.0,1.0,,,1.0
105,3.3333158,1.0,2.0,1.0,,,1.0
106,25.925913,1.0,4.0,1.0,,,1.0
107,9.511756,1.0,4.0,1.0,,,1.0
108,7.56834,1.0,4.0,1.0,,,1.0
109,11.044029,1.0,2.0,1.0,,,1.0
110,14.750473,1.0,4.0,1.0,,,1.0
111,14.991703,1.0,4.0,1.0,,,1.0
112,21.753723,1.0,4.0,1.0,,,1.0
113,11.707353,1.0,2.0,1.0,,,1.0
114,15.7658415,1.0,4.0,1.0,,,1.0
115,0.2658726,0.0,0.0,0.0,,,1.0
116,9.411424,1.0,4.0,1.0,,,1.0
117,6.692827,1.0,4.0,1.0,,,1.0
118,24.535439,1.0,4.0,1.0,,,1.0
119,12.806669,1.0,4.0,1.0,,,1.0
120,18.22197,1.0,4.0,1.0,,,1.0
121,9.033667,1.0,0.0,0.0,,,1.0
122,21.04921,1.0,4.0,1.0,,,1.0
123,32.587463,1.0,0.0,1.0,,,1.0
124,45.688896,1.0,4.0,1.0,,,1.0
125,4.0192814,1.0,0.0,0.0,,,1.0
126,10.079321,1.0,4.0,1.0,,,1.0
127,13.407604,1.0,4.0,1.0,,,1.0
128,16.779306,1.0,4.0,1.0,,,1.0
129,16.460493,1.0,4.0,1.0,,,1.0
130,11.659562,1.0,1.0,1.0,,,1.0
131,38.879765,1.0,4.0,1.0,,,1.0
132,11.659562,1.0,4.0,1.0,,,1.0
133,6.542278,1.0,4.0,1.0,,,1.0
134,7.288836,1.0,4.0,1.0,,,1.0
135,9.390716,1.0,4.0,1.0,,,1.0
136,20.501293,1.0,4.0,1.0,,,1.0
137,9.306739,1.0,4.0,1.0,,,1.0
138,2.245461,1.0,4.0,1.0,,,1.0
139,23.572418,1.0,4.0,1.0,,,1.0
140,5.3648863,1.0,1.0,0.0,,,1.0
141,12.029995,1.0,4.0,1.0,,,1.0
142,15.333045,1.0,0.0,1.0,,,1.0
143,6.518668,1.0,0.0,0.0,,,1.0
144,17.068678,1.0,4.0,1.0,,,1.0
145,15.797476,1.0,4.0,1.0,,,1.0
146,6.682281,1.0,4.0,1.0,,,1.0
147,16.487207,1.0,0.0,1.0,,,1.0
148,7.3745866,1.0,4.0,1.0,,,1.0
149,2.7618847,1.0,4.0,1.0,,,1.0
150,5.601935,1.0,4.0,1.0,,,1.0
151,4.8040075,1.0,4.0,1.0,,,1.0
152,6.5385075,1.0,2.0,1.0,,,1.0
153,15.569542,1.0,4.0,1.0,,,1.0
154,27.093536,1.0,4.0,1.0,,,1.0
155,17.40212,1.0,4.0,1.0,,,1.0
156,9.271131,1.0,0.0,0.0,,,1.0
157,17.45101,1.0,0.0,1.0,,,1.0
158,12.455066,1.0,4.0,1.0,,,1.0
159,4.4514775,1.0,4.0,1.0,,,1.0
160,11.590795,1.0,4.0,1.0,,,1.0
161,15.6791,1.0,4.0,1.0,,,1.0
162,23.065973,1.0,2.0,1.0,,,1.0
163,9.103544,1.0,4.0,1.0,,,1.0
164,8.476927,1.0,4.0,1.0,,,1.0
165,11.219485,1.0,4.0,1.0,,,1.0
166,7.361992,1.0,4.0,1.0,,,1.0
167,6.0759053,1.0,4.0,1.0,,,1.0
168,17.038128,1.0,1.0,1.0,,,1.0
169,16.460493,1.0,4.0,1.0,,,1.0
170,11.266787,1.0,4.0,1.0,,,1.0
171,13.886322,1.0,2.0,1.0,,,1.0
172,17.262499,1.0,2.0,1.0,,,1.0
173,2.3598697,1.0,0.0,0.0,,,1.0
174,10.538871,1.0,4.0,1.0,,,1.0
175,4.6463223,1.0,1.0,0.0,,,1.0
176,10.99571,1.0,0.0,1.0,,,1.0
177,12.652496,1.0,4.0,1.0,,,1.0
178,9.392116,1.0,4.0,1.0,,,1.0
179,23.572418,1.0,4.0,1.0,,,1.0
180,50.386925,1.0,4.0,1.0,,,1.0
181,14.282077,1.0,1.0,1.0,,,1.0
182,11.836297,1.0,4.0,1.0,,,1.0
183,5.913701,1.0,4.0,1.0,,,1.0
184,11.818328,1.0,0.0,1.0,,,1.0
185,6.2410197,1.0,4.0,1.0,,,1.0
186,7.538755,1.0,4.0,1.0,,,1.0
187,4.5027175,1.0,4.0,1.0,,,1.0
188,2.8001585,1.0,4.0,1.0,,,1.0
189,13.082916,1.0,2.0,1.0,,,1.0
190,18.695797,1.0,4.0,1.0,,,1.0
191,21.464447,1.0,4.0,1.0,,,1.0
192,11.628,1.0,1.0,1.0,,,1.0
193,16.779306,1.0,2.0,1.0,,,1.0
194,7.479623,1.0,4.0,1.0,,,1.0
195,8.616282,1.0,4.0,1.0,,,1.0
196,18.848867,1.0,4.0,1.0,,,1.0
197,8.910196,1.0,4.0,1.0,,,1.0
198,7.0451713,1.0,0.0,0.0,,,1.0
199,4.862083,1.0,4.0,1.0,,,1.0
200,32.950916,1.0,4.0,1.0,,,1.0
201,6.864249,1.0,4.0,1.0,,,1.0
202,21.876745,1.0,1.0,1.0,,,1.0
203,9.302895,1.0,4.0,1.0,,,1.0
204,15.227578,1.0,4.0,1.0,,,1.0
205,23.296083,1.0,4.0,1.0,,,1.0
206,17.71925,1.0,2.0,1.0,,,1.0
207,16.307817,1.0,4.0,1.0,,,1.0
208,13.233689,1.0,4.0,1.0,,,1.0
209,21.753723,1.0,4.0,1.0,,,1.0
210,12.156728,1.0,4.0,1.0,,,1.0
211,13.440312,1.0,4.0,1.0,,,1.0
212,5.643179,1.0,4.0,1.0,,,1.0
213,23.693968,1.0,4.0,1.0,,,1.0
214,7.5638323,1.0,2.0,1.0,,,1.0
215,8.799815,1.0,4.0,1.0,,,1.0
216,17.296333,1.0,4.0,1.0,,,1.0
217,6.551136,1.0,4.0,1.0,,,1.0
218,9.056644,1.0,4.0,1.0,,,1.0
219,6.186977,1.0,4.0,1.0,,,1.0
220,14.909537,1.0,2.0,1.0,,,1.0
221,5.035156,1.0,4.0,1.0,,,1.0
222,13.518843,1.0,4.0,1.0,,,1.0
223,1.4290997,0.0,4.0,1.0,,,1.0
224,9.146739,1.0,4.0,1.0,,,1.0
225,20.505203,1.0,4.0,1.0,,,1.0
226,5.325363,1.0,4.0,1.0,,,1.0
227,0.22449978,0.0,0.0,0.0,,,1.0
228,16.851637,1.0,4.0,1.0,,,1.0
229,8.242696,1.0,0.0,0.0,,,1.0
230,17.990429,1.0,0.0,1.0,,,1.0
231,6.0530887,1.0,0.0,0.0,,,1.0
232,34.308422,1.0,0.0,1.0,,,1.0
233,3.9123318,1.0,4.0,1.0,,,1.0
234,11.565169,1.0,4.0,1.0,,,1.0
235,4.36398,1.0,4.0,1.0,,,1.0
236,6.2383027,1.0,2.0,1.0,,,1.0
237,2.50733,1.0,4.0,1.0,,,1.0
