,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,153.65768,1.0,4.0,1.0,,,1.0
1,73.873085,1.0,1.0,1.0,,,1.0
2,27.67915,1.0,0.0,1.0,,,1.0
3,15.279539,1.0,0.0,1.0,,,1.0
4,6.216586,1.0,0.0,1.0,,,1.0
5,59.92943,1.0,1.0,1.0,,,1.0
6,42.441517,1.0,0.0,1.0,,,1.0
7,3.2336588,1.0,0.0,1.0,,,1.0
8,15.07052,1.0,0.0,1.0,,,1.0
9,211.59142,1.0,1.0,1.0,,,1.0
10,27.435772,1.0,1.0,1.0,,,1.0
11,94.64282,1.0,2.0,1.0,,,1.0
12,2.9264412,1.0,0.0,1.0,,,1.0
13,53.08976,1.0,0.0,1.0,,,1.0
14,20.8537,1.0,0.0,1.0,,,1.0
15,9.197986,1.0,2.0,1.0,,,1.0
16,187.11827,1.0,2.0,1.0,,,1.0
17,150.81584,1.0,4.0,1.0,,,1.0
18,117.48933,1.0,2.0,1.0,,,1.0
19,49.09741,1.0,0.0,1.0,,,1.0
20,9.812797,1.0,0.0,1.0,,,1.0
21,42.610844,1.0,2.0,1.0,,,1.0
22,158.379,1.0,2.0,1.0,,,1.0
23,43.434536,1.0,4.0,1.0,,,1.0
24,83.353905,1.0,2.0,1.0,,,1.0
25,13.241067,1.0,1.0,1.0,,,1.0
26,33.55021,1.0,0.0,1.0,,,1.0
27,36.512154,1.0,2.0,1.0,,,1.0
28,8.484643,1.0,0.0,1.0,,,1.0
29,86.60299,1.0,0.0,1.0,,,1.0
30,37.16041,1.0,0.0,1.0,,,1.0
31,21.781021,1.0,0.0,1.0,,,1.0
32,46.688557,1.0,0.0,1.0,,,1.0
33,32.927105,1.0,2.0,1.0,,,1.0
34,32.540813,1.0,4.0,1.0,,,1.0
35,1.3521521,1.0,0.0,1.0,,,1.0
36,124.3203,1.0,4.0,1.0,,,1.0
37,0.75194347,1.0,0.0,1.0,,,1.0
38,20.582853,1.0,4.0,1.0,,,1.0
39,16.692327,1.0,2.0,1.0,,,1.0
40,8.599293,1.0,0.0,1.0,,,1.0
41,287.9456,1.0,2.0,1.0,,,1.0
42,18.570705,1.0,0.0,1.0,,,1.0
43,5.1176214,1.0,0.0,1.0,,,1.0
44,17.583694,1.0,0.0,1.0,,,1.0
45,65.60561,1.0,0.0,1.0,,,1.0
46,51.944824,1.0,0.0,1.0,,,1.0
47,18.437702,1.0,1.0,1.0,,,1.0
48,7.6342845,1.0,1.0,1.0,,,1.0
49,261.94186,1.0,2.0,1.0,,,1.0
50,5.400175,1.0,0.0,1.0,,,1.0
51,104.22899,1.0,0.0,1.0,,,1.0
52,1.4593117,1.0,1.0,1.0,,,1.0
53,41.849327,1.0,4.0,1.0,,,1.0
54,49.025642,1.0,2.0,1.0,,,1.0
55,18.23151,1.0,0.0,1.0,,,1.0
56,76.24087,1.0,4.0,1.0,,,1.0
57,4.7121906,1.0,0.0,1.0,,,1.0
58,9.991746,1.0,0.0,1.0,,,1.0
59,18.383015,1.0,0.0,1.0,,,1.0
60,78.49879,1.0,0.0,1.0,,,1.0
61,161.91687,1.0,0.0,1.0,,,1.0
62,7.742183,1.0,0.0,1.0,,,1.0
63,126.65497,1.0,2.0,1.0,,,1.0
64,31.553234,1.0,4.0,1.0,,,1.0
65,5.383992,1.0,0.0,1.0,,,1.0
66,5.143884,1.0,1.0,1.0,,,1.0
67,103.12615,1.0,1.0,1.0,,,1.0
68,10.390492,1.0,2.0,1.0,,,1.0
69,22.35281,1.0,4.0,1.0,,,1.0
70,45.947994,1.0,2.0,1.0,,,1.0
71,26.63735,1.0,0.0,1.0,,,1.0
72,21.506134,1.0,0.0,1.0,,,1.0
73,46.088764,1.0,2.0,1.0,,,1.0
74,6.7483926,1.0,1.0,1.0,,,1.0
75,55.474915,1.0,0.0,1.0,,,1.0
76,37.74403,1.0,4.0,1.0,,,1.0
