,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.310453,1.0,2.0,1.0,,,1.0
1,9.352498,1.0,0.0,0.0,,,1.0
2,9.438064,1.0,9.0,1.0,,,1.0
3,4.719022,1.0,3.5169356,1.0,,,1.0
4,2.6989744,1.0,2.0,0.0,,,1.0
5,8.308449,1.0,2.0,0.0,,,1.0
6,8.6477165,1.0,3.4285715,1.0,,,1.0
7,1.8660176,1.0,4.0,0.0,,,1.0
8,7.8437834,1.0,1.5135136,1.0,,,1.0
9,1.3587481,1.0,35.2,1.0,,,1.0
10,9.431179,1.0,2.0,1.0,,,1.0
11,3.3448,1.0,4.0,0.0,,,1.0
12,9.894426,1.0,1.9310344,1.0,,,1.0
13,5.8362923,1.0,14.740157,1.0,,,1.0
14,5.449964,1.0,2.8965516,1.0,,,1.0
15,8.7335005,1.0,8.795812,1.0,,,1.0
16,10.277243,1.0,9.230769,1.0,,,1.0
17,7.538407,1.0,2.7906976,1.0,,,1.0
18,6.38036,1.0,21.97183,1.0,,,1.0
19,7.646797,1.0,40.26597,1.0,,,1.0
20,7.1004844,1.0,5.320341,1.0,,,1.0
21,2.800612,1.0,0.0,0.0,,,1.0
22,7.1490545,1.0,9.336942,1.0,,,1.0
23,2.2008972,1.0,5.106383,1.0,,,1.0
24,5.8678117,1.0,4.2105265,1.0,,,1.0
25,9.042385,1.0,3.2515707,1.0,,,1.0
26,8.789283,1.0,14.736842,1.0,,,1.0
27,9.894426,1.0,1.7142857,1.0,,,1.0
28,8.568479,1.0,2.9268293,1.0,,,1.0
29,6.0190177,1.0,3.4334764,1.0,,,1.0
30,2.2105396,1.0,6.2222223,1.0,,,1.0
31,6.0190177,1.0,8.0,1.0,,,1.0
32,4.3202453,1.0,2.1818182,1.0,,,1.0
33,2.3843448,1.0,1.7027028,0.0,,,1.0
34,6.735673,1.0,1.8947369,1.0,,,1.0
35,9.162426,1.0,52.0,1.0,,,1.0
36,6.2201166,1.0,2.3891404,1.0,,,1.0
37,8.175179,1.0,4.0,1.0,,,1.0
38,8.549552,1.0,1.6956521,1.0,,,1.0
39,7.404721,1.0,8.291883,1.0,,,1.0
40,6.4854264,1.0,48.0,1.0,,,1.0
41,4.5751166,1.0,3.2941177,1.0,,,1.0
42,0.49500364,1.0,8.0,1.0,,,1.0
43,6.278294,1.0,4.0,1.0,,,1.0
44,6.735673,1.0,4.511278,1.0,,,1.0
45,7.5908313,1.0,0.0,0.0,,,1.0
46,5.829355,1.0,3.0,1.0,,,1.0
47,7.7536955,1.0,1.6271186,1.0,,,1.0
