,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,4.8754354,1.0,3.262136,1.0,,,1.0
1,3.1371508,1.0,0.0,0.0,,,1.0
2,4.548033,1.0,14.958904,1.0,,,1.0
3,6.28684,1.0,33.71866,1.0,,,1.0
4,3.3207786,1.0,2.0,1.0,,,1.0
5,2.975008,1.0,7.1641793,1.0,,,1.0
6,6.3168516,1.0,31.172167,1.0,,,1.0
7,5.142603,1.0,13.794047,1.0,,,1.0
8,4.1131897,1.0,12.307693,1.0,,,1.0
9,0.70665,1.0,4.0,0.0,,,1.0
10,4.3740125,1.0,1.925926,0.0,,,1.0
11,8.11951,1.0,1.5,1.0,,,1.0
12,3.4396996,1.0,9.171974,1.0,,,1.0
13,4.3530626,1.0,154.70041,1.0,,,1.0
14,0.6213349,1.0,0.0,0.0,,,1.0
15,3.998291,1.0,8.888889,1.0,,,1.0
16,4.3530626,1.0,105.370255,1.0,,,1.0
17,8.809158,1.0,2.4417965,1.0,,,1.0
18,0.0,1.0,0.0,0.0,,,1.0
19,6.222101,1.0,39.247505,1.0,,,1.0
20,8.928628,1.0,11.428572,1.0,,,1.0
21,3.998291,1.0,2.8070176,1.0,,,1.0
22,9.152073,1.0,5.1798563,1.0,,,1.0
23,5.3916297,1.0,22.561117,1.0,,,1.0
24,3.7636993,1.0,18.916084,1.0,,,1.0
25,8.11951,1.0,2.6666667,1.0,,,1.0
26,5.086647,1.0,3.5,0.0,,,1.0
27,12.347092,1.0,6.81388,1.0,,,1.0
28,4.8294196,1.0,3.5535307,1.0,,,1.0
29,3.3331003,1.0,184.0,1.0,,,1.0
30,3.6325254,1.0,408.0,1.0,,,1.0
31,8.964267,1.0,25.524862,1.0,,,1.0
32,8.964267,1.0,127.294395,1.0,,,1.0
33,4.8754354,1.0,13.068063,1.0,,,1.0
34,7.3999,1.0,6.7806945,1.0,,,1.0
35,4.035405,1.0,3.5820897,1.0,,,1.0
36,6.0547314,1.0,2.368421,1.0,,,1.0
37,12.121661,1.0,8.39237,1.0,,,1.0
38,8.928628,1.0,2.6666667,0.0,,,1.0
39,5.142603,1.0,12.141918,1.0,,,1.0
40,7.3577905,1.0,8.051118,1.0,,,1.0
41,2.5656695,1.0,4.0,0.0,,,1.0
42,4.664916,1.0,110.3873,1.0,,,1.0
43,8.197416,1.0,53.88658,1.0,,,1.0
44,8.73567,1.0,38.897045,1.0,,,1.0
45,6.3168516,1.0,4.626506,1.0,,,1.0
46,3.3720365,1.0,4.0,0.0,,,1.0
47,8.223419,1.0,1.6941177,0.0,,,1.0
48,8.73567,1.0,132.35056,1.0,,,1.0
49,4.3750196,1.0,1.4117647,0.0,,,1.0
50,2.5656695,1.0,34.53751,1.0,,,1.0
51,3.202821,1.0,0.0,1.0,,,1.0
52,6.1638064,1.0,2.6666667,0.0,,,1.0
53,8.809158,1.0,2.1818182,1.0,,,1.0
54,4.808349,1.0,21.0,1.0,,,1.0
55,8.597036,1.0,11.54519,1.0,,,1.0
56,4.6045,1.0,4.017391,1.0,,,1.0
57,5.1360965,1.0,1.3,0.0,,,1.0
58,4.3740125,1.0,1.939394,0.0,,,1.0
59,8.2692,1.0,8.542373,1.0,,,1.0
60,2.975008,1.0,1.2,0.0,,,1.0
61,1.0263109,1.0,0.0,0.0,,,1.0
62,12.121661,1.0,11.088,1.0,,,1.0
63,5.128125,1.0,1.3233082,0.0,,,1.0
64,8.73567,1.0,56.323574,1.0,,,1.0
65,6.023419,1.0,15.474992,1.0,,,1.0
66,8.597036,1.0,5.877551,1.0,,,1.0
67,4.808349,1.0,2.0,1.0,,,1.0
68,6.0028086,1.0,12.0,0.0,,,1.0
69,6.222101,1.0,1.1428572,0.0,,,0.0
70,6.5183454,1.0,1.4117647,0.0,,,0.0
71,2.5803668,1.0,4.8,1.0,,,0.0
72,7.3999,1.0,3.6,0.0,,,0.0
73,3.6364183,1.0,2.6666667,0.0,,,0.0
74,3.478105,1.0,1.4814814,0.0,,,0.0
75,4.0274086,1.0,1.1428572,0.0,,,0.0
76,1.7458509,1.0,8.0,0.0,,,0.0
77,9.205649,1.0,20.193237,1.0,,,0.0
78,3.6909475,1.0,1.1428572,0.0,,,0.0
79,2.7840958,1.0,13.236363,1.0,,,0.0
80,8.597036,1.0,3.2,1.0,,,0.0
81,6.475528,1.0,4.0,0.0,,,0.0
82,2.6090279,1.0,3.2876713,1.0,,,0.0
83,5.3170166,1.0,2.6086957,0.0,,,0.0
84,3.495044,1.0,5.714286,1.0,,,0.0
85,7.977211,1.0,2.9268293,0.0,,,0.0
86,5.784632,1.0,1.3333334,1.0,,,0.0
87,5.0132265,1.0,4.0,0.0,,,0.0
88,5.6281934,1.0,2.6086957,1.0,,,0.0
89,10.560209,1.0,1.7142857,0.0,,,0.0
90,3.6507282,1.0,0.0,0.0,,,0.0
91,4.3530626,1.0,4.7058825,1.0,,,0.0
92,6.5686865,1.0,16.0,0.0,,,0.0
93,6.960266,1.0,8.367816,1.0,,,0.0
94,3.3331003,1.0,3.4285715,1.0,,,0.0
95,5.84176,1.0,2.0,0.0,,,0.0
