,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,15.797476,1.0,5.4860744,1.0,,,1.0
1,8.408533,1.0,16.7243,1.0,,,1.0
2,9.733275,1.0,7.304348,0.0,,,1.0
3,15.606424,1.0,15.99073,1.0,,,1.0
4,13.73916,1.0,29.148144,1.0,,,1.0
5,8.388604,1.0,18.60316,1.0,,,1.0
6,4.0795197,1.0,18.94575,1.0,,,1.0
7,5.6837053,1.0,12.742191,1.0,,,1.0
8,14.932191,1.0,6.9135804,1.0,,,1.0
9,23.18142,1.0,22.801842,1.0,,,1.0
10,7.56834,1.0,29.325933,1.0,,,1.0
11,2.9587343,1.0,234.19646,1.0,,,1.0
12,14.6314,1.0,1.2631578,0.0,,,1.0
13,7.8758464,1.0,218.03667,1.0,,,1.0
14,13.682338,1.0,20.904785,1.0,,,1.0
15,16.779306,1.0,3.1564627,1.0,,,1.0
16,29.897387,1.0,40.152615,1.0,,,1.0
17,9.692595,1.0,16.0,1.0,,,1.0
18,7.3223577,1.0,10.75862,1.0,,,1.0
19,12.044944,1.0,7.7714286,1.0,,,1.0
20,16.345793,1.0,2.4742267,1.0,,,1.0
21,17.410582,1.0,14.188449,1.0,,,1.0
22,4.0220566,1.0,5.2173915,1.0,,,1.0
23,7.9723463,1.0,4.0851064,1.0,,,1.0
24,8.91812,1.0,370.3924,1.0,,,1.0
25,23.034767,1.0,285.54517,1.0,,,1.0
26,8.202069,1.0,2.1492538,1.0,,,1.0
27,8.298376,1.0,34.909092,1.0,,,1.0
28,10.389188,1.0,5.182889,1.0,,,1.0
29,16.200119,1.0,43.531467,1.0,,,1.0
30,7.1008263,1.0,47.413303,1.0,,,1.0
31,16.745111,1.0,25.311897,1.0,,,1.0
32,9.430675,1.0,27.171326,1.0,,,1.0
33,25.082945,1.0,43.726707,1.0,,,1.0
34,18.064707,1.0,11.942629,1.0,,,1.0
35,17.390594,1.0,15.451856,1.0,,,1.0
36,13.037928,1.0,0.0,0.0,,,1.0
37,8.91895,1.0,19.471748,1.0,,,1.0
38,12.716392,1.0,17.643127,1.0,,,1.0
39,10.307444,1.0,32.71484,1.0,,,1.0
40,7.4190416,1.0,66.41199,1.0,,,1.0
41,9.813104,1.0,25.915226,1.0,,,1.0
42,8.107618,1.0,122.58991,1.0,,,1.0
43,5.352112,1.0,37.944786,1.0,,,1.0
44,12.002474,1.0,30.071459,1.0,,,1.0
45,12.3157215,1.0,25.697542,1.0,,,1.0
46,33.765827,1.0,80.0,0.0,,,1.0
47,16.100014,1.0,3.97351,1.0,,,1.0
48,7.55,1.0,14.547904,1.0,,,1.0
