,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,77.78318,1.0,2.0,1.0,,,1.0
1,81.257095,1.0,2.5492823,1.0,,,1.0
2,14.614932,1.0,64.0,1.0,,,1.0
3,60.304653,1.0,24.889183,1.0,,,1.0
4,23.869743,1.0,0.0,1.0,,,1.0
5,68.270836,1.0,2.6666667,1.0,,,1.0
6,21.051785,1.0,2.5958703,1.0,,,1.0
7,8.092521,1.0,1.4117647,0.0,,,1.0
8,27.927015,1.0,1.8181819,0.0,,,1.0
9,20.833118,1.0,0.0,0.0,,,1.0
10,33.783928,1.0,2.4615386,1.0,,,1.0
11,46.269882,1.0,104.0,1.0,,,1.0
12,43.33359,1.0,7.427466,1.0,,,1.0
13,16.514872,1.0,2.5016813,1.0,,,1.0
14,14.343484,1.0,12.5274725,1.0,,,1.0
15,10.108607,1.0,7.1578946,0.0,,,1.0
16,19.695307,1.0,7.47644,1.0,,,1.0
17,60.89069,1.0,5.430718,1.0,,,1.0
18,1.7310551,0.0,0.0,1.0,,,1.0
19,22.940266,1.0,9.023735,1.0,,,1.0
20,6.2693925,0.0,0.0,1.0,,,1.0
21,7.6266103,1.0,2.6666667,1.0,,,1.0
22,39.33345,1.0,2.8082595,1.0,,,1.0
23,19.0647,1.0,2.3172414,1.0,,,1.0
24,55.665672,1.0,32.969696,1.0,,,1.0
25,72.330025,1.0,8.100289,1.0,,,1.0
26,46.05815,1.0,7.304348,0.0,,,1.0
27,19.796576,1.0,1.6,1.0,,,1.0
28,51.05162,1.0,161.87663,1.0,,,1.0
29,95.43967,1.0,9.17577,1.0,,,1.0
30,22.235548,1.0,4.5224237,1.0,,,1.0
31,16.62408,1.0,0.0,0.0,,,1.0
32,25.405563,1.0,14.189289,1.0,,,1.0
33,8.299785,1.0,4.60274,1.0,,,1.0
34,1.4188212,0.0,1.9966611,0.0,,,1.0
35,26.640419,1.0,16.0,1.0,,,1.0
36,16.57221,1.0,2.6666667,1.0,,,1.0
37,18.357103,1.0,2.580645,1.0,,,1.0
38,43.42422,1.0,336.0,1.0,,,1.0
39,37.2114,1.0,5.075922,1.0,,,1.0
40,63.803894,1.0,2.3529413,1.0,,,1.0
41,37.569843,1.0,3.3939395,1.0,,,1.0
42,60.39924,1.0,18.811695,1.0,,,1.0
43,20.449585,1.0,0.0,1.0,,,1.0
44,9.686526,1.0,4.0,0.0,,,1.0
45,6.7925057,0.0,40.0,0.0,,,1.0
46,32.42731,1.0,14.778089,1.0,,,1.0
47,22.524242,1.0,8.0,1.0,,,1.0
48,17.067245,1.0,16.12069,1.0,,,1.0
49,55.90289,1.0,0.0,0.0,,,1.0
50,16.367712,1.0,14.797928,1.0,,,1.0
51,123.65943,1.0,70.53329,1.0,,,1.0
52,47.390423,1.0,11.829384,1.0,,,1.0
53,5.510974,0.0,0.0,0.0,,,1.0
54,16.108686,1.0,3.2558138,1.0,,,1.0
55,93.77891,1.0,53.65354,1.0,,,1.0
56,53.62081,1.0,17.28988,1.0,,,1.0
57,3.747966,0.0,1.5135136,1.0,,,1.0
58,36.072796,1.0,5.4991817,1.0,,,1.0
59,28.479256,1.0,4.0,0.0,,,1.0
60,73.48187,1.0,4.6189957,1.0,,,1.0
61,28.214785,1.0,9.869159,1.0,,,1.0
62,30.580683,1.0,1.6,1.0,,,1.0
63,14.734999,1.0,12.0,1.0,,,1.0
64,20.904758,1.0,100.0,1.0,,,1.0
65,4.7376723,0.0,1.8292683,0.0,,,1.0
66,53.97884,1.0,20.0,1.0,,,1.0
67,30.086437,1.0,3.2421052,1.0,,,1.0
68,21.410187,1.0,4.384674,1.0,,,1.0
69,32.052586,1.0,3.0,1.0,,,1.0
70,69.28533,1.0,0.0,1.0,,,1.0
71,8.641031,1.0,2.3455498,1.0,,,1.0
72,37.967594,1.0,14.407583,1.0,,,1.0
73,125.763596,1.0,6.6898956,1.0,,,1.0
74,91.4495,1.0,9.130435,1.0,,,1.0
75,26.616968,1.0,1.5438596,1.0,,,1.0
76,1.658528,0.0,0.0,0.0,,,1.0
77,33.31943,1.0,118.59798,1.0,,,1.0
78,3.2576184,0.0,4.0,1.0,,,1.0
79,15.022631,1.0,1.3061224,1.0,,,1.0
80,20.496284,1.0,1.9784946,1.0,,,1.0
81,15.676176,1.0,6.631579,1.0,,,1.0
82,54.913185,1.0,4.893798,1.0,,,1.0
83,20.875898,1.0,12.102314,1.0,,,1.0
84,34.91812,1.0,8.888889,1.0,,,1.0
85,6.6364765,0.0,3.2,0.0,,,1.0
86,50.734203,1.0,6.5560975,1.0,,,1.0
87,57.484257,1.0,3.0,1.0,,,1.0
88,7.6595426,1.0,13.990285,1.0,,,1.0
89,16.343954,1.0,3.7142856,1.0,,,1.0
90,21.86345,1.0,724.0,1.0,,,1.0
91,26.316147,1.0,2.4,1.0,,,1.0
92,37.543365,1.0,6.2222223,0.0,,,1.0
93,19.852718,1.0,4.0,1.0,,,1.0
94,14.801697,1.0,6.908411,1.0,,,1.0
95,8.434921,1.0,4.0,0.0,,,1.0
96,26.637318,1.0,2.6067417,1.0,,,1.0
97,27.788885,1.0,2.4742267,1.0,,,1.0
98,34.28476,1.0,14.339552,1.0,,,1.0
99,45.437916,1.0,27.962557,1.0,,,1.0
100,87.94704,1.0,17.51531,1.0,,,1.0
101,41.33247,1.0,600.0,1.0,,,1.0
102,11.063721,1.0,8.470589,1.0,,,1.0
103,31.649904,1.0,54.94737,1.0,,,1.0
104,86.366234,1.0,9.203705,1.0,,,1.0
105,27.083902,1.0,6.289655,1.0,,,1.0
106,32.71081,1.0,3.1964142,1.0,,,1.0
107,13.623638,1.0,3.939394,1.0,,,1.0
108,10.540994,1.0,3.3333333,0.0,,,1.0
109,19.93763,1.0,0.0,0.0,,,1.0
110,78.78096,1.0,4.0,1.0,,,1.0
111,10.033479,1.0,3.2,1.0,,,1.0
112,20.061731,1.0,5.608856,1.0,,,1.0
113,15.632522,1.0,2.6086957,1.0,,,1.0
114,26.103043,1.0,20.0,1.0,,,1.0
115,16.96346,1.0,6.769231,1.0,,,1.0
116,93.18082,1.0,34.66502,1.0,,,1.0
117,35.70665,1.0,5.746479,1.0,,,1.0
118,9.141741,1.0,0.0,0.0,,,1.0
119,11.119469,1.0,36.0,1.0,,,1.0
120,23.855728,1.0,3.764706,1.0,,,1.0
121,54.104446,1.0,27.922297,1.0,,,1.0
122,22.897053,1.0,3.6923077,1.0,,,1.0
