,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,6.708852,1.0,0.0,1.0,,,1.0
1,5.1320033,1.0,0.16666667,1.0,,,1.0
2,6.8621955,1.0,0.0,1.0,,,1.0
3,11.669867,1.0,0.0,1.0,,,1.0
4,17.311558,1.0,0.045454547,1.0,,,1.0
5,14.646055,1.0,0.0,1.0,,,1.0
6,13.497945,1.0,0.0,1.0,,,1.0
7,6.2392387,1.0,0.06666667,1.0,,,1.0
8,12.073219,1.0,0.083333336,1.0,,,1.0
9,12.356415,1.0,0.0,1.0,,,1.0
10,7.127914,1.0,0.0,1.0,,,1.0
11,12.367205,1.0,0.028571429,1.0,,,1.0
12,10.534536,1.0,0.08,1.0,,,1.0
13,12.51609,1.0,0.15384616,1.0,,,1.0
14,9.967069,1.0,0.0,1.0,,,1.0
15,7.87438,1.0,0.030303031,1.0,,,1.0
16,11.543116,1.0,0.04347826,1.0,,,1.0
17,17.269646,1.0,0.1,1.0,,,1.0
18,8.847752,1.0,0.030303031,1.0,,,1.0
19,12.401308,1.0,0.0,1.0,,,1.0
20,6.697409,1.0,0.037037037,1.0,,,1.0
21,12.43075,1.0,0.15384616,1.0,,,1.0
22,10.601294,1.0,0.0,1.0,,,1.0
23,20.08187,1.0,0.045454547,1.0,,,1.0
24,18.635218,1.0,0.0,1.0,,,1.0
25,9.053452,1.0,0.083333336,1.0,,,1.0
26,18.011248,1.0,0.07692308,1.0,,,1.0
27,16.923286,1.0,0.18181819,1.0,,,1.0
28,9.053452,1.0,0.027027028,1.0,,,1.0
29,15.245439,1.0,0.22222222,1.0,,,1.0
30,7.6641293,1.0,0.04,1.0,,,1.0
31,11.432906,1.0,0.0,1.0,,,1.0
32,5.8311005,1.0,0.11111111,1.0,,,1.0
33,6.205949,1.0,0.13333334,1.0,,,1.0
34,14.153747,1.0,0.16666667,1.0,,,1.0
35,11.454023,1.0,0.0,1.0,,,1.0
36,6.097918,1.0,0.0,1.0,,,1.0
37,12.780835,1.0,0.18181819,1.0,,,1.0
38,5.3414426,1.0,0.14285715,1.0,,,1.0
39,16.314144,1.0,0.2857143,1.0,,,1.0
40,12.756324,1.0,0.06451613,1.0,,,1.0
41,15.638532,1.0,0.06666667,1.0,,,1.0
42,10.566142,1.0,0.0,1.0,,,1.0
43,6.194275,1.0,0.06666667,1.0,,,1.0
44,12.482995,1.0,0.0,1.0,,,1.0
45,6.1204114,1.0,0.125,1.0,,,1.0
46,7.5138803,1.0,0.05,1.0,,,1.0
47,11.806889,1.0,0.125,1.0,,,1.0
48,11.904458,1.0,0.041666668,1.0,,,1.0
49,9.932673,1.0,0.05263158,1.0,,,1.0
50,4.2380667,1.0,0.0,1.0,,,1.0
51,18.635218,1.0,0.0,1.0,,,1.0
52,5.3880553,1.0,0.06666667,1.0,,,1.0
53,11.531394,1.0,0.04,1.0,,,1.0
54,17.975004,1.0,0.125,1.0,,,1.0
55,7.868599,1.0,0.033333335,1.0,,,1.0
56,10.463216,1.0,0.125,1.0,,,1.0
57,11.114495,1.0,0.5,1.0,,,1.0
58,15.899211,1.0,0.04,1.0,,,1.0
59,7.757388,1.0,0.071428575,1.0,,,1.0
60,11.76731,1.0,0.16666667,1.0,,,1.0
61,7.0058627,1.0,0.028571429,1.0,,,1.0
62,15.699007,1.0,0.4,1.0,,,1.0
63,15.370079,1.0,0.05,1.0,,,1.0
64,7.1450853,1.0,0.0,1.0,,,1.0
65,16.361269,1.0,0.0,1.0,,,1.0
66,12.406072,1.0,0.25,1.0,,,1.0
67,11.620551,1.0,0.1,1.0,,,1.0
68,10.137973,1.0,0.04,1.0,,,1.0
69,8.371745,1.0,0.125,1.0,,,1.0
70,8.64646,1.0,0.0,1.0,,,1.0
71,12.520976,1.0,0.06666667,1.0,,,1.0
72,14.005853,1.0,0.03448276,1.0,,,1.0
73,14.685219,1.0,0.04347826,1.0,,,1.0
74,16.521486,1.0,0.0,1.0,,,1.0
75,14.411298,1.0,0.11111111,1.0,,,1.0
76,12.960357,1.0,0.0,1.0,,,1.0
