,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,48.175095,0.0,0.16704385,0.0,,,1.0
1,81.3304,0.0,0.6856842,1.0,,,1.0
2,91.8352,1.0,0.64490557,1.0,,,1.0
3,99.71348,1.0,0.6250665,1.0,,,1.0
4,126.552986,1.0,0.26118925,1.0,,,1.0
5,32.260303,0.0,0.739371,0.0,,,1.0
6,33.965958,0.0,0.8657326,0.0,,,1.0
7,51.73058,0.0,0.69754696,0.0,,,1.0
8,22.213451,0.0,0.9032785,0.0,,,1.0
9,98.301735,1.0,0.16819668,0.0,,,1.0
10,91.72002,1.0,0.6811937,1.0,,,1.0
11,66.04279,0.0,0.0,0.0,,,1.0
12,58.686802,0.0,0.73181677,1.0,,,1.0
13,107.89647,1.0,0.6606709,1.0,,,1.0
14,96.46165,1.0,0.37852335,1.0,,,1.0
15,92.4499,1.0,0.6850363,1.0,,,1.0
16,119.799095,1.0,0.6526868,1.0,,,1.0
17,63.867638,0.0,0.0,0.0,,,1.0
18,45.26568,0.0,0.1821846,0.0,,,1.0
19,106.267944,1.0,0.6446348,1.0,,,1.0
20,68.02678,0.0,0.0,0.0,,,1.0
21,48.08526,0.0,0.71382993,0.0,,,1.0
22,97.46703,1.0,0.6571824,1.0,,,1.0
23,68.66126,0.0,0.6545228,1.0,,,1.0
24,158.3026,1.0,0.76202095,1.0,,,1.0
25,30.557,0.0,0.0,0.0,,,1.0
26,60.47692,0.0,0.14625587,0.0,,,1.0
27,24.140684,0.0,0.0,0.0,,,1.0
28,122.42864,1.0,0.6742351,1.0,,,1.0
29,12.3812275,0.0,0.0,0.0,,,1.0
30,118.86997,1.0,0.0,1.0,,,1.0
31,173.10858,1.0,0.0,1.0,,,1.0
32,150.18782,1.0,0.639275,1.0,,,1.0
33,115.904976,1.0,0.6249868,1.0,,,1.0
34,49.65564,0.0,0.0,0.0,,,1.0
35,70.41899,0.0,0.66245073,1.0,,,1.0
36,57.084072,0.0,0.0,0.0,,,1.0
37,71.77085,0.0,0.0,0.0,,,1.0
38,31.517832,0.0,0.72374195,0.0,,,1.0
39,102.81459,1.0,0.0,0.0,,,1.0
40,40.40638,0.0,0.0,0.0,,,1.0
41,7.9757257,0.0,0.0,0.0,,,1.0
42,94.64616,1.0,0.3139534,1.0,,,1.0
43,72.46123,0.0,0.32270166,0.0,,,1.0
44,87.42057,1.0,0.3516947,1.0,,,1.0
45,29.026934,0.0,0.14489105,0.0,,,1.0
46,28.334805,0.0,0.0,0.0,,,1.0
47,143.2912,1.0,0.6303867,1.0,,,1.0
48,135.74101,1.0,0.71100247,1.0,,,1.0
49,126.87777,1.0,0.36088267,1.0,,,1.0
50,151.73286,1.0,0.613347,1.0,,,1.0
51,156.4925,1.0,0.0,1.0,,,1.0
52,72.549286,0.0,0.16704385,0.0,,,1.0
53,34.68242,0.0,0.0,0.0,,,1.0
54,25.221806,0.0,0.7117292,0.0,,,1.0
55,111.39089,1.0,0.31175435,1.0,,,1.0
56,26.124811,0.0,0.0,0.0,,,1.0
57,125.1235,1.0,0.6195188,1.0,,,1.0
58,173.10858,1.0,0.14883138,1.0,,,1.0
59,65.4171,0.0,0.32710344,0.0,,,1.0
60,107.15434,1.0,0.62762696,1.0,,,1.0
61,75.517235,0.0,0.32455322,0.0,,,1.0
62,40.20507,0.0,0.7097236,0.0,,,1.0
63,92.50414,1.0,0.0,0.0,,,1.0
64,39.345963,0.0,0.0,0.0,,,1.0
65,57.62044,0.0,0.71017426,1.0,,,1.0
66,59.507366,0.0,0.0,0.0,,,1.0
67,116.832344,1.0,0.6522744,1.0,,,1.0
68,85.653404,0.0,0.67334294,1.0,,,1.0
69,9.206367,0.0,0.0,0.0,,,1.0
70,78.272736,0.0,0.6806046,1.0,,,1.0
71,63.181175,0.0,0.7202428,1.0,,,1.0
72,113.39375,1.0,0.32990533,1.0,,,1.0
73,43.16067,0.0,0.15767595,0.0,,,1.0
74,25.220182,0.0,0.847618,0.0,,,1.0
75,36.023407,0.0,0.0,0.0,,,1.0
76,87.863266,1.0,0.0,0.0,,,1.0
77,93.51275,1.0,0.7338522,1.0,,,1.0
78,44.677696,0.0,0.0,0.0,,,1.0
79,77.69272,0.0,0.6672992,1.0,,,1.0
80,156.88243,1.0,0.38410217,1.0,,,1.0
81,145.00903,1.0,0.6018664,1.0,,,1.0
82,82.21497,0.0,0.78670126,1.0,,,1.0
83,105.134865,1.0,0.6315568,1.0,,,1.0
84,71.73222,0.0,0.6800181,1.0,,,1.0
85,0.6343829,0.0,0.0,0.0,,,1.0
86,62.75489,0.0,0.39549312,0.0,,,1.0
87,77.166504,0.0,0.66419256,1.0,,,1.0
88,39.345963,0.0,0.3592627,0.0,,,1.0
89,41.19065,0.0,0.8041718,0.0,,,1.0
90,62.18565,0.0,0.96098983,1.0,,,1.0
91,87.02443,0.0,0.6373154,1.0,,,1.0
92,73.05719,0.0,0.6774647,1.0,,,1.0
93,44.363632,0.0,0.35544538,0.0,,,1.0
94,67.27731,0.0,0.6915627,1.0,,,1.0
95,78.2021,0.0,0.6370472,1.0,,,1.0
96,79.997925,0.0,0.66772187,1.0,,,1.0
97,10.327724,0.0,0.0,0.0,,,1.0
98,96.915634,1.0,0.6391576,1.0,,,1.0
99,113.25086,1.0,0.6797972,1.0,,,1.0
100,159.14719,1.0,0.6276107,1.0,,,1.0
101,74.926155,0.0,0.31215432,0.0,,,1.0
102,25.94662,0.0,0.0,0.0,,,1.0
103,19.769405,0.0,0.15173814,0.0,,,1.0
104,75.676254,0.0,0.69763315,1.0,,,1.0
105,15.537339,0.0,0.84740794,0.0,,,1.0
106,62.75489,0.0,0.6990651,1.0,,,1.0
107,20.6966,0.0,0.0,0.0,,,1.0
108,90.45656,1.0,0.31460705,1.0,,,1.0
109,112.38734,1.0,0.6246221,1.0,,,1.0
110,120.49358,1.0,0.67860776,1.0,,,1.0
111,24.807966,0.0,0.77822846,0.0,,,1.0
112,55.96089,0.0,0.0,0.0,,,1.0
113,115.157455,1.0,0.6478286,1.0,,,1.0
114,163.2354,1.0,0.6297358,1.0,,,1.0
115,113.25086,1.0,0.73334026,1.0,,,1.0
116,114.863335,1.0,0.60547334,1.0,,,1.0
117,108.51194,1.0,0.63053566,1.0,,,1.0
118,38.431305,0.0,0.0,0.0,,,1.0
119,66.39099,0.0,0.6801702,1.0,,,1.0
