,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.970828,0.0,173.75,1.0,,,1.0
1,3.1701508,0.0,0.0,0.0,,,1.0
2,1.641236,0.0,0.25,0.0,,,1.0
3,2.026686,0.0,0.0,0.0,,,1.0
4,8.970828,0.0,91.5,1.0,,,1.0
5,4.5509944,0.0,16.0,0.0,,,1.0
6,4.8940825,0.0,17.5,1.0,,,1.0
7,3.3522775,0.0,0.5,0.0,,,1.0
8,3.273805,0.0,6.75,0.0,,,1.0
9,4.8940825,0.0,98.5,1.0,,,1.0
10,6.3212957,0.0,31.75,1.0,,,1.0
11,4.411987,0.0,3.25,0.0,,,1.0
12,0.7152456,0.0,0.25,0.0,,,1.0
13,8.129353,0.0,2.5,0.0,,,1.0
14,3.444286,0.0,9.0,0.0,,,1.0
15,4.3511095,0.0,156.25,1.0,,,1.0
16,3.7780113,0.0,1.25,0.0,,,1.0
17,2.2653632,0.0,2.75,0.0,,,1.0
18,3.3485692,0.0,16.25,0.0,,,1.0
19,0.0,0.0,0.0,0.0,,,1.0
20,1.8570472,0.0,7.5,0.0,,,1.0
21,4.424204,0.0,12.0,0.0,,,1.0
22,6.227204,0.0,41.0,1.0,,,1.0
23,8.935428,0.0,11.75,0.0,,,1.0
24,4.2970877,0.0,8.5,0.0,,,1.0
25,8.830608,0.0,14.25,0.0,,,1.0
26,1.1486168,0.0,0.25,0.0,,,1.0
27,4.532121,0.0,11.0,0.0,,,1.0
28,8.461275,0.0,19.75,1.0,,,1.0
29,8.129353,0.0,3.0,0.0,,,1.0
30,3.767178,0.0,66.0,1.0,,,1.0
31,12.3552265,0.0,13.75,0.0,,,1.0
32,3.3485692,0.0,11.25,0.0,,,1.0
33,3.5870907,0.0,2.5,0.0,,,1.0
34,3.6296823,0.0,53.25,1.0,,,1.0
35,8.970828,0.0,35.0,1.0,,,1.0
36,7.4116955,0.0,24.5,1.0,,,1.0
37,4.045797,0.0,1.75,0.0,,,1.0
38,4.035405,0.0,5.0,0.0,,,1.0
39,12.107598,0.0,10.25,0.0,,,1.0
40,3.7869782,0.0,4.75,0.0,,,1.0
41,8.935428,0.0,0.75,0.0,,,1.0
42,5.0501857,0.0,3.5,0.0,,,1.0
43,8.205979,0.0,64.75,1.0,,,1.0
44,3.3379776,0.0,5.5,0.0,,,1.0
45,6.3212957,0.0,10.75,0.0,,,1.0
46,3.8203464,0.0,0.25,0.0,,,1.0
47,8.26698,0.0,5.25,0.0,,,1.0
48,4.3750196,0.0,1.75,0.0,,,1.0
49,3.208636,0.0,0.0,0.0,,,1.0
50,5.0501857,0.0,2.0,0.0,,,1.0
51,8.617512,0.0,12.5,0.0,,,1.0
52,4.6055064,0.0,6.75,0.0,,,1.0
53,4.813388,0.0,5.75,0.0,,,1.0
54,3.273805,0.0,1.5,0.0,,,1.0
55,3.0219452,0.0,0.0,0.0,,,1.0
56,4.8302026,0.0,5.25,0.0,,,1.0
57,2.9236693,0.0,21.0,0.0,,,1.0
58,2.9236693,0.0,17.75,0.0,,,1.0
59,8.205979,0.0,44.5,1.0,,,1.0
60,8.273621,0.0,29.0,1.0,,,1.0
61,6.2293134,0.0,6.25,0.0,,,1.0
62,3.767178,0.0,40.0,1.0,,,1.0
63,6.03211,0.0,20.75,0.0,,,1.0
64,4.327139,0.0,21.0,0.0,,,1.0
65,5.012253,0.0,1.25,0.0,,,1.0
66,1.9449719,0.0,2.0,0.0,,,1.0
67,5.1142216,0.0,10.5,0.0,,,1.0
68,12.571974,0.0,3.5,0.0,,,1.0
69,5.288709,0.0,28.75,1.0,,,0.0
70,6.6316743,0.0,0.5,0.0,,,0.0
71,7.519982,0.0,0.75,0.0,,,0.0
72,3.6879876,0.0,2.5,0.0,,,0.0
73,4.411987,0.0,0.0,0.0,,,0.0
74,9.685512,0.0,1.5,0.0,,,0.0
75,3.0219452,0.0,0.0,0.0,,,0.0
76,1.6973604,0.0,0.25,0.0,,,0.0
77,7.0016255,0.0,0.25,0.0,,,0.0
78,6.631339,0.0,1.0,0.0,,,0.0
79,3.6852605,0.0,28.0,1.0,,,0.0
80,9.283467,0.0,0.25,0.0,,,0.0
81,3.6852605,0.0,24.75,0.0,,,0.0
82,3.8203464,0.0,3.25,0.0,,,0.0
83,4.8940825,0.0,48.5,1.0,,,0.0
84,6.3144884,0.0,0.5,0.0,,,0.0
85,11.713628,0.0,0.25,0.0,,,0.0
86,2.151793,0.0,1.75,0.0,,,0.0
87,7.1887875,0.0,1.75,0.0,,,0.0
