,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,6.8629036,0.0,0.0,0.0,,,1.0
1,11.668563,0.0,0.0,0.0,,,1.0
2,17.527199,0.0,2.0,1.0,,,1.0
3,13.498451,0.0,0.0,0.0,,,1.0
4,6.23883,0.0,2.0,1.0,,,1.0
5,7.4313602,0.0,1.0,1.0,,,1.0
6,12.072716,0.0,2.0,1.0,,,1.0
7,7.69115,0.0,0.0,0.0,,,1.0
8,6.6950245,0.0,1.0,1.0,,,1.0
9,5.1878743,0.0,2.0,1.0,,,1.0
10,10.531885,0.0,4.0,1.0,,,1.0
11,9.966234,0.0,0.0,0.0,,,1.0
12,7.6540375,0.0,2.0,1.0,,,1.0
13,12.346441,0.0,0.0,0.0,,,1.0
14,11.54362,0.0,2.0,1.0,,,1.0
15,17.268253,0.0,4.0,1.0,,,1.0
16,15.183447,0.0,4.0,1.0,,,1.0
17,10.076579,0.0,0.0,0.0,,,1.0
18,8.847752,0.0,1.0,1.0,,,1.0
19,12.40152,0.0,0.0,0.0,,,1.0
20,6.697409,0.0,1.0,1.0,,,1.0
21,20.07964,0.0,2.0,1.0,,,1.0
22,10.970806,0.0,2.0,1.0,,,1.0
23,9.053718,0.0,2.0,1.0,,,1.0
24,15.24185,0.0,4.0,1.0,,,1.0
25,10.07082,0.0,4.0,1.0,,,1.0
26,6.697733,0.0,0.0,0.0,,,1.0
27,11.671138,0.0,0.0,0.0,,,1.0
28,11.43273,0.0,0.0,0.0,,,1.0
29,9.362181,0.0,0.0,0.0,,,1.0
30,5.8311005,0.0,4.0,1.0,,,1.0
31,7.2005615,0.0,2.0,1.0,,,1.0
32,13.90338,0.0,2.0,1.0,,,1.0
33,11.185898,0.0,0.0,0.0,,,1.0
34,9.839848,0.0,0.0,0.0,,,1.0
35,15.857982,0.0,2.0,1.0,,,1.0
36,10.930084,0.0,0.0,0.0,,,1.0
37,10.566496,0.0,0.0,0.0,,,1.0
38,13.981265,0.0,2.0,1.0,,,1.0
39,6.264465,0.0,2.0,1.0,,,1.0
40,11.802587,0.0,2.0,1.0,,,1.0
41,7.5123725,0.0,2.0,1.0,,,1.0
42,10.241454,0.0,1.0,1.0,,,1.0
43,11.806038,0.0,4.0,1.0,,,1.0
44,11.904819,0.0,2.0,1.0,,,1.0
45,17.29792,0.0,1.0,1.0,,,1.0
46,5.3872204,0.0,1.0,1.0,,,1.0
47,10.750679,0.0,4.0,1.0,,,1.0
48,8.319517,0.0,0.0,0.0,,,1.0
49,11.531394,0.0,2.0,1.0,,,1.0
50,7.86686,0.0,2.0,1.0,,,1.0
51,10.461955,0.0,4.0,1.0,,,1.0
52,11.11366,0.0,4.0,1.0,,,1.0
53,11.135394,0.0,4.0,1.0,,,1.0
54,9.519915,0.0,4.0,1.0,,,1.0
55,15.89529,0.0,2.0,1.0,,,1.0
56,7.75859,0.0,2.0,1.0,,,1.0
