,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.310453,0.0,0.0,0.0,,,1.0
1,9.439214,0.0,0.0,0.0,,,1.0
2,8.097731,0.0,0.0,1.0,,,1.0
3,5.9901023,0.0,6.9551096,1.0,,,1.0
4,1.8664503,0.0,0.0,0.0,,,1.0
5,6.1756682,0.0,0.0,0.0,,,1.0
6,9.429072,0.0,0.0,0.0,,,1.0
7,3.3454235,0.0,0.0,0.0,,,1.0
8,2.1603882,0.0,11.76396,1.0,,,1.0
9,10.908548,0.0,0.0,0.0,,,1.0
10,9.173176,0.0,0.0,1.0,,,1.0
11,9.8891535,0.0,0.0,1.0,,,1.0
12,8.843421,0.0,4.949232,1.0,,,1.0
13,5.8380113,0.0,15.742956,1.0,,,1.0
14,3.0015576,0.0,0.0,0.0,,,1.0
15,5.4541426,0.0,5.7798433,1.0,,,1.0
16,8.595048,0.0,9.667811,1.0,,,1.0
17,9.378307,0.0,0.0,1.0,,,1.0
18,5.771032,0.0,0.0,0.0,,,1.0
19,7.673952,0.0,0.0,0.0,,,1.0
20,7.5358677,0.0,0.0,0.0,,,1.0
21,6.4569716,0.0,0.0,0.0,,,1.0
22,9.450588,0.0,0.0,0.0,,,1.0
23,9.429072,0.0,0.0,0.0,,,1.0
24,5.8380113,0.0,0.0,1.0,,,1.0
25,2.8031847,0.0,0.0,0.0,,,1.0
26,2.202356,0.0,0.0,0.0,,,1.0
27,1.545579,0.0,0.0,0.0,,,1.0
28,7.5350814,0.0,0.0,1.0,,,1.0
29,9.8891535,0.0,0.0,0.0,,,1.0
30,8.571052,0.0,3.0800703,1.0,,,1.0
31,10.270147,0.0,0.0,1.0,,,1.0
32,6.0164785,0.0,0.0,0.0,,,1.0
33,4.3164124,0.0,3.350369,1.0,,,1.0
34,2.3830948,0.0,3.5840247,1.0,,,1.0
35,7.5339675,0.0,0.0,0.0,,,1.0
36,6.5141306,0.0,3.6628416,1.0,,,1.0
37,7.4639144,0.0,0.0,0.0,,,1.0
38,8.551217,0.0,4.0536003,1.0,,,1.0
39,3.43342,0.0,2.9906976,1.0,,,1.0
40,7.4051538,0.0,12.216303,1.0,,,1.0
41,4.3592157,0.0,0.0,0.0,,,1.0
42,7.699124,0.0,5.00997,1.0,,,1.0
43,10.908548,0.0,0.0,0.0,,,1.0
44,3.8111453,0.0,15.869256,1.0,,,1.0
45,4.572743,0.0,0.0,0.0,,,1.0
46,4.4964643,0.0,0.0,0.0,,,1.0
47,0.49500364,0.0,0.0,0.0,,,1.0
48,2.04107,0.0,0.0,0.0,,,1.0
49,6.293035,0.0,0.0,1.0,,,1.0
50,10.837334,0.0,0.0,0.0,,,1.0
51,9.667351,0.0,0.0,0.0,,,1.0
52,5.833386,0.0,0.0,0.0,,,1.0
53,6.2389627,0.0,0.0,0.0,,,1.0
54,7.755778,0.0,2.213364,1.0,,,1.0
55,4.7850466,0.0,0.0,0.0,,,1.0
56,7.2103233,0.0,0.0,0.0,,,1.0
57,3.6296425,0.0,0.0,0.0,,,1.0
58,6.9146314,0.0,0.0,0.0,,,1.0
59,6.1361895,0.0,0.0,0.0,,,1.0
60,5.1229124,0.0,2.710806,1.0,,,1.0
61,2.0797312,0.0,2.710806,1.0,,,1.0
62,4.300791,0.0,6.999271,1.0,,,1.0
63,7.0981646,0.0,4.527019,1.0,,,1.0
64,5.711948,0.0,0.0,0.0,,,1.0
65,4.6422253,0.0,0.0,0.0,,,1.0
66,7.459315,0.0,0.0,0.0,,,1.0
67,7.2095156,0.0,4.527019,1.0,,,1.0
68,6.824585,0.0,2.3967817,1.0,,,1.0
69,9.365027,0.0,4.182446,1.0,,,1.0
70,10.197541,0.0,0.0,1.0,,,1.0
71,7.834884,0.0,0.0,0.0,,,1.0
72,6.379008,0.0,1.4142135,1.0,,,1.0
73,6.8968163,0.0,7.912642,1.0,,,1.0
74,3.850626,0.0,0.0,0.0,,,1.0
75,4.4932904,0.0,0.0,0.0,,,1.0
76,3.691559,0.0,0.0,0.0,,,1.0
77,6.997701,0.0,3.4820046,1.0,,,1.0
78,5.6672177,0.0,0.0,0.0,,,1.0
79,6.4220247,0.0,0.0,1.0,,,1.0
80,3.2780325,0.0,83.905846,1.0,,,1.0
81,9.1557,0.0,2.7831576,1.0,,,1.0
82,2.6981208,0.0,0.0,0.0,,,1.0
83,7.2055626,0.0,0.0,1.0,,,1.0
84,5.315485,0.0,6.0069323,1.0,,,1.0
85,6.1536894,0.0,0.0,0.0,,,1.0
86,7.925388,0.0,4.3314734,1.0,,,1.0
87,8.58578,0.0,7.382256,1.0,,,1.0
88,6.0503454,0.0,0.0,0.0,,,1.0
89,6.9012046,0.0,0.0,0.0,,,1.0
90,4.736369,0.0,0.0,0.0,,,1.0
91,6.73184,0.0,0.0,1.0,,,1.0
92,3.9410486,0.0,1.8612098,1.0,,,1.0
93,3.730047,0.0,0.0,0.0,,,1.0
