,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,41.89592,0.0,0.0,0.0,,,1.0
1,154.196,1.0,14.951992,1.0,,,1.0
2,101.995804,0.0,13.024396,1.0,,,1.0
3,3.1226149,0.0,0.0,0.0,,,1.0
4,15.443596,0.0,0.0,0.0,,,1.0
5,30.64089,0.0,0.0,0.0,,,1.0
6,41.49204,0.0,0.0,0.0,,,1.0
7,0.2484255,0.0,0.0,0.0,,,1.0
8,31.482,0.0,0.0,0.0,,,1.0
9,80.76581,0.0,0.0,1.0,,,1.0
10,16.242447,0.0,0.0,0.0,,,1.0
11,86.82382,0.0,32.21295,1.0,,,1.0
12,12.970899,0.0,0.0,0.0,,,1.0
13,3.3889256,0.0,0.0,0.0,,,1.0
14,93.08549,0.0,0.0,1.0,,,1.0
15,2.643833,0.0,0.0,0.0,,,1.0
16,19.04083,0.0,0.0,1.0,,,1.0
17,25.15008,0.0,0.0,0.0,,,1.0
18,42.921547,0.0,0.0,1.0,,,1.0
19,20.404648,0.0,0.0,0.0,,,1.0
20,13.32748,0.0,5.5444436,1.0,,,1.0
21,92.109505,0.0,0.0,1.0,,,1.0
22,9.397463,0.0,1.1892071,0.0,,,1.0
23,146.36841,1.0,12.9998865,1.0,,,1.0
24,115.84947,1.0,0.0,1.0,,,1.0
25,46.640907,0.0,0.0,1.0,,,1.0
26,25.780396,0.0,4.6210556,1.0,,,1.0
27,41.89709,0.0,0.0,1.0,,,1.0
28,9.610815,0.0,0.0,0.0,,,1.0
29,64.225784,0.0,0.0,1.0,,,1.0
30,158.56094,1.0,0.0,1.0,,,1.0
31,41.641884,0.0,9.102157,1.0,,,1.0
32,14.328728,0.0,0.0,0.0,,,1.0
33,34.9876,0.0,0.0,0.0,,,1.0
34,15.153921,0.0,0.0,0.0,,,1.0
35,7.6869144,0.0,0.0,0.0,,,1.0
36,31.73977,0.0,0.0,0.0,,,1.0
37,134.42146,1.0,3.3895612,1.0,,,1.0
38,86.48306,0.0,0.0,0.0,,,1.0
39,36.757847,0.0,0.0,1.0,,,1.0
40,8.049105,0.0,0.0,0.0,,,1.0
41,6.9638457,0.0,0.0,0.0,,,1.0
42,33.661034,0.0,1.6817929,1.0,,,1.0
43,43.57327,0.0,16.488855,1.0,,,1.0
44,6.4033427,0.0,0.0,0.0,,,1.0
45,9.446763,0.0,0.0,0.0,,,1.0
46,118.24482,1.0,0.0,0.0,,,1.0
47,1.3467029,0.0,0.0,0.0,,,1.0
48,17.598225,0.0,0.0,0.0,,,1.0
49,5.1030145,0.0,0.0,0.0,,,1.0
50,43.77253,0.0,0.0,1.0,,,1.0
51,19.827642,0.0,0.0,1.0,,,1.0
52,8.226526,0.0,0.0,1.0,,,1.0
53,263.0308,1.0,0.0,1.0,,,1.0
54,10.867555,0.0,0.0,0.0,,,1.0
55,52.243576,0.0,0.0,0.0,,,1.0
56,7.629682,0.0,0.0,0.0,,,1.0
57,1.4622319,0.0,0.0,0.0,,,1.0
58,48.61812,0.0,0.0,0.0,,,1.0
59,40.37565,0.0,10.843224,1.0,,,1.0
60,49.796032,0.0,0.0,1.0,,,1.0
61,73.72879,0.0,16.313078,1.0,,,1.0
62,4.7145524,0.0,0.0,0.0,,,1.0
63,2.148638,0.0,0.0,0.0,,,1.0
64,18.102919,0.0,0.0,0.0,,,1.0
65,77.38194,0.0,0.0,0.0,,,1.0
66,9.157834,0.0,0.0,0.0,,,1.0
67,73.47636,0.0,18.024982,1.0,,,1.0
68,8.220304,0.0,0.0,0.0,,,1.0
69,66.194916,0.0,3.6214468,1.0,,,1.0
70,46.143456,0.0,0.0,1.0,,,1.0
71,5.288961,0.0,0.0,0.0,,,1.0
72,101.84482,0.0,0.0,1.0,,,1.0
73,9.835616,0.0,0.0,0.0,,,1.0
74,21.774462,0.0,8.572321,1.0,,,1.0
75,54.922768,0.0,0.0,0.0,,,1.0
76,180.35674,1.0,3.309751,1.0,,,1.0
77,36.19935,0.0,86.340576,1.0,,,1.0
78,66.197556,0.0,0.0,0.0,,,1.0
79,22.375683,0.0,15.921544,1.0,,,1.0
80,26.767015,0.0,6.0548,1.0,,,1.0
81,102.97906,0.0,0.0,1.0,,,1.0
82,28.741844,0.0,0.0,0.0,,,1.0
83,16.5178,0.0,9.682166,1.0,,,1.0
84,32.634926,0.0,0.0,0.0,,,1.0
85,6.351887,0.0,0.0,0.0,,,1.0
86,62.538445,0.0,0.0,0.0,,,1.0
87,4.7302933,0.0,0.0,0.0,,,1.0
88,8.56893,0.0,0.0,0.0,,,1.0
89,50.637764,0.0,0.0,0.0,,,1.0
90,159.02016,1.0,0.0,1.0,,,1.0
91,77.61541,0.0,0.0,0.0,,,1.0
92,28.164793,0.0,0.0,0.0,,,1.0
93,107.34489,0.0,0.0,1.0,,,1.0
94,39.45659,0.0,0.0,0.0,,,1.0
95,84.27093,0.0,0.0,1.0,,,1.0
96,23.305017,0.0,0.0,0.0,,,1.0
97,0.7705659,0.0,0.0,0.0,,,1.0
98,20.2529,0.0,0.0,0.0,,,1.0
