,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.310453,1.0,1.2022458,1.0,,,1.0
1,9.349256,1.0,0.0,1.0,,,1.0
2,5.478385,1.0,0.0,1.0,,,1.0
3,8.100042,1.0,0.74122214,1.0,,,1.0
4,8.305206,1.0,0.7213475,1.0,,,1.0
5,2.694445,1.0,1.442695,1.0,,,1.0
6,10.277243,1.0,1.155642,1.0,,,1.0
7,7.8372235,1.0,1.7567649,1.0,,,1.0
8,8.97788,1.0,1.4625697,1.0,,,1.0
9,9.169637,1.0,0.36067376,1.0,,,1.0
10,2.997735,1.0,0.0,1.0,,,1.0
11,5.4309254,1.0,1.7173046,1.0,,,1.0
12,8.591509,1.0,1.5444561,1.0,,,1.0
13,5.6429124,1.0,0.0,1.0,,,1.0
14,3.9984899,1.0,2.2412548,1.0,,,1.0
15,10.277243,1.0,0.0,1.0,,,1.0
16,7.53458,1.0,0.9924051,1.0,,,1.0
17,9.66396,1.0,0.0,1.0,,,1.0
18,6.3752775,1.0,0.4024296,1.0,,,1.0
19,8.726535,1.0,0.9617967,1.0,,,1.0
20,5.8190184,1.0,0.7484059,1.0,,,1.0
21,3.1693661,1.0,1.2794582,1.0,,,1.0
22,7.1452274,1.0,1.525949,1.0,,,1.0
23,2.2008972,1.0,0.9187844,1.0,,,1.0
24,5.863979,1.0,1.7187934,1.0,,,1.0
25,1.545579,1.0,0.0,1.0,,,1.0
26,9.041569,1.0,2.2376633,1.0,,,1.0
27,8.525612,1.0,1.649589,1.0,,,1.0
28,7.533345,1.0,0.0,1.0,,,1.0
29,9.88677,1.0,1.1237772,1.0,,,1.0
30,10.266608,1.0,0.7213475,1.0,,,1.0
31,2.4514565,1.0,0.88332796,1.0,,,1.0
32,6.015191,1.0,0.0,1.0,,,1.0
33,4.3164124,1.0,1.7960057,1.0,,,1.0
34,6.836028,1.0,0.81470656,1.0,,,1.0
35,2.3830948,1.0,1.745776,1.0,,,1.0
36,6.73184,1.0,1.8646271,1.0,,,1.0
37,6.83812,1.0,0.0,1.0,,,1.0
38,9.16024,1.0,0.0,1.0,,,1.0
39,6.2164407,1.0,1.531206,1.0,,,1.0
40,7.465511,1.0,0.81321764,1.0,,,1.0
41,7.098611,1.0,1.1002707,1.0,,,1.0
