,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,2.972359,1.0,1.5855,1.0,,,1.0
1,6.236903,1.0,0.23868315,1.0,,,1.0
2,1.6397723,1.0,0.0,1.0,,,1.0
3,2.0314467,1.0,0.0,1.0,,,1.0
4,4.660711,1.0,1.5559124,1.0,,,1.0
5,4.5556026,1.0,1.1945614,1.0,,,1.0
6,4.9021235,1.0,0.72830856,1.0,,,1.0
7,3.692039,1.0,0.0,1.0,,,1.0
8,3.7626197,1.0,0.48089835,1.0,,,1.0
9,8.261994,1.0,1.0906972,1.0,,,1.0
10,7.3437347,1.0,0.0,1.0,,,1.0
11,3.2698255,1.0,1.4165689,1.0,,,1.0
12,4.9021235,1.0,1.194319,1.0,,,1.0
13,5.1533,1.0,1.1437649,1.0,,,1.0
14,3.9850519,1.0,0.65732366,1.0,,,1.0
15,6.3316774,1.0,1.2704929,1.0,,,1.0
16,4.408007,1.0,0.314658,1.0,,,1.0
17,3.7906818,1.0,0.30692768,1.0,,,1.0
18,2.161168,1.0,1.6846302,1.0,,,1.0
19,11.825463,1.0,0.9720317,1.0,,,1.0
20,5.012253,1.0,0.55848604,1.0,,,1.0
21,6.3178625,1.0,1.1578307,1.0,,,1.0
22,5.104233,1.0,1.096585,1.0,,,1.0
23,6.0584593,1.0,0.0,1.0,,,1.0
24,1.1486168,1.0,0.0,1.0,,,1.0
25,8.278799,1.0,1.1570904,1.0,,,1.0
26,4.796484,1.0,1.3057898,1.0,,,1.0
27,4.796484,1.0,1.3160826,1.0,,,1.0
28,3.3485692,1.0,0.0,1.0,,,1.0
29,3.571515,1.0,0.6470309,1.0,,,1.0
30,8.972134,1.0,0.98156667,1.0,,,1.0
31,4.8424997,1.0,1.4348034,1.0,,,1.0
32,7.4250307,1.0,1.1766853,1.0,,,1.0
33,4.3124714,1.0,0.32351544,1.0,,,1.0
34,6.0749474,1.0,1.2243439,1.0,,,1.0
35,6.0106063,1.0,1.1629479,1.0,,,1.0
36,3.3485692,1.0,1.359569,1.0,,,1.0
37,7.1953707,1.0,0.0,1.0,,,1.0
38,3.249769,1.0,1.3812125,1.0,,,1.0
39,7.427321,1.0,1.6416678,1.0,,,1.0
40,8.955636,1.0,0.2835785,1.0,,,1.0
41,5.1533,1.0,1.237988,1.0,,,1.0
42,4.660711,1.0,1.1882315,1.0,,,1.0
43,5.1162906,1.0,0.5353424,1.0,,,1.0
44,3.3379776,1.0,1.2968458,1.0,,,1.0
45,8.739246,1.0,1.0297968,1.0,,,1.0
46,6.3316774,1.0,1.144769,1.0,,,1.0
47,3.804771,1.0,0.0,1.0,,,1.0
48,1.903308,1.0,0.0,1.0,,,1.0
49,8.186138,1.0,1.0570135,1.0,,,1.0
50,8.261994,1.0,0.2484255,1.0,,,1.0
51,8.739246,1.0,0.98396116,1.0,,,1.0
52,3.2096114,1.0,0.0,1.0,,,1.0
53,4.344913,1.0,1.5619999,1.0,,,1.0
54,8.8199,1.0,1.104412,1.0,,,1.0
55,5.036922,1.0,0.5634466,1.0,,,1.0
56,5.3073225,1.0,0.28853902,1.0,,,1.0
57,4.3063784,1.0,1.2762735,1.0,,,1.0
58,4.370287,1.0,1.4195262,1.0,,,1.0
59,3.2698255,1.0,1.8303857,1.0,,,1.0
60,4.8119254,1.0,0.24229887,1.0,,,1.0
61,1.0263109,1.0,0.0,1.0,,,1.0
62,11.71196,1.0,0.97150964,1.0,,,1.0
63,12.116723,1.0,0.9794529,1.0,,,1.0
64,5.708353,1.0,0.0,1.0,,,1.0
65,4.733534,1.0,0.37892318,1.0,,,1.0
66,8.630627,1.0,1.1164246,1.0,,,1.0
67,12.588216,1.0,1.0701445,1.0,,,1.0
68,5.708353,1.0,0.0,1.0,,,1.0
69,12.138566,1.0,0.0,1.0,,,0.0
70,7.0242476,1.0,0.2675464,1.0,,,0.0
71,3.2908173,1.0,1.3429332,1.0,,,0.0
72,10.043906,1.0,1.0432856,1.0,,,0.0
73,8.99211,1.0,0.0,1.0,,,0.0
74,2.9162555,1.0,0.0,1.0,,,0.0
