,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,10.105634,1.0,1.1711422,1.0,,,1.0
1,4.376362,1.0,1.032675,1.0,,,1.0
2,8.161657,1.0,0.9971966,1.0,,,1.0
3,8.126396,1.0,1.0357648,1.0,,,1.0
4,9.734811,1.0,0.0,1.0,,,1.0
5,6.5131745,1.0,1.0660315,1.0,,,1.0
6,15.638712,1.0,0.3743141,1.0,,,1.0
7,8.391509,1.0,0.9082578,1.0,,,1.0
8,12.617556,1.0,0.942867,1.0,,,1.0
9,4.073178,1.0,1.3595539,1.0,,,1.0
10,2.0090048,1.0,1.3502792,1.0,,,1.0
11,17.323893,1.0,0.8180498,1.0,,,1.0
12,32.84433,1.0,0.41243356,1.0,,,1.0
13,23.197634,1.0,0.84519684,1.0,,,1.0
14,7.568213,1.0,1.0650649,1.0,,,1.0
15,2.9572477,1.0,1.1542926,1.0,,,1.0
16,7.938807,1.0,0.99676454,1.0,,,1.0
17,5.959499,1.0,1.6097184,1.0,,,1.0
18,14.653573,1.0,0.89394736,1.0,,,1.0
19,6.320325,1.0,1.0763506,1.0,,,1.0
20,16.487135,1.0,0.4405213,1.0,,,1.0
21,7.0717764,1.0,1.0771341,1.0,,,1.0
22,12.19214,1.0,0.91157687,1.0,,,1.0
23,9.694484,1.0,0.0,1.0,,,1.0
24,4.246854,1.0,1.2036246,1.0,,,1.0
25,17.641817,1.0,0.86123884,1.0,,,1.0
26,7.064804,1.0,1.0201098,1.0,,,1.0
27,3.846349,1.0,1.7886713,1.0,,,1.0
28,23.030153,1.0,0.79354346,1.0,,,1.0
29,23.815472,1.0,0.81201035,1.0,,,1.0
30,12.410353,1.0,0.8993978,1.0,,,1.0
31,8.161657,1.0,0.9764565,1.0,,,1.0
32,14.586421,1.0,0.9501479,1.0,,,1.0
33,28.657017,1.0,0.83595914,1.0,,,1.0
34,8.1141205,1.0,1.0712991,1.0,,,1.0
35,10.387452,1.0,0.847438,1.0,,,1.0
36,3.3758755,1.0,0.0,1.0,,,1.0
37,17.85365,1.0,0.923521,1.0,,,1.0
38,16.148289,1.0,0.8900662,1.0,,,1.0
39,9.430553,1.0,0.88405037,1.0,,,1.0
40,4.4928527,1.0,0.0,1.0,,,1.0
41,13.230188,1.0,0.0,1.0,,,1.0
42,8.919271,1.0,0.98706806,1.0,,,1.0
43,8.843982,1.0,1.0721852,1.0,,,1.0
44,6.3794613,1.0,0.5825531,1.0,,,1.0
45,36.798885,1.0,0.44071728,1.0,,,1.0
46,15.801572,1.0,0.9522553,1.0,,,1.0
47,10.938556,1.0,0.0,1.0,,,1.0
48,10.30921,1.0,0.9750407,1.0,,,1.0
49,10.195239,1.0,0.93514144,1.0,,,1.0
50,12.316716,1.0,0.845904,1.0,,,1.0
51,16.367262,1.0,0.20480044,1.0,,,1.0
52,7.3582344,1.0,1.0310386,1.0,,,1.0
53,15.4762945,1.0,0.86462384,1.0,,,1.0
54,10.898638,1.0,0.93833673,1.0,,,1.0
55,16.23552,1.0,0.8754346,1.0,,,1.0
56,4.153462,1.0,1.3630729,1.0,,,1.0
57,29.65545,1.0,1.2162293,1.0,,,1.0
58,5.7253976,1.0,1.062159,1.0,,,1.0
59,5.8181124,1.0,0.0,1.0,,,1.0
60,13.03583,1.0,0.9564847,1.0,,,1.0
61,9.978765,1.0,0.9505182,1.0,,,1.0
62,13.68996,1.0,0.20815895,1.0,,,1.0
63,17.466671,1.0,0.45176268,1.0,,,1.0
64,5.7718024,1.0,1.3822,1.0,,,1.0
65,9.634204,1.0,0.93749523,1.0,,,1.0
66,4.4515805,1.0,0.0,1.0,,,1.0
67,2.64938,1.0,1.2536218,1.0,,,1.0
68,8.023098,1.0,1.157727,1.0,,,1.0
69,10.297642,1.0,1.563659,1.0,,,1.0
70,20.499166,1.0,0.82988065,1.0,,,1.0
71,31.055418,1.0,0.0,1.0,,,1.0
72,14.523393,1.0,0.8948092,1.0,,,1.0
73,8.833378,1.0,0.6394241,1.0,,,1.0
74,24.89758,1.0,0.9005205,1.0,,,1.0
75,22.362629,1.0,0.0,1.0,,,1.0
76,0.96671784,1.0,0.0,0.0,,,1.0
77,5.1415715,1.0,1.0857667,1.0,,,1.0
78,13.640234,1.0,0.95404243,1.0,,,1.0
79,2.528493,1.0,1.4525719,1.0,,,1.0
80,11.837198,1.0,0.9964516,1.0,,,1.0
81,10.0266285,1.0,0.0,1.0,,,1.0
82,6.4454412,1.0,1.2171067,1.0,,,1.0
83,8.954827,1.0,1.0946839,1.0,,,1.0
84,24.460835,1.0,0.90955055,1.0,,,1.0
85,4.108898,1.0,0.0,1.0,,,1.0
86,3.9140537,1.0,1.3806329,1.0,,,1.0
87,22.362629,1.0,0.0,1.0,,,1.0
88,1.977858,1.0,0.0,1.0,,,1.0
89,20.343246,1.0,0.20961352,1.0,,,1.0
90,13.939287,1.0,0.0,1.0,,,1.0
91,7.2765155,1.0,1.3579831,1.0,,,1.0
92,11.05667,1.0,0.9268246,1.0,,,1.0
93,2.865169,1.0,0.0,1.0,,,1.0
94,3.1392622,1.0,0.6212221,1.0,,,1.0
95,22.362629,1.0,0.0,1.0,,,1.0
96,25.72488,1.0,0.7931632,1.0,,,1.0
97,21.754086,1.0,0.8702979,1.0,,,1.0
98,5.4758205,1.0,0.9604713,1.0,,,1.0
99,14.991068,1.0,0.88480425,1.0,,,1.0
100,12.022524,1.0,0.86339426,1.0,,,1.0
101,15.76629,1.0,0.9734661,1.0,,,1.0
102,6.824794,1.0,0.19608356,1.0,,,1.0
103,0.2626973,1.0,0.0,0.0,,,1.0
104,12.923316,1.0,0.99346375,1.0,,,1.0
105,9.418316,1.0,0.94948435,1.0,,,1.0
106,0.9301285,1.0,0.0,0.0,,,1.0
107,5.0568686,1.0,0.0,1.0,,,1.0
108,24.796013,1.0,0.77727044,1.0,,,1.0
109,5.646697,1.0,1.1559271,1.0,,,1.0
110,4.2533517,1.0,1.0260144,1.0,,,1.0
111,17.463457,1.0,0.852191,1.0,,,1.0
112,16.96386,1.0,0.9673155,1.0,,,1.0
113,21.256374,1.0,0.8927327,1.0,,,1.0
114,18.654898,1.0,0.81875974,1.0,,,1.0
115,11.046508,1.0,1.1153178,1.0,,,1.0
116,2.9435337,1.0,0.0,1.0,,,1.0
117,38.652096,1.0,0.87212306,1.0,,,1.0
118,10.608893,1.0,0.89697856,1.0,,,1.0
119,6.8637233,1.0,1.014211,1.0,,,1.0
120,27.972776,1.0,0.0,1.0,,,1.0
121,20.655735,1.0,0.85310584,1.0,,,1.0
122,7.291327,1.0,1.0366527,1.0,,,1.0
123,9.083451,1.0,1.0967906,1.0,,,1.0
124,9.306325,1.0,1.1571519,1.0,,,1.0
125,7.210406,1.0,1.0120981,1.0,,,1.0
126,2.243508,1.0,1.3685286,1.0,,,1.0
127,19.276371,1.0,0.89033484,1.0,,,1.0
128,9.019595,1.0,0.97256815,1.0,,,1.0
129,4.221352,1.0,1.6514306,1.0,,,1.0
130,3.071753,1.0,0.0,1.0,,,1.0
131,5.5428987,1.0,0.22569202,1.0,,,1.0
132,12.038116,1.0,0.9176218,1.0,,,1.0
133,10.329922,1.0,0.2940141,1.0,,,1.0
134,15.135477,1.0,0.0,1.0,,,1.0
135,6.675733,1.0,1.3163159,1.0,,,1.0
136,19.371836,1.0,0.0,1.0,,,1.0
137,4.364749,1.0,1.2789601,1.0,,,1.0
138,12.068646,1.0,1.0289813,1.0,,,1.0
139,3.4149046,1.0,0.43799865,1.0,,,1.0
140,3.5885422,1.0,0.9899988,1.0,,,1.0
141,16.786688,1.0,0.9009925,1.0,,,1.0
142,16.68601,1.0,0.0,1.0,,,1.0
143,14.125792,1.0,0.0,1.0,,,1.0
144,2.666403,1.0,0.0,1.0,,,1.0
145,2.7630064,1.0,1.2723304,1.0,,,1.0
146,7.885131,1.0,1.3415129,1.0,,,1.0
147,14.923714,1.0,0.8471455,1.0,,,1.0
