,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.310453,1.0,2.0,1.0,,,1.0
1,9.349256,1.0,0.0,0.0,,,1.0
2,5.478385,1.0,12.0,1.0,,,1.0
3,8.100042,1.0,11.428572,1.0,,,1.0
4,8.305206,1.0,2.0,1.0,,,1.0
5,2.694445,1.0,2.0,1.0,,,1.0
6,10.277243,1.0,2.857143,1.0,,,1.0
7,7.8372235,1.0,1.2727273,1.0,,,1.0
8,8.97788,1.0,5.7337885,1.0,,,1.0
9,9.169637,1.0,14.117647,1.0,,,1.0
10,2.997735,1.0,10.181818,1.0,,,1.0
11,5.4309254,1.0,2.9141371,1.0,,,1.0
12,8.591509,1.0,8.387096,1.0,,,1.0
13,5.6429124,1.0,16.0,1.0,,,1.0
14,3.9984899,1.0,1.0,1.0,,,1.0
15,10.277243,1.0,3.6363637,1.0,,,1.0
16,7.53458,1.0,2.7906976,1.0,,,1.0
17,9.66396,1.0,60.0,1.0,,,1.0
18,6.3752775,1.0,21.97183,1.0,,,1.0
19,8.726535,1.0,1.6,1.0,,,1.0
20,5.8190184,1.0,3.5965219,1.0,,,1.0
21,3.1693661,1.0,2.5263157,1.0,,,1.0
22,7.1452274,1.0,9.484536,1.0,,,1.0
23,2.2008972,1.0,5.106383,1.0,,,1.0
24,5.863979,1.0,3.7209303,1.0,,,1.0
25,1.545579,1.0,2.0,1.0,,,1.0
26,9.041569,1.0,3.2515707,1.0,,,1.0
27,8.525612,1.0,1.7319587,1.0,,,1.0
28,7.533345,1.0,52.0,1.0,,,1.0
29,9.88677,1.0,2.1818182,1.0,,,1.0
30,10.266608,1.0,4.5,1.0,,,1.0
31,2.4514565,1.0,2.4347825,1.0,,,1.0
32,6.015191,1.0,4.0,1.0,,,1.0
33,4.3164124,1.0,1.8666667,1.0,,,1.0
34,6.836028,1.0,6.6666665,1.0,,,1.0
35,2.3830948,1.0,1.6981132,1.0,,,1.0
36,6.73184,1.0,2.057143,1.0,,,1.0
37,6.83812,1.0,4.0,1.0,,,1.0
38,9.16024,1.0,44.0,1.0,,,1.0
39,6.2164407,1.0,2.3891404,1.0,,,1.0
40,7.465511,1.0,1.882353,1.0,,,1.0
41,7.098611,1.0,2.9528797,1.0,,,1.0
42,8.547678,1.0,2.3697479,1.0,,,1.0
43,5.3437057,1.0,5.2093024,1.0,,,1.0
44,3.4325662,1.0,3.070707,1.0,,,1.0
45,8.591509,1.0,8.470589,1.0,,,1.0
46,7.699124,1.0,4.2,1.0,,,1.0
47,7.539962,1.0,1.2307693,1.0,,,1.0
48,10.90501,1.0,1.882353,1.0,,,1.0
49,3.8111453,1.0,7.507324,1.0,,,1.0
50,7.2849264,1.0,3.0,1.0,,,1.0
51,6.2639046,1.0,4.0,1.0,,,1.0
52,10.833511,1.0,2.6277373,1.0,,,1.0
53,9.66396,1.0,4.0,1.0,,,1.0
54,6.2389627,1.0,1.948718,1.0,,,1.0
55,7.7315454,1.0,1.6842105,1.0,,,1.0
56,4.7850466,1.0,9.75,1.0,,,1.0
57,2.7408857,1.0,1.9733334,1.0,,,1.0
58,7.3193645,1.0,3.109458,1.0,,,1.0
59,6.9146314,1.0,0.0,0.0,,,1.0
60,5.0347404,1.0,3.4285715,1.0,,,1.0
61,6.9174194,1.0,3.3333333,1.0,,,1.0
62,2.0782723,1.0,2.057143,1.0,,,1.0
63,8.255222,1.0,3.3333333,1.0,,,1.0
64,4.2999372,1.0,4.7727275,1.0,,,1.0
65,5.116282,1.0,2.2429907,1.0,,,1.0
66,8.199358,1.0,9.6,1.0,,,1.0
67,7.408307,1.0,9.018297,1.0,,,1.0
68,7.28412,1.0,2.1818182,1.0,,,1.0
69,5.863979,1.0,4.837209,1.0,,,1.0
70,6.823335,1.0,1.65,1.0,,,1.0
71,3.1429455,1.0,1.6153846,1.0,,,1.0
72,2.6374614,1.0,2.6977382,1.0,,,1.0
73,3.849167,1.0,2.3529413,1.0,,,1.0
74,6.8968163,1.0,2.5762184,1.0,,,1.0
75,4.8204684,1.0,1.3333334,1.0,,,1.0
76,4.233658,1.0,2.0,1.0,,,1.0
77,6.965667,1.0,2.6046512,1.0,,,1.0
78,6.4220247,1.0,4.2105265,1.0,,,1.0
79,9.424982,1.0,1.6363636,1.0,,,1.0
80,9.424982,1.0,1.7560976,1.0,,,1.0
81,2.694445,1.0,2.0,1.0,,,1.0
82,7.204199,1.0,9.491526,1.0,,,1.0
83,5.315485,1.0,1.9210624,1.0,,,1.0
84,7.2126355,1.0,4.318766,1.0,,,1.0
85,6.127665,1.0,1.7777778,1.0,,,1.0
86,7.921849,1.0,5.142857,1.0,,,1.0
87,8.580499,1.0,4.137931,1.0,,,1.0
88,2.7766314,1.0,3.5146444,1.0,,,1.0
89,5.99062,1.0,1.7087379,1.0,,,1.0
90,7.2027307,1.0,4.4210525,1.0,,,1.0
91,6.8968163,1.0,15.7110815,1.0,,,1.0
92,6.8938274,1.0,7.630058,1.0,,,1.0
93,3.9314585,1.0,1.4545455,1.0,,,1.0
94,6.958505,1.0,5.0224214,1.0,,,1.0
95,8.729122,1.0,11.830986,1.0,,,1.0
96,5.2864995,1.0,4.837209,1.0,,,1.0
97,5.3206306,1.0,12.084626,1.0,,,1.0
98,6.0170093,1.0,2.6666667,1.0,,,1.0
99,5.711948,1.0,1.9047619,1.0,,,1.0
100,6.0248747,1.0,1.9047619,1.0,,,1.0
101,5.5657144,1.0,12.0,1.0,,,1.0
102,3.940805,1.0,10.105263,1.0,,,1.0
103,5.1237345,1.0,4.0,1.0,,,1.0
104,3.3830137,1.0,2.8235295,1.0,,,1.0
105,8.299976,1.0,2.8915663,1.0,,,1.0
106,6.015191,1.0,1.6,1.0,,,1.0
107,8.845017,1.0,4.053743,1.0,,,1.0
108,8.261405,1.0,4.0,1.0,,,1.0
109,7.5094194,1.0,5.3333335,1.0,,,1.0
110,7.9305615,1.0,1.6695652,1.0,,,1.0
111,5.53719,1.0,0.0,0.0,,,0.0
112,8.123651,1.0,0.0,1.0,,,0.0
113,1.8139739,1.0,0.0,1.0,,,0.0
114,7.859319,1.0,0.0,0.0,,,0.0
115,5.414905,1.0,4.0,1.0,,,0.0
116,0.2940141,1.0,0.0,0.0,,,0.0
117,4.9188075,1.0,0.0,0.0,,,0.0
118,5.3064146,1.0,216.0,1.0,,,0.0
119,7.937534,1.0,0.0,0.0,,,0.0
120,2.047245,1.0,0.0,0.0,,,0.0
121,7.586923,1.0,0.0,1.0,,,0.0
