,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,40.671196,1.0,11.320755,1.0,,,1.0
1,42.112698,1.0,1.5726496,1.0,,,1.0
2,154.73302,1.0,6.2819543,1.0,,,1.0
3,9.691085,1.0,0.0,1.0,,,1.0
4,94.84128,1.0,24.0,1.0,,,1.0
5,41.279793,1.0,0.0,1.0,,,1.0
6,0.2484255,1.0,0.0,1.0,,,1.0
7,15.559877,1.0,0.0,1.0,,,1.0
8,206.8255,1.0,4.8,1.0,,,1.0
9,27.373327,1.0,15.36,1.0,,,1.0
10,95.24497,1.0,3.6717663,1.0,,,1.0
11,44.124905,1.0,3.2727273,1.0,,,1.0
12,19.536232,1.0,2.6666667,1.0,,,1.0
13,25.467949,1.0,0.0,1.0,,,1.0
14,13.413819,1.0,4.848485,1.0,,,1.0
15,19.77807,1.0,0.0,1.0,,,1.0
16,3.221213,1.0,2.0,1.0,,,1.0
17,31.007153,1.0,3.4285715,1.0,,,1.0
18,94.07647,1.0,1.9047619,1.0,,,1.0
19,53.57545,1.0,0.0,1.0,,,1.0
20,149.42079,1.0,13.108434,1.0,,,1.0
21,9.791111,1.0,1.3333334,1.0,,,1.0
22,47.846252,1.0,2.4,1.0,,,1.0
23,26.781069,1.0,3.7894738,1.0,,,1.0
24,42.7449,1.0,8.358209,1.0,,,1.0
25,18.624144,1.0,16.0,1.0,,,1.0
26,48.5219,1.0,5.142857,1.0,,,1.0
27,41.994705,1.0,3.9724138,1.0,,,1.0
28,85.48245,1.0,2.6666667,1.0,,,1.0
29,14.114257,1.0,3.7777777,1.0,,,1.0
30,15.156142,1.0,8.0,1.0,,,1.0
31,34.831455,1.0,11.666667,1.0,,,1.0
32,8.338097,1.0,0.0,1.0,,,1.0
33,33.32116,1.0,4.0,1.0,,,1.0
34,12.3978405,1.0,4.0,1.0,,,1.0
35,88.53466,1.0,0.0,1.0,,,1.0
36,37.0335,1.0,2.6666667,1.0,,,1.0
37,8.622475,1.0,4.0,1.0,,,1.0
38,7.121284,1.0,0.0,1.0,,,1.0
39,35.27759,1.0,2.3529413,1.0,,,1.0
40,20.430506,1.0,16.0,1.0,,,1.0
41,34.8049,1.0,4.0,1.0,,,1.0
42,72.01801,1.0,50.399506,1.0,,,1.0
43,115.56199,1.0,68.0,1.0,,,1.0
44,121.81939,1.0,8.859793,1.0,,,1.0
45,0.1570729,1.0,0.0,1.0,,,1.0
46,9.954559,1.0,0.0,1.0,,,1.0
47,8.473923,1.0,4.0,1.0,,,1.0
48,1.3718703,1.0,0.0,1.0,,,1.0
49,18.25086,1.0,4.0,1.0,,,1.0
50,33.77711,1.0,15.746032,1.0,,,1.0
51,21.297281,1.0,1.8181819,1.0,,,1.0
52,13.451455,1.0,3.4285715,1.0,,,1.0
53,261.3009,1.0,2.1818182,1.0,,,1.0
54,6.1889105,1.0,4.0,1.0,,,1.0
55,54.767933,1.0,3.9245284,1.0,,,1.0
56,14.892315,1.0,4.0,1.0,,,1.0
57,7.9034476,1.0,0.0,1.0,,,1.0
58,2.7451494,1.0,2.0,1.0,,,1.0
59,7.6114473,1.0,28.0,1.0,,,1.0
60,37.39304,1.0,3.2,1.0,,,1.0
61,8.285439,1.0,0.0,1.0,,,1.0
62,48.599693,1.0,0.0,1.0,,,1.0
63,1.6460224,1.0,1.9130435,1.0,,,1.0
64,28.43547,1.0,6.753247,1.0,,,1.0
65,48.28635,1.0,2.304,1.0,,,1.0
66,18.516783,1.0,8.0,1.0,,,1.0
67,5.027995,1.0,20.0,1.0,,,1.0
68,2.3333075,1.0,0.0,1.0,,,1.0
69,18.291393,1.0,16.0,1.0,,,1.0
70,72.01801,1.0,12.93857,1.0,,,1.0
71,161.0777,1.0,3.2,1.0,,,1.0
72,24.481813,1.0,4.0,1.0,,,1.0
73,7.9071436,1.0,12.721556,1.0,,,1.0
74,32.306385,1.0,2.313253,1.0,,,1.0
75,45.968487,1.0,8.816326,1.0,,,1.0
76,103.35411,1.0,10.909091,1.0,,,1.0
77,45.13005,1.0,1.8181819,1.0,,,1.0
78,14.631067,1.0,3.7390375,1.0,,,1.0
79,26.41941,1.0,0.0,1.0,,,1.0
80,13.822417,1.0,10.666667,1.0,,,1.0
81,161.47151,1.0,2.1333334,1.0,,,1.0
82,182.9922,1.0,6.857143,1.0,,,1.0
83,55.206715,1.0,0.0,1.0,,,1.0
84,181.25383,1.0,1.7834395,1.0,,,1.0
85,21.054567,1.0,0.0,1.0,,,1.0
86,51.278713,1.0,12.0,1.0,,,1.0
87,21.890099,1.0,6.632549,1.0,,,1.0
88,261.3009,1.0,0.0,1.0,,,1.0
89,28.117695,1.0,4.2183404,1.0,,,1.0
90,28.911314,1.0,0.0,1.0,,,1.0
91,33.649643,1.0,0.0,1.0,,,1.0
92,4.6557827,1.0,0.0,1.0,,,1.0
93,59.021523,1.0,4.0,1.0,,,1.0
94,42.476795,1.0,56.0,1.0,,,1.0
95,50.47415,1.0,0.0,1.0,,,1.0
96,5.532263,1.0,40.0,1.0,,,1.0
97,93.50586,1.0,3.047619,1.0,,,1.0
98,76.6192,1.0,9.6,1.0,,,1.0
99,29.178854,1.0,24.0,1.0,,,1.0
100,107.28022,1.0,2.6666667,1.0,,,1.0
101,90.732285,1.0,7.937008,1.0,,,1.0
102,26.516829,1.0,2.6046512,1.0,,,1.0
103,22.37808,1.0,8.0,1.0,,,1.0
104,21.017817,1.0,36.0,1.0,,,1.0
105,8.972481,1.0,12.0,1.0,,,1.0
106,139.32462,1.0,3.0,1.0,,,1.0
107,134.15952,1.0,1.7142857,1.0,,,1.0
