,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,0.0,1.0,0.0,1.0,,,1.0
1,0.0,1.0,0.0,1.0,,,1.0
2,1.945457,1.0,0.10526316,1.0,,,1.0
3,4.390305,1.0,0.16666667,1.0,,,1.0
4,2.4853396,1.0,0.33333334,1.0,,,1.0
5,0.0,1.0,0.0,1.0,,,1.0
6,0.8590988,1.0,0.0,1.0,,,1.0
7,10.115055,1.0,0.029411765,1.0,,,1.0
8,3.891742,1.0,0.10526316,1.0,,,1.0
9,2.179281,1.0,0.028985508,1.0,,,1.0
10,1.4525453,1.0,0.0,1.0,,,1.0
11,1.6591707,1.0,0.18181819,1.0,,,1.0
12,0.0,1.0,0.0,1.0,,,1.0
13,10.817039,1.0,0.02173913,1.0,,,1.0
14,0.0,1.0,0.0,1.0,,,1.0
15,0.0,1.0,0.0,1.0,,,1.0
16,1.7015617,1.0,0.035714287,1.0,,,1.0
17,0.0,1.0,0.0,1.0,,,1.0
18,0.0,1.0,0.0,1.0,,,1.0
19,0.0,1.0,0.0,1.0,,,1.0
20,0.0,1.0,0.0,1.0,,,1.0
21,1.9946532,1.0,0.18181819,1.0,,,1.0
22,11.440937,1.0,0.023255814,1.0,,,1.0
23,0.0,1.0,0.0,1.0,,,1.0
24,0.0,1.0,0.0,1.0,,,1.0
25,1.5813656,1.0,0.030303031,1.0,,,1.0
26,2.9778953,1.0,0.0,1.0,,,1.0
27,3.5854566,1.0,0.0,1.0,,,1.0
28,0.0,1.0,0.0,1.0,,,1.0
29,8.614161,1.0,0.023529412,1.0,,,1.0
30,0.0,1.0,0.0,1.0,,,1.0
31,0.0,1.0,0.0,1.0,,,1.0
32,0.4773663,1.0,0.0,1.0,,,1.0
33,0.0,1.0,0.0,1.0,,,1.0
34,0.0,1.0,0.0,1.0,,,1.0
35,1.4093688,1.0,0.07692308,1.0,,,1.0
36,1.9836698,1.0,0.15384616,1.0,,,1.0
37,0.0,1.0,0.0,1.0,,,1.0
38,0.0,1.0,0.0,1.0,,,1.0
39,0.0,1.0,0.0,1.0,,,1.0
40,0.0,1.0,0.0,1.0,,,1.0
41,0.0,1.0,0.0,1.0,,,1.0
42,1.4835007,1.0,0.06451613,1.0,,,1.0
43,6.8514986,1.0,0.04761905,1.0,,,1.0
44,0.0,1.0,0.0,1.0,,,1.0
45,3.2317517,1.0,0.026666667,1.0,,,1.0
46,0.0,1.0,0.0,1.0,,,1.0
47,2.054129,1.0,0.2,1.0,,,1.0
48,0.0,1.0,0.0,1.0,,,1.0
49,2.6570308,1.0,0.0,1.0,,,1.0
50,1.0132302,1.0,0.0,1.0,,,1.0
51,0.0,1.0,0.0,1.0,,,1.0
52,0.0,1.0,0.0,1.0,,,1.0
53,0.0,1.0,0.0,1.0,,,1.0
54,4.241593,1.0,0.057142857,1.0,,,1.0
55,0.7213475,1.0,0.0,1.0,,,1.0
56,0.0,1.0,0.0,1.0,,,1.0
57,1.481353,1.0,0.029850746,1.0,,,1.0
58,1.9528617,1.0,0.25,1.0,,,1.0
59,0.0,1.0,0.0,1.0,,,1.0
60,0.0,1.0,0.0,1.0,,,1.0
61,1.7309862,1.0,0.33333334,1.0,,,1.0
62,0.0,1.0,0.0,1.0,,,0.0
63,7.9638605,1.0,0.016393442,1.0,,,0.0
64,14.720239,1.0,0.008130081,1.0,,,0.0
65,1.8978146,1.0,0.5,1.0,,,0.0
66,3.734975,1.0,0.09090909,1.0,,,0.0
67,4.502392,1.0,0.024390243,1.0,,,0.0
68,0.27108502,1.0,0.0,1.0,,,
