,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,11.669955,0.0,0.0,0.0,,,1.0
1,5.189641,0.0,4.0,1.0,,,1.0
2,13.502379,0.0,0.0,0.0,,,1.0
3,6.2400007,0.0,2.0,1.0,,,1.0
4,7.431855,0.0,1.0,0.0,,,1.0
5,5.186757,0.0,2.0,1.0,,,1.0
6,14.52694,0.0,0.0,0.0,,,1.0
7,9.96716,0.0,0.0,0.0,,,1.0
8,15.183366,0.0,4.0,1.0,,,1.0
9,7.543112,0.0,2.0,1.0,,,1.0
10,8.848809,0.0,1.0,1.0,,,1.0
11,12.402323,0.0,0.0,0.0,,,1.0
12,12.4311905,0.0,4.0,1.0,,,1.0
13,10.602403,0.0,0.0,0.0,,,1.0
14,10.970414,0.0,2.0,1.0,,,1.0
15,18.419378,0.0,0.0,0.0,,,1.0
16,9.054944,0.0,0.0,0.0,,,1.0
17,8.694438,0.0,4.0,1.0,,,1.0
18,16.926378,0.0,4.0,1.0,,,1.0
19,9.054944,0.0,0.0,0.0,,,1.0
20,6.7006097,0.0,0.0,0.0,,,1.0
21,11.671827,0.0,0.0,0.0,,,1.0
22,7.667018,0.0,1.0,0.0,,,1.0
23,11.434773,0.0,0.0,0.0,,,1.0
24,17.911102,0.0,0.0,0.0,,,1.0
25,5.832914,0.0,4.0,1.0,,,1.0
26,6.1109557,0.0,0.0,0.0,,,1.0
27,6.2088375,0.0,4.0,1.0,,,1.0
28,9.622421,0.0,0.0,0.0,,,1.0
29,9.351508,0.0,4.0,1.0,,,1.0
30,17.52908,0.0,0.0,0.0,,,1.0
31,7.6695175,0.0,2.0,1.0,,,1.0
32,6.098003,0.0,0.0,0.0,,,1.0
33,16.313164,0.0,4.0,1.0,,,1.0
34,15.64236,0.0,2.0,1.0,,,1.0
35,14.758269,0.0,0.0,0.0,,,1.0
36,10.932076,0.0,0.0,0.0,,,1.0
37,10.568123,0.0,0.0,0.0,,,1.0
38,13.76832,0.0,2.0,1.0,,,1.0
39,6.265013,0.0,2.0,1.0,,,1.0
40,6.1951814,0.0,2.0,1.0,,,1.0
41,12.484458,0.0,0.0,0.0,,,1.0
42,6.12082,0.0,2.0,1.0,,,1.0
43,11.805722,0.0,4.0,1.0,,,1.0
44,11.903752,0.0,2.0,1.0,,,1.0
45,9.933134,0.0,1.0,1.0,,,1.0
46,4.2382727,0.0,0.0,0.0,,,1.0
47,18.419378,0.0,0.0,0.0,,,1.0
48,11.324993,0.0,2.0,1.0,,,1.0
49,17.975115,0.0,2.0,1.0,,,1.0
50,10.243518,0.0,4.0,1.0,,,1.0
51,11.138746,0.0,4.0,1.0,,,1.0
52,10.938409,0.0,1.0,1.0,,,1.0
53,16.926378,0.0,4.0,1.0,,,1.0
54,7.75859,0.0,2.0,1.0,,,1.0
55,11.769012,0.0,2.0,1.0,,,1.0
56,7.0067835,0.0,1.0,0.0,,,1.0
57,6.5626426,0.0,1.0,0.0,,,1.0
58,16.241478,0.0,4.0,1.0,,,1.0
59,15.697699,0.0,4.0,1.0,,,1.0
60,14.31897,0.0,2.0,1.0,,,1.0
61,10.023836,0.0,4.0,1.0,,,1.0
62,4.166885,0.0,4.0,1.0,,,1.0
63,6.932428,0.0,0.0,0.0,,,1.0
