,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,9.354597,0.0,0.0,0.0,,,1.0
1,9.439574,0.0,0.06666667,0.0,,,1.0
2,5.4795995,0.0,0.0,0.0,,,1.0
3,8.100042,0.0,0.09090909,0.0,,,1.0
4,8.310548,0.0,0.2,0.0,,,1.0
5,1.8660176,0.0,0.0,0.0,,,1.0
6,6.176522,0.0,0.0,0.0,,,1.0
7,1.6088729,0.0,0.09090909,0.0,,,1.0
8,8.98046,0.0,0.2,0.0,,,1.0
9,3.34059,0.0,0.0,0.0,,,1.0
10,9.174978,0.0,0.071428575,0.0,,,1.0
11,3.2461925,0.0,0.11111111,0.0,,,1.0
12,9.639831,0.0,0.25,1.0,,,1.0
13,2.9996083,0.0,0.0,0.0,,,1.0
14,8.59685,0.0,0.14285715,0.0,,,1.0
15,9.37644,0.0,0.045454547,0.0,,,1.0
16,5.652073,0.0,0.0,0.0,,,1.0
17,5.768928,0.0,0.0,0.0,,,1.0
18,8.7355995,0.0,0.2,1.0,,,1.0
19,10.278457,0.0,0.0,0.0,,,1.0
20,9.665248,0.0,0.0,0.0,,,1.0
21,6.4601374,0.0,0.0,0.0,,,1.0
22,6.377308,0.0,0.032258064,0.0,,,1.0
23,7.646797,0.0,0.16666667,0.0,,,1.0
24,9.452391,0.0,0.09090909,0.0,,,1.0
25,5.8290324,0.0,0.11111111,0.0,,,1.0
26,6.7785153,0.0,0.33333334,1.0,,,1.0
27,7.1490545,0.0,0.125,0.0,,,1.0
28,2.2008972,0.0,0.33333334,0.0,,,1.0
29,7.5350814,0.0,0.0,0.0,,,1.0
30,8.785304,0.0,0.037037037,0.0,,,1.0
31,9.890447,0.0,0.06666667,0.0,,,1.0
32,8.565199,0.0,0.16666667,0.0,,,1.0
33,7.3783555,0.0,0.2,0.0,,,1.0
34,4.3184423,0.0,0.22222222,0.0,,,1.0
35,6.7338705,0.0,0.2857143,1.0,,,1.0
36,9.161057,0.0,0.0,0.0,,,1.0
37,6.2201166,0.0,0.18181819,0.0,,,1.0
38,1.6088729,0.0,0.25,0.0,,,1.0
39,7.1039524,0.0,0.045454547,0.0,,,1.0
40,3.4325662,0.0,0.33333334,1.0,,,1.0
41,8.59685,0.0,0.18181819,0.0,,,1.0
42,6.4875255,0.0,0.0,0.0,,,1.0
43,7.540779,0.0,0.14285715,0.0,,,1.0
44,0.49500364,0.0,0.0,0.0,,,1.0
45,7.2857437,0.0,0.0,0.0,,,1.0
46,9.665248,0.0,0.0,0.0,,,1.0
47,8.785304,0.0,0.2,1.0,,,1.0
48,5.8231144,0.0,0.11111111,0.0,,,1.0
49,4.783951,0.0,0.04,0.0,,,1.0
50,7.1490545,0.0,0.13333334,0.0,,,1.0
51,7.213489,0.0,0.125,0.0,,,1.0
52,5.0375476,0.0,0.14285715,0.0,,,1.0
53,5.1190896,0.0,0.13333334,0.0,,,1.0
54,7.0981646,0.0,0.2857143,1.0,,,1.0
55,6.8150244,0.0,0.2,0.0,,,1.0
56,9.157502,0.0,0.33333334,1.0,,,1.0
57,4.6422253,0.0,0.5,1.0,,,1.0
58,6.0313797,0.0,0.16666667,0.0,,,1.0
59,8.202897,0.0,0.0,0.0,,,1.0
60,7.4582195,0.0,0.09090909,0.0,,,1.0
61,7.2107325,0.0,0.1,0.0,,,1.0
62,9.36683,0.0,0.11111111,0.0,,,1.0
63,5.1075854,0.0,0.09090909,0.0,,,1.0
64,9.238641,0.0,0.22222222,0.0,,,1.0
65,6.4539447,0.0,0.0,0.0,,,1.0
66,2.3951147,0.0,0.11111111,0.0,,,1.0
67,10.200558,0.0,0.06666667,0.0,,,1.0
68,3.1429455,0.0,0.33333334,0.0,,,1.0
69,6.3851337,0.0,0.14285715,0.0,,,1.0
70,6.8968163,0.0,0.2,0.0,,,1.0
71,4.823276,0.0,0.0,0.0,,,1.0
72,2.8731394,0.0,0.04,0.0,,,1.0
73,4.2345915,0.0,0.2,0.0,,,1.0
74,6.973155,0.0,0.33333334,1.0,,,1.0
75,5.6442065,0.0,0.0,0.0,,,1.0
76,6.4228783,0.0,0.14285715,0.0,,,1.0
77,8.776272,0.0,0.0,0.0,,,1.0
78,7.207875,0.0,0.071428575,0.0,,,1.0
79,2.197811,0.0,0.14285715,0.0,,,1.0
80,7.213489,0.0,0.11111111,0.0,,,1.0
81,6.1351533,0.0,0.2,0.0,,,1.0
82,7.9271903,0.0,0.25,0.0,,,1.0
83,5.2112117,0.0,0.0,0.0,,,1.0
84,6.60323,0.0,0.0,0.0,,,1.0
85,6.04925,0.0,0.0,0.0,,,1.0
86,2.7783673,0.0,0.125,0.0,,,1.0
87,5.9951496,0.0,0.15384616,0.0,,,1.0
88,4.726097,0.0,0.11111111,0.0,,,1.0
89,8.408133,0.0,0.0,0.0,,,1.0
90,6.7338705,0.0,0.125,0.0,,,1.0
91,3.9361393,0.0,0.33333334,1.0,,,1.0
92,6.9610853,0.0,0.25,0.0,,,1.0
93,3.7309005,0.0,0.0,0.0,,,1.0
94,8.734464,0.0,0.05,0.0,,,1.0
95,8.440811,0.0,0.125,0.0,,,1.0
96,5.292206,0.0,0.25,0.0,,,1.0
97,5.3206306,0.0,0.16666667,0.0,,,1.0
98,6.0170093,0.0,0.04347826,0.0,,,1.0
99,9.213677,0.0,0.0,0.0,,,1.0
100,8.159425,0.0,0.0,0.0,,,1.0
101,4.812139,0.0,0.14285715,0.0,,,1.0
102,5.1274104,0.0,0.0,0.0,,,1.0
103,8.313732,0.0,0.1,0.0,,,1.0
104,8.55302,0.0,0.06666667,0.0,,,1.0
105,3.38872,0.0,0.071428575,0.0,,,1.0
106,8.235965,0.0,0.06666667,0.0,,,1.0
107,9.771679,0.0,0.0,0.0,,,1.0
108,8.848694,0.0,0.125,0.0,,,1.0
109,7.9305615,0.0,0.13333334,0.0,,,1.0
110,8.368715,0.0,0.06666667,0.0,,,1.0
111,1.5151119,0.0,0.0,0.0,,,0.0
112,2.6110792,0.0,0.0,0.0,,,0.0
113,9.222769,0.0,0.0,0.0,,,0.0
114,6.5666575,0.0,0.0,0.0,,,0.0
115,6.453981,0.0,0.0,0.0,,,0.0
116,5.031332,0.0,0.0,0.0,,,0.0
117,6.7153616,0.0,0.0,0.0,,,0.0
118,3.0372193,0.0,0.0,0.0,,,0.0
119,0.822394,0.0,0.0,0.0,,,0.0
120,0.5163311,0.0,0.0,0.0,,,0.0
121,1.0375803,0.0,0.0,0.0,,,0.0
122,4.5911355,0.0,0.0,0.0,,,0.0
123,5.345928,0.0,0.0,0.0,,,0.0
124,1.9408133,0.0,0.0,0.0,,,0.0
125,6.100971,0.0,0.0,0.0,,,0.0
126,2.0136907,0.0,0.0,0.0,,,0.0
127,8.440811,0.0,0.0,0.0,,,0.0
128,3.901554,0.0,0.0,0.0,,,0.0
129,1.3615705,0.0,0.0,0.0,,,0.0
130,2.903255,0.0,0.0,0.0,,,0.0
131,4.7568364,0.0,0.0,0.0,,,0.0
132,6.697893,0.0,0.0,0.0,,,0.0
133,0.22391862,0.0,0.0,0.0,,,0.0
134,6.41497,0.0,0.0,0.0,,,0.0
135,4.7261763,0.0,0.0,0.0,,,0.0
136,5.079447,0.0,0.0,0.0,,,0.0
137,6.5338693,0.0,0.0,0.0,,,0.0
138,5.658558,0.0,0.0,0.0,,,0.0
139,1.8139739,0.0,0.0,0.0,,,0.0
140,2.063138,0.0,0.0,0.0,,,0.0
141,7.18302,0.0,0.0,0.0,,,0.0
142,3.7024267,0.0,0.0,0.0,,,0.0
143,6.0884547,0.0,0.0,0.0,,,0.0
144,6.0824847,0.0,0.0,0.0,,,0.0
145,6.635482,0.0,0.0,0.0,,,0.0
146,5.503033,0.0,0.0,0.0,,,0.0
147,5.351565,0.0,0.0,0.0,,,0.0
148,6.696256,0.0,0.0,0.0,,,0.0
149,6.9860196,0.0,0.0,0.0,,,0.0
150,3.0137787,0.0,0.0,0.0,,,0.0
151,6.9249673,0.0,0.0,0.0,,,0.0
152,5.18463,0.0,0.0,0.0,,,0.0
153,4.76722,0.0,0.0,0.0,,,0.0
154,2.4389043,0.0,0.0,0.0,,,0.0
155,1.8298093,0.0,0.0,0.0,,,0.0
156,1.1116349,0.0,0.0,0.0,,,0.0
157,2.3264978,0.0,0.0,0.0,,,0.0
158,5.1477985,0.0,0.0,0.0,,,0.0
159,5.8666415,0.0,0.0,0.0,,,0.0
160,7.6131067,0.0,0.0,0.0,,,0.0
161,1.513954,0.0,0.0,0.0,,,0.0
162,3.4223268,0.0,0.0,0.0,,,0.0
163,7.9078503,0.0,0.0,0.0,,,0.0
164,5.318265,0.0,0.0,0.0,,,0.0
165,7.8525777,0.0,0.0,0.0,,,0.0
166,1.0518868,0.0,0.0,0.0,,,0.0
167,3.11165,0.0,0.0,0.0,,,0.0
168,8.702627,0.0,0.0,0.0,,,0.0
169,0.8501881,0.0,0.0,0.0,,,0.0
170,8.805455,0.0,0.0,0.0,,,0.0
171,7.7555437,0.0,0.0,0.0,,,0.0
172,0.7797017,0.0,0.0,0.0,,,0.0
173,2.8939476,0.0,0.0,0.0,,,0.0
174,5.111131,0.0,0.0,0.0,,,0.0
175,4.530808,0.0,0.0,0.0,,,0.0
176,0.53127617,0.0,0.0,0.0,,,0.0
177,7.990628,0.0,0.0,0.0,,,0.0
178,2.0541375,0.0,0.0,0.0,,,0.0
179,7.583593,0.0,0.0,0.0,,,0.0
180,3.8721967,0.0,0.0,0.0,,,0.0
181,0.74599504,0.0,0.0,0.0,,,0.0
182,7.469187,0.0,0.0,0.0,,,0.0
183,1.6871845,0.0,0.0,0.0,,,0.0
184,7.349701,0.0,0.0,0.0,,,0.0
185,3.185469,0.0,0.0,0.0,,,0.0
186,7.1238136,0.0,0.0,0.0,,,0.0
187,2.1523063,0.0,0.0,0.0,,,0.0
188,1.5722592,0.0,0.0,0.0,,,0.0
189,4.7555566,0.0,0.0,0.0,,,0.0
190,1.4714961,0.0,0.0,0.0,,,0.0
191,3.687201,0.0,0.0,0.0,,,0.0
192,2.747205,0.0,0.0,0.0,,,0.0
193,6.2095,0.0,0.0,0.0,,,0.0
194,5.3064146,0.0,0.0,0.0,,,0.0
195,1.0075551,0.0,0.0,0.0,,,0.0
196,4.494561,0.0,0.0,0.0,,,0.0
197,6.2462945,0.0,0.0,0.0,,,0.0
198,4.9127812,0.0,0.0,0.0,,,0.0
199,3.1421456,0.0,0.0,0.0,,,0.0
200,0.61980784,0.0,0.0,0.0,,,0.0
201,4.2999372,0.0,0.0,0.0,,,0.0
202,5.657966,0.0,0.0,0.0,,,0.0
203,6.4012847,0.0,0.0,0.0,,,0.0
204,5.911311,0.0,0.0,0.0,,,0.0
205,4.258102,0.0,0.0,0.0,,,0.0
206,1.5371931,0.0,0.0,0.0,,,0.0
207,5.8841,0.0,0.0,0.0,,,0.0
208,3.9450462,0.0,0.0,0.0,,,0.0
209,0.8477406,0.0,0.0,0.0,,,0.0
210,1.1437846,0.0,0.0,0.0,,,0.0
211,0.97953975,0.0,0.0,0.0,,,0.0
212,2.7162957,0.0,0.0,0.0,,,0.0
213,4.7986,0.0,0.0,0.0,,,0.0
214,1.3419452,0.0,0.0,0.0,,,0.0
215,2.4910274,0.0,0.0,0.0,,,0.0
216,2.3778148,0.0,0.0,0.0,,,0.0
217,10.170752,0.0,0.0,0.0,,,0.0
218,0.774271,0.0,0.0,0.0,,,0.0
219,7.5094194,0.0,0.0,0.0,,,0.0
220,7.5031023,0.0,0.0,0.0,,,0.0
221,6.2367425,0.0,0.0,0.0,,,0.0
222,6.3423114,0.0,0.0,0.0,,,0.0
223,6.3590536,0.0,0.0,0.0,,,0.0
224,0.2835785,0.0,0.0,0.0,,,0.0
225,1.1127477,0.0,0.0,0.0,,,0.0
226,4.670999,0.0,0.0,0.0,,,0.0
227,3.7509837,0.0,0.0,0.0,,,0.0
228,5.966276,0.0,0.0,0.0,,,0.0
229,5.111131,0.0,0.0,0.0,,,0.0
230,5.112012,0.0,0.0,0.0,,,0.0
231,8.408133,0.0,0.0,0.0,,,0.0
232,4.956136,0.0,0.0,0.0,,,0.0
233,4.4822264,0.0,0.0,0.0,,,0.0
234,2.3377523,0.0,0.0,0.0,,,0.0
235,5.8540564,0.0,0.0,0.0,,,0.0
236,2.0410287,0.0,0.0,0.0,,,0.0
237,0.78735393,0.0,0.0,0.0,,,0.0
238,5.9309897,0.0,0.0,0.0,,,0.0
239,5.766933,0.0,0.0,0.0,,,0.0
240,0.9994913,0.0,0.0,0.0,,,0.0
241,4.81579,0.0,0.0,0.0,,,0.0
242,1.2334222,0.0,0.0,0.0,,,0.0
243,10.27195,0.0,0.0,0.0,,,0.0
244,5.100164,0.0,0.0,0.0,,,0.0
245,3.959077,0.0,0.0,0.0,,,0.0
246,7.3338995,0.0,0.0,0.0,,,0.0
247,3.2293975,0.0,0.0,0.0,,,0.0
248,3.5041475,0.0,0.0,0.0,,,0.0
249,1.0470173,0.0,0.0,0.0,,,0.0
250,8.7804165,0.0,0.0,0.0,,,0.0
251,6.820412,0.0,0.0,0.0,,,0.0
252,4.651823,0.0,0.0,0.0,,,0.0
253,0.2769379,0.0,0.0,0.0,,,0.0
254,7.9196224,0.0,0.0,0.0,,,0.0
255,5.5353036,0.0,0.0,0.0,,,0.0
256,6.661922,0.0,0.0,0.0,,,0.0
257,7.351695,0.0,0.0,0.0,,,0.0
258,4.134811,0.0,0.0,0.0,,,0.0
259,1.0351845,0.0,0.0,0.0,,,0.0
260,3.8010736,0.0,0.0,0.0,,,0.0
