,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,41.73052,1.0,0.15325601,1.0,,,1.0
1,153.34569,1.0,0.72642195,1.0,,,1.0
2,99.69472,1.0,0.752095,1.0,,,1.0
3,3.1168346,1.0,0.0,0.0,,,1.0
4,27.61025,1.0,0.0,1.0,,,1.0
5,9.588728,1.0,0.0,1.0,,,1.0
6,92.49563,1.0,0.0,1.0,,,1.0
7,15.788984,1.0,0.0,1.0,,,1.0
8,62.09655,1.0,0.18478666,1.0,,,1.0
9,82.44235,1.0,0.4434783,1.0,,,1.0
10,1.7761075,1.0,0.0,0.0,,,1.0
11,13.872886,1.0,0.19608356,1.0,,,1.0
12,6.3621426,1.0,0.0,1.0,,,1.0
13,2.4795337,1.0,0.0,0.0,,,1.0
14,18.522852,1.0,0.14993632,1.0,,,1.0
15,25.47236,1.0,0.0,1.0,,,1.0
16,91.939545,1.0,0.37685615,1.0,,,1.0
17,53.407063,1.0,0.0,1.0,,,1.0
18,31.164629,1.0,0.44968215,1.0,,,1.0
19,117.657394,1.0,0.3746413,1.0,,,1.0
20,205.29916,1.0,0.6755443,1.0,,,1.0
21,25.412943,1.0,0.99153274,1.0,,,1.0
22,9.957767,1.0,0.0,1.0,,,1.0
23,157.57758,1.0,0.4943709,1.0,,,1.0
24,18.860516,1.0,0.0,1.0,,,1.0
25,83.832504,1.0,0.44445124,1.0,,,1.0
26,8.635351,1.0,0.0,1.0,,,1.0
27,35.487835,1.0,0.18803637,1.0,,,1.0
28,32.258984,1.0,0.0,1.0,,,1.0
29,12.458888,1.0,0.0,1.0,,,1.0
30,99.4692,1.0,0.38998264,1.0,,,1.0
31,17.494707,1.0,0.0,1.0,,,1.0
32,8.374042,1.0,0.0,1.0,,,1.0
33,7.1287804,1.0,0.0,1.0,,,1.0
34,32.86536,1.0,0.5326197,1.0,,,1.0
35,44.150455,1.0,0.8150693,1.0,,,1.0
36,5.2481914,1.0,0.0,0.0,,,1.0
37,9.584733,1.0,0.0,1.0,,,1.0
38,116.28906,1.0,0.0,1.0,,,1.0
39,126.32238,1.0,0.76995057,1.0,,,1.0
40,0.30451295,1.0,0.0,0.0,,,1.0
41,20.454884,1.0,0.84769475,1.0,,,1.0
42,8.166932,1.0,0.0,1.0,,,1.0
43,5.4541564,1.0,0.0,0.0,,,1.0
44,0.991009,1.0,0.0,0.0,,,1.0
45,44.683746,1.0,0.38617578,1.0,,,1.0
46,18.713104,1.0,0.0,1.0,,,1.0
47,13.945427,1.0,0.233827,1.0,,,1.0
48,19.771952,1.0,0.48285988,1.0,,,1.0
49,8.4920845,1.0,0.25308487,1.0,,,1.0
50,53.001972,1.0,0.17005262,1.0,,,1.0
51,37.98495,1.0,0.20480044,1.0,,,1.0
52,9.042755,1.0,0.0,1.0,,,1.0
53,1.4640683,1.0,0.22569202,1.0,,,1.0
54,47.050537,1.0,0.42908904,1.0,,,1.0
55,28.428478,1.0,0.78645283,1.0,,,1.0
56,19.401312,1.0,0.0,1.0,,,1.0
57,2.3361905,1.0,0.0,0.0,,,1.0
58,17.91611,1.0,0.0,1.0,,,1.0
59,10.450488,1.0,0.0,1.0,,,1.0
60,156.72801,1.0,0.3899485,1.0,,,1.0
61,8.190788,1.0,0.0,1.0,,,1.0
62,6.9648786,1.0,0.89276963,1.0,,,1.0
63,125.298325,1.0,0.36730567,1.0,,,1.0
64,31.48095,1.0,0.9136802,1.0,,,1.0
65,4.6051583,1.0,0.0,0.0,,,1.0
66,66.848404,1.0,0.94875306,1.0,,,1.0
67,101.60139,1.0,0.18478666,1.0,,,1.0
68,10.1488,1.0,0.49176803,1.0,,,1.0
69,146.62535,1.0,0.762855,1.0,,,1.0
70,15.744438,1.0,0.42331168,1.0,,,1.0
71,43.156994,1.0,0.7757635,1.0,,,1.0
72,46.45614,1.0,0.46239263,1.0,,,1.0
73,14.600292,1.0,0.18478666,1.0,,,1.0
74,181.31082,1.0,0.16441368,1.0,,,1.0
75,160.59735,1.0,0.84396696,1.0,,,1.0
76,181.49434,1.0,0.90437555,1.0,,,1.0
77,36.50482,1.0,0.71990305,1.0,,,1.0
78,21.847363,1.0,0.9663007,1.0,,,1.0
79,262.10565,1.0,0.0,1.0,,,1.0
80,27.497202,1.0,1.0222666,1.0,,,1.0
81,6.190178,1.0,0.0,1.0,,,1.0
82,33.46133,1.0,0.0,1.0,,,1.0
83,8.704453,1.0,0.5439221,1.0,,,1.0
84,50.952835,1.0,0.0,1.0,,,1.0
85,162.48106,1.0,0.0,1.0,,,1.0
86,29.24637,1.0,0.0,1.0,,,1.0
87,38.68866,1.0,0.17491607,1.0,,,1.0
88,84.86066,1.0,0.0,1.0,,,1.0
89,92.38261,1.0,0.365004,1.0,,,1.0
90,25.285122,1.0,0.20417164,1.0,,,1.0
91,3.1259265,1.0,0.0,0.0,,,1.0
92,10.497699,1.0,0.0,1.0,,,1.0
93,7.0446672,1.0,0.0,1.0,,,1.0
94,14.500205,1.0,0.0,1.0,,,1.0
95,27.060057,1.0,0.24229887,1.0,,,1.0
96,24.004923,1.0,0.7739033,1.0,,,1.0
97,0.44487274,1.0,0.0,0.0,,,1.0
98,3.0072038,1.0,0.26425737,1.0,,,1.0
99,25.617277,1.0,0.0,1.0,,,1.0
100,8.539595,1.0,0.0,1.0,,,1.0
101,131.73883,1.0,0.43512142,1.0,,,1.0
102,1.256051,1.0,0.0,0.0,,,1.0
103,56.274406,1.0,0.39630392,1.0,,,1.0
104,28.991755,1.0,0.8156307,1.0,,,1.0
105,157.02151,1.0,0.16111943,1.0,,,1.0
106,84.81656,1.0,0.0,1.0,,,1.0
107,34.831127,1.0,0.0,1.0,,,1.0
108,32.572395,1.0,0.0,1.0,,,1.0
109,2.6051557,1.0,0.0,0.0,,,1.0
110,3.380366,1.0,0.0,0.0,,,1.0
111,6.6779294,1.0,0.0,1.0,,,1.0
112,107.77064,1.0,0.0,1.0,,,1.0
113,27.767809,1.0,0.8367241,1.0,,,1.0
114,59.900723,1.0,0.40310678,1.0,,,1.0
115,101.715096,1.0,0.0,1.0,,,1.0
116,27.106222,1.0,0.1827395,1.0,,,1.0
117,25.82024,1.0,0.0,1.0,,,1.0
118,35.089287,1.0,0.0,1.0,,,1.0
119,99.02782,1.0,0.21357796,1.0,,,1.0
120,77.74894,1.0,0.0,1.0,,,1.0
121,27.635761,1.0,0.0,1.0,,,1.0
122,37.15634,1.0,0.16879757,1.0,,,1.0
123,19.589817,1.0,0.0,1.0,,,1.0
124,73.34973,1.0,0.7437257,1.0,,,1.0
125,150.51396,1.0,0.0,1.0,,,1.0
126,107.572525,1.0,0.8024387,1.0,,,1.0
127,57.881985,1.0,0.76214606,1.0,,,1.0
128,92.92637,1.0,0.43393856,1.0,,,1.0
129,157.22084,1.0,0.75858825,1.0,,,1.0
130,37.305954,1.0,0.0,1.0,,,1.0
131,29.804422,1.0,0.0,1.0,,,1.0
132,287.82474,1.0,0.0,1.0,,,1.0
133,107.77064,1.0,0.7543298,1.0,,,1.0
134,22.729168,1.0,0.81705433,1.0,,,1.0
135,3.2268386,1.0,0.0,0.0,,,1.0
136,24.73026,1.0,0.4971323,1.0,,,1.0
137,6.7512,1.0,0.0,1.0,,,1.0
138,144.49617,1.0,0.8579104,1.0,,,1.0
139,117.657394,1.0,0.3453383,1.0,,,1.0
140,8.235186,1.0,0.25831777,1.0,,,1.0
141,1.451075,1.0,0.0,0.0,,,1.0
142,143.34663,1.0,0.33306536,1.0,,,1.0
143,94.82483,1.0,0.19561861,1.0,,,1.0
144,5.341832,1.0,0.0,0.0,,,1.0
145,0.7699337,1.0,0.0,0.0,,,1.0
