,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,13.531972,1.0,1.0,1.0,,,1.0
1,102.28727,1.0,4.0,1.0,,,1.0
2,10.663681,1.0,4.0,1.0,,,1.0
3,19.773825,1.0,2.0,1.0,,,1.0
4,84.465965,1.0,2.0,1.0,,,1.0
5,15.499193,1.0,0.0,0.0,,,1.0
6,23.058374,1.0,0.0,1.0,,,1.0
7,49.983173,1.0,4.0,1.0,,,1.0
8,21.22935,1.0,4.0,1.0,,,1.0
9,24.987,1.0,4.0,1.0,,,1.0
10,40.049194,1.0,4.0,1.0,,,1.0
11,28.110453,1.0,2.0,1.0,,,1.0
12,33.049328,1.0,2.0,1.0,,,1.0
13,46.07987,1.0,0.0,1.0,,,1.0
14,62.894894,1.0,1.0,1.0,,,1.0
15,43.165974,1.0,2.0,1.0,,,1.0
16,14.041323,1.0,2.0,1.0,,,1.0
17,10.1115,1.0,0.0,0.0,,,1.0
18,20.261427,1.0,2.0,1.0,,,1.0
19,22.720434,1.0,4.0,1.0,,,1.0
20,34.322914,1.0,0.0,1.0,,,1.0
21,1.7345055,0.0,0.0,0.0,,,1.0
22,24.766867,1.0,0.0,1.0,,,1.0
23,3.5367684,0.0,0.0,0.0,,,1.0
24,23.244787,1.0,4.0,1.0,,,1.0
25,115.648125,1.0,4.0,1.0,,,1.0
26,38.798866,1.0,4.0,1.0,,,1.0
27,100.7732,1.0,4.0,1.0,,,1.0
28,7.545566,0.0,4.0,1.0,,,1.0
29,39.039803,1.0,0.0,1.0,,,1.0
30,20.954283,1.0,0.0,1.0,,,1.0
31,37.607414,1.0,2.0,1.0,,,1.0
32,15.172354,1.0,0.0,0.0,,,1.0
33,49.10873,1.0,1.0,1.0,,,1.0
34,57.36424,1.0,1.0,1.0,,,1.0
35,18.958706,1.0,2.0,1.0,,,1.0
36,19.125969,1.0,2.0,1.0,,,1.0
37,51.69957,1.0,4.0,1.0,,,1.0
38,22.756155,1.0,4.0,1.0,,,1.0
39,76.50511,1.0,2.0,1.0,,,1.0
40,15.16512,1.0,0.0,0.0,,,1.0
41,21.930254,1.0,2.0,1.0,,,1.0
42,32.24729,1.0,2.0,1.0,,,1.0
43,27.49112,1.0,2.0,1.0,,,1.0
44,39.642963,1.0,2.0,1.0,,,1.0
45,8.662574,0.0,2.0,1.0,,,1.0
46,0.90754896,0.0,2.0,1.0,,,1.0
47,28.2283,1.0,0.0,1.0,,,1.0
48,16.167782,1.0,0.0,0.0,,,1.0
49,32.10099,1.0,1.0,1.0,,,1.0
50,42.48612,1.0,0.0,1.0,,,1.0
51,64.39853,1.0,2.0,1.0,,,1.0
52,10.780575,1.0,1.0,1.0,,,1.0
53,60.09013,1.0,4.0,1.0,,,1.0
54,9.727767,1.0,0.0,0.0,,,1.0
55,6.4530196,0.0,0.0,0.0,,,1.0
56,85.60559,1.0,2.0,1.0,,,1.0
57,31.460619,1.0,4.0,1.0,,,1.0
58,16.124317,1.0,4.0,1.0,,,1.0
59,16.124317,1.0,2.0,1.0,,,1.0
60,16.226486,1.0,2.0,1.0,,,1.0
61,94.11805,1.0,4.0,1.0,,,1.0
62,29.069569,1.0,0.0,1.0,,,1.0
63,18.589596,1.0,2.0,1.0,,,1.0
64,27.939068,1.0,2.0,1.0,,,1.0
65,61.387123,1.0,2.0,1.0,,,1.0
66,33.04727,1.0,4.0,1.0,,,1.0
67,48.128407,1.0,4.0,1.0,,,1.0
68,8.71556,0.0,0.0,0.0,,,1.0
69,14.05291,1.0,2.0,1.0,,,1.0
70,29.737522,1.0,2.0,1.0,,,1.0
71,5.501712,0.0,0.0,0.0,,,1.0
72,70.743965,1.0,0.0,1.0,,,1.0
73,8.308359,0.0,4.0,1.0,,,1.0
74,125.627975,1.0,4.0,1.0,,,1.0
75,20.623755,1.0,0.0,1.0,,,1.0
76,88.46906,1.0,4.0,1.0,,,1.0
77,41.737495,1.0,2.0,1.0,,,1.0
78,33.317745,1.0,4.0,1.0,,,1.0
79,3.0534775,0.0,0.0,0.0,,,1.0
80,33.45571,1.0,4.0,1.0,,,1.0
81,4.6586695,0.0,4.0,1.0,,,1.0
82,6.2957196,0.0,1.0,1.0,,,1.0
83,15.484814,1.0,4.0,1.0,,,1.0
84,23.74525,1.0,0.0,1.0,,,1.0
85,45.312077,1.0,4.0,1.0,,,1.0
86,6.8439145,0.0,4.0,1.0,,,1.0
87,14.018131,1.0,4.0,1.0,,,1.0
88,21.732628,1.0,0.0,1.0,,,1.0
89,64.57993,1.0,4.0,1.0,,,1.0
90,8.966586,1.0,0.0,0.0,,,1.0
91,26.884676,1.0,2.0,1.0,,,1.0
92,20.407576,1.0,0.0,1.0,,,1.0
93,43.02461,1.0,4.0,1.0,,,1.0
94,116.58709,1.0,4.0,1.0,,,1.0
95,36.80071,1.0,1.0,1.0,,,1.0
96,108.08298,1.0,4.0,1.0,,,1.0
97,18.164972,1.0,4.0,1.0,,,1.0
98,15.030852,1.0,4.0,1.0,,,1.0
99,8.404025,0.0,0.0,0.0,,,1.0
100,26.227175,1.0,2.0,1.0,,,1.0
101,52.135056,1.0,1.0,1.0,,,1.0
102,35.82469,1.0,4.0,1.0,,,1.0
103,44.9858,1.0,4.0,1.0,,,1.0
104,76.50511,1.0,1.0,1.0,,,1.0
105,56.601986,1.0,4.0,1.0,,,1.0
106,10.860366,1.0,2.0,1.0,,,1.0
107,105.01397,1.0,4.0,1.0,,,1.0
108,32.34759,1.0,2.0,1.0,,,1.0
109,15.160942,1.0,1.0,1.0,,,1.0
110,10.861427,1.0,1.0,1.0,,,1.0
111,19.992113,1.0,0.0,1.0,,,1.0
112,77.38414,1.0,0.0,1.0,,,1.0
113,9.297521,1.0,0.0,0.0,,,1.0
114,25.311386,1.0,0.0,1.0,,,1.0
115,12.646069,1.0,0.0,0.0,,,1.0
116,26.475733,1.0,0.0,1.0,,,1.0
117,125.627975,1.0,4.0,1.0,,,1.0
118,14.158578,1.0,2.0,1.0,,,1.0
119,75.10738,1.0,1.0,1.0,,,1.0
120,36.22967,1.0,2.0,1.0,,,1.0
121,9.8684845,1.0,0.0,0.0,,,1.0
122,11.360139,1.0,0.0,0.0,,,1.0
123,22.818047,1.0,1.0,1.0,,,1.0
124,26.752094,1.0,2.0,1.0,,,1.0
125,78.13288,1.0,4.0,1.0,,,1.0
126,65.49259,1.0,2.0,1.0,,,1.0
127,52.76846,1.0,2.0,1.0,,,1.0
128,49.808796,1.0,2.0,1.0,,,1.0
129,25.860058,1.0,0.0,1.0,,,1.0
130,11.463332,1.0,0.0,0.0,,,1.0
131,39.141777,1.0,4.0,1.0,,,1.0
132,28.201107,1.0,4.0,1.0,,,1.0
133,6.024363,0.0,0.0,0.0,,,1.0
134,22.720434,1.0,4.0,1.0,,,1.0
135,76.50511,1.0,2.0,1.0,,,1.0
136,51.842457,1.0,1.0,1.0,,,1.0
137,10.159122,1.0,1.0,1.0,,,1.0
138,23.532347,1.0,0.0,1.0,,,1.0
139,16.101273,1.0,0.0,0.0,,,1.0
140,12.771274,1.0,2.0,1.0,,,1.0
141,45.375046,1.0,2.0,1.0,,,1.0
142,1.1250789,0.0,0.0,0.0,,,1.0
143,3.478747,0.0,1.0,1.0,,,1.0
144,51.69957,1.0,4.0,1.0,,,1.0
145,40.393795,1.0,2.0,1.0,,,1.0
146,96.23312,1.0,2.0,1.0,,,1.0
147,31.873161,1.0,4.0,1.0,,,1.0
148,52.042576,1.0,1.0,1.0,,,1.0
149,32.15254,1.0,2.0,1.0,,,1.0
150,23.138563,1.0,4.0,1.0,,,1.0
151,32.733723,1.0,2.0,1.0,,,1.0
152,49.144142,1.0,2.0,1.0,,,1.0
153,1.0674244,0.0,0.0,0.0,,,1.0
154,39.869846,1.0,2.0,1.0,,,1.0
155,13.210061,1.0,0.0,0.0,,,1.0
156,28.318157,1.0,0.0,1.0,,,1.0
157,49.69651,1.0,1.0,1.0,,,1.0
158,49.028362,1.0,4.0,1.0,,,1.0
159,31.733019,1.0,0.0,1.0,,,1.0
