,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,3.1435068,1.0,0.0,0.0,,,1.0
1,1.6440433,1.0,0.0,0.0,,,1.0
2,3.6721883,1.0,0.0,1.0,,,1.0
3,8.9706745,1.0,72.84021,1.0,,,1.0
4,4.6680436,1.0,137.64055,1.0,,,1.0
5,6.291215,1.0,33.972042,1.0,,,1.0
6,3.3239062,1.0,0.0,1.0,,,1.0
7,8.260535,1.0,16.970562,1.0,,,1.0
8,4.810467,1.0,2.5457299,1.0,,,1.0
9,7.341684,1.0,0.0,0.0,,,1.0
10,3.2784212,1.0,6.5135555,1.0,,,1.0
11,3.9936476,1.0,0.0,1.0,,,1.0
12,6.330219,1.0,31.693752,1.0,,,1.0
13,4.416603,1.0,0.0,1.0,,,1.0
14,4.37281,1.0,0.0,1.0,,,1.0
15,8.133773,1.0,1.8612098,1.0,,,1.0
16,3.7906818,1.0,0.0,0.0,,,1.0
17,8.8199,1.0,5.0800567,1.0,,,1.0
18,4.4340696,1.0,8.190363,1.0,,,1.0
19,11.820222,1.0,24.588932,1.0,,,1.0
20,6.31716,1.0,11.829744,1.0,,,1.0
21,5.4033794,1.0,23.958006,1.0,,,1.0
22,6.0471635,1.0,0.0,1.0,,,1.0
23,1.1486168,1.0,0.0,0.0,,,1.0
24,4.825905,1.0,3.4879112,1.0,,,1.0
25,8.274582,1.0,12.288071,1.0,,,1.0
26,8.459608,1.0,9.406768,1.0,,,1.0
27,8.133773,1.0,2.828427,1.0,,,1.0
28,3.7668266,1.0,31.429247,1.0,,,1.0
29,3.7732656,1.0,41.89024,1.0,,,1.0
30,12.362458,1.0,8.818667,1.0,,,1.0
31,4.5492806,1.0,13.253525,1.0,,,1.0
32,4.825905,1.0,5.215644,1.0,,,1.0
33,1.881904,1.0,53.785767,1.0,,,1.0
34,4.8719206,1.0,13.155473,1.0,,,1.0
35,7.4180064,1.0,11.175865,1.0,,,1.0
36,7.1264873,1.0,0.0,1.0,,,1.0
37,6.007646,1.0,5.8560104,1.0,,,1.0
38,3.7732098,1.0,7.838952,1.0,,,1.0
39,7.1953707,1.0,0.0,0.0,,,1.0
40,3.2505255,1.0,3.2385318,1.0,,,1.0
41,5.146978,1.0,13.054167,1.0,,,1.0
42,2.5656695,1.0,0.0,0.0,,,1.0
43,4.6680436,1.0,116.9129,1.0,,,1.0
44,5.1110487,1.0,0.0,1.0,,,1.0
45,8.260535,1.0,0.0,1.0,,,1.0
46,4.3750196,1.0,1.5650846,1.0,,,1.0
47,3.1960778,1.0,0.0,0.0,,,1.0
48,6.170948,1.0,0.0,1.0,,,1.0
49,4.341953,1.0,55.03032,1.0,,,1.0
50,8.8199,1.0,2.632148,1.0,,,1.0
51,5.045518,1.0,0.0,1.0,,,1.0
52,5.3010006,1.0,0.0,0.0,,,1.0
53,4.317427,1.0,5.1907983,1.0,,,1.0
54,4.37281,1.0,0.0,1.0,,,1.0
55,8.274582,1.0,8.938677,1.0,,,1.0
56,5.025145,1.0,1.8988289,1.0,,,1.0
57,4.810467,1.0,0.0,1.0,,,1.0
58,11.710501,1.0,60.08385,1.0,,,1.0
59,5.708353,1.0,0.0,0.0,,,1.0
60,8.274582,1.0,25.582119,1.0,,,1.0
61,6.236903,1.0,5.0453787,1.0,,,1.0
62,8.737787,1.0,67.28209,1.0,,,1.0
63,6.025673,1.0,16.868156,1.0,,,1.0
64,4.332067,1.0,17.432577,1.0,,,1.0
65,4.7346144,1.0,0.0,0.0,,,1.0
66,8.633166,1.0,7.022486,1.0,,,1.0
67,12.585025,1.0,2.3403473,1.0,,,1.0
68,5.708353,1.0,0.0,0.0,,,1.0
69,7.2984314,1.0,1.6817929,1.0,,,0.0
70,3.507472,1.0,0.0,0.0,,,0.0
71,3.031429,1.0,0.0,0.0,,,0.0
72,12.129053,1.0,0.0,0.0,,,0.0
73,7.2862186,1.0,0.0,0.0,,,0.0
74,6.0471635,1.0,0.0,0.0,,,0.0
75,5.8083534,1.0,0.0,0.0,,,0.0
76,5.146978,1.0,0.0,0.0,,,0.0
77,4.4208007,1.0,0.0,0.0,,,0.0
78,3.5794249,1.0,5.264296,1.0,,,0.0
79,7.723503,1.0,0.0,1.0,,,0.0
80,1.2543553,1.0,0.0,0.0,,,0.0
81,1.9314803,1.0,0.0,0.0,,,0.0
82,0.62158567,1.0,0.0,0.0,,,0.0
83,11.710501,1.0,0.0,0.0,,,0.0
84,8.459608,1.0,1.5650846,1.0,,,0.0
85,6.0471635,1.0,0.0,0.0,,,0.0
86,10.115943,1.0,1.0,1.0,,,0.0
87,2.4518871,1.0,0.0,0.0,,,0.0
88,7.8625264,1.0,0.0,0.0,,,0.0
89,6.6430573,1.0,0.0,0.0,,,0.0
90,6.344273,1.0,0.0,1.0,,,0.0
91,3.3157654,1.0,2.3784142,1.0,,,0.0
92,2.676988,1.0,0.0,1.0,,,0.0
93,2.6729994,1.0,0.0,0.0,,,0.0
94,5.8655243,1.0,0.0,0.0,,,0.0
95,2.9272113,1.0,0.0,0.0,,,0.0
