,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,6.710541,1.0,0.0,1.0,,,1.0
1,5.134,1.0,3.615542,1.0,,,1.0
2,11.851535,1.0,3.8333333,0.0,,,1.0
3,7.7474,1.0,2.6666667,1.0,,,1.0
4,17.527359,1.0,2.4,1.0,,,1.0
5,5.1907005,1.0,1.9672132,1.0,,,1.0
6,7.4324813,1.0,2.6666667,1.0,,,1.0
7,7.1286244,1.0,4.0,1.0,,,1.0
8,8.154499,1.0,12.0,1.0,,,1.0
9,14.526554,1.0,144.0,1.0,,,1.0
10,12.35053,1.0,6.857143,1.0,,,1.0
11,17.27301,1.0,5.0224214,1.0,,,1.0
12,15.183112,1.0,1.948718,1.0,,,1.0
13,10.075446,1.0,0.0,0.0,,,1.0
14,6.491258,1.0,4.0,0.0,,,1.0
15,20.079607,1.0,3.4285715,1.0,,,1.0
16,12.40277,1.0,0.0,1.0,,,1.0
17,6.4915047,1.0,2.0,1.0,,,1.0
18,12.430644,1.0,13.833686,1.0,,,1.0
19,10.967819,1.0,2.857143,1.0,,,1.0
20,8.693973,1.0,6.4615383,1.0,,,1.0
21,8.739471,1.0,4.173913,1.0,,,1.0
22,18.014105,1.0,1.3333334,1.0,,,1.0
23,9.052758,1.0,2.0,1.0,,,1.0
24,18.014105,1.0,4.5619836,1.0,,,1.0
25,7.7018576,1.0,4.0,1.0,,,1.0
26,11.669292,1.0,12.0,1.0,,,1.0
27,11.433443,1.0,0.0,0.0,,,1.0
28,9.361155,1.0,4.0,1.0,,,1.0
29,6.111313,1.0,0.0,0.0,,,1.0
30,5.83341,1.0,11.63722,1.0,,,1.0
31,7.202326,1.0,2.0,1.0,,,1.0
32,10.59627,1.0,1.4545455,1.0,,,1.0
33,6.207991,1.0,1.0,1.0,,,1.0
34,11.453391,1.0,4.0,0.0,,,1.0
35,6.097458,1.0,0.0,0.0,,,1.0
36,12.783782,1.0,5.657362,1.0,,,1.0
37,12.760499,1.0,3.8333333,1.0,,,1.0
38,15.860078,1.0,1.3333334,1.0,,,1.0
39,14.760772,1.0,4.0,1.0,,,1.0
40,10.932513,1.0,4.0,0.0,,,1.0
41,6.1949854,1.0,11.142858,1.0,,,1.0
42,6.1204114,1.0,2.0,1.0,,,1.0
43,9.9341345,1.0,2.0,1.0,,,1.0
44,4.2370467,1.0,0.0,0.0,,,1.0
45,17.07224,1.0,4.0,1.0,,,1.0
46,5.3895555,1.0,2.6666667,1.0,,,1.0
47,13.966218,1.0,2.4827585,1.0,,,1.0
48,11.3249855,1.0,4.745763,1.0,,,1.0
49,17.973993,1.0,1.8461539,1.0,,,1.0
50,7.869129,1.0,1.8461539,1.0,,,1.0
51,6.714882,1.0,2.6666667,1.0,,,1.0
52,9.518286,1.0,2.4742267,1.0,,,1.0
53,15.899989,1.0,6.2222223,1.0,,,1.0
54,16.137608,1.0,2.0,1.0,,,1.0
55,6.78499,1.0,2.6666667,1.0,,,1.0
56,15.699984,1.0,2.5454545,1.0,,,1.0
57,13.226859,1.0,7.3333335,1.0,,,1.0
