,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,48.77034,1.0,0.0021231424,1.0,,,1.0
1,55.63338,1.0,0.0051282053,1.0,,,1.0
2,93.04818,1.0,0.0043763677,1.0,,,1.0
3,93.240685,1.0,0.0040241447,1.0,,,1.0
4,70.69315,1.0,0.009615385,1.0,,,1.0
5,126.67702,1.0,0.016393442,1.0,,,1.0
6,26.407146,1.0,0.0,1.0,,,1.0
7,44.08444,1.0,0.0,1.0,,,1.0
8,34.313366,1.0,0.006289308,1.0,,,1.0
9,27.640024,1.0,0.0010718113,0.0,,,1.0
10,33.597294,1.0,0.0,0.0,,,1.0
11,22.637417,0.0,0.004149378,0.0,,,1.0
12,97.59335,1.0,0.0018214936,1.0,,,1.0
13,91.666504,1.0,0.0038240917,1.0,,,1.0
14,49.289097,1.0,0.004166667,1.0,,,1.0
15,66.95984,1.0,0.0,1.0,,,1.0
16,86.85121,1.0,0.004901961,1.0,,,1.0
17,89.994774,1.0,0.0,1.0,,,1.0
18,6.244208,0.0,0.0,0.0,,,1.0
19,108.87272,1.0,0.0046838406,1.0,,,1.0
20,11.414886,0.0,0.015384615,1.0,,,1.0
21,92.03754,1.0,0.004854369,1.0,,,1.0
22,92.90915,1.0,0.0,1.0,,,1.0
23,45.03078,1.0,0.00456621,1.0,,,1.0
24,101.797104,1.0,0.0036429872,1.0,,,1.0
25,106.32416,1.0,0.0036968577,1.0,,,1.0
26,94.35757,1.0,0.003984064,1.0,,,1.0
27,73.213776,1.0,0.003338898,1.0,,,1.0
28,68.11724,1.0,0.0,1.0,,,1.0
29,48.585804,1.0,0.009756098,1.0,,,1.0
30,160.2645,1.0,0.006134969,1.0,,,1.0
31,87.25137,1.0,0.005277045,1.0,,,1.0
32,31.285881,1.0,0.0,0.0,,,1.0
33,60.628223,1.0,0.0020618557,1.0,,,1.0
34,24.952387,0.0,0.0,0.0,,,1.0
35,12.036825,0.0,0.0,1.0,,,1.0
36,118.91534,1.0,0.0,1.0,,,1.0
37,172.69551,1.0,0.0,1.0,,,1.0
38,42.218987,1.0,0.0,1.0,,,1.0
39,105.59245,1.0,0.0034129692,1.0,,,1.0
40,49.275192,1.0,0.0,1.0,,,1.0
41,70.21248,1.0,0.0036764706,1.0,,,1.0
42,49.652416,1.0,0.004672897,1.0,,,1.0
43,27.852926,1.0,0.0034246575,1.0,,,1.0
44,56.52145,1.0,0.0,1.0,,,1.0
45,71.43693,1.0,0.0,1.0,,,1.0
46,48.574245,1.0,0.0042735045,1.0,,,1.0
47,31.44729,1.0,0.005524862,1.0,,,1.0
48,30.734407,1.0,0.0054054055,1.0,,,1.0
49,102.397125,1.0,0.0,1.0,,,1.0
50,44.967762,1.0,0.0,1.0,,,1.0
51,41.350723,1.0,0.0,0.0,,,1.0
52,7.500673,0.0,0.0,0.0,,,1.0
53,80.89147,1.0,0.004514673,1.0,,,1.0
54,19.672976,0.0,0.0028653296,0.0,,,1.0
55,72.30456,1.0,0.0035587188,1.0,,,1.0
56,86.68953,1.0,0.003649635,1.0,,,1.0
57,28.684528,1.0,0.0,0.0,,,1.0
58,152.4656,1.0,0.0032467532,1.0,,,1.0
59,155.32513,1.0,0.0,1.0,,,1.0
60,69.16784,1.0,0.007874016,1.0,,,1.0
61,150.2084,1.0,0.008032128,1.0,,,1.0
62,65.63481,1.0,0.0016260162,1.0,,,1.0
63,74.4042,1.0,0.0034364262,1.0,,,1.0
64,40.31197,1.0,0.0036630037,1.0,,,1.0
65,84.74159,1.0,0.005602241,1.0,,,1.0
66,92.07234,1.0,0.0,1.0,,,1.0
67,59.246174,1.0,0.0033057851,1.0,,,1.0
68,59.204666,1.0,0.0,1.0,,,1.0
69,117.88309,1.0,0.0039138943,1.0,,,1.0
70,86.48201,1.0,0.004784689,1.0,,,1.0
71,10.02249,0.0,0.0,0.0,,,1.0
72,81.83652,1.0,0.0033057851,1.0,,,1.0
73,55.033386,1.0,0.0021276595,1.0,,,1.0
74,25.256577,0.0,0.0045351475,0.0,,,1.0
75,36.00082,1.0,0.0,1.0,,,1.0
76,86.475174,1.0,0.0,1.0,,,1.0
77,93.620056,1.0,0.006666667,1.0,,,1.0
78,77.663704,1.0,0.0042918455,1.0,,,1.0
79,38.596115,1.0,0.0026595744,0.0,,,1.0
80,61.942295,1.0,0.0029498525,1.0,,,1.0
81,114.90595,1.0,0.0017452007,1.0,,,1.0
82,114.41244,1.0,0.0048076925,1.0,,,1.0
83,62.09189,1.0,0.02173913,1.0,,,1.0
84,101.797104,1.0,0.004640371,1.0,,,1.0
85,142.10953,1.0,0.004115226,1.0,,,1.0
86,50.825485,1.0,0.0,1.0,,,1.0
87,44.0054,1.0,0.005376344,1.0,,,1.0
88,85.21379,1.0,0.007017544,1.0,,,1.0
89,66.914696,1.0,0.005167959,1.0,,,1.0
90,78.4268,1.0,0.0036968577,1.0,,,1.0
91,70.19793,1.0,0.0043010754,1.0,,,1.0
92,96.92629,1.0,0.0037313432,1.0,,,1.0
93,124.06849,1.0,0.0078125,1.0,,,1.0
94,126.36851,1.0,0.0036363637,1.0,,,1.0
95,38.11982,1.0,0.0,1.0,,,1.0
96,158.79517,1.0,0.0034904014,1.0,,,1.0
97,76.17177,1.0,0.0027855153,1.0,,,1.0
98,56.088722,1.0,0.0072727273,1.0,,,1.0
99,43.692413,1.0,0.00407332,1.0,,,1.0
100,26.272541,1.0,0.0,0.0,,,1.0
