,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.969922,0.0,4.0,1.0,,,1.0
1,8.969922,0.0,4.0,1.0,,,1.0
2,2.6272607,0.0,4.0,1.0,,,1.0
3,3.1401954,0.0,0.0,0.0,,,1.0
4,1.6417313,0.0,0.0,0.0,,,1.0
5,3.669061,0.0,0.0,0.0,,,1.0
6,4.896036,0.0,1.0,0.0,,,1.0
7,6.2922707,0.0,4.0,1.0,,,1.0
8,5.0638556,0.0,4.0,1.0,,,1.0
9,4.810467,0.0,4.0,1.0,,,1.0
10,7.0377665,0.0,0.0,0.0,,,1.0
11,2.9789875,0.0,4.0,1.0,,,1.0
12,4.896036,0.0,4.0,1.0,,,1.0
13,4.018277,0.0,2.0,0.0,,,1.0
14,4.382608,0.0,2.0,0.0,,,1.0
15,3.4373875,0.0,4.0,1.0,,,1.0
16,4.3530626,0.0,4.0,1.0,,,1.0
17,0.6213349,0.0,0.0,0.0,,,1.0
18,3.7809715,0.0,1.0,0.0,,,1.0
19,2.2653632,0.0,0.0,0.0,,,1.0
20,4.3530626,0.0,4.0,1.0,,,1.0
21,4.0052304,0.0,0.0,0.0,,,1.0
22,3.6253123,0.0,4.0,1.0,,,1.0
23,2.1574283,0.0,4.0,1.0,,,1.0
24,0.0,0.0,0.0,0.0,,,1.0
25,5.309223,0.0,1.0,0.0,,,1.0
26,8.9510765,0.0,4.0,1.0,,,1.0
27,4.0052304,0.0,4.0,1.0,,,1.0
28,8.837083,0.0,4.0,1.0,,,1.0
29,11.832997,1.0,4.0,1.0,,,1.0
30,6.0466595,0.0,0.0,0.0,,,1.0
31,0.55811065,0.0,0.0,0.0,,,1.0
32,4.553648,0.0,4.0,1.0,,,1.0
33,8.1315565,0.0,4.0,1.0,,,1.0
34,1.8787767,0.0,4.0,1.0,,,1.0
35,3.6253123,0.0,0.0,0.0,,,1.0
36,3.600761,0.0,2.0,0.0,,,1.0
37,8.969922,0.0,4.0,1.0,,,1.0
38,8.969922,0.0,4.0,1.0,,,1.0
39,4.6110725,0.0,4.0,1.0,,,1.0
40,7.4175024,0.0,4.0,1.0,,,1.0
41,3.6253123,0.0,4.0,1.0,,,1.0
42,5.1513453,0.0,4.0,1.0,,,1.0
43,2.581245,0.0,0.0,0.0,,,1.0
44,3.6253123,0.0,4.0,1.0,,,1.0
45,5.0638556,0.0,4.0,1.0,,,1.0
46,3.331079,0.0,4.0,1.0,,,1.0
47,6.325727,0.0,4.0,1.0,,,1.0
48,2.1630383,0.0,0.0,0.0,,,1.0
49,2.581245,0.0,4.0,1.0,,,1.0
50,8.264515,0.0,1.0,0.0,,,1.0
51,4.3388257,0.0,4.0,1.0,,,1.0
52,5.3020563,0.0,1.0,0.0,,,1.0
53,4.810467,0.0,1.0,0.0,,,1.0
54,4.565057,0.0,4.0,1.0,,,1.0
55,6.005016,0.0,0.0,0.0,,,1.0
56,8.27283,0.0,4.0,1.0,,,1.0
57,2.5629954,0.0,4.0,1.0,,,1.0
58,1.0263109,0.0,0.0,0.0,,,1.0
59,11.716477,1.0,4.0,1.0,,,1.0
60,12.125107,1.0,4.0,1.0,,,1.0
61,8.27283,0.0,4.0,1.0,,,1.0
62,5.868706,0.0,4.0,1.0,,,1.0
63,3.7701383,0.0,4.0,1.0,,,1.0
64,6.027233,0.0,4.0,1.0,,,1.0
65,4.336435,0.0,4.0,1.0,,,1.0
66,2.2615888,0.0,1.0,0.0,,,1.0
67,3.7636993,0.0,4.0,1.0,,,1.0
68,12.585573,1.0,4.0,1.0,,,1.0
69,1.7791775,0.0,0.0,0.0,,,0.0
70,7.0377665,0.0,0.0,0.0,,,0.0
71,8.5590925,0.0,0.0,0.0,,,0.0
72,4.031846,0.0,0.0,0.0,,,0.0
