,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,152.33592,1.0,4.0,1.0,,,1.0
1,42.64179,0.0,4.0,1.0,,,1.0
2,101.83203,1.0,4.0,1.0,,,1.0
3,3.270717,0.0,0.0,0.0,,,1.0
4,74.475044,1.0,1.0,1.0,,,1.0
5,28.364388,0.0,0.0,0.0,,,1.0
6,9.713021,0.0,0.0,0.0,,,1.0
7,29.104559,0.0,0.0,0.0,,,1.0
8,40.71432,0.0,0.0,0.0,,,1.0
9,2.7596738,0.0,0.0,0.0,,,1.0
10,32.956245,0.0,0.0,0.0,,,1.0
11,1.4805537,0.0,0.0,0.0,,,1.0
12,16.572731,0.0,0.0,0.0,,,1.0
13,27.222672,0.0,1.0,1.0,,,1.0
14,91.71953,1.0,2.0,1.0,,,1.0
15,42.68258,0.0,2.0,1.0,,,1.0
16,90.08857,1.0,2.0,1.0,,,1.0
17,53.2628,0.0,0.0,0.0,,,1.0
18,20.331247,0.0,0.0,0.0,,,1.0
19,2.8708174,0.0,0.0,0.0,,,1.0
20,9.216136,0.0,4.0,1.0,,,1.0
21,186.9426,1.0,2.0,1.0,,,1.0
22,148.31909,1.0,4.0,1.0,,,1.0
23,115.98408,1.0,2.0,1.0,,,1.0
24,48.095596,0.0,1.0,1.0,,,1.0
25,43.69194,0.0,0.0,0.0,,,1.0
26,42.032475,0.0,2.0,1.0,,,1.0
27,26.746399,0.0,4.0,1.0,,,1.0
28,65.06612,1.0,2.0,1.0,,,1.0
29,18.460087,0.0,0.0,0.0,,,1.0
30,82.73816,1.0,2.0,1.0,,,1.0
31,13.78213,0.0,1.0,1.0,,,1.0
32,32.560333,0.0,0.0,0.0,,,1.0
33,36.02046,0.0,2.0,1.0,,,1.0
34,31.552324,0.0,0.0,0.0,,,1.0
35,33.445717,0.0,0.0,0.0,,,1.0
36,13.652076,0.0,0.0,0.0,,,1.0
37,87.725555,1.0,0.0,0.0,,,1.0
38,20.916042,0.0,0.0,0.0,,,1.0
39,46.228546,0.0,1.0,1.0,,,1.0
40,96.476845,1.0,2.0,1.0,,,1.0
41,32.639313,0.0,1.0,1.0,,,1.0
42,41.6523,0.0,4.0,1.0,,,1.0
43,33.244354,0.0,0.0,0.0,,,1.0
44,31.6215,0.0,4.0,1.0,,,1.0
45,115.740074,1.0,0.0,1.0,,,1.0
46,123.83101,1.0,4.0,1.0,,,1.0
47,5.5794473,0.0,0.0,0.0,,,1.0
48,16.536179,0.0,0.0,0.0,,,1.0
49,5.260589,0.0,0.0,0.0,,,1.0
50,67.885796,1.0,0.0,0.0,,,1.0
51,50.911808,0.0,0.0,0.0,,,1.0
52,17.763758,0.0,0.0,0.0,,,1.0
53,32.650726,0.0,1.0,1.0,,,1.0
54,19.600746,0.0,2.0,1.0,,,1.0
55,14.447605,0.0,1.0,1.0,,,1.0
56,6.046848,0.0,0.0,0.0,,,1.0
57,18.672293,0.0,1.0,1.0,,,1.0
58,3.0876563,0.0,0.0,0.0,,,1.0
59,7.9288096,0.0,0.0,0.0,,,1.0
60,27.7123,0.0,0.0,0.0,,,1.0
61,8.427147,0.0,0.0,0.0,,,1.0
62,39.638725,0.0,1.0,1.0,,,1.0
63,1.6434618,0.0,2.0,1.0,,,1.0
64,40.547997,0.0,4.0,1.0,,,1.0
65,28.53013,0.0,4.0,1.0,,,1.0
66,18.443193,0.0,0.0,0.0,,,1.0
67,42.18605,0.0,0.0,0.0,,,1.0
68,10.12452,0.0,0.0,0.0,,,1.0
69,39.62974,0.0,4.0,1.0,,,1.0
70,82.10279,1.0,0.0,0.0,,,1.0
