,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,92.925964,1.0,3.350369,1.0,,,1.0
1,92.257256,1.0,9.159951,1.0,,,1.0
2,91.84686,1.0,27.114834,1.0,,,1.0
3,70.20022,0.0,92.51457,1.0,,,1.0
4,126.55644,1.0,0.0,0.0,,,1.0
5,31.909136,0.0,5.3348384,1.0,,,1.0
6,44.383465,0.0,0.0,1.0,,,1.0
7,90.56194,1.0,4.949232,1.0,,,1.0
8,66.383934,0.0,0.0,1.0,,,1.0
9,86.11585,1.0,15.070538,1.0,,,1.0
10,62.447926,0.0,12.023657,1.0,,,1.0
11,90.8929,1.0,0.0,0.0,,,1.0
12,94.142395,1.0,0.0,0.0,,,1.0
13,6.1062164,0.0,0.0,0.0,,,1.0
14,106.99474,1.0,86.19374,1.0,,,1.0
15,135.45375,1.0,19.858505,1.0,,,1.0
16,60.244263,0.0,4.4496055,1.0,,,1.0
17,11.410139,0.0,0.0,0.0,,,1.0
18,91.69173,1.0,4.8989797,1.0,,,1.0
19,32.310997,0.0,0.0,1.0,,,1.0
20,61.390255,0.0,8.003903,1.0,,,1.0
21,44.675797,0.0,0.0,0.0,,,1.0
22,47.685158,0.0,97.95221,1.0,,,1.0
23,96.87945,1.0,14.506142,1.0,,,1.0
24,68.40082,0.0,22.82717,1.0,,,1.0
25,97.9429,1.0,0.0,1.0,,,1.0
26,88.195755,1.0,77.49286,1.0,,,1.0
27,60.30386,0.0,0.0,1.0,,,1.0
28,23.880209,0.0,0.0,1.0,,,1.0
29,119.134605,1.0,0.0,0.0,,,1.0
30,50.26711,0.0,0.0,0.0,,,1.0
31,105.552475,1.0,24.942957,1.0,,,1.0
32,48.90297,0.0,0.0,1.0,,,1.0
33,78.45111,1.0,0.0,1.0,,,1.0
34,69.46572,0.0,44.868935,1.0,,,1.0
35,123.20674,1.0,57.945625,1.0,,,1.0
36,48.998817,0.0,0.0,0.0,,,1.0
37,64.881966,0.0,329.54034,1.0,,,1.0
38,56.664467,0.0,0.0,0.0,,,1.0
39,70.889885,0.0,0.0,0.0,,,1.0
40,32.80265,0.0,207.97624,1.0,,,1.0
41,30.060163,0.0,0.0,1.0,,,1.0
42,10.3368225,0.0,0.0,0.0,,,1.0
43,40.74546,0.0,0.0,0.0,,,1.0
44,0.0,0.0,0.0,0.0,,,1.0
45,19.340466,0.0,0.0,1.0,,,1.0
46,172.16676,1.0,228.52019,1.0,,,1.0
47,77.37878,1.0,2.9129505,1.0,,,1.0
48,94.99497,1.0,0.0,1.0,,,1.0
49,72.50458,1.0,0.0,1.0,,,1.0
50,29.074036,0.0,0.0,0.0,,,1.0
51,89.67927,1.0,0.0,0.0,,,1.0
52,28.336464,0.0,0.0,1.0,,,1.0
53,105.77928,1.0,28.521595,1.0,,,1.0
54,83.56701,1.0,5.4496317,1.0,,,1.0
55,35.051357,0.0,0.0,0.0,,,1.0
56,24.426401,0.0,293.8308,1.0,,,1.0
57,110.44905,1.0,0.0,1.0,,,1.0
58,25.628067,0.0,0.0,0.0,,,1.0
59,122.864235,1.0,55.843597,1.0,,,1.0
60,173.4756,1.0,0.0,1.0,,,1.0
61,66.18877,0.0,0.0,1.0,,,1.0
62,83.58077,1.0,18.04714,1.0,,,1.0
63,40.484898,0.0,1.6817929,1.0,,,1.0
64,126.132996,1.0,10.526021,1.0,,,1.0
65,39.033012,0.0,0.0,1.0,,,1.0
66,58.98099,0.0,0.0,0.0,,,1.0
67,38.62247,0.0,3.309751,1.0,,,1.0
68,85.89468,1.0,11.640408,1.0,,,1.0
69,35.035404,0.0,17.11779,1.0,,,1.0
70,25.838306,0.0,5.623413,1.0,,,1.0
71,35.657513,0.0,0.0,0.0,,,1.0
72,140.50555,1.0,165.83826,1.0,,,1.0
73,44.766827,0.0,0.0,1.0,,,1.0
74,77.5,1.0,10.351977,1.0,,,1.0
75,157.02272,1.0,0.0,1.0,,,1.0
76,83.12131,1.0,2.4322994,1.0,,,1.0
77,104.747475,1.0,52.630352,1.0,,,1.0
78,72.219444,1.0,6.7743025,1.0,,,1.0
79,39.033012,0.0,0.0,1.0,,,1.0
80,62.316456,0.0,0.0,1.0,,,1.0
81,114.9328,1.0,0.0,1.0,,,1.0
82,102.16073,1.0,91.96291,1.0,,,1.0
83,40.258663,0.0,14.337116,1.0,,,1.0
84,72.89187,1.0,16.630884,1.0,,,1.0
85,44.202496,0.0,0.0,0.0,,,1.0
86,78.04022,1.0,38.131332,1.0,,,1.0
87,70.73244,0.0,27.342205,1.0,,,1.0
88,79.44608,1.0,331.213,1.0,,,1.0
89,9.666369,0.0,0.0,0.0,,,1.0
90,96.63388,1.0,30.90093,1.0,,,1.0
91,125.2151,1.0,0.0,1.0,,,1.0
92,144.35875,1.0,0.0,1.0,,,1.0
93,43.413292,0.0,16.41339,1.0,,,1.0
94,75.14574,1.0,72.32914,1.0,,,1.0
95,107.60112,1.0,4.527019,1.0,,,1.0
96,130.3722,1.0,34.761627,1.0,,,1.0
97,15.247651,0.0,36.3288,1.0,,,1.0
98,90.53006,1.0,4.3558774,1.0,,,1.0
99,135.45375,1.0,306.72513,1.0,,,1.0
100,102.16073,1.0,14.476567,1.0,,,1.0
101,90.35289,1.0,0.0,1.0,,,1.0
102,112.91391,1.0,18.95901,1.0,,,1.0
103,59.232006,0.0,0.0,0.0,,,1.0
104,120.607414,1.0,7.6584277,1.0,,,1.0
105,24.341179,0.0,90.39969,1.0,,,1.0
106,56.541843,0.0,0.0,1.0,,,1.0
107,114.6819,1.0,10.360081,1.0,,,1.0
108,164.55014,1.0,42.19667,1.0,,,1.0
109,125.13124,1.0,28.04763,1.0,,,1.0
110,112.98458,1.0,28.924416,1.0,,,1.0
111,25.10494,0.0,0.0,1.0,,,1.0
112,95.60473,1.0,20.021963,1.0,,,1.0
113,34.726925,0.0,0.0,1.0,,,1.0
114,115.10381,1.0,38.863148,1.0,,,1.0
115,65.57962,0.0,11.572289,1.0,,,1.0
116,90.602425,1.0,20.35304,1.0,,,1.0
117,59.24372,0.0,0.0,1.0,,,1.0
118,56.633812,0.0,4.328394,1.0,,,1.0
119,89.33915,1.0,50.87227,1.0,,,1.0
120,85.55188,1.0,16.844145,1.0,,,1.0
121,92.85505,1.0,0.0,1.0,,,1.0
122,150.9455,1.0,37.32268,1.0,,,1.0
123,2.1780646,0.0,0.0,0.0,,,1.0
124,19.922691,0.0,0.0,0.0,,,1.0
125,28.705206,0.0,3.6108732,1.0,,,1.0
126,128.37839,1.0,18.65753,1.0,,,1.0
127,22.479467,0.0,0.0,0.0,,,1.0
128,86.09512,1.0,0.0,1.0,,,1.0
129,73.3353,1.0,6.4021716,1.0,,,1.0
130,70.81578,0.0,1.6817929,1.0,,,1.0
131,36.462315,0.0,5.566315,1.0,,,1.0
132,45.91462,0.0,0.0,1.0,,,1.0
133,77.66238,1.0,46.16519,1.0,,,1.0
134,112.33637,1.0,62.464386,1.0,,,1.0
135,101.42915,1.0,9.324605,1.0,,,1.0
136,158.25296,1.0,18.275503,1.0,,,1.0
137,12.559244,0.0,6.1601405,0.0,,,1.0
138,43.40791,0.0,26.674744,1.0,,,1.0
139,53.891754,0.0,0.0,1.0,,,1.0
140,62.3981,0.0,45.87489,1.0,,,1.0
141,82.65643,1.0,26.574844,1.0,,,1.0
142,40.336193,0.0,0.0,1.0,,,1.0
143,59.086098,0.0,5.7445626,1.0,,,1.0
144,91.93534,1.0,3.350369,1.0,,,1.0
145,103.859116,1.0,16.569897,1.0,,,1.0
146,115.221405,1.0,32.4037,1.0,,,1.0
147,141.56592,1.0,109.80294,1.0,,,1.0
148,83.58077,1.0,24.641165,1.0,,,1.0
149,80.64305,1.0,10.893079,1.0,,,1.0
150,4.403629,0.0,0.0,0.0,,,1.0
151,75.69167,1.0,105.00343,1.0,,,1.0
152,74.854996,1.0,0.0,1.0,,,1.0
153,121.26265,1.0,0.0,1.0,,,1.0
154,91.99227,1.0,1.4142135,1.0,,,1.0
155,64.44435,0.0,0.0,0.0,,,1.0
156,8.086908,0.0,30.413137,1.0,,,1.0
157,88.086525,1.0,0.0,0.0,,,1.0
158,70.40856,0.0,0.0,1.0,,,1.0
159,38.509945,0.0,20.726564,1.0,,,1.0
160,171.63622,1.0,0.0,1.0,,,1.0
161,58.75509,0.0,2.2795072,1.0,,,1.0
162,94.27049,1.0,10.194265,1.0,,,1.0
163,37.65149,0.0,5.903969,1.0,,,1.0
164,26.185644,0.0,0.0,1.0,,,1.0
165,40.49576,0.0,16.066961,1.0,,,1.0
166,150.9455,1.0,0.0,0.0,,,1.0
167,92.445175,1.0,6.700738,1.0,,,1.0
168,42.239502,0.0,138.71222,1.0,,,1.0
169,53.562782,0.0,0.0,1.0,,,1.0
170,69.51164,0.0,14.799189,1.0,,,1.0
171,88.51022,1.0,0.0,0.0,,,1.0
172,2.4748,0.0,0.0,0.0,,,1.0
173,43.226357,0.0,8.003903,1.0,,,1.0
174,30.442278,0.0,0.0,1.0,,,1.0
175,28.336464,0.0,6.8887763,1.0,,,1.0
176,102.28463,1.0,17.906685,1.0,,,1.0
177,41.190594,0.0,0.0,0.0,,,1.0
178,74.54382,1.0,3.1779718,1.0,,,1.0
179,8.609661,0.0,0.0,0.0,,,1.0
180,29.863747,0.0,0.0,0.0,,,1.0
181,127.058304,1.0,31.166218,1.0,,,1.0
182,37.1875,0.0,0.0,1.0,,,1.0
183,90.31578,1.0,21.212261,1.0,,,1.0
184,32.497505,0.0,0.0,1.0,,,1.0
185,70.359634,0.0,0.0,1.0,,,1.0
186,133.72461,1.0,0.0,1.0,,,1.0
187,94.59505,1.0,6.8548784,1.0,,,1.0
188,89.560844,1.0,2.3003266,1.0,,,1.0
189,57.998707,0.0,29.753649,1.0,,,1.0
190,80.5183,1.0,3.7077928,1.0,,,1.0
191,129.9311,1.0,18.82134,1.0,,,1.0
192,118.226685,1.0,19.967922,1.0,,,1.0
193,86.52387,1.0,21.558247,1.0,,,1.0
194,139.84598,1.0,0.0,1.0,,,1.0
195,69.295204,0.0,5.0453787,1.0,,,1.0
196,129.45438,1.0,0.0,0.0,,,1.0
197,111.162796,1.0,3.7792666,1.0,,,1.0
198,39.983234,0.0,0.0,0.0,,,1.0
199,97.8645,1.0,0.0,1.0,,,1.0
200,45.25247,0.0,0.0,1.0,,,1.0
201,97.79331,1.0,41.333572,1.0,,,1.0
202,66.3692,0.0,0.0,0.0,,,1.0
203,132.80144,1.0,412.28897,1.0,,,1.0
204,158.78862,1.0,0.0,1.0,,,1.0
205,114.9328,1.0,97.15953,1.0,,,1.0
206,29.165003,0.0,0.0,0.0,,,1.0
207,77.60896,1.0,3.414953,1.0,,,1.0
208,27.92738,0.0,0.0,1.0,,,1.0
209,69.09486,0.0,25.643627,1.0,,,1.0
210,39.014763,0.0,0.0,0.0,,,1.0
211,127.32323,1.0,67.94477,1.0,,,1.0
212,44.95263,0.0,0.0,1.0,,,1.0
213,91.40136,1.0,8.972093,1.0,,,1.0
214,68.87972,0.0,23.490747,1.0,,,1.0
215,144.49991,1.0,0.0,1.0,,,1.0
216,126.43111,1.0,30.421762,1.0,,,1.0
217,82.46356,1.0,136.45981,1.0,,,1.0
