,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,77.9127,1.0,4.0,0.0,,,1.0
1,100.91131,1.0,5.957811,1.0,,,1.0
2,81.99735,1.0,1.9348558,0.0,,,1.0
3,84.35574,1.0,4.6829267,1.0,,,1.0
4,20.390604,0.0,6.47191,0.0,,,1.0
5,59.32896,1.0,22.4472,1.0,,,1.0
6,24.3692,0.0,0.0,0.0,,,1.0
7,9.6688795,0.0,244.0,1.0,,,1.0
8,24.244213,0.0,2.476923,1.0,,,1.0
9,29.206017,1.0,5.4634147,1.0,,,1.0
10,45.118412,1.0,96.0,1.0,,,1.0
11,63.86611,1.0,4.0,0.0,,,1.0
12,44.523525,1.0,6.7955055,0.0,,,1.0
13,16.254179,0.0,1.9085487,0.0,,,1.0
14,10.020825,0.0,0.0,0.0,,,1.0
15,14.452219,0.0,12.774194,0.0,,,1.0
16,11.106285,0.0,7.0588236,0.0,,,1.0
17,19.50164,0.0,5.4857144,0.0,,,1.0
18,66.39608,1.0,5.001696,1.0,,,1.0
19,1.7325289,0.0,0.0,0.0,,,1.0
20,34.234818,1.0,12.0,1.0,,,1.0
21,3.5387368,0.0,12.0,0.0,,,1.0
22,23.104187,0.0,8.839252,1.0,,,1.0
23,6.9026427,0.0,0.0,1.0,,,1.0
24,101.97523,1.0,3.7992404,1.0,,,1.0
25,13.095805,0.0,4.0,0.0,,,1.0
26,39.190125,1.0,2.7982063,0.0,,,1.0
27,38.99331,1.0,2.0,0.0,,,1.0
28,21.172884,0.0,4.0,0.0,,,1.0
29,37.472366,1.0,3.5090017,0.0,,,1.0
30,20.515472,0.0,2.3333333,0.0,,,1.0
31,18.921003,0.0,1.9428571,0.0,,,1.0
32,51.36335,1.0,163.16078,1.0,,,1.0
33,6.8779373,0.0,2.6507463,0.0,,,1.0
34,79.30109,1.0,11.650485,1.0,,,1.0
35,27.897726,1.0,2.5263157,1.0,,,1.0
36,40.152184,1.0,6.0,0.0,,,1.0
37,7.666978,0.0,11.462687,0.0,,,1.0
38,8.752178,0.0,5.4700856,0.0,,,1.0
39,1.6983019,0.0,3.9828327,0.0,,,1.0
40,4.122204,0.0,3.3018868,0.0,,,1.0
41,45.58821,1.0,3.0,0.0,,,1.0
42,17.591959,0.0,3.96875,1.0,,,1.0
43,16.539677,0.0,2.6666667,0.0,,,1.0
44,62.233273,1.0,11.776817,1.0,,,1.0
45,37.929554,1.0,5.0574713,1.0,,,1.0
46,123.46105,1.0,29.16591,1.0,,,1.0
47,85.16924,1.0,3.4233317,1.0,,,1.0
48,24.08218,0.0,8.0,0.0,,,1.0
49,55.902287,1.0,0.0,0.0,,,1.0
50,16.242403,0.0,14.785723,1.0,,,1.0
51,123.46105,1.0,62.226818,1.0,,,1.0
52,16.242403,0.0,2.6168225,0.0,,,1.0
53,5.547251,0.0,0.0,0.0,,,1.0
54,94.67754,1.0,56.921528,1.0,,,1.0
55,4.193176,0.0,1.5135136,0.0,,,1.0
56,37.867165,1.0,5.738472,1.0,,,1.0
57,29.243137,1.0,0.0,0.0,,,1.0
58,17.745646,0.0,2.5714285,0.0,,,1.0
59,31.508116,1.0,2.1818182,0.0,,,1.0
60,24.398281,0.0,5.647059,1.0,,,1.0
61,60.192673,1.0,4.7669344,1.0,,,1.0
62,33.1374,1.0,6.1701765,1.0,,,1.0
63,8.266511,0.0,4.0,0.0,,,1.0
64,5.1141777,0.0,1.8299121,0.0,,,1.0
65,53.92593,1.0,21.818182,1.0,,,1.0
66,5.499345,0.0,28.0,0.0,,,1.0
67,62.233273,1.0,2.384106,1.0,,,1.0
68,89.21874,1.0,9.68546,1.0,,,1.0
69,26.984575,0.0,1.5438596,0.0,,,1.0
70,10.460005,0.0,7.6712327,1.0,,,1.0
71,33.601986,1.0,117.230865,1.0,,,1.0
72,2.8861535,0.0,4.0,0.0,,,1.0
73,32.992702,1.0,9.209302,1.0,,,1.0
74,14.480495,0.0,1.5522388,0.0,,,1.0
75,15.8829155,0.0,5.813149,1.0,,,1.0
76,5.447445,0.0,2.1290324,0.0,,,1.0
77,16.671936,0.0,18.88837,1.0,,,1.0
78,34.539165,1.0,12.307693,1.0,,,1.0
79,83.59861,1.0,6.426966,1.0,,,1.0
80,50.802402,1.0,6.5116277,1.0,,,1.0
81,57.98137,1.0,3.0,1.0,,,1.0
82,24.070507,0.0,0.0,0.0,,,1.0
83,17.149183,0.0,3.7333333,0.0,,,1.0
84,15.657024,0.0,3.535411,0.0,,,1.0
85,26.79254,0.0,3.775281,1.0,,,1.0
86,14.780948,0.0,3.8857143,0.0,,,1.0
87,45.739918,1.0,14.117647,0.0,,,1.0
88,26.997992,0.0,3.4285715,1.0,,,1.0
89,41.50114,1.0,22.7016,1.0,,,1.0
90,29.525398,1.0,3.6923077,0.0,,,1.0
91,43.510326,1.0,3.1699684,1.0,,,1.0
92,52.05022,1.0,7.1578946,1.0,,,1.0
93,37.15064,1.0,3.7333333,1.0,,,1.0
94,108.131744,1.0,5.106383,1.0,,,1.0
95,18.37475,0.0,1.6153846,0.0,,,1.0
96,8.559451,0.0,4.0,0.0,,,1.0
97,25.77074,0.0,2.6105263,0.0,,,1.0
98,34.911724,1.0,14.918919,1.0,,,1.0
99,56.844913,1.0,30.483318,1.0,,,1.0
100,86.49889,1.0,10.517928,1.0,,,1.0
101,101.761986,1.0,3.314917,1.0,,,1.0
102,108.8388,1.0,3.5555556,0.0,,,1.0
103,85.28146,1.0,11.259223,1.0,,,1.0
104,31.90151,1.0,50.526318,1.0,,,1.0
105,16.305443,0.0,74.10526,1.0,,,1.0
106,26.397173,0.0,4.5619836,0.0,,,1.0
107,32.69965,1.0,22.481752,1.0,,,1.0
108,29.781643,1.0,0.0,0.0,,,1.0
109,10.455709,0.0,3.3333333,0.0,,,1.0
110,75.954216,1.0,4.0,1.0,,,1.0
111,8.50005,0.0,16.0,0.0,,,1.0
112,20.438063,0.0,5.614035,1.0,,,1.0
113,25.63445,0.0,0.0,0.0,,,1.0
114,10.976559,0.0,96.0,1.0,,,1.0
115,12.584808,0.0,3.3333333,0.0,,,1.0
116,15.470499,0.0,2.1818182,0.0,,,1.0
117,14.229113,0.0,2.5846155,0.0,,,1.0
118,77.31275,1.0,7.2,1.0,,,1.0
119,10.084458,0.0,0.0,0.0,,,1.0
120,10.739595,0.0,44.0,1.0,,,1.0
121,23.599766,0.0,7.111111,1.0,,,1.0
122,23.002052,0.0,3.6666667,1.0,,,1.0
123,26.30077,0.0,2.5263157,0.0,,,1.0
124,76.835106,1.0,2.8235295,1.0,,,1.0
125,55.35173,1.0,28.465117,1.0,,,1.0
126,64.54056,1.0,2.9312978,1.0,,,1.0
127,47.316757,1.0,44.0,1.0,,,1.0
128,49.488228,1.0,1.7777778,1.0,,,1.0
129,17.533026,0.0,7.951515,0.0,,,1.0
130,33.484028,1.0,19.124628,1.0,,,1.0
131,10.929228,0.0,2.6666667,0.0,,,1.0
132,28.161179,1.0,3.9566162,0.0,,,1.0
133,5.5757804,0.0,4.0,0.0,,,1.0
134,51.39662,1.0,7.2,1.0,,,1.0
135,10.116648,0.0,30.709677,1.0,,,1.0
136,11.941938,0.0,2.0,0.0,,,1.0
137,18.860027,0.0,1.0,0.0,,,1.0
138,12.251283,0.0,1.7142857,0.0,,,1.0
139,67.07574,1.0,1.711628,0.0,,,1.0
140,46.295452,1.0,2.919452,1.0,,,1.0
141,1.124925,0.0,20.0,1.0,,,1.0
142,51.36335,1.0,5.6557,1.0,,,1.0
143,12.17368,0.0,3.2,0.0,,,1.0
144,13.827064,0.0,5.704918,0.0,,,1.0
145,7.746198,0.0,8.0,0.0,,,1.0
146,27.499632,0.0,13.494182,1.0,,,1.0
147,95.76255,1.0,38.582985,1.0,,,1.0
148,58.582756,1.0,6.968711,1.0,,,1.0
149,31.607828,1.0,8.477064,1.0,,,1.0
150,31.627071,1.0,1.5135136,0.0,,,1.0
151,50.733467,1.0,2.791625,1.0,,,1.0
152,47.689434,1.0,1.9354838,1.0,,,1.0
153,12.798338,0.0,1.9354838,0.0,,,1.0
154,13.39398,0.0,4.0,0.0,,,1.0
155,60.05339,1.0,2.2857144,1.0,,,1.0
156,7.4039955,0.0,7.6862745,0.0,,,1.0
157,123.02851,1.0,14.959644,1.0,,,1.0
158,116.88578,1.0,10.747652,1.0,,,1.0
159,49.1692,1.0,87.479836,1.0,,,1.0
160,58.71631,1.0,3.2559035,1.0,,,1.0
161,28.264841,1.0,1.9346802,0.0,,,1.0
162,22.856318,0.0,4.0,0.0,,,1.0
163,28.989378,1.0,8.296296,1.0,,,1.0
164,31.272892,1.0,39.22686,1.0,,,1.0
165,69.83849,1.0,6.981147,1.0,,,1.0
166,40.142456,1.0,26.553192,1.0,,,1.0
167,83.59861,1.0,9.438757,1.0,,,1.0
168,20.218933,0.0,3.6079295,1.0,,,1.0
169,46.477863,1.0,17.456762,1.0,,,1.0
170,40.40099,1.0,17.777779,0.0,,,1.0
171,78.44045,1.0,17.454546,1.0,,,1.0
172,38.78032,1.0,3.5555556,1.0,,,1.0
173,3.752051,0.0,0.0,0.0,,,1.0
174,28.912102,1.0,7.703704,0.0,,,1.0
175,26.598858,0.0,8.412371,1.0,,,1.0
176,77.55774,1.0,2.6532664,1.0,,,1.0
177,101.97523,1.0,10.365315,1.0,,,1.0
178,3.9757063,0.0,3.0,0.0,,,1.0
179,34.354607,1.0,3.5820897,0.0,,,1.0
180,47.52586,1.0,10.031566,1.0,,,1.0
181,87.900345,1.0,19.93985,1.0,,,1.0
182,9.168306,0.0,20.0,1.0,,,1.0
183,20.822874,0.0,3.84,0.0,,,1.0
184,6.5944123,0.0,89.14286,1.0,,,1.0
185,84.52364,1.0,6.357616,1.0,,,1.0
186,41.456367,1.0,5.3333335,0.0,,,1.0
187,17.261179,0.0,75.45802,1.0,,,1.0
188,32.64092,1.0,9.293617,0.0,,,1.0
189,14.312575,0.0,8.0,0.0,,,1.0
190,14.1304245,0.0,4.0,0.0,,,1.0
191,38.989147,1.0,7.4666667,0.0,,,1.0
192,41.14207,1.0,5.0866427,1.0,,,1.0
193,30.635418,1.0,21.017576,1.0,,,1.0
194,99.27618,1.0,2.6666667,0.0,,,1.0
195,24.286644,0.0,3.7138927,0.0,,,1.0
196,42.938004,1.0,2.6633291,0.0,,,1.0
197,126.02417,1.0,367.55084,1.0,,,1.0
198,3.881398,0.0,56.0,1.0,,,1.0
199,54.820194,1.0,22.479433,1.0,,,1.0
200,26.189224,0.0,6.198058,1.0,,,1.0
201,4.8860965,0.0,2.0,0.0,,,1.0
202,12.964811,0.0,2.0,0.0,,,1.0
203,23.729366,0.0,3.0561798,0.0,,,1.0
204,17.745646,0.0,0.0,0.0,,,1.0
205,53.859985,1.0,11.554703,1.0,,,1.0
206,24.047249,0.0,656.0,1.0,,,1.0
207,39.564007,1.0,16.0,1.0,,,1.0
208,18.802317,0.0,6.738661,0.0,,,1.0
209,28.246069,1.0,21.559322,1.0,,,1.0
210,81.99735,1.0,196.0,1.0,,,1.0
211,48.668198,1.0,25.089237,1.0,,,1.0
212,35.193172,1.0,2.5454545,0.0,,,1.0
213,16.701824,0.0,3.245786,1.0,,,1.0
214,12.961087,0.0,3.92,0.0,,,1.0
215,100.09412,1.0,3.989975,0.0,,,1.0
216,14.337406,0.0,2.3891404,1.0,,,1.0
217,11.07665,0.0,1.889001,0.0,,,1.0
218,48.393013,1.0,2.5020049,0.0,,,1.0
219,51.36335,1.0,0.0,0.0,,,1.0
220,33.19192,1.0,3.75,0.0,,,1.0
