,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,5.1308866,0.0,0.16666667,0.0,,,1.0
1,11.637587,0.0,0.028571429,0.0,,,1.0
2,11.6671505,0.0,0.0,0.0,,,1.0
3,14.428525,1.0,0.0,0.0,,,1.0
4,6.240863,0.0,0.07692308,0.0,,,1.0
5,7.432479,0.0,0.04,0.0,,,1.0
6,7.128199,0.0,0.0,0.0,,,1.0
7,7.6915717,0.0,0.0,0.0,,,1.0
8,6.6967473,0.0,0.33333334,1.0,,,1.0
9,5.1875243,0.0,0.16666667,1.0,,,1.0
10,12.514937,0.0,0.15384616,0.0,,,1.0
11,12.350495,0.0,0.0,0.0,,,1.0
12,11.54554,0.0,0.04347826,0.0,,,1.0
13,17.053911,1.0,0.1,1.0,,,1.0
14,7.5429177,0.0,0.33333334,1.0,,,1.0
15,8.849337,0.0,0.030303031,0.0,,,1.0
16,12.401473,0.0,0.0,0.0,,,1.0
17,6.490565,0.0,0.05263158,0.0,,,1.0
18,12.430913,0.0,0.15384616,1.0,,,1.0
19,20.082642,1.0,0.04347826,1.0,,,1.0
20,9.054292,0.0,0.0,0.0,,,1.0
21,8.958499,0.0,0.14285715,1.0,,,1.0
22,8.692757,0.0,0.14285715,0.0,,,1.0
23,9.054292,0.0,0.0,0.0,,,1.0
24,6.700372,0.0,0.0,0.0,,,1.0
25,11.670701,0.0,0.0,0.0,,,1.0
26,7.2028475,0.0,0.1,0.0,,,1.0
27,10.597732,0.0,0.05882353,0.0,,,1.0
28,6.2090087,0.0,0.13333334,1.0,,,1.0
29,11.454316,0.0,0.0,0.0,,,1.0
30,9.841349,0.0,0.0,0.0,,,1.0
31,5.122298,0.0,0.14285715,0.0,,,1.0
32,16.537893,1.0,0.2857143,1.0,,,1.0
33,14.758543,1.0,0.0,0.0,,,1.0
34,10.932725,0.0,0.0,0.0,,,1.0
35,10.566876,0.0,0.0,0.0,,,1.0
36,13.767411,1.0,0.04,0.0,,,1.0
37,6.1940565,0.0,0.06666667,0.0,,,1.0
38,7.5131345,0.0,0.04761905,0.0,,,1.0
39,10.012086,0.0,0.05882353,0.0,,,1.0
40,11.80736,0.0,0.125,1.0,,,1.0
41,11.905511,0.0,0.04,0.0,,,1.0
42,17.29969,1.0,0.06666667,1.0,,,1.0
43,5.386939,0.0,0.06666667,0.0,,,1.0
44,11.3244295,0.0,0.04,0.0,,,1.0
45,11.139705,0.0,0.1,0.0,,,1.0
46,18.212511,1.0,0.125,1.0,,,1.0
47,7.867979,0.0,0.030303031,0.0,,,1.0
48,10.463347,0.0,0.11764706,0.0,,,1.0
49,11.139705,0.0,0.2,1.0,,,1.0
50,10.939776,0.0,0.04,0.0,,,1.0
51,7.6032376,0.0,0.0625,0.0,,,1.0
52,9.520596,0.0,0.0952381,1.0,,,1.0
53,7.7568917,0.0,0.071428575,0.0,,,1.0
54,7.006954,0.0,0.030303031,0.0,,,1.0
55,6.563001,0.0,0.04,0.0,,,1.0
56,14.316522,1.0,0.2,1.0,,,1.0
57,15.191985,1.0,0.020833334,0.0,,,1.0
58,15.370205,1.0,0.05,0.0,,,1.0
59,6.9325986,0.0,0.0,0.0,,,1.0
60,12.682314,0.0,0.0,0.0,,,1.0
61,6.308539,0.0,0.0,0.0,,,1.0
62,11.382765,0.0,0.06896552,0.0,,,1.0
63,11.829122,0.0,0.1,0.0,,,1.0
64,7.030273,0.0,0.033333335,0.0,,,1.0
65,7.7568917,0.0,0.0,0.0,,,1.0
66,16.525892,1.0,0.0,0.0,,,1.0
67,7.01672,0.0,0.041666668,0.0,,,1.0
68,12.431551,0.0,0.07692308,0.0,,,1.0
69,14.411681,1.0,0.11111111,1.0,,,1.0
70,12.961048,0.0,0.0,0.0,,,1.0
71,8.371118,0.0,0.06666667,0.0,,,1.0
72,15.370205,1.0,0.5,1.0,,,1.0
73,11.139705,0.0,0.2857143,1.0,,,1.0
74,7.0811396,0.0,0.05,0.0,,,1.0
75,11.37076,0.0,0.125,0.0,,,1.0
76,15.370205,1.0,0.09090909,1.0,,,1.0
77,15.229795,1.0,0.0,0.0,,,1.0
78,18.197353,1.0,0.07692308,1.0,,,1.0
79,6.551477,0.0,0.06666667,0.0,,,1.0
80,16.549948,1.0,0.057142857,1.0,,,1.0
81,10.597732,0.0,0.05882353,0.0,,,1.0
82,2.8585706,0.0,0.4,1.0,,,1.0
83,7.2448487,0.0,0.11111111,0.0,,,1.0
84,7.9382486,0.0,0.13333334,0.0,,,1.0
85,6.5506763,0.0,0.0,0.0,,,1.0
