,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,93.01323,1.0,0.68036276,1.0,,,1.0
1,55.87132,1.0,0.7239727,1.0,,,1.0
2,80.52586,1.0,0.6845848,1.0,,,1.0
3,91.1755,1.0,0.6449564,1.0,,,1.0
4,64.94307,1.0,0.0,1.0,,,1.0
5,69.78562,1.0,0.7645548,1.0,,,1.0
6,26.100706,1.0,0.0,1.0,,,1.0
7,27.525276,1.0,0.20011157,1.0,,,1.0
8,51.857075,1.0,0.69959533,1.0,,,1.0
9,66.183304,1.0,0.0,1.0,,,1.0
10,90.71795,1.0,0.0,1.0,,,1.0
11,106.388176,1.0,0.6602661,1.0,,,1.0
12,136.53467,1.0,0.6520405,1.0,,,1.0
13,60.256744,1.0,0.7137995,1.0,,,1.0
14,29.883192,1.0,0.72476095,1.0,,,1.0
15,92.2472,1.0,0.685341,1.0,,,1.0
16,118.76655,1.0,0.65266836,1.0,,,1.0
17,63.606857,1.0,0.0,1.0,,,1.0
18,44.456512,1.0,0.1827395,1.0,,,1.0
19,101.42422,1.0,0.72129226,1.0,,,1.0
20,95.443954,1.0,0.65314114,1.0,,,1.0
21,87.61642,1.0,0.70664996,1.0,,,1.0
22,31.37648,1.0,0.0,1.0,,,1.0
23,123.455444,1.0,0.67448854,1.0,,,1.0
24,118.7758,1.0,0.0,1.0,,,1.0
25,150.43681,1.0,0.6395057,1.0,,,1.0
26,48.78815,1.0,0.0,1.0,,,1.0
27,69.86934,1.0,0.66120964,1.0,,,1.0
28,48.88589,1.0,0.7429667,1.0,,,1.0
29,49.705826,1.0,0.0,1.0,,,1.0
30,28.815908,1.0,0.39146942,1.0,,,1.0
31,64.763214,1.0,0.6665458,1.0,,,1.0
32,44.16522,1.0,0.80118436,1.0,,,1.0
33,56.335583,1.0,0.7099556,1.0,,,1.0
34,31.05678,1.0,0.31625903,1.0,,,1.0
35,10.66987,1.0,0.0,1.0,,,1.0
36,40.7342,1.0,0.0,1.0,,,1.0
37,81.00526,1.0,0.6815448,1.0,,,1.0
38,7.505879,1.0,0.0,1.0,,,1.0
39,0.0,1.0,0.0,1.0,,,1.0
40,18.9992,1.0,0.31810698,1.0,,,1.0
41,172.8951,1.0,0.60576755,1.0,,,1.0
42,76.304825,1.0,0.6884943,1.0,,,1.0
43,72.77176,1.0,0.3223443,1.0,,,1.0
44,91.47631,1.0,0.0,1.0,,,1.0
45,27.942234,1.0,0.0,1.0,,,1.0
46,105.29861,1.0,0.6252194,1.0,,,1.0
47,142.88206,1.0,0.63038546,1.0,,,1.0
48,136.39067,1.0,0.7109313,1.0,,,1.0
49,127.1312,1.0,0.36080244,1.0,,,1.0
50,152.6675,1.0,0.6141523,1.0,,,1.0
51,68.585884,1.0,0.7145436,1.0,,,1.0
52,122.889275,1.0,0.6199031,1.0,,,1.0
53,104.66408,1.0,0.64323825,1.0,,,1.0
54,107.843376,1.0,0.62742156,1.0,,,1.0
55,40.56555,1.0,0.70600796,1.0,,,1.0
56,83.72796,1.0,0.66958255,1.0,,,1.0
57,125.928894,1.0,0.66472936,1.0,,,1.0
58,58.70694,1.0,0.7120056,1.0,,,1.0
59,38.788403,1.0,0.76350087,1.0,,,1.0
60,118.36092,1.0,0.65141755,1.0,,,1.0
61,86.109764,1.0,0.67300326,1.0,,,1.0
62,78.62071,1.0,0.67948127,1.0,,,1.0
63,113.0425,1.0,0.32897377,1.0,,,1.0
64,92.68212,1.0,0.7350525,1.0,,,1.0
65,141.26585,1.0,0.66277814,1.0,,,1.0
66,144.75877,1.0,0.60207814,1.0,,,1.0
67,82.81161,1.0,0.78670126,1.0,,,1.0
68,71.90257,1.0,0.6802539,1.0,,,1.0
69,124.27107,1.0,0.6565149,1.0,,,1.0
70,76.41918,1.0,0.66404223,1.0,,,1.0
71,112.80484,1.0,0.6637221,1.0,,,1.0
72,101.42422,1.0,0.6683821,1.0,,,1.0
73,86.34449,1.0,0.6382804,1.0,,,1.0
74,61.131317,1.0,0.96764535,1.0,,,1.0
75,50.64668,1.0,0.0,1.0,,,1.0
76,44.563797,1.0,0.35636497,1.0,,,1.0
77,78.89687,1.0,0.63756216,1.0,,,1.0
78,66.8484,1.0,0.7788915,1.0,,,1.0
79,78.880936,1.0,0.6678334,1.0,,,1.0
80,127.1312,1.0,0.6061147,1.0,,,1.0
81,9.644426,1.0,0.0,1.0,,,1.0
82,125.928894,1.0,0.6233695,1.0,,,1.0
83,38.11419,1.0,0.0,1.0,,,1.0
84,113.23154,1.0,0.68007207,1.0,,,1.0
85,143.43425,1.0,0.33609456,1.0,,,1.0
86,43.93155,1.0,0.74651384,1.0,,,1.0
87,159.80743,1.0,0.6279371,1.0,,,1.0
88,26.717566,1.0,0.0,1.0,,,1.0
89,75.02843,1.0,0.6979533,1.0,,,1.0
90,107.450226,1.0,0.6722342,1.0,,,1.0
91,15.232031,1.0,0.84592736,1.0,,,1.0
92,90.35121,1.0,0.31477705,1.0,,,1.0
93,143.83829,1.0,0.33001873,1.0,,,1.0
94,112.149574,1.0,0.6245829,1.0,,,1.0
95,119.699585,1.0,0.6784647,1.0,,,1.0
96,95.910545,1.0,0.67256343,1.0,,,1.0
97,56.573616,1.0,0.0,1.0,,,1.0
98,96.09058,1.0,0.63946575,1.0,,,1.0
99,34.887447,1.0,0.4385775,1.0,,,1.0
100,116.01285,1.0,0.6051447,1.0,,,1.0
101,38.25011,1.0,0.0,1.0,,,1.0
102,66.03703,1.0,0.68050593,1.0,,,1.0
103,90.394295,1.0,0.7637564,1.0,,,1.0
104,59.230984,1.0,0.0,1.0,,,1.0
105,55.154575,1.0,0.81374097,1.0,,,1.0
106,85.86249,1.0,0.68083507,1.0,,,1.0
107,58.954247,1.0,0.70643574,1.0,,,1.0
108,92.68212,1.0,0.8538872,1.0,,,1.0
109,19.892334,1.0,0.0,1.0,,,1.0
110,126.769104,1.0,0.625341,1.0,,,1.0
111,74.01169,1.0,0.6657579,1.0,,,1.0
112,37.371944,1.0,1.061905,1.0,,,1.0
113,25.694988,1.0,0.39054608,1.0,,,1.0
114,77.48499,1.0,0.6453191,1.0,,,1.0
115,100.67879,1.0,0.63553965,1.0,,,1.0
116,159.09776,1.0,0.64625996,1.0,,,1.0
117,8.146511,1.0,0.20609929,1.0,,,1.0
118,9.712573,1.0,1.012681,1.0,,,1.0
119,42.456493,1.0,0.7654796,1.0,,,1.0
120,53.57877,1.0,0.3781203,1.0,,,1.0
121,62.518646,1.0,0.67587775,1.0,,,1.0
122,39.182804,1.0,0.77790964,1.0,,,1.0
123,81.381805,1.0,0.6656315,1.0,,,1.0
124,131.9227,1.0,0.63173664,1.0,,,1.0
125,110.558846,1.0,0.76955026,1.0,,,1.0
126,141.58711,1.0,0.5935989,1.0,,,1.0
127,83.72796,1.0,0.6407023,1.0,,,1.0
128,81.76882,1.0,0.66542083,1.0,,,1.0
129,37.841084,1.0,0.85021305,1.0,,,1.0
130,71.872055,1.0,0.63582945,1.0,,,1.0
131,8.429397,1.0,0.936289,1.0,,,1.0
132,88.2982,1.0,0.0,1.0,,,1.0
133,51.857075,1.0,0.307773,1.0,,,1.0
134,40.53221,1.0,0.7949573,1.0,,,1.0
135,58.53065,1.0,0.7194469,1.0,,,1.0
136,63.438564,1.0,0.0,1.0,,,1.0
137,95.443954,1.0,0.6637018,1.0,,,1.0
138,107.71108,1.0,0.6765581,1.0,,,1.0
139,37.51446,1.0,0.7346082,1.0,,,1.0
140,90.90277,1.0,0.66765225,1.0,,,1.0
141,83.72796,1.0,0.6555559,1.0,,,1.0
142,59.15997,1.0,0.7843405,1.0,,,1.0
143,83.36216,1.0,0.6668846,1.0,,,1.0
144,16.258446,1.0,0.16101503,1.0,,,1.0
145,150.43681,1.0,0.0,1.0,,,1.0
146,139.70013,1.0,0.14489105,1.0,,,1.0
147,40.615005,1.0,0.71564186,1.0,,,1.0
148,23.438282,1.0,0.0,1.0,,,1.0
149,53.323074,1.0,0.38423932,1.0,,,1.0
150,74.27401,1.0,0.36335862,1.0,,,1.0
151,2.4808226,1.0,0.23090777,1.0,,,1.0
152,118.36092,1.0,0.6150647,1.0,,,1.0
153,29.95878,1.0,0.42910656,1.0,,,1.0
154,99.84503,1.0,0.6173469,1.0,,,1.0
155,102.07366,1.0,0.6356122,1.0,,,1.0
156,8.60926,1.0,0.0,1.0,,,1.0
157,126.79112,1.0,0.6722501,1.0,,,1.0
158,64.777084,1.0,0.3816664,1.0,,,1.0
159,91.55054,1.0,0.6384135,1.0,,,1.0
160,64.73711,1.0,0.8473547,1.0,,,1.0
161,69.851425,1.0,0.35578373,1.0,,,1.0
162,121.06021,1.0,0.6615497,1.0,,,1.0
163,74.27401,1.0,0.3992392,1.0,,,1.0
164,134.17325,1.0,0.33959645,1.0,,,1.0
165,92.29548,1.0,0.0,1.0,,,1.0
166,94.73558,1.0,0.6966304,1.0,,,1.0
167,58.70694,1.0,0.74227715,1.0,,,1.0
168,126.79112,1.0,0.15648863,1.0,,,1.0
169,118.10974,1.0,0.6200512,1.0,,,1.0
170,39.742966,1.0,0.0,1.0,,,1.0
171,121.06021,1.0,0.65981305,1.0,,,1.0
172,139.29858,1.0,0.15173814,1.0,,,1.0
173,103.00867,1.0,0.3873693,1.0,,,1.0
174,68.607864,1.0,0.7983823,1.0,,,1.0
175,49.339787,1.0,0.6850313,1.0,,,1.0
176,129.99408,1.0,0.0,1.0,,,1.0
177,111.4948,1.0,0.6875232,1.0,,,1.0
178,39.113186,1.0,0.0,1.0,,,1.0
179,103.71092,1.0,0.34801772,1.0,,,1.0
180,132.6136,1.0,0.6042263,1.0,,,1.0
181,41.494026,1.0,0.7450304,1.0,,,1.0
182,13.257382,1.0,0.0,1.0,,,1.0
183,8.910288,1.0,0.0,1.0,,,1.0
184,115.73904,1.0,0.7213006,1.0,,,1.0
185,29.134897,1.0,0.0,1.0,,,1.0
186,68.332726,1.0,0.15431993,1.0,,,1.0
187,32.011597,1.0,0.0,1.0,,,1.0
188,78.277565,1.0,0.69097215,1.0,,,1.0
189,28.066439,1.0,0.0,1.0,,,1.0
190,131.10532,1.0,0.62795466,1.0,,,1.0
191,101.42422,1.0,0.751552,1.0,,,1.0
192,68.30716,1.0,0.7061156,1.0,,,1.0
193,57.37306,1.0,0.0,1.0,,,1.0
194,93.01323,1.0,0.6393626,1.0,,,1.0
195,77.823654,1.0,0.68239194,1.0,,,1.0
196,174.40337,1.0,0.63137764,1.0,,,1.0
197,21.903658,1.0,0.43877715,1.0,,,1.0
198,125.98808,1.0,0.61109555,1.0,,,1.0
199,106.51991,1.0,0.3305126,1.0,,,1.0
200,136.64052,1.0,0.63772273,1.0,,,1.0
201,174.40337,1.0,0.6165734,1.0,,,1.0
202,69.456184,1.0,0.7546529,1.0,,,1.0
203,127.589554,1.0,0.6459854,1.0,,,1.0
204,21.9666,1.0,0.233827,1.0,,,1.0
205,40.74668,1.0,0.724041,1.0,,,1.0
206,40.83027,1.0,0.0,1.0,,,1.0
207,192.04433,1.0,0.69360137,1.0,,,1.0
208,75.93312,1.0,0.678654,1.0,,,1.0
209,67.82042,1.0,0.7192932,1.0,,,1.0
210,115.88998,1.0,0.31109148,1.0,,,1.0
211,16.5412,1.0,0.0,1.0,,,1.0
212,80.39349,1.0,0.74141484,1.0,,,1.0
213,69.78562,1.0,0.7442574,1.0,,,1.0
214,124.50066,1.0,0.67555714,1.0,,,1.0
215,75.48096,1.0,0.6988692,1.0,,,1.0
216,115.88998,1.0,0.15231678,1.0,,,1.0
217,35.61601,1.0,0.0,1.0,,,1.0
218,69.77778,1.0,0.70909715,1.0,,,1.0
219,89.20249,1.0,0.6603498,1.0,,,1.0
220,65.207214,1.0,0.14235586,1.0,,,1.0
221,39.80223,1.0,0.7538062,1.0,,,1.0
222,99.47188,1.0,0.6514512,1.0,,,1.0
223,156.38518,1.0,0.7159426,1.0,,,1.0
224,119.699585,1.0,0.7060747,1.0,,,1.0
225,64.94307,1.0,0.6602034,1.0,,,1.0
226,29.456665,1.0,0.33207503,1.0,,,1.0
227,17.667528,1.0,0.30603248,1.0,,,1.0
228,75.12907,1.0,0.6876824,1.0,,,1.0
229,80.20092,1.0,0.6783648,1.0,,,1.0
230,90.71795,1.0,0.6544161,1.0,,,1.0
231,92.165596,1.0,0.6531698,1.0,,,1.0
232,61.490814,1.0,0.0,1.0,,,1.0
233,54.1252,1.0,0.0,1.0,,,1.0
234,174.21802,1.0,0.731623,1.0,,,1.0
235,96.28716,1.0,0.6268704,1.0,,,1.0
236,46.478264,1.0,0.18873917,1.0,,,1.0
237,56.607586,1.0,0.36116144,1.0,,,1.0
238,64.052315,1.0,0.6626841,1.0,,,1.0
239,27.30838,1.0,0.70289594,1.0,,,1.0
240,97.60268,1.0,0.18246047,1.0,,,1.0
241,61.758945,1.0,0.6526014,1.0,,,1.0
242,79.506294,1.0,0.6364757,1.0,,,1.0
243,103.5716,1.0,0.6875741,1.0,,,1.0
244,73.12894,1.0,0.8950433,1.0,,,1.0
245,86.87612,1.0,0.0,1.0,,,1.0
246,66.676865,1.0,0.0,1.0,,,1.0
247,65.94486,1.0,0.78707737,1.0,,,1.0
248,72.70719,1.0,0.17021477,1.0,,,1.0
249,69.16967,1.0,0.32461706,1.0,,,1.0
250,154.84932,1.0,0.4259633,1.0,,,1.0
251,11.228403,1.0,0.8366914,1.0,,,1.0
252,48.158085,1.0,0.15741514,1.0,,,1.0
253,32.481743,1.0,0.7566843,1.0,,,1.0
254,65.46007,1.0,0.7219968,1.0,,,1.0
255,97.338165,1.0,0.6530196,1.0,,,1.0
256,86.87612,1.0,0.6773323,1.0,,,1.0
257,136.64052,1.0,0.68241626,1.0,,,1.0
258,60.615913,1.0,0.32946116,1.0,,,1.0
259,19.2753,1.0,0.36495546,1.0,,,1.0
260,36.98256,1.0,0.41299158,1.0,,,1.0
261,95.443954,1.0,0.6269616,1.0,,,1.0
262,34.603996,1.0,0.16732618,1.0,,,1.0
263,53.51416,1.0,0.3313645,1.0,,,1.0
264,89.4922,1.0,0.7632778,1.0,,,1.0
265,94.28395,1.0,0.6458582,1.0,,,1.0
266,131.10532,1.0,0.3069555,1.0,,,1.0
267,7.6001506,1.0,0.0,1.0,,,1.0
268,87.81558,1.0,0.6980358,1.0,,,1.0
269,41.90219,1.0,0.0,1.0,,,1.0
270,101.53551,1.0,0.0,1.0,,,1.0
271,142.46198,1.0,0.597054,1.0,,,1.0
272,110.95952,1.0,0.65310633,1.0,,,1.0
273,33.05422,1.0,0.0,1.0,,,1.0
274,107.97979,1.0,0.64109135,1.0,,,1.0
275,115.73904,1.0,0.6368974,1.0,,,1.0
276,65.451485,1.0,0.32557446,1.0,,,1.0
277,69.75652,1.0,0.0,1.0,,,1.0
278,60.635727,1.0,0.7008811,1.0,,,1.0
279,69.5317,1.0,0.6731033,1.0,,,1.0
280,79.99999,1.0,0.6780931,1.0,,,1.0
281,81.381805,1.0,0.65828395,1.0,,,1.0
282,105.01209,1.0,0.69583327,1.0,,,1.0
283,154.84932,1.0,0.6661373,1.0,,,1.0
284,34.434395,1.0,0.18946159,1.0,,,1.0
285,135.89702,1.0,0.63132125,1.0,,,1.0
286,98.13872,1.0,0.1788593,1.0,,,1.0
287,61.585274,1.0,0.6542221,1.0,,,1.0
288,109.58389,1.0,0.0,1.0,,,1.0
289,76.69799,1.0,0.0,1.0,,,1.0
290,91.74565,1.0,0.6819015,1.0,,,1.0
291,59.963455,1.0,0.6540457,1.0,,,1.0
292,8.685421,1.0,0.0,1.0,,,1.0
293,79.44652,1.0,0.6767216,1.0,,,1.0
294,36.82058,1.0,0.77514625,1.0,,,1.0
295,121.1946,1.0,0.61128926,1.0,,,1.0
296,42.426754,1.0,0.16252941,1.0,,,1.0
297,59.398506,1.0,0.7126752,1.0,,,1.0
298,122.889275,1.0,0.66298735,1.0,,,1.0
299,40.53613,1.0,0.6924281,1.0,,,1.0
300,63.19749,1.0,0.3211124,1.0,,,1.0
301,74.00132,1.0,1.1426752,1.0,,,1.0
302,77.448425,1.0,0.6862954,1.0,,,1.0
303,96.75208,1.0,0.6732172,1.0,,,1.0
304,11.682183,1.0,0.14835653,1.0,,,1.0
305,87.03341,1.0,0.1616499,1.0,,,1.0
306,97.871765,1.0,0.6310145,1.0,,,1.0
307,3.1932724,1.0,0.0,1.0,,,1.0
308,13.049936,1.0,0.0,1.0,,,1.0
309,8.550199,1.0,0.24627854,1.0,,,1.0
310,127.87168,1.0,0.6311682,1.0,,,1.0
311,71.23947,1.0,0.72159594,1.0,,,1.0
312,83.4386,1.0,0.64862067,1.0,,,1.0
313,103.45314,1.0,0.71002746,1.0,,,1.0
314,61.753826,1.0,0.7063566,1.0,,,1.0
315,68.24893,1.0,0.6991302,1.0,,,1.0
316,111.13552,1.0,0.6295237,1.0,,,1.0
317,124.27107,1.0,0.0,1.0,,,1.0
318,19.107779,1.0,0.15857221,1.0,,,1.0
319,159.0944,1.0,0.14493336,1.0,,,1.0
320,97.32095,1.0,0.64216423,1.0,,,1.0
321,77.112915,1.0,0.7236777,1.0,,,1.0
322,124.50066,1.0,0.71341413,1.0,,,1.0
323,129.05238,1.0,0.63671577,1.0,,,1.0
324,95.255905,1.0,0.6435856,1.0,,,1.0
325,40.5333,1.0,0.55811065,1.0,,,1.0
326,72.111176,1.0,0.7411888,1.0,,,1.0
327,113.91002,1.0,0.79202807,1.0,,,1.0
328,36.48402,1.0,0.15648863,1.0,,,1.0
329,94.97641,1.0,0.0,1.0,,,1.0
330,69.63969,1.0,0.71511906,1.0,,,1.0
331,26.114567,1.0,0.0,1.0,,,1.0
332,60.934895,1.0,0.711265,1.0,,,1.0
333,53.102325,1.0,0.156325,1.0,,,1.0
334,76.21178,1.0,0.741649,1.0,,,1.0
335,156.38518,1.0,0.6781371,1.0,,,1.0
