,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,41.443428,1.0,1.0,1.0,,,1.0
1,41.67539,1.0,4.0,1.0,,,1.0
2,3.1241202,1.0,0.0,1.0,,,1.0
3,74.324425,1.0,1.0,1.0,,,1.0
4,15.814079,1.0,0.0,1.0,,,1.0
5,61.853283,1.0,1.0,1.0,,,1.0
6,0.24423933,1.0,0.0,1.0,,,1.0
7,4.1429515,1.0,0.0,1.0,,,1.0
8,85.20485,1.0,4.0,1.0,,,1.0
9,1.7750725,1.0,0.0,1.0,,,1.0
10,15.592268,1.0,0.0,1.0,,,1.0
11,16.58673,1.0,0.0,1.0,,,1.0
12,27.108847,1.0,1.0,1.0,,,1.0
13,2.7758348,1.0,0.0,1.0,,,1.0
14,18.688326,1.0,1.0,1.0,,,1.0
15,25.635746,1.0,0.0,1.0,,,1.0
16,20.342209,1.0,0.0,1.0,,,1.0
17,9.581993,1.0,2.0,1.0,,,1.0
18,183.0355,1.0,4.0,1.0,,,1.0
19,147.20848,1.0,4.0,1.0,,,1.0
20,47.90022,1.0,2.0,1.0,,,1.0
21,63.420017,1.0,2.0,1.0,,,1.0
22,160.1344,1.0,2.0,1.0,,,1.0
23,18.73971,1.0,0.0,1.0,,,1.0
24,47.634804,1.0,2.0,1.0,,,1.0
25,40.509426,1.0,4.0,1.0,,,1.0
26,15.625379,1.0,0.0,1.0,,,1.0
27,35.482918,1.0,1.0,1.0,,,1.0
28,8.581049,1.0,0.0,1.0,,,1.0
29,33.019512,1.0,0.0,1.0,,,1.0
30,33.725246,1.0,0.0,1.0,,,1.0
31,12.217964,1.0,0.0,1.0,,,1.0
32,131.66335,1.0,4.0,1.0,,,1.0
33,86.59995,1.0,0.0,1.0,,,1.0
34,16.780706,1.0,0.0,1.0,,,1.0
35,96.43835,1.0,2.0,1.0,,,1.0
36,34.28847,1.0,2.0,1.0,,,1.0
37,43.71897,1.0,4.0,1.0,,,1.0
38,1.0266458,1.0,0.0,1.0,,,1.0
39,112.633286,1.0,0.0,1.0,,,1.0
40,0.14611872,1.0,0.0,1.0,,,1.0
41,287.02634,1.0,2.0,1.0,,,1.0
42,20.414864,1.0,4.0,1.0,,,1.0
43,8.493766,1.0,0.0,1.0,,,1.0
44,18.115145,1.0,0.0,1.0,,,1.0
45,54.962738,1.0,2.0,1.0,,,1.0
46,43.617672,1.0,2.0,1.0,,,1.0
47,53.075047,1.0,2.0,1.0,,,1.0
48,18.401674,1.0,0.0,1.0,,,1.0
49,34.250225,1.0,1.0,1.0,,,1.0
50,20.515308,1.0,2.0,1.0,,,1.0
51,5.652833,1.0,0.0,1.0,,,1.0
52,258.53656,1.0,2.0,1.0,,,1.0
53,10.332128,1.0,0.0,1.0,,,1.0
54,15.064268,1.0,0.0,1.0,,,1.0
55,18.394299,1.0,1.0,1.0,,,1.0
56,24.024075,1.0,1.0,1.0,,,1.0
57,28.151579,1.0,0.0,1.0,,,1.0
58,8.120635,1.0,0.0,1.0,,,1.0
59,8.136249,1.0,0.0,1.0,,,1.0
60,47.37592,1.0,0.0,1.0,,,1.0
61,40.719143,1.0,4.0,1.0,,,1.0
62,1.4632839,1.0,1.0,1.0,,,1.0
63,47.736164,1.0,2.0,1.0,,,1.0
64,73.76589,1.0,4.0,1.0,,,1.0
65,4.9041705,1.0,0.0,1.0,,,1.0
66,41.175926,1.0,0.0,1.0,,,1.0
67,2.3311765,1.0,0.0,1.0,,,1.0
68,10.421728,1.0,0.0,1.0,,,1.0
69,79.91378,1.0,0.0,1.0,,,1.0
70,158.50793,1.0,1.0,1.0,,,1.0
71,37.986233,1.0,4.0,1.0,,,1.0
72,23.451515,1.0,0.0,1.0,,,1.0
73,7.9666834,1.0,0.0,1.0,,,1.0
74,4.777297,1.0,1.0,1.0,,,1.0
75,103.27289,1.0,1.0,1.0,,,1.0
76,45.85598,1.0,2.0,1.0,,,1.0
77,15.486623,1.0,2.0,1.0,,,1.0
78,41.79064,1.0,4.0,1.0,,,1.0
79,21.365772,1.0,0.0,1.0,,,1.0
80,161.40636,1.0,4.0,1.0,,,1.0
81,178.8719,1.0,1.0,1.0,,,1.0
82,56.665333,1.0,0.0,1.0,,,1.0
83,178.49112,1.0,4.0,1.0,,,1.0
84,20.863665,1.0,0.0,1.0,,,1.0
85,49.910225,1.0,0.0,1.0,,,1.0
86,64.32151,1.0,0.0,1.0,,,1.0
87,37.78434,1.0,0.0,1.0,,,1.0
88,258.53656,1.0,0.0,1.0,,,1.0
89,195.449,1.0,0.0,1.0,,,1.0
90,37.193523,1.0,1.0,1.0,,,1.0
91,61.19866,1.0,0.0,1.0,,,1.0
92,43.254517,1.0,0.0,1.0,,,1.0
93,8.427404,1.0,2.0,1.0,,,1.0
94,76.8605,1.0,1.0,1.0,,,1.0
95,25.519167,1.0,2.0,1.0,,,1.0
96,26.972692,1.0,0.0,1.0,,,1.0
97,39.151466,1.0,1.0,1.0,,,1.0
98,109.01455,1.0,0.0,1.0,,,1.0
99,23.397583,1.0,0.0,1.0,,,1.0
100,21.258247,1.0,0.0,1.0,,,1.0
101,2.9623444,1.0,0.0,1.0,,,1.0
102,135.93777,1.0,4.0,1.0,,,1.0
103,9.768527,1.0,0.0,1.0,,,1.0
104,61.426327,1.0,2.0,1.0,,,1.0
105,25.695429,1.0,1.0,1.0,,,1.0
106,24.944805,1.0,4.0,1.0,,,1.0
107,0.4452962,1.0,0.0,1.0,,,1.0
108,43.81489,1.0,0.0,1.0,,,1.0
109,76.866905,1.0,2.0,1.0,,,1.0
110,13.556949,1.0,0.0,1.0,,,1.0
111,9.392282,1.0,0.0,1.0,,,1.0
112,106.3574,1.0,4.0,1.0,,,1.0
113,1.9064311,1.0,0.0,1.0,,,1.0
114,6.413947,1.0,0.0,1.0,,,1.0
115,54.751034,1.0,2.0,1.0,,,1.0
