,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.179199,1.0,96.12958,1.0,,,1.0
1,10.354769,1.0,11.944055,1.0,,,1.0
2,9.731354,1.0,0.0,1.0,,,1.0
3,6.5115895,1.0,18.204313,1.0,,,1.0
4,9.440598,1.0,3.408658,1.0,,,1.0
5,8.390469,1.0,19.71131,1.0,,,1.0
6,5.674261,1.0,22.966372,1.0,,,1.0
7,17.318861,1.0,140.18803,1.0,,,1.0
8,15.153313,1.0,8.3666,1.0,,,1.0
9,22.925636,1.0,24.688547,1.0,,,1.0
10,6.4755297,1.0,275.74225,1.0,,,1.0
11,5.9587083,1.0,1.0,1.0,,,1.0
12,7.0755506,1.0,14.391774,1.0,,,1.0
13,29.668274,1.0,41.071487,1.0,,,1.0
14,21.252636,1.0,24.16767,1.0,,,1.0
15,4.239973,1.0,14.416868,1.0,,,1.0
16,17.639793,1.0,24.927284,1.0,,,1.0
17,7.3214145,1.0,0.0,1.0,,,1.0
18,7.981687,1.0,4.973795,1.0,,,1.0
19,8.932467,1.0,400.63843,1.0,,,1.0
20,23.02263,1.0,301.35892,1.0,,,1.0
21,9.601016,1.0,83.453705,1.0,,,1.0
22,5.430175,1.0,0.0,1.0,,,1.0
23,3.4917867,1.0,0.0,1.0,,,1.0
24,8.3053,1.0,35.88837,1.0,,,1.0
25,10.38216,1.0,9.299838,1.0,,,1.0
26,9.384144,1.0,21.789059,1.0,,,1.0
27,3.3716536,1.0,0.0,1.0,,,1.0
28,16.201336,1.0,71.140396,1.0,,,1.0
29,14.457956,1.0,0.0,1.0,,,1.0
30,16.745007,1.0,30.365274,1.0,,,1.0
31,9.423568,1.0,40.00863,1.0,,,1.0
32,25.476622,1.0,46.331688,1.0,,,1.0
33,4.4908113,1.0,0.0,1.0,,,1.0
34,17.632666,1.0,18.119854,1.0,,,1.0
35,8.927096,1.0,22.13917,1.0,,,1.0
36,9.071553,1.0,5.957892,1.0,,,1.0
37,36.34262,1.0,0.0,1.0,,,1.0
38,2.236463,1.0,19.963652,1.0,,,1.0
39,8.795727,1.0,25.889833,1.0,,,1.0
40,10.930781,1.0,0.0,1.0,,,1.0
41,10.003078,1.0,28.466352,1.0,,,1.0
42,5.3539934,1.0,65.061676,1.0,,,1.0
43,9.843496,1.0,35.390507,1.0,,,1.0
44,12.31025,1.0,27.42046,1.0,,,1.0
45,34.106113,1.0,0.0,1.0,,,1.0
46,16.287037,1.0,0.0,1.0,,,1.0
47,10.661169,1.0,34.90134,1.0,,,1.0
48,1.8877243,1.0,34.82644,1.0,,,1.0
49,2.7498953,1.0,24.643503,1.0,,,1.0
50,9.071416,1.0,7.63719,1.0,,,1.0
51,4.152966,1.0,13.705098,1.0,,,1.0
52,5.1846237,1.0,4.886172,1.0,,,1.0
53,8.482294,1.0,0.0,1.0,,,1.0
54,16.235083,1.0,6.817316,1.0,,,1.0
55,11.469322,1.0,0.0,1.0,,,1.0
56,5.4939327,1.0,71.77094,1.0,,,1.0
57,1.7750629,1.0,0.0,1.0,,,1.0
58,4.3838696,1.0,1.7782794,1.0,,,1.0
59,5.8144536,1.0,0.0,1.0,,,1.0
60,13.239913,1.0,13.511663,1.0,,,1.0
61,19.124727,1.0,13.765876,1.0,,,1.0
62,15.002536,1.0,65.61825,1.0,,,1.0
63,32.57766,1.0,8.378527,1.0,,,1.0
64,17.254877,1.0,0.0,1.0,,,1.0
65,20.499435,1.0,3.511243,1.0,,,1.0
66,14.880512,1.0,0.0,1.0,,,1.0
67,2.645084,1.0,9.45978,1.0,,,1.0
68,22.073355,1.0,0.0,1.0,,,1.0
69,14.72108,1.0,9.430704,1.0,,,1.0
70,17.245462,1.0,0.0,1.0,,,1.0
71,5.389373,1.0,13.976618,1.0,,,1.0
72,20.448502,1.0,28.88765,1.0,,,1.0
73,5.1446643,1.0,4.2426405,1.0,,,1.0
74,11.049476,1.0,61.634,1.0,,,1.0
75,2.2998867,1.0,1.5650846,1.0,,,1.0
76,9.117645,1.0,20.451948,1.0,,,1.0
77,16.689594,1.0,27.831577,1.0,,,1.0
78,15.231312,1.0,37.634686,1.0,,,1.0
79,17.010366,1.0,16.233135,1.0,,,1.0
