,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,77.03855,1.0,0.0,1.0,,,1.0
1,101.23084,1.0,13.9663515,1.0,,,1.0
2,10.393307,1.0,9.75192,1.0,,,1.0
3,82.35865,1.0,5.5950828,1.0,,,1.0
4,60.961994,1.0,45.96262,1.0,,,1.0
5,83.47195,1.0,0.0,1.0,,,1.0
6,19.223988,1.0,0.0,1.0,,,1.0
7,15.5425,1.0,0.0,1.0,,,1.0
8,13.713874,1.0,3.0628142,1.0,,,1.0
9,58.92991,1.0,25.357307,1.0,,,1.0
10,68.52952,1.0,0.0,1.0,,,1.0
11,21.294365,1.0,0.0,1.0,,,1.0
12,40.085007,1.0,2.4494898,1.0,,,1.0
13,28.658102,1.0,0.0,1.0,,,1.0
14,27.968111,1.0,9.153439,1.0,,,1.0
15,63.65871,1.0,0.0,1.0,,,1.0
16,17.213804,1.0,5.519338,1.0,,,1.0
17,9.783202,1.0,0.0,1.0,,,1.0
18,13.661076,1.0,0.0,1.0,,,1.0
19,19.898495,1.0,0.0,1.0,,,1.0
20,66.941666,1.0,18.182394,1.0,,,1.0
21,61.753727,1.0,9.299838,1.0,,,1.0
22,23.427767,1.0,18.18651,1.0,,,1.0
23,8.66321,1.0,2.828427,1.0,,,1.0
24,13.805175,1.0,0.0,1.0,,,1.0
25,38.78841,1.0,0.0,1.0,,,1.0
26,48.586773,1.0,0.0,1.0,,,1.0
27,71.933136,1.0,19.5482,1.0,,,1.0
28,45.390705,1.0,0.0,1.0,,,1.0
29,19.72294,1.0,0.0,1.0,,,1.0
30,52.127735,1.0,201.32457,1.0,,,1.0
31,6.5568194,1.0,0.0,1.0,,,1.0
32,23.07642,1.0,20.006247,1.0,,,1.0
33,40.329067,1.0,0.0,1.0,,,1.0
34,7.5320163,1.0,0.0,1.0,,,1.0
35,9.177032,1.0,0.0,1.0,,,1.0
36,28.236149,1.0,6.2603383,1.0,,,1.0
37,11.987361,1.0,0.0,1.0,,,1.0
38,16.432789,1.0,0.0,1.0,,,1.0
39,18.394707,1.0,3.534119,1.0,,,1.0
40,61.802517,1.0,15.226308,1.0,,,1.0
41,43.012375,1.0,0.0,1.0,,,1.0
42,125.426216,1.0,67.84025,1.0,,,1.0
43,38.27392,1.0,0.0,1.0,,,1.0
44,21.113304,1.0,0.0,1.0,,,1.0
45,85.956024,1.0,0.0,1.0,,,1.0
46,22.097239,1.0,0.0,1.0,,,1.0
47,16.470001,1.0,23.992184,1.0,,,1.0
48,16.470001,1.0,0.0,1.0,,,1.0
49,16.1459,1.0,0.0,1.0,,,1.0
50,93.89208,1.0,95.82311,1.0,,,1.0
51,52.264572,1.0,19.282282,1.0,,,1.0
52,30.020575,1.0,0.0,1.0,,,1.0
53,24.580519,1.0,0.0,1.0,,,1.0
54,99.50108,1.0,32.690266,1.0,,,1.0
55,54.92,1.0,5.678823,1.0,,,1.0
56,20.518843,1.0,0.0,1.0,,,1.0
57,8.679949,1.0,0.0,1.0,,,1.0
58,13.619144,1.0,0.0,1.0,,,1.0
59,30.029503,1.0,0.0,1.0,,,1.0
60,68.708435,1.0,0.0,1.0,,,1.0
61,7.7014146,1.0,4.300377,1.0,,,1.0
62,125.714554,1.0,18.039309,1.0,,,1.0
63,61.802517,1.0,5.1800404,1.0,,,1.0
64,42.70696,1.0,0.0,1.0,,,1.0
65,26.983465,1.0,1.7782794,1.0,,,1.0
66,10.071412,1.0,11.485167,1.0,,,1.0
67,34.08744,1.0,146.74803,1.0,,,1.0
68,2.7309208,1.0,0.0,1.0,,,1.0
69,32.481255,1.0,10.954452,1.0,,,1.0
70,33.79201,1.0,0.0,1.0,,,1.0
71,21.48557,1.0,4.222861,1.0,,,1.0
72,55.868473,1.0,11.3848505,1.0,,,1.0
73,23.42152,1.0,0.0,1.0,,,1.0
74,5.0315166,1.0,3.6161716,1.0,,,1.0
75,16.701813,1.0,57.520493,1.0,,,1.0
76,35.07136,1.0,0.0,1.0,,,1.0
77,57.92621,1.0,3.1301692,1.0,,,1.0
78,23.34191,1.0,0.0,1.0,,,1.0
79,12.058296,1.0,0.0,1.0,,,1.0
80,16.63139,1.0,0.0,1.0,,,1.0
81,14.596655,1.0,0.0,1.0,,,1.0
82,22.277683,1.0,0.0,1.0,,,1.0
