,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,93.01323,1.0,5.121951,1.0,,,1.0
1,55.87132,1.0,2.9518716,1.0,,,1.0
2,80.52586,1.0,22.64151,1.0,,,1.0
3,91.1755,1.0,5.5462184,1.0,,,1.0
4,64.94307,1.0,112.0,1.0,,,1.0
5,69.78562,1.0,49.9736,1.0,,,1.0
6,26.100706,1.0,12.0,1.0,,,1.0
7,27.525276,1.0,3.0,1.0,,,1.0
8,51.857075,1.0,13.829565,1.0,,,1.0
9,66.183304,1.0,8.0,1.0,,,1.0
10,90.71795,1.0,12.0,1.0,,,1.0
11,106.388176,1.0,25.224833,1.0,,,1.0
12,136.53467,1.0,9.022174,1.0,,,1.0
13,60.256744,1.0,3.328,1.0,,,1.0
14,29.883192,1.0,4.7603307,1.0,,,1.0
15,92.2472,1.0,4.0,1.0,,,1.0
16,118.76655,1.0,6.4688563,1.0,,,1.0
17,63.606857,1.0,0.0,1.0,,,1.0
18,44.456512,1.0,3.0,1.0,,,1.0
19,101.42422,1.0,31.00693,1.0,,,1.0
20,95.443954,1.0,16.695684,1.0,,,1.0
21,87.61642,1.0,41.16412,1.0,,,1.0
22,31.37648,1.0,8.0,1.0,,,1.0
23,123.455444,1.0,3.1888502,1.0,,,1.0
24,118.7758,1.0,12.0,1.0,,,1.0
25,150.43681,1.0,23.692442,1.0,,,1.0
26,48.78815,1.0,2.0,1.0,,,1.0
27,69.86934,1.0,26.311558,1.0,,,1.0
28,48.88589,1.0,5.287554,1.0,,,1.0
29,49.705826,1.0,20.0,1.0,,,1.0
30,28.815908,1.0,2.9901206,1.0,,,1.0
31,64.763214,1.0,214.61314,1.0,,,1.0
32,44.16522,1.0,9.85649,1.0,,,1.0
33,56.335583,1.0,2.6532664,1.0,,,1.0
34,31.05678,1.0,6.4188237,1.0,,,1.0
35,10.66987,1.0,0.0,1.0,,,1.0
36,40.7342,1.0,4.0,1.0,,,1.0
37,81.00526,1.0,2.614786,1.0,,,1.0
38,7.505879,1.0,12.0,1.0,,,1.0
39,0.0,1.0,0.0,1.0,,,1.0
40,18.9992,1.0,3.880338,1.0,,,1.0
41,172.8951,1.0,163.38191,1.0,,,1.0
42,76.304825,1.0,2.8235295,1.0,,,1.0
43,72.77176,1.0,2.9940436,1.0,,,1.0
44,91.47631,1.0,12.0,1.0,,,1.0
45,27.942234,1.0,15.542857,1.0,,,1.0
46,105.29861,1.0,17.288044,1.0,,,1.0
47,142.88206,1.0,88.42322,1.0,,,1.0
48,136.39067,1.0,1.7777778,1.0,,,1.0
49,127.1312,1.0,1.9047619,1.0,,,1.0
50,152.6675,1.0,199.7396,1.0,,,1.0
51,68.585884,1.0,4.0677967,1.0,,,1.0
52,122.889275,1.0,37.651,1.0,,,1.0
53,104.66408,1.0,20.168291,1.0,,,1.0
54,107.843376,1.0,75.9286,1.0,,,1.0
55,40.56555,1.0,33.194614,1.0,,,1.0
56,83.72796,1.0,10.828735,1.0,,,1.0
57,125.928894,1.0,6.5885415,1.0,,,1.0
58,58.70694,1.0,20.671066,1.0,,,1.0
59,38.788403,1.0,2.1894736,1.0,,,1.0
60,118.36092,1.0,28.966394,1.0,,,1.0
61,86.109764,1.0,9.823435,1.0,,,1.0
62,78.62071,1.0,3.1048386,1.0,,,1.0
63,113.0425,1.0,6.6141734,1.0,,,1.0
64,92.68212,1.0,4.4444447,1.0,,,1.0
65,141.26585,1.0,79.612755,1.0,,,1.0
66,144.75877,1.0,204.88028,1.0,,,1.0
67,82.81161,1.0,1.7142857,1.0,,,1.0
68,71.90257,1.0,4.9005237,1.0,,,1.0
69,124.27107,1.0,5.843478,1.0,,,1.0
70,76.41918,1.0,16.975174,1.0,,,1.0
71,112.80484,1.0,3.6069365,1.0,,,1.0
72,101.42422,1.0,68.09492,1.0,,,1.0
73,86.34449,1.0,49.750668,1.0,,,1.0
74,61.131317,1.0,1.2972972,1.0,,,1.0
75,50.64668,1.0,0.0,1.0,,,1.0
76,44.563797,1.0,1.7142857,1.0,,,1.0
77,78.89687,1.0,28.350086,1.0,,,1.0
78,66.8484,1.0,1.6721312,1.0,,,1.0
79,78.880936,1.0,126.21908,1.0,,,1.0
80,127.1312,1.0,97.03197,1.0,,,1.0
81,9.644426,1.0,20.0,1.0,,,1.0
82,125.928894,1.0,30.536877,1.0,,,1.0
83,38.11419,1.0,26.666666,1.0,,,1.0
84,113.23154,1.0,7.7967515,1.0,,,1.0
85,143.43425,1.0,7.1287127,1.0,,,1.0
86,43.93155,1.0,10.897297,1.0,,,1.0
87,159.80743,1.0,16.187876,1.0,,,1.0
88,26.717566,1.0,0.0,1.0,,,1.0
89,75.02843,1.0,28.40164,1.0,,,1.0
90,107.450226,1.0,4.0336137,1.0,,,1.0
91,15.232031,1.0,14.842333,1.0,,,1.0
92,90.35121,1.0,9.131707,1.0,,,1.0
93,143.83829,1.0,11.437309,1.0,,,1.0
94,112.149574,1.0,12.236297,1.0,,,1.0
95,119.699585,1.0,3.1110106,1.0,,,1.0
96,95.910545,1.0,23.273958,1.0,,,1.0
