,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,1.2892132,1.0,52.0,1.0,,,1.0
1,0.27905533,1.0,0.0,1.0,,,1.0
2,1.4679768,1.0,4.2105265,1.0,,,1.0
3,0.0,1.0,0.0,1.0,,,1.0
4,10.093842,1.0,133.0,1.0,,,1.0
5,1.6591707,1.0,2.3529413,1.0,,,1.0
6,0.0,1.0,0.0,1.0,,,1.0
7,0.0,1.0,0.0,1.0,,,1.0
8,0.0,1.0,60.0,1.0,,,1.0
9,0.0,1.0,0.0,1.0,,,1.0
10,2.7918906,1.0,0.0,1.0,,,1.0
11,1.7071067,1.0,67.832794,1.0,,,1.0
12,0.0,1.0,0.0,1.0,,,1.0
13,0.0,1.0,0.0,1.0,,,1.0
14,0.0,1.0,0.0,1.0,,,1.0
15,5.389844,1.0,28.0,1.0,,,1.0
16,0.0,1.0,0.0,1.0,,,1.0
17,0.0,1.0,0.0,1.0,,,1.0
18,0.0,1.0,0.0,1.0,,,1.0
19,3.9081118,1.0,0.0,1.0,,,1.0
20,1.5813656,1.0,2.0,1.0,,,1.0
21,2.9981713,1.0,16.0,1.0,,,1.0
22,0.0,1.0,0.0,1.0,,,1.0
23,3.7768233,1.0,8.0,1.0,,,1.0
24,0.90786946,1.0,0.0,1.0,,,1.0
25,0.0,1.0,0.0,1.0,,,1.0
26,2.9981713,1.0,4.0,1.0,,,1.0
27,0.0,1.0,0.0,1.0,,,1.0
28,0.0,1.0,0.0,1.0,,,1.0
29,8.6117,1.0,14.0,1.0,,,1.0
30,0.7403507,1.0,52.0,1.0,,,1.0
31,0.0,1.0,0.0,1.0,,,1.0
32,2.3034296,1.0,9.321467,1.0,,,1.0
33,0.4773663,1.0,0.0,1.0,,,1.0
34,8.981277,1.0,26.026316,1.0,,,1.0
35,0.0,1.0,0.0,1.0,,,1.0
36,0.0,1.0,0.0,1.0,,,1.0
37,21.57137,1.0,55.85188,1.0,,,1.0
38,1.4021143,1.0,1.0,1.0,,,1.0
39,0.0,1.0,0.0,1.0,,,1.0
40,0.0,1.0,28.0,1.0,,,1.0
41,0.0,1.0,0.0,1.0,,,1.0
42,0.0,1.0,0.0,1.0,,,1.0
43,7.214266,1.0,6.9333334,1.0,,,1.0
44,1.4698074,1.0,4.0,1.0,,,1.0
45,0.0,1.0,0.0,1.0,,,1.0
46,2.7611763,1.0,4.0,1.0,,,1.0
47,0.0,1.0,0.0,1.0,,,1.0
48,0.0,1.0,0.0,1.0,,,1.0
49,0.5138983,1.0,4.8,1.0,,,1.0
50,0.0,1.0,0.0,1.0,,,1.0
51,2.054129,1.0,4.0,1.0,,,1.0
52,0.0,1.0,0.0,1.0,,,1.0
53,2.6888957,1.0,240.0,1.0,,,1.0
54,0.0,1.0,0.0,1.0,,,1.0
55,0.0,1.0,0.0,1.0,,,1.0
56,0.7213475,1.0,0.0,1.0,,,1.0
57,4.053684,1.0,8.0,1.0,,,1.0
58,3.0909572,1.0,32.0,1.0,,,1.0
59,2.8683708,1.0,164.53683,1.0,,,1.0
60,1.4668442,1.0,1.0,1.0,,,1.0
61,7.9493704,1.0,23.683168,1.0,,,1.0
62,0.9908065,1.0,89.89247,1.0,,,0.0
63,0.46544316,1.0,8.029197,1.0,,,0.0
64,1.1418554,1.0,13.333333,1.0,,,0.0
65,7.552432,1.0,20.0,1.0,,,0.0
66,1.559163,1.0,20.0,1.0,,,0.0
67,1.3378531,1.0,8.029197,1.0,,,0.0
68,0.9908065,1.0,13.333333,1.0,,,
