,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,11.851212,1.0,0.028571429,1.0,,,1.0
1,7.7476435,1.0,0.14285715,1.0,,,1.0
2,17.52765,1.0,0.04347826,1.0,,,1.0
3,7.4313602,1.0,0.04,1.0,,,1.0
4,12.35735,1.0,0.0,1.0,,,1.0
5,12.366216,1.0,0.03125,1.0,,,1.0
6,5.1886415,1.0,0.2,1.0,,,1.0
7,10.532374,1.0,0.08,1.0,,,1.0
8,7.6547847,1.0,0.027777778,1.0,,,1.0
9,12.3476925,1.0,0.0,1.0,,,1.0
10,15.184259,1.0,0.13333334,1.0,,,1.0
11,7.541799,1.0,0.33333334,1.0,,,1.0
12,6.700139,1.0,0.0,1.0,,,1.0
13,8.849617,1.0,0.030303031,1.0,,,1.0
14,10.601974,1.0,0.0,1.0,,,1.0
15,18.637337,1.0,0.0,1.0,,,1.0
16,9.054515,1.0,0.0,1.0,,,1.0
17,18.010258,1.0,0.15384616,1.0,,,1.0
18,16.923223,1.0,0.18181819,1.0,,,1.0
19,9.054515,1.0,0.0,1.0,,,1.0
20,6.69848,1.0,0.0,1.0,,,1.0
21,15.244647,1.0,0.22222222,1.0,,,1.0
22,11.671552,1.0,0.0,1.0,,,1.0
23,18.010258,1.0,0.033333335,1.0,,,1.0
24,7.7007985,1.0,0.0,1.0,,,1.0
25,9.362978,1.0,0.0,1.0,,,1.0
26,7.2013087,1.0,0.125,1.0,,,1.0
27,10.598093,1.0,0.11111111,1.0,,,1.0
28,6.207117,1.0,0.15384616,1.0,,,1.0
29,9.839848,1.0,0.0,1.0,,,1.0
30,12.783208,1.0,0.18181819,1.0,,,1.0
31,9.350379,1.0,0.13333334,1.0,,,1.0
32,7.66917,1.0,0.028571429,1.0,,,1.0
33,9.426794,1.0,0.0,1.0,,,1.0
34,6.0977416,1.0,0.0,1.0,,,1.0
35,5.1219444,1.0,0.14285715,1.0,,,1.0
36,12.758066,1.0,0.06666667,1.0,,,1.0
37,15.86003,1.0,0.06666667,1.0,,,1.0
38,10.930598,1.0,0.0,1.0,,,1.0
39,10.5672865,1.0,0.0,1.0,,,1.0
40,6.2649536,1.0,0.083333336,1.0,,,1.0
41,6.1227994,1.0,0.125,1.0,,,1.0
42,11.804605,1.0,0.02631579,1.0,,,1.0
43,7.5142894,1.0,0.04761905,1.0,,,1.0
44,10.241567,1.0,0.07692308,1.0,,,1.0
45,11.90622,1.0,0.04,1.0,,,1.0
46,9.932933,1.0,0.05263158,1.0,,,1.0
47,17.298025,1.0,0.06666667,1.0,,,1.0
48,5.3872204,1.0,0.06666667,1.0,,,1.0
49,8.322296,1.0,0.0,1.0,,,1.0
50,13.969093,1.0,0.09090909,1.0,,,1.0
51,11.531883,1.0,0.04,1.0,,,1.0
52,18.21372,1.0,0.125,1.0,,,1.0
53,11.11366,1.0,0.6666667,1.0,,,1.0
54,10.938363,1.0,0.04,1.0,,,1.0
55,6.7138224,1.0,0.09090909,1.0,,,1.0
56,16.923223,1.0,0.16666667,1.0,,,1.0
57,7.603967,1.0,0.06451613,1.0,,,1.0
58,9.52082,1.0,0.1,1.0,,,1.0
59,15.897515,1.0,0.03846154,1.0,,,1.0
60,16.136215,1.0,0.0,1.0,,,1.0
61,7.0081477,1.0,0.028571429,1.0,,,1.0
62,6.783961,1.0,0.0,1.0,,,1.0
63,14.318045,1.0,0.16666667,1.0,,,1.0
64,15.189859,1.0,0.020833334,1.0,,,1.0
65,10.021746,1.0,0.22222222,1.0,,,1.0
66,4.167928,1.0,0.08,1.0,,,1.0
67,7.146253,1.0,0.0,1.0,,,1.0
68,15.3700695,1.0,0.05,1.0,,,1.0
69,7.723266,1.0,0.0,1.0,,,1.0
70,12.679712,1.0,0.0,1.0,,,1.0
71,6.5231647,1.0,0.0,1.0,,,1.0
72,11.381373,1.0,0.06896552,1.0,,,1.0
73,12.394742,1.0,0.0,1.0,,,1.0
74,11.829001,1.0,0.1,1.0,,,1.0
75,8.371399,1.0,0.125,1.0,,,1.0
76,8.646199,1.0,0.0,1.0,,,1.0
77,5.1219444,1.0,0.11111111,1.0,,,1.0
78,14.685243,1.0,0.04761905,1.0,,,1.0
79,7.0146885,1.0,0.041666668,1.0,,,1.0
80,12.432184,1.0,0.06666667,1.0,,,1.0
81,8.371399,1.0,0.07692308,1.0,,,1.0
82,6.951424,1.0,0.13333334,1.0,,,1.0
83,7.0797663,1.0,0.05,1.0,,,1.0
84,15.3700695,1.0,0.045454547,1.0,,,1.0
85,11.921554,1.0,0.0,1.0,,,1.0
86,6.551267,1.0,0.06666667,1.0,,,1.0
87,13.196878,1.0,0.18181819,1.0,,,1.0
88,16.549559,1.0,0.055555556,1.0,,,1.0
89,10.598093,1.0,0.05263158,1.0,,,1.0
90,2.8585706,1.0,0.25,1.0,,,1.0
91,8.153924,1.0,0.13333334,1.0,,,1.0
92,6.5506263,1.0,0.0,1.0,,,1.0
93,5.67675,1.0,0.11111111,1.0,,,1.0
94,3.966836,1.0,0.11111111,1.0,,,1.0
95,11.671119,1.0,0.0,1.0,,,1.0
96,8.118678,1.0,0.125,1.0,,,1.0
97,9.544822,1.0,0.14285715,1.0,,,1.0
98,7.5034895,1.0,0.0,1.0,,,1.0
99,11.314206,1.0,0.0,1.0,,,1.0
100,18.010258,1.0,0.046511628,1.0,,,1.0
101,10.355138,1.0,0.10526316,1.0,,,1.0
102,13.374382,1.0,0.0,1.0,,,1.0
103,7.441131,1.0,0.1,1.0,,,1.0
104,6.910043,1.0,0.022222223,1.0,,,1.0
105,10.452804,1.0,0.0,1.0,,,1.0
106,10.355138,1.0,0.0,1.0,,,1.0
107,10.938363,1.0,0.125,1.0,,,1.0
108,11.935738,1.0,0.074074075,1.0,,,1.0
109,11.806467,1.0,0.0,1.0,,,1.0
110,6.1227994,1.0,0.2,1.0,,,1.0
111,6.987258,1.0,0.04,1.0,,,1.0
112,11.023312,1.0,0.0,1.0,,,1.0
113,11.11213,1.0,0.025641026,1.0,,,1.0
114,10.650905,1.0,0.0,1.0,,,1.0
115,8.797991,1.0,0.07692308,1.0,,,1.0
116,10.324164,1.0,0.14285715,1.0,,,1.0
117,19.363485,1.0,0.0,1.0,,,1.0
118,10.679958,1.0,0.04347826,1.0,,,1.0
119,7.1951957,1.0,0.05882353,1.0,,,1.0
120,13.284585,1.0,0.4,1.0,,,1.0
121,16.29948,1.0,0.4,1.0,,,1.0
122,16.513857,1.0,0.04,1.0,,,1.0
123,6.924499,1.0,0.0,1.0,,,1.0
124,10.041649,1.0,0.15384616,1.0,,,1.0
125,12.759832,1.0,0.04347826,1.0,,,1.0
126,13.738449,1.0,0.18181819,1.0,,,1.0
127,14.38062,1.0,0.125,1.0,,,1.0
128,10.468564,1.0,0.09090909,1.0,,,1.0
129,6.9274096,1.0,0.11111111,1.0,,,1.0
130,6.524128,1.0,0.0,1.0,,,1.0
131,15.3700695,1.0,0.022222223,1.0,,,1.0
132,7.717181,1.0,0.04,1.0,,,1.0
133,11.075583,1.0,0.22222222,1.0,,,1.0
134,11.45254,1.0,0.11111111,1.0,,,1.0
135,7.6571097,1.0,0.05,1.0,,,1.0
136,6.564118,1.0,0.071428575,1.0,,,1.0
137,13.187452,1.0,0.06896552,1.0,,,1.0
138,10.938363,1.0,0.0,1.0,,,1.0
139,8.618477,1.0,0.0,1.0,,,1.0
140,11.913778,1.0,0.0,1.0,,,1.0
141,15.941946,1.0,0.07692308,1.0,,,1.0
142,8.600815,1.0,0.06666667,1.0,,,1.0
143,11.705569,1.0,0.0,1.0,,,1.0
144,5.0553513,1.0,0.0,1.0,,,1.0
145,10.324164,1.0,0.028571429,1.0,,,1.0
146,6.910043,1.0,0.2,1.0,,,1.0
147,9.430357,1.0,0.14285715,1.0,,,1.0
148,16.25208,1.0,0.0952381,1.0,,,1.0
149,6.69848,1.0,0.0,1.0,,,1.0
150,10.461955,1.0,0.09090909,1.0,,,1.0
151,7.5873194,1.0,0.04761905,1.0,,,1.0
152,6.751509,1.0,0.0,1.0,,,1.0
153,6.777858,1.0,0.04,1.0,,,1.0
154,10.157199,1.0,0.33333334,1.0,,,1.0
155,5.1219444,1.0,0.22222222,1.0,,,1.0
156,10.2275095,1.0,0.0625,1.0,,,1.0
157,5.60617,1.0,0.0,1.0,,,1.0
158,8.264937,1.0,0.04761905,1.0,,,1.0
159,6.30263,1.0,0.14285715,1.0,,,1.0
160,8.243499,1.0,0.083333336,1.0,,,1.0
161,9.193895,1.0,0.057142857,1.0,,,1.0
162,11.45254,1.0,0.16666667,1.0,,,1.0
163,16.175745,1.0,0.13333334,1.0,,,1.0
164,12.475792,1.0,0.11764706,1.0,,,1.0
165,6.8882427,1.0,0.083333336,1.0,,,1.0
166,10.938363,1.0,0.030303031,1.0,,,1.0
167,9.903319,1.0,0.125,1.0,,,1.0
168,5.73888,1.0,0.04347826,1.0,,,1.0
169,7.985904,1.0,0.22222222,1.0,,,1.0
170,10.573681,1.0,0.06666667,1.0,,,1.0
171,12.475792,1.0,0.083333336,1.0,,,1.0
172,6.4077525,1.0,0.0,1.0,,,1.0
173,12.914147,1.0,0.0,1.0,,,0.0
174,8.921266,1.0,0.0,1.0,,,0.0
175,10.5592575,1.0,0.0,1.0,,,0.0
176,2.188632,1.0,0.0,1.0,,,0.0
177,11.165562,1.0,0.0,1.0,,,0.0
178,11.165562,1.0,0.0,1.0,,,0.0
179,8.921266,1.0,0.0,1.0,,,0.0
180,4.856072,1.0,0.0,1.0,,,0.0
181,11.165562,1.0,0.0,1.0,,,0.0
182,2.6728075,1.0,0.0,1.0,,,0.0
183,8.121668,1.0,0.0,1.0,,,0.0
184,10.5794325,1.0,0.0,1.0,,,0.0
185,6.080929,1.0,0.0,1.0,,,0.0
186,6.8284116,1.0,0.0,1.0,,,0.0
187,8.921266,1.0,0.0,1.0,,,0.0
188,11.165562,1.0,0.0,1.0,,,0.0
189,4.419389,1.0,0.0,1.0,,,0.0
190,9.355398,1.0,0.0,1.0,,,
