,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,7.223433,0.0,4.0,1.0,,,1.0
1,2.694445,0.0,2.0,1.0,,,1.0
2,5.4795995,0.0,0.0,0.0,,,1.0
3,8.097731,0.0,2.0,1.0,,,1.0
4,8.310548,0.0,2.0,1.0,,,1.0
5,10.278457,0.0,2.0,1.0,,,1.0
6,1.8652004,0.0,0.0,0.0,,,1.0
7,7.8342633,0.0,4.0,1.0,,,1.0
8,1.355788,0.0,0.0,0.0,,,1.0
9,8.9736185,0.0,4.0,1.0,,,1.0
10,4.5730867,0.0,2.0,1.0,,,1.0
11,9.174978,0.0,2.0,1.0,,,1.0
12,9.881498,0.0,2.0,1.0,,,1.0
13,8.8397455,0.0,4.0,1.0,,,1.0
14,5.8212023,0.0,4.0,1.0,,,1.0
15,2.9989848,0.0,0.0,0.0,,,1.0
16,5.432963,0.0,4.0,1.0,,,1.0
17,9.375588,0.0,2.0,1.0,,,1.0
18,10.278457,0.0,0.0,0.0,,,1.0
19,7.5358677,0.0,2.0,1.0,,,1.0
20,8.806914,0.0,1.0,1.0,,,1.0
21,6.37833,0.0,1.0,1.0,,,1.0
22,7.644258,0.0,4.0,1.0,,,1.0
23,9.452391,0.0,2.0,1.0,,,1.0
24,8.731875,0.0,2.0,1.0,,,1.0
25,5.8212023,0.0,2.0,1.0,,,1.0
26,2.2008972,0.0,2.0,1.0,,,1.0
27,9.041569,0.0,4.0,1.0,,,1.0
28,8.564575,0.0,4.0,1.0,,,1.0
29,7.3783555,0.0,4.0,1.0,,,1.0
30,2.1983716,0.0,0.0,0.0,,,1.0
31,8.59685,0.0,4.0,1.0,,,1.0
32,4.318215,0.0,4.0,1.0,,,1.0
33,2.3843448,0.0,4.0,1.0,,,1.0
34,6.7336426,0.0,4.0,1.0,,,1.0
35,7.512778,0.0,0.0,0.0,,,1.0
36,6.5104547,0.0,4.0,1.0,,,1.0
37,7.4602385,0.0,1.0,1.0,,,1.0
38,1.355788,0.0,2.0,1.0,,,1.0
39,7.1039524,0.0,2.0,1.0,,,1.0
40,8.55302,0.0,4.0,1.0,,,1.0
41,5.3449197,0.0,2.0,1.0,,,1.0
42,3.4325662,0.0,4.0,1.0,,,1.0
43,8.59685,0.0,4.0,1.0,,,1.0
44,4.3592157,0.0,0.0,0.0,,,1.0
45,7.539962,0.0,4.0,1.0,,,1.0
46,4.5730867,0.0,2.0,1.0,,,1.0
47,4.7663918,0.0,2.0,1.0,,,1.0
48,6.2660885,0.0,1.0,1.0,,,1.0
49,6.7336426,0.0,4.0,1.0,,,1.0
50,7.590014,0.0,0.0,0.0,,,1.0
51,5.8224907,0.0,1.0,1.0,,,1.0
52,7.146515,0.0,4.0,1.0,,,1.0
53,2.742173,0.0,2.0,1.0,,,1.0
54,7.2103233,0.0,2.0,1.0,,,1.0
55,1.355788,0.0,2.0,1.0,,,1.0
56,3.6296425,0.0,1.0,0.0,,,1.0
57,7.3140926,0.0,4.0,1.0,,,1.0
58,6.9146314,0.0,0.0,0.0,,,1.0
59,6.1345296,0.0,4.0,1.0,,,1.0
60,2.0763988,0.0,4.0,1.0,,,1.0
61,6.8150244,0.0,4.0,1.0,,,1.0
62,6.033182,0.0,4.0,1.0,,,1.0
63,2.376873,0.0,4.0,1.0,,,1.0
64,7.4101095,0.0,4.0,1.0,,,1.0
65,7.45369,0.0,2.0,1.0,,,1.0
66,6.823335,0.0,4.0,1.0,,,1.0
67,9.36683,0.0,4.0,1.0,,,1.0
68,9.185086,0.0,4.0,1.0,,,1.0
69,9.238641,0.0,4.0,1.0,,,1.0
70,2.3930843,0.0,2.0,1.0,,,1.0
71,10.200558,0.0,2.0,1.0,,,1.0
72,4.8226523,0.0,2.0,1.0,,,1.0
73,2.8731394,0.0,1.0,0.0,,,1.0
74,6.9725313,0.0,4.0,1.0,,,1.0
75,5.6454563,0.0,0.0,0.0,,,1.0
76,9.986034,0.0,4.0,1.0,,,1.0
77,3.2780325,0.0,4.0,1.0,,,1.0
78,9.157502,0.0,4.0,1.0,,,1.0
79,9.157502,0.0,4.0,1.0,,,1.0
80,8.776272,0.0,0.0,0.0,,,1.0
81,7.2018867,0.0,2.0,1.0,,,1.0
82,2.694445,0.0,0.0,0.0,,,1.0
83,6.1345296,0.0,2.0,1.0,,,1.0
84,7.9271903,0.0,4.0,1.0,,,1.0
85,5.985348,0.0,4.0,1.0,,,1.0
86,7.195509,0.0,2.0,1.0,,,1.0
87,6.4555593,0.0,4.0,1.0,,,1.0
88,4.725474,0.0,2.0,1.0,,,1.0
89,8.40626,0.0,0.0,0.0,,,1.0
