,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,15.78744,0.0,5.4857144,1.0,,,1.0
1,10.357763,0.0,4.5609617,0.0,,,1.0
2,8.156898,0.0,13.3788395,1.0,,,1.0
3,8.12715,0.0,2.5754716,0.0,,,1.0
4,27.741001,1.0,8.0,0.0,,,1.0
5,9.733179,0.0,10.5,0.0,,,1.0
6,9.442398,0.0,2.313253,0.0,,,1.0
7,8.384806,0.0,18.60316,0.0,,,1.0
8,12.608273,0.0,17.696064,1.0,,,1.0
9,4.0792174,0.0,18.734476,0.0,,,1.0
10,16.840044,0.0,200.0,1.0,,,1.0
11,2.0117857,0.0,2.6910756,0.0,,,1.0
12,13.998303,0.0,29.901224,0.0,,,1.0
13,14.934063,0.0,6.9135804,0.0,,,1.0
14,32.583225,1.0,4.5957446,0.0,,,1.0
15,6.1419487,0.0,175.33025,1.0,,,1.0
16,2.9561698,0.0,232.72433,1.0,,,1.0
17,3.6495106,0.0,13.75,0.0,,,1.0
18,14.650491,0.0,1.25,0.0,,,1.0
19,7.882422,0.0,217.55249,1.0,,,1.0
20,14.250728,0.0,20.932203,0.0,,,1.0
21,16.547302,0.0,3.447983,1.0,,,1.0
22,12.380422,0.0,55.47733,1.0,,,1.0
23,9.685919,0.0,3.2,0.0,,,1.0
24,4.242174,0.0,13.223141,0.0,,,1.0
25,17.414013,0.0,14.181453,1.0,,,1.0
26,7.0584245,0.0,32.86124,0.0,,,1.0
27,7.510942,0.0,10.75862,0.0,,,1.0
28,8.937041,0.0,373.76187,1.0,,,1.0
29,9.604374,0.0,83.176445,1.0,,,1.0
30,8.156898,0.0,46.89338,1.0,,,1.0
31,30.08097,1.0,25.491137,1.0,,,1.0
32,30.953129,1.0,51.290684,1.0,,,1.0
33,14.642458,0.0,4.345711,1.0,,,1.0
34,7.914801,0.0,35.676323,1.0,,,1.0
35,9.387348,0.0,11.9709215,0.0,,,1.0
36,17.63609,0.0,21.471321,0.0,,,1.0
37,16.210014,0.0,43.55481,1.0,,,1.0
38,7.1033463,0.0,47.43831,1.0,,,1.0
39,18.070597,0.0,12.3524065,0.0,,,1.0
40,9.4257555,0.0,26.22935,1.0,,,1.0
41,14.464871,0.0,25.756098,0.0,,,1.0
42,8.490552,0.0,20.06943,1.0,,,1.0
43,8.854505,0.0,5.915493,0.0,,,1.0
44,6.382024,0.0,5.0989013,0.0,,,1.0
45,2.4791088,0.0,19.715874,0.0,,,1.0
46,15.78744,0.0,3.3169775,0.0,,,1.0
47,8.6085615,0.0,21.335669,1.0,,,1.0
48,10.917376,0.0,0.0,0.0,,,1.0
49,7.4105144,0.0,67.1088,1.0,,,1.0
50,33.919716,1.0,13.217391,0.0,,,1.0
51,9.853014,0.0,34.242817,1.0,,,1.0
52,12.317243,0.0,26.070145,1.0,,,1.0
53,33.557312,1.0,80.0,0.0,,,1.0
54,24.824186,0.0,12.181732,1.0,,,1.0
55,15.267485,0.0,269.25824,1.0,,,1.0
56,8.489636,0.0,53.75,1.0,,,1.0
57,11.7132845,0.0,5.508197,0.0,,,1.0
58,14.997025,0.0,69.791756,1.0,,,1.0
59,8.831489,0.0,7.2,0.0,,,1.0
60,29.64509,1.0,1.7409326,0.0,,,1.0
61,2.0928338,0.0,29.572643,0.0,,,1.0
62,11.702525,0.0,3.3333333,0.0,,,1.0
63,1.7756441,0.0,1.7142857,0.0,,,1.0
64,4.3863745,0.0,1.4814814,0.0,,,1.0
65,5.8162947,0.0,70.07407,0.0,,,1.0
66,13.017963,0.0,8.986141,1.0,,,1.0
67,10.173117,0.0,46.652916,1.0,,,1.0
68,15.226899,0.0,65.48568,1.0,,,1.0
69,32.581,1.0,2.8975754,0.0,,,1.0
70,17.242443,0.0,3.047619,0.0,,,1.0
71,14.136165,0.0,29.395222,1.0,,,1.0
72,20.502056,0.0,2.2222223,0.0,,,1.0
73,4.454216,0.0,12.0,0.0,,,1.0
74,2.6452856,0.0,9.180854,0.0,,,1.0
75,20.956097,0.0,0.0,0.0,,,1.0
76,8.831489,0.0,2.4,0.0,,,1.0
77,17.458866,0.0,28.0,0.0,,,1.0
78,9.536682,0.0,8.986212,0.0,,,1.0
79,20.239649,0.0,44.899822,1.0,,,1.0
80,20.956097,0.0,0.0,1.0,,,1.0
81,0.96671784,0.0,4.0,1.0,,,1.0
82,3.6297712,0.0,0.0,0.0,,,1.0
83,20.239649,0.0,21.866016,1.0,,,1.0
84,2.5263345,0.0,1.2631578,0.0,,,1.0
85,8.925782,0.0,18.121828,1.0,,,1.0
86,16.420286,0.0,27.272728,0.0,,,1.0
87,17.209791,0.0,12.158263,1.0,,,1.0
88,6.4426436,0.0,3.396648,0.0,,,1.0
89,2.2386632,0.0,32.65072,0.0,,,1.0
90,24.21108,0.0,2.25,0.0,,,1.0
91,23.700949,0.0,10.74562,1.0,,,1.0
92,4.752478,0.0,1.9770114,0.0,,,1.0
93,3.7193642,0.0,0.0,0.0,,,1.0
94,20.016857,0.0,4.4465556,0.0,,,1.0
95,7.470931,0.0,24.0,0.0,,,1.0
96,20.913149,0.0,55.0,0.0,,,1.0
97,19.23639,0.0,11.79647,0.0,,,1.0
98,7.2795935,0.0,247.52351,1.0,,,1.0
99,2.8514714,0.0,4.0,0.0,,,1.0
100,5.7177567,0.0,2.921739,0.0,,,1.0
101,25.714867,0.0,12.462908,0.0,,,1.0
102,9.327574,0.0,191.47984,1.0,,,1.0
103,8.467137,0.0,75.38336,1.0,,,1.0
104,11.048576,0.0,6.197183,0.0,,,1.0
105,21.519968,0.0,12.409595,0.0,,,1.0
106,12.0444765,0.0,3.6643534,0.0,,,1.0
107,3.6063027,0.0,17.59775,0.0,,,1.0
108,11.630249,0.0,5.6127887,0.0,,,1.0
109,15.761574,0.0,4.968153,0.0,,,1.0
110,6.8251724,0.0,2.6666667,0.0,,,1.0
111,0.2658726,0.0,12.0,0.0,,,1.0
112,17.197535,0.0,32.621677,1.0,,,1.0
113,2.636099,0.0,344.0,0.0,,,1.0
114,0.93016696,0.0,16.0,0.0,,,1.0
115,6.6929417,0.0,20.253408,0.0,,,1.0
116,12.399748,0.0,4.592929,0.0,,,1.0
117,45.694534,1.0,20.410427,0.0,,,1.0
118,17.65335,0.0,33.42333,0.0,,,1.0
119,13.407504,0.0,28.709627,0.0,,,1.0
120,2.9463003,0.0,112.0,0.0,,,1.0
121,15.060905,0.0,27.143545,0.0,,,1.0
122,10.60918,0.0,104.33596,1.0,,,1.0
123,6.856156,0.0,10.034965,1.0,,,1.0
124,26.788502,1.0,12.0,0.0,,,1.0
125,13.017963,0.0,12.923077,0.0,,,1.0
126,20.265312,0.0,10.880558,1.0,,,1.0
127,11.702525,0.0,5.6236687,0.0,,,1.0
128,9.314351,0.0,1.2972972,0.0,,,1.0
129,5.363274,0.0,3.9550562,0.0,,,1.0
130,19.320429,0.0,6.3787374,0.0,,,1.0
131,12.03215,0.0,2.657673,0.0,,,1.0
132,15.329618,0.0,36.491226,0.0,,,1.0
133,4.2217455,0.0,1.7637795,0.0,,,1.0
134,3.073722,0.0,8.0,0.0,,,1.0
135,17.073954,0.0,1.9330254,0.0,,,1.0
136,15.78744,0.0,70.817055,1.0,,,1.0
137,28.933786,1.0,1.3186814,0.0,,,1.0
138,6.6739798,0.0,2.1818182,0.0,,,1.0
139,19.611544,0.0,52.0,0.0,,,1.0
140,17.242443,0.0,5.4612384,1.0,,,1.0
141,3.3342798,0.0,3.456416,1.0,,,1.0
142,3.8283212,0.0,5.3333335,0.0,,,1.0
143,3.5887194,0.0,1.5555556,0.0,,,1.0
144,13.922396,0.0,18.0,0.0,,,1.0
145,16.420286,0.0,3.7142856,0.0,,,1.0
146,2.6667,0.0,0.0,0.0,,,1.0
147,7.8896966,0.0,30.158882,0.0,,,1.0
148,3.307972,0.0,6.4744186,0.0,,,1.0
149,5.9971433,0.0,48.630356,1.0,,,1.0
150,26.673843,1.0,12.119994,1.0,,,1.0
151,15.56747,0.0,231.50948,1.0,,,1.0
152,17.203196,0.0,1.5632184,0.0,,,1.0
153,9.529203,0.0,8.0,0.0,,,1.0
154,16.87996,0.0,56.0,0.0,,,1.0
155,8.471446,0.0,99.84274,1.0,,,1.0
156,4.6732993,0.0,4.7628865,0.0,,,1.0
157,15.857096,0.0,22.579517,1.0,,,1.0
158,9.097314,0.0,12.948319,1.0,,,1.0
159,7.361215,0.0,4.226415,0.0,,,1.0
160,8.28838,0.0,10.476191,0.0,,,1.0
161,10.955714,0.0,10.1204815,1.0,,,1.0
162,11.290389,0.0,10.434783,0.0,,,1.0
163,11.271339,0.0,6.121739,0.0,,,1.0
164,13.822132,0.0,5.183099,1.0,,,1.0
165,8.4705925,0.0,61.22747,1.0,,,1.0
166,17.242443,0.0,3.0,0.0,,,1.0
167,4.0482917,0.0,7.972577,0.0,,,1.0
168,2.3579488,0.0,8.0,0.0,,,1.0
169,4.6440372,0.0,3.9506173,0.0,,,1.0
170,10.220725,0.0,5.244216,1.0,,,1.0
171,10.997229,0.0,0.0,0.0,,,1.0
172,2.8905847,0.0,8.0,0.0,,,1.0
173,9.387348,0.0,17.784754,1.0,,,1.0
174,23.575521,0.0,32.55338,1.0,,,1.0
175,5.9146805,0.0,51.208454,1.0,,,1.0
176,14.282415,0.0,17.73913,0.0,,,1.0
177,6.2441278,0.0,26.225105,0.0,,,1.0
178,31.78828,1.0,255.88235,1.0,,,1.0
179,18.424442,0.0,34.40558,0.0,,,1.0
180,7.542158,0.0,26.610788,0.0,,,1.0
181,14.911403,0.0,4.0,0.0,,,1.0
182,1.7063159,0.0,0.0,0.0,,,1.0
183,2.800176,0.0,1.8878006,0.0,,,1.0
184,18.525764,0.0,110.11521,1.0,,,1.0
185,18.515232,0.0,2.9787233,0.0,,,1.0
186,8.923139,0.0,9.241223,1.0,,,1.0
187,10.368538,0.0,7.0588236,0.0,,,1.0
188,11.63056,0.0,6.2222223,0.0,,,1.0
189,5.9146805,0.0,187.57614,1.0,,,1.0
190,9.039173,0.0,256.74695,1.0,,,1.0
191,13.615168,0.0,31.936663,1.0,,,1.0
192,9.16979,0.0,66.577354,1.0,,,1.0
193,7.0456567,0.0,3.862069,0.0,,,1.0
194,9.387348,0.0,7.2380953,0.0,,,1.0
195,9.611773,0.0,10.3349285,0.0,,,1.0
196,22.354198,0.0,13.714286,0.0,,,1.0
197,8.778003,0.0,8.583185,0.0,,,1.0
198,2.2386632,0.0,21.901527,0.0,,,1.0
199,28.933786,1.0,8.051668,1.0,,,1.0
200,23.10391,0.0,61.37708,1.0,,,1.0
201,20.956097,0.0,0.0,1.0,,,1.0
202,15.761574,0.0,2.9799428,1.0,,,1.0
203,8.963444,0.0,1.5522388,0.0,,,1.0
204,21.519968,0.0,14.389321,0.0,,,1.0
205,13.4455595,0.0,35.214954,1.0,,,1.0
206,5.0415387,0.0,28.068472,0.0,,,1.0
207,3.3323116,0.0,2.5263157,0.0,,,1.0
208,23.693878,0.0,16.875,1.0,,,1.0
209,6.546205,0.0,10.734078,1.0,,,1.0
210,9.059179,0.0,100.86473,1.0,,,1.0
211,16.249947,0.0,3.3053892,0.0,,,1.0
212,6.1832023,0.0,5.183099,0.0,,,1.0
213,11.495385,0.0,0.0,0.0,,,1.0
214,9.325806,0.0,1.6,0.0,,,1.0
215,11.249085,0.0,2.2429907,1.0,,,1.0
216,14.94675,0.0,2.4827585,0.0,,,1.0
217,5.0376205,0.0,92.78323,1.0,,,1.0
218,7.3173113,0.0,28.0,0.0,,,1.0
219,7.665401,0.0,20.181452,0.0,,,1.0
220,13.539163,0.0,5.574572,1.0,,,1.0
221,8.883993,0.0,174.13286,1.0,,,1.0
222,6.356432,0.0,143.17804,1.0,,,1.0
223,13.832948,0.0,31.07054,1.0,,,1.0
224,4.3109717,0.0,2.268431,0.0,,,1.0
225,11.836188,0.0,100.0,0.0,,,1.0
226,5.3283105,0.0,17.046907,0.0,,,1.0
227,13.988081,0.0,1592.0,0.0,,,1.0
228,14.214499,0.0,33.681694,1.0,,,1.0
229,17.275396,0.0,2.0425532,0.0,,,1.0
230,8.244821,0.0,8.0,0.0,,,1.0
231,6.9527144,0.0,0.0,0.0,,,1.0
232,5.8645215,0.0,0.0,0.0,,,1.0
233,9.45561,0.0,240.437,1.0,,,1.0
234,30.013456,1.0,0.0,0.0,,,1.0
235,4.7449727,0.0,3.3333333,0.0,,,1.0
236,2.508531,0.0,25.285112,0.0,,,1.0
237,27.343046,1.0,56.01934,1.0,,,1.0
238,13.558659,0.0,6.4615383,0.0,,,1.0
239,16.30281,0.0,29.888239,0.0,,,1.0
240,20.96521,0.0,14.391015,0.0,,,1.0
241,9.387348,0.0,6.041958,0.0,,,1.0
242,16.185936,0.0,6.0,0.0,,,1.0
243,7.0759697,0.0,98.19968,1.0,,,1.0
244,7.092682,0.0,28.013992,0.0,,,1.0
245,6.6675773,0.0,59.89398,0.0,,,1.0
246,4.8345003,0.0,4.0,0.0,,,1.0
247,10.556921,0.0,6.4864864,0.0,,,1.0
248,26.714909,1.0,3.5,1.0,,,1.0
249,5.945432,0.0,194.1453,1.0,,,1.0
250,7.655792,0.0,6.9757786,0.0,,,1.0
251,14.6156845,0.0,1.8401304,0.0,,,1.0
252,17.242443,0.0,12.504388,1.0,,,1.0
253,2.128078,0.0,5.3333335,0.0,,,1.0
254,32.583225,1.0,4.228412,0.0,,,1.0
255,12.685255,0.0,9.031135,1.0,,,1.0
256,10.738706,0.0,144.0,0.0,,,1.0
257,22.380812,0.0,20.183556,0.0,,,1.0
258,3.5896535,0.0,8.824801,0.0,,,1.0
259,0.4490834,0.0,0.0,0.0,,,1.0
