,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.968595,1.0,0.98864543,1.0,,,1.0
1,6.238325,1.0,0.24044918,1.0,,,1.0
2,1.6397723,1.0,0.0,0.0,,,1.0
3,2.0314467,1.0,0.0,0.0,,,1.0
4,8.968595,1.0,1.0113556,1.0,,,1.0
5,4.657583,1.0,1.5559124,1.0,,,1.0
6,3.7276273,1.0,0.48089835,1.0,,,1.0
7,8.261994,1.0,1.0906972,1.0,,,1.0
8,7.34022,1.0,0.0,1.0,,,1.0
9,4.898996,1.0,1.1882315,1.0,,,1.0
10,5.1497855,1.0,1.1437649,1.0,,,1.0
11,4.408007,1.0,0.314658,1.0,,,1.0
12,4.807104,1.0,0.66760147,1.0,,,1.0
13,4.356023,1.0,1.1882315,1.0,,,1.0
14,0.6213349,0.0,0.0,0.0,,,1.0
15,3.7875545,1.0,0.30692768,1.0,,,1.0
16,4.356023,1.0,1.5559124,1.0,,,1.0
17,8.813233,1.0,1.0082536,1.0,,,1.0
18,3.741345,1.0,1.3043545,1.0,,,1.0
19,2.161168,1.0,1.6846302,1.0,,,1.0
20,0.0,0.0,0.0,0.0,,,1.0
21,6.2249703,1.0,1.0632571,1.0,,,1.0
22,8.832633,1.0,1.1153657,1.0,,,1.0
23,6.314348,1.0,1.1578307,1.0,,,1.0
24,4.552088,1.0,1.1739175,1.0,,,1.0
25,4.796484,1.0,1.429819,1.0,,,1.0
26,8.27177,1.0,1.1570904,1.0,,,1.0
27,3.7666593,1.0,1.2468455,1.0,,,1.0
28,8.46103,1.0,0.99155504,1.0,,,1.0
29,5.088106,1.0,0.6500082,1.0,,,1.0
30,12.360211,1.0,1.1750607,1.0,,,1.0
31,3.571515,1.0,0.6470309,1.0,,,1.0
32,3.6356497,1.0,0.0,0.0,,,1.0
33,4.8424997,1.0,1.4195262,1.0,,,1.0
34,8.968595,1.0,0.99069595,1.0,,,1.0
35,8.968595,1.0,0.9861081,1.0,,,1.0
36,4.8424997,1.0,1.4583098,1.0,,,1.0
37,4.3124714,1.0,0.32351544,1.0,,,1.0
38,6.073653,1.0,1.2243439,1.0,,,1.0
39,7.1967926,1.0,0.0,1.0,,,1.0
40,3.2462544,1.0,1.3812125,1.0,,,1.0
41,8.962072,1.0,0.2835785,1.0,,,1.0
42,7.380366,1.0,1.0744443,1.0,,,1.0
43,3.3157654,1.0,1.2968458,1.0,,,1.0
44,1.903308,1.0,0.0,0.0,,,1.0
45,8.228856,1.0,1.0587795,1.0,,,1.0
46,8.261994,1.0,0.2484255,1.0,,,1.0
47,2.9263432,1.0,1.4611373,1.0,,,1.0
48,3.1935384,1.0,0.0,0.0,,,1.0
49,6.169243,1.0,0.2835785,1.0,,,1.0
50,4.3417854,1.0,1.5619999,1.0,,,1.0
51,5.3038077,1.0,0.28853902,1.0,,,1.0
52,5.036922,1.0,0.5634466,1.0,,,1.0
53,8.628921,1.0,0.9938519,1.0,,,1.0
54,4.3028636,1.0,1.2617172,1.0,,,1.0
55,5.103161,1.0,1.6293981,1.0,,,1.0
56,12.122748,1.0,0.98121893,1.0,,,1.0
57,2.9080937,1.0,1.589978,1.0,,,1.0
58,6.006749,1.0,0.0,1.0,,,1.0
59,2.9080937,1.0,0.0,0.0,,,1.0
60,11.713382,1.0,0.97150964,1.0,,,1.0
61,8.27177,1.0,1.0339777,1.0,,,1.0
62,8.739246,1.0,0.99235266,1.0,,,1.0
63,6.031403,1.0,1.1772019,1.0,,,1.0
64,7.1198215,1.0,0.0,1.0,,,1.0
65,4.7304068,1.0,0.37892318,1.0,,,1.0
66,8.628921,1.0,1.1164246,1.0,,,1.0
67,4.8119254,1.0,1.4203116,1.0,,,1.0
68,5.112776,1.0,0.5353424,1.0,,,1.0
69,6.5158944,1.0,1.106813,1.0,,,0.0
70,3.03718,1.0,0.0,0.0,,,0.0
71,6.630725,1.0,1.0668966,1.0,,,0.0
72,4.5717206,1.0,0.0,0.0,,,0.0
73,6.5158944,1.0,1.106813,1.0,,,0.0
74,0.6013546,0.0,0.0,0.0,,,0.0
75,3.804771,1.0,0.0,0.0,,,0.0
76,4.5717206,1.0,0.0,0.0,,,0.0
77,3.4059856,1.0,0.0,0.0,,,0.0
78,2.701341,1.0,0.0,0.0,,,0.0
79,2.9272113,1.0,0.0,0.0,,,0.0
80,1.1612209,1.0,0.0,0.0,,,0.0
81,1.0819409,1.0,0.0,0.0,,,0.0
82,6.630725,1.0,0.0,1.0,,,0.0
83,6.630725,1.0,1.0668966,1.0,,,0.0
84,1.3407366,1.0,0.0,0.0,,,0.0
85,2.5219154,1.0,0.0,0.0,,,0.0
86,6.630725,1.0,1.0668966,1.0,,,0.0
87,3.03718,1.0,0.0,0.0,,,0.0
88,5.164095,1.0,0.0,1.0,,,0.0
89,1.0526263,1.0,0.0,0.0,,,0.0
90,3.4059856,1.0,0.0,0.0,,,0.0
91,5.346126,1.0,0.0,1.0,,,0.0
92,6.630725,1.0,1.0668966,1.0,,,0.0
93,1.6201634,1.0,0.0,0.0,,,0.0
94,3.03718,1.0,0.3338082,1.0,,,0.0
95,3.0452993,1.0,0.0,0.0,,,0.0
