,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,3.118119,1.0,0.0,1.0,,,1.0
1,74.09216,1.0,0.16208477,1.0,,,1.0
2,16.466103,1.0,0.0,1.0,,,1.0
3,61.304146,1.0,0.18302174,1.0,,,1.0
4,0.24524607,1.0,0.0,1.0,,,1.0
5,82.58941,1.0,0.4428396,1.0,,,1.0
6,31.637016,1.0,0.0,1.0,,,1.0
7,84.58302,1.0,0.695833,1.0,,,1.0
8,16.439407,1.0,0.0,1.0,,,1.0
9,14.763603,1.0,0.0,1.0,,,1.0
10,206.73145,1.0,0.15698831,1.0,,,1.0
11,4.1338983,1.0,0.0,1.0,,,1.0
12,27.18733,1.0,0.19020464,1.0,,,1.0
13,25.598293,1.0,0.0,1.0,,,1.0
14,20.486748,1.0,0.0,1.0,,,1.0
15,9.080729,1.0,1.4616427,1.0,,,1.0
16,30.042656,1.0,0.4551959,1.0,,,1.0
17,183.52408,1.0,0.83642,1.0,,,1.0
18,146.46461,1.0,0.72335577,1.0,,,1.0
19,117.42077,1.0,0.37606147,1.0,,,1.0
20,48.555637,1.0,0.0,1.0,,,1.0
21,65.327095,1.0,0.4230695,1.0,,,1.0
22,48.16946,1.0,0.40242302,1.0,,,1.0
23,40.064922,1.0,0.8460361,1.0,,,1.0
24,15.293103,1.0,0.0,1.0,,,1.0
25,34.5698,1.0,0.4651122,1.0,,,1.0
26,8.5851555,1.0,0.0,1.0,,,1.0
27,33.20523,1.0,0.0,1.0,,,1.0
28,33.95273,1.0,0.0,1.0,,,1.0
29,12.245779,1.0,0.0,1.0,,,1.0
30,86.85968,1.0,0.0,1.0,,,1.0
31,20.956408,1.0,0.0,1.0,,,1.0
32,97.36909,1.0,0.0,1.0,,,1.0
33,16.854864,1.0,0.0,1.0,,,1.0
34,97.51279,1.0,0.39848906,1.0,,,1.0
35,42.414097,1.0,0.81156784,1.0,,,1.0
36,33.706593,1.0,0.35603678,1.0,,,1.0
37,1.0271806,1.0,0.0,1.0,,,1.0
38,114.0898,1.0,0.0,1.0,,,1.0
39,0.30435288,1.0,0.0,1.0,,,1.0
40,18.842424,1.0,0.2749076,1.0,,,1.0
41,19.705715,1.0,0.8594205,1.0,,,1.0
42,8.850215,1.0,0.0,1.0,,,1.0
43,55.854214,1.0,0.38885075,1.0,,,1.0
44,43.96793,1.0,0.38603514,1.0,,,1.0
45,18.464445,1.0,0.0,1.0,,,1.0
46,33.62206,1.0,0.15005082,1.0,,,1.0
47,20.034046,1.0,0.49112508,1.0,,,1.0
48,5.652835,1.0,0.0,1.0,,,1.0
49,264.13794,1.0,0.411525,1.0,,,1.0
50,10.488633,1.0,0.0,1.0,,,1.0
51,15.173879,1.0,0.0,1.0,,,1.0
52,24.681305,1.0,0.42545894,1.0,,,1.0
53,27.469479,1.0,0.0,1.0,,,1.0
54,8.116669,1.0,0.0,1.0,,,1.0
55,8.828182,1.0,0.0,1.0,,,1.0
56,47.11335,1.0,0.0,1.0,,,1.0
57,40.335857,1.0,0.8574401,1.0,,,1.0
58,1.4632775,1.0,0.2282049,1.0,,,1.0
59,75.362785,1.0,0.74369925,1.0,,,1.0
60,41.37206,1.0,0.0,1.0,,,1.0
61,2.328412,1.0,0.0,1.0,,,1.0
62,18.428963,1.0,0.0,1.0,,,1.0
63,79.043365,1.0,0.0,1.0,,,1.0
64,158.34407,1.0,0.0,1.0,,,1.0
65,9.866756,1.0,0.0,1.0,,,1.0
66,23.766985,1.0,0.0,1.0,,,1.0
67,38.181076,1.0,0.8424271,1.0,,,1.0
68,126.56244,1.0,0.36568832,1.0,,,1.0
69,4.579783,1.0,0.37892318,1.0,,,1.0
70,15.950811,1.0,0.42331168,1.0,,,1.0
71,44.563046,1.0,0.77412903,1.0,,,1.0
72,162.2482,1.0,0.86946195,1.0,,,1.0
73,178.22337,1.0,0.16466206,1.0,,,1.0
74,57.40101,1.0,0.0,1.0,,,1.0
75,178.82816,1.0,0.8855297,1.0,,,1.0
76,49.798058,1.0,0.0,1.0,,,1.0
77,64.30984,1.0,0.0,1.0,,,1.0
78,37.578796,1.0,0.0,1.0,,,1.0
79,264.13794,1.0,0.0,1.0,,,1.0
80,196.85213,1.0,0.15922563,1.0,,,1.0
81,36.97034,1.0,0.19096936,1.0,,,1.0
82,29.222382,1.0,1.0203487,1.0,,,1.0
83,30.025204,1.0,0.0,1.0,,,1.0
84,32.95281,1.0,0.0,1.0,,,1.0
85,7.0225177,1.0,0.0,1.0,,,1.0
86,42.766624,1.0,0.0,1.0,,,1.0
87,8.955822,1.0,0.53926617,1.0,,,1.0
88,25.670515,1.0,0.2067704,1.0,,,1.0
89,27.42677,1.0,0.0,1.0,,,1.0
90,39.317146,1.0,0.17511825,1.0,,,1.0
91,107.4362,1.0,0.0,1.0,,,1.0
92,22.80267,1.0,0.0,1.0,,,1.0
93,20.689571,1.0,0.0,1.0,,,1.0
94,2.9639647,1.0,0.0,1.0,,,1.0
95,135.83922,1.0,0.7665409,1.0,,,1.0
96,9.588411,1.0,0.0,1.0,,,1.0
97,14.113729,1.0,0.0,1.0,,,1.0
