,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,56.070293,1.0,15.5,1.0,,,1.0
1,81.12667,1.0,45.0,1.0,,,1.0
2,93.52462,1.0,4.25,1.0,,,1.0
3,91.351166,1.0,14.0,1.0,,,1.0
4,91.418076,1.0,33.75,1.0,,,1.0
5,65.29498,1.0,7.0,1.0,,,1.0
6,28.009869,1.0,1.0,0.0,,,1.0
7,51.836308,1.0,79.5,1.0,,,1.0
8,22.983192,1.0,6.25,1.0,,,1.0
9,91.835,1.0,6.75,1.0,,,1.0
10,49.33868,1.0,25.0,1.0,,,1.0
11,66.47025,1.0,0.75,0.0,,,1.0
12,90.86648,1.0,0.75,0.0,,,1.0
13,94.801796,1.0,0.0,0.0,,,1.0
14,5.952457,0.0,0.0,0.0,,,1.0
15,108.91553,1.0,391.25,1.0,,,1.0
16,137.32457,1.0,42.75,1.0,,,1.0
17,29.846956,1.0,8.5,1.0,,,1.0
18,92.33918,1.0,6.0,1.0,,,1.0
19,92.05664,1.0,11.75,1.0,,,1.0
20,118.43581,1.0,9.75,1.0,,,1.0
21,94.64173,1.0,24.75,1.0,,,1.0
22,67.726326,1.0,0.0,0.0,,,1.0
23,97.64768,1.0,4.75,1.0,,,1.0
24,87.93201,1.0,151.0,1.0,,,1.0
25,31.821527,1.0,0.5,0.0,,,1.0
26,123.10228,1.0,11.0,1.0,,,1.0
27,118.35462,1.0,0.75,0.0,,,1.0
28,151.78445,1.0,33.75,1.0,,,1.0
29,49.006462,1.0,0.5,0.0,,,1.0
30,69.44193,1.0,109.0,1.0,,,1.0
31,48.871174,1.0,11.75,1.0,,,1.0
32,49.944977,1.0,1.25,0.0,,,1.0
33,29.182713,1.0,57.0,1.0,,,1.0
34,64.878,1.0,785.25,1.0,,,1.0
35,45.299294,1.0,129.0,1.0,,,1.0
36,56.510605,1.0,6.25,1.0,,,1.0
37,30.630423,1.0,11.0,1.0,,,1.0
38,102.40889,1.0,130.5,1.0,,,1.0
39,10.658044,0.0,0.0,0.0,,,1.0
40,44.805202,1.0,0.25,0.0,,,1.0
41,40.898857,1.0,0.25,0.0,,,1.0
42,7.504287,0.0,0.75,0.0,,,1.0
43,81.07227,1.0,5.75,1.0,,,1.0
44,0.0,0.0,0.0,0.0,,,1.0
45,18.267036,0.0,32.0,1.0,,,1.0
46,75.89284,1.0,3.0,1.0,,,1.0
47,91.00449,1.0,0.75,0.0,,,1.0
48,28.142115,1.0,31.75,1.0,,,1.0
49,126.79643,1.0,3.25,1.0,,,1.0
50,152.8298,1.0,1295.0,1.0,,,1.0
51,72.74453,1.0,1.25,0.0,,,1.0
52,24.945293,1.0,835.75,1.0,,,1.0
53,69.11568,1.0,7.0,1.0,,,1.0
54,123.86,1.0,73.25,1.0,,,1.0
55,173.33536,1.0,4.25,1.0,,,1.0
56,104.74467,1.0,33.5,1.0,,,1.0
57,108.301186,1.0,384.0,1.0,,,1.0
58,74.92733,1.0,11.25,1.0,,,1.0
59,40.08568,1.0,386.75,1.0,,,1.0
