,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,0.0,1.0,0.0,1.0,,,1.0
1,1.8970158,1.0,1.0,1.0,,,1.0
2,0.0,1.0,0.0,1.0,,,1.0
3,1.2060508,1.0,8.0,1.0,,,1.0
4,0.0,1.0,0.0,1.0,,,1.0
5,4.3927646,1.0,158.0,1.0,,,1.0
6,2.4853396,1.0,1.0,1.0,,,1.0
7,10.102057,0.0,133.0,1.0,,,1.0
8,3.891742,1.0,17.0,1.0,,,1.0
9,0.0,1.0,0.0,1.0,,,1.0
10,0.0,1.0,0.0,1.0,,,1.0
11,0.0,1.0,3.75,1.0,,,1.0
12,0.0,1.0,0.0,1.0,,,1.0
13,2.7918906,1.0,0.0,1.0,,,1.0
14,1.749716,1.0,113.75,1.0,,,1.0
15,0.0,1.0,0.0,1.0,,,1.0
16,1.5173031,1.0,0.5,1.0,,,1.0
17,8.827482,0.0,12.0,1.0,,,1.0
18,0.0,1.0,0.0,1.0,,,1.0
19,0.0,1.0,0.0,1.0,,,1.0
20,0.0,1.0,0.0,1.0,,,1.0
21,0.0,1.0,0.0,1.0,,,1.0
22,0.0,1.0,0.0,1.0,,,1.0
23,3.9081118,1.0,0.0,1.0,,,1.0
24,0.0,1.0,0.0,1.0,,,1.0
25,2.9253972,1.0,1.5,1.0,,,1.0
26,0.0,1.0,0.0,1.0,,,1.0
27,3.5619502,1.0,0.5,1.0,,,1.0
28,8.256584,0.0,1.0,1.0,,,1.0
29,0.0,1.0,0.0,1.0,,,1.0
30,29.292309,0.0,543.0,1.0,,,1.0
31,8.609295,0.0,14.0,1.0,,,1.0
32,0.0,1.0,0.0,1.0,,,1.0
33,0.0,1.0,0.0,1.0,,,1.0
34,9.213722,0.0,28.0,1.0,,,1.0
35,10.429832,0.0,54.0,1.0,,,1.0
36,0.0,1.0,23.25,1.0,,,1.0
37,0.0,1.0,0.0,1.0,,,1.0
38,21.570152,0.0,1351.25,1.0,,,1.0
39,1.9836698,1.0,98.0,1.0,,,1.0
40,0.0,1.0,0.0,1.0,,,1.0
41,2.9605095,1.0,0.25,1.0,,,1.0
42,1.4762464,1.0,4.0,1.0,,,1.0
43,6.85042,0.0,49.75,1.0,,,1.0
44,0.55811065,1.0,2.0,1.0,,,1.0
45,3.2008657,1.0,4.0,1.0,,,1.0
46,0.0,1.0,0.0,1.0,,,1.0
47,0.0,1.0,0.0,1.0,,,1.0
48,1.5173031,1.0,15.0,1.0,,,1.0
49,0.0,1.0,0.0,1.0,,,1.0
50,0.0,1.0,9.0,1.0,,,1.0
51,0.0,1.0,0.0,1.0,,,1.0
52,4.442773,1.0,42.0,1.0,,,1.0
53,4.0514793,1.0,8.0,1.0,,,1.0
54,3.0909572,1.0,32.0,1.0,,,1.0
55,0.0,1.0,0.0,1.0,,,1.0
56,1.4539665,1.0,1.0,1.0,,,1.0
57,0.0,1.0,0.0,1.0,,,1.0
58,2.8129992,1.0,333.75,1.0,,,1.0
59,0.0,1.0,0.0,1.0,,,1.0
60,1.7309862,1.0,2.0,1.0,,,1.0
61,7.947566,0.0,23.75,1.0,,,1.0
62,2.1259978,1.0,0.75,1.0,,,0.0
63,7.5365205,0.0,0.2,1.0,,,0.0
64,4.17778,1.0,3.6,1.0,,,0.0
65,6.6453342,0.0,0.6,1.0,,,0.0
66,3.8855562,1.0,24.4,1.0,,,0.0
67,1.9641832,1.0,0.6,1.0,,,0.0
68,6.6453342,0.0,0.6,1.0,,,0.0
69,2.8064933,1.0,23.7,1.0,,,0.0
70,7.6372504,0.0,3.1,1.0,,,0.0
71,1.2578002,1.0,3.6,1.0,,,0.0
72,0.8288705,1.0,0.6,1.0,,,0.0
73,0.9253897,1.0,24.4,1.0,,,0.0
74,0.8340648,1.0,22.1,1.0,,,0.0
75,0.0,1.0,24.4,1.0,,,0.0
76,0.2749076,1.0,3.1,1.0,,,0.0
77,0.9253897,1.0,24.4,1.0,,,0.0
78,1.9475163,1.0,0.2,1.0,,,0.0
79,2.611507,1.0,3.6,1.0,,,0.0
80,0.73737025,1.0,0.6,1.0,,,0.0
81,6.6453342,0.0,0.6,1.0,,,0.0
82,2.611507,1.0,3.6,1.0,,,0.0
83,2.8064933,1.0,3.2,1.0,,,0.0
84,1.277261,1.0,3.6,1.0,,,0.0
85,0.36067376,1.0,24.4,1.0,,,0.0
86,0.73737025,1.0,0.6,1.0,,,0.0
87,1.9376466,1.0,0.6,1.0,,,
