,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.310453,1.0,0.1,1.0,,,1.0
1,7.225104,1.0,0.16666667,1.0,,,1.0
2,9.438917,1.0,0.06666667,1.0,,,1.0
3,4.719022,1.0,0.33333334,1.0,,,1.0
4,8.308449,1.0,0.25,1.0,,,1.0
5,10.277243,1.0,0.2,1.0,,,1.0
6,7.837147,1.0,0.16666667,1.0,,,1.0
7,9.432429,1.0,0.0,1.0,,,1.0
8,2.1603882,0.0,0.6666667,1.0,,,1.0
9,10.908252,1.0,0.0,1.0,,,1.0
10,9.172879,1.0,0.03448276,1.0,,,1.0
11,3.247046,1.0,0.11111111,1.0,,,1.0
12,8.8397455,1.0,0.16666667,1.0,,,1.0
13,9.638616,1.0,0.25,1.0,,,1.0
14,5.448371,1.0,0.16666667,1.0,,,1.0
15,8.59475,1.0,0.13333334,1.0,,,1.0
16,3.9984899,1.0,0.33333334,1.0,,,1.0
17,7.6735845,1.0,0.0,1.0,,,1.0
18,8.7335005,1.0,0.2,1.0,,,1.0
19,7.5371194,1.0,0.11111111,1.0,,,1.0
20,6.377308,1.0,0.032258064,1.0,,,1.0
21,9.432429,1.0,0.0,1.0,,,1.0
22,8.729776,1.0,0.14285715,1.0,,,1.0
23,5.828689,1.0,0.125,1.0,,,1.0
24,2.7993622,1.0,0.0,1.0,,,1.0
25,1.545579,0.0,0.0,1.0,,,1.0
26,9.044489,1.0,0.6666667,1.0,,,1.0
27,8.525612,1.0,0.22222222,1.0,,,1.0
28,9.885478,1.0,0.0625,1.0,,,1.0
29,8.567229,1.0,0.16666667,1.0,,,1.0
30,10.269851,1.0,0.05263158,1.0,,,1.0
31,2.4636245,0.0,0.25,1.0,,,1.0
32,2.3830948,0.0,0.25,1.0,,,1.0
33,9.162426,1.0,0.0,1.0,,,1.0
34,8.16623,1.0,0.0,1.0,,,1.0
35,7.4602385,1.0,0.04761905,1.0,,,1.0
36,7.405971,1.0,0.0952381,1.0,,,1.0
37,8.59475,1.0,0.18181819,1.0,,,1.0
38,4.3592157,1.0,0.0,1.0,,,1.0
39,4.492642,1.0,0.1,1.0,,,1.0
40,7.2865973,1.0,0.0,1.0,,,1.0
41,2.04107,0.0,0.0,1.0,,,1.0
42,9.666063,1.0,0.0,1.0,,,1.0
43,7.5929346,1.0,0.0,1.0,,,1.0
44,8.780335,1.0,0.18181819,1.0,,,1.0
45,5.8295636,1.0,0.11111111,1.0,,,1.0
46,6.239816,1.0,0.06666667,1.0,,,1.0
47,7.147767,1.0,0.13333334,1.0,,,1.0
48,1.611833,0.0,0.071428575,1.0,,,1.0
49,7.314946,1.0,0.4,1.0,,,1.0
50,6.9154487,1.0,0.0,1.0,,,1.0
51,6.132367,1.0,0.0,1.0,,,1.0
52,4.492642,1.0,0.14285715,1.0,,,1.0
53,5.1190896,1.0,0.13333334,1.0,,,1.0
54,6.15174,1.0,0.33333334,1.0,,,1.0
55,2.077858,0.0,0.25,1.0,,,1.0
56,7.0981646,1.0,0.33333334,1.0,,,1.0
57,6.81381,1.0,0.2,1.0,,,1.0
58,9.428225,1.0,0.25,1.0,,,1.0
59,5.711948,1.0,0.11111111,1.0,,,1.0
60,7.2492056,1.0,0.0,1.0,,,1.0
61,2.3765295,0.0,0.2,1.0,,,1.0
62,7.4545436,1.0,0.09090909,1.0,,,1.0
63,7.284692,1.0,0.14285715,1.0,,,1.0
64,6.825402,1.0,0.22222222,1.0,,,1.0
65,5.866009,1.0,0.125,1.0,,,1.0
66,6.4479566,1.0,0.0,1.0,,,1.0
67,10.197245,1.0,0.0625,1.0,,,1.0
68,7.834414,1.0,0.2,1.0,,,1.0
69,3.1429455,1.0,0.33333334,1.0,,,1.0
70,6.8968163,1.0,0.2,1.0,,,1.0
71,4.4894676,1.0,0.11111111,1.0,,,1.0
72,7.4480867,1.0,0.2,1.0,,,1.0
73,3.6896858,1.0,0.0,1.0,,,1.0
74,6.995752,1.0,0.2857143,1.0,,,1.0
