,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,4.719022,0.0,1.8658836,1.0,,,1.0
1,9.3543005,1.0,0.0,0.0,,,1.0
2,9.440131,1.0,0.2835785,1.0,,,1.0
3,2.6989744,0.0,1.442695,1.0,,,1.0
4,10.278457,1.0,0.9924051,1.0,,,1.0
5,1.8664503,0.0,0.0,0.0,,,1.0
6,7.8437834,1.0,1.7567649,1.0,,,1.0
7,3.3454235,0.0,0.0,0.0,,,1.0
8,4.5747733,0.0,0.96054024,1.0,,,1.0
9,9.174682,1.0,0.4024296,1.0,,,1.0
10,3.247046,0.0,0.48089835,0.0,,,1.0
11,8.848694,1.0,1.6618968,1.0,,,1.0
12,9.639831,1.0,1.5476137,1.0,,,1.0
13,5.4541426,0.0,1.7173046,1.0,,,1.0
14,9.380338,1.0,0.81470656,1.0,,,1.0
15,5.674073,0.0,0.0,0.0,,,1.0
16,7.6735845,1.0,0.0,0.0,,,1.0
17,7.5358677,1.0,0.9924051,1.0,,,1.0
18,9.667351,1.0,0.0,0.0,,,1.0
19,7.644258,1.0,1.6547898,1.0,,,1.0
20,9.452094,1.0,1.155642,1.0,,,1.0
21,9.161609,1.0,1.4900383,1.0,,,1.0
22,7.102287,0.0,1.6745281,1.0,,,1.0
23,5.838865,0.0,0.8268746,1.0,,,1.0
24,6.7799745,0.0,1.8291292,1.0,,,1.0
25,3.1693661,0.0,1.2794582,1.0,,,1.0
26,2.8031847,0.0,0.0,0.0,,,1.0
27,2.202356,0.0,0.9187844,1.0,,,1.0
28,5.866009,0.0,1.7309614,1.0,,,1.0
29,1.545579,0.0,0.0,0.0,,,1.0
30,7.536587,1.0,0.0,0.0,,,1.0
31,8.789283,1.0,0.34597626,1.0,,,1.0
32,6.0164785,0.0,1.6499418,1.0,,,1.0
33,10.271653,1.0,0.7213475,1.0,,,1.0
34,2.4636245,0.0,0.88332796,1.0,,,1.0
35,8.596554,1.0,1.7985208,1.0,,,1.0
36,6.0164785,0.0,0.0,0.0,,,1.0
37,6.8394074,0.0,0.0,0.0,,,1.0
38,2.3830948,0.0,1.745776,1.0,,,1.0
39,9.161609,1.0,0.0,0.0,,,1.0
40,7.102287,0.0,1.1002707,1.0,,,1.0
41,8.551354,1.0,1.5813204,1.0,,,1.0
42,5.3449197,0.0,0.8367241,1.0,,,1.0
43,8.596554,1.0,1.6047925,1.0,,,1.0
44,4.362176,0.0,0.0,0.0,,,1.0
45,7.7003384,1.0,1.9529454,1.0,,,1.0
46,6.487229,0.0,0.0,0.0,,,1.0
47,0.49500364,0.0,0.0,0.0,,,1.0
48,7.28578,0.0,0.0,0.0,,,1.0
49,6.293035,0.0,0.36067376,0.0,,,1.0
50,6.7338705,0.0,1.5051702,1.0,,,1.0
51,10.839364,1.0,0.6625017,1.0,,,1.0
52,9.667351,1.0,0.0,0.0,,,1.0
53,7.5921173,1.0,0.0,0.0,,,1.0
54,8.789283,1.0,1.8475945,1.0,,,1.0
55,5.833386,0.0,0.55811065,1.0,,,1.0
56,1.611833,0.0,1.039009,1.0,,,1.0
57,3.6296425,0.0,0.48089835,0.0,,,1.0
58,6.1361895,0.0,0.0,0.0,,,1.0
59,6.918273,0.0,0.4342945,1.0,,,1.0
60,6.1536894,0.0,1.9577934,1.0,,,1.0
61,6.8150244,0.0,1.8339772,1.0,,,1.0
62,5.713162,0.0,0.4342945,0.0,,,1.0
63,7.2558417,0.0,0.0,0.0,,,1.0
64,6.0313797,0.0,1.5616236,1.0,,,1.0
65,2.3765295,0.0,2.3184671,1.0,,,1.0
66,7.411983,0.0,1.5062522,1.0,,,1.0
67,3.4636877,0.0,0.34597626,0.0,,,1.0
68,9.238344,1.0,1.5494555,1.0,,,1.0
69,2.3951147,0.0,1.0551558,1.0,,,1.0
70,10.200261,1.0,0.78099996,1.0,,,1.0
71,7.834884,1.0,0.4024296,1.0,,,1.0
72,3.1429455,0.0,1.9051299,1.0,,,1.0
73,6.3851337,0.0,2.1640425,1.0,,,1.0
74,2.6399987,0.0,1.7786059,1.0,,,1.0
75,3.850626,0.0,1.1162213,1.0,,,1.0
76,6.8968163,0.0,2.1552303,1.0,,,1.0
77,2.8731394,0.0,0.30010164,0.0,,,1.0
78,3.691559,0.0,0.0,0.0,,,1.0
79,9.984368,1.0,1.8609941,1.0,,,1.0
80,9.430027,1.0,1.6832955,1.0,,,1.0
81,8.774606,1.0,0.0,0.0,,,1.0
82,2.6989744,0.0,0.0,0.0,,,1.0
83,5.316699,0.0,1.7101611,1.0,,,1.0
84,2.197811,0.0,1.2794582,1.0,,,1.0
85,6.1536894,0.0,2.0008056,1.0,,,1.0
86,5.2112117,0.0,0.0,0.0,,,1.0
87,8.5878105,1.0,1.4673609,1.0,,,1.0
88,6.8968163,0.0,1.7874148,1.0,,,1.0
89,6.902058,0.0,0.0,0.0,,,1.0
90,6.7338705,0.0,0.8367241,1.0,,,1.0
91,0.78678334,0.0,0.0,0.0,,,1.0
92,3.9410486,0.0,2.0373044,1.0,,,1.0
93,6.9630346,0.0,2.047561,1.0,,,1.0
94,8.734167,1.0,0.75784636,1.0,,,1.0
95,8.100042,1.0,1.6782559,1.0,,,1.0
96,8.440515,1.0,0.7213475,1.0,,,1.0
97,5.713162,0.0,0.91519284,1.0,,,1.0
98,6.026162,0.0,1.155642,1.0,,,1.0
99,9.486201,1.0,0.0,0.0,,,1.0
100,8.159127,1.0,0.0,0.0,,,1.0
101,5.568252,0.0,0.0,0.0,,,1.0
102,3.940805,0.0,0.7213475,1.0,,,1.0
103,4.812139,0.0,0.34597626,0.0,,,1.0
104,5.1274104,0.0,0.0,0.0,,,1.0
105,8.551354,1.0,1.8303857,1.0,,,1.0
106,8.100859,1.0,1.155642,1.0,,,1.0
107,8.302007,1.0,1.5128827,1.0,,,1.0
108,9.771382,1.0,0.0,0.0,,,1.0
109,8.262619,1.0,0.0,0.0,,,1.0
110,7.5094194,1.0,0.30010164,0.0,,,1.0
111,0.53091645,0.0,0.0,0.0,,,0.0
112,2.6352003,0.0,0.0,0.0,,,0.0
113,9.077922,1.0,0.0,0.0,,,0.0
114,3.9111075,0.0,0.0,0.0,,,0.0
115,0.26425737,0.0,0.0,0.0,,,0.0
116,1.2358494,0.0,0.0,0.0,,,0.0
117,0.52419037,0.0,0.0,0.0,,,0.0
118,7.1408415,0.0,0.0,0.0,,,0.0
119,0.27295843,0.0,0.0,0.0,,,0.0
120,6.0758057,0.0,0.0,0.0,,,0.0
121,0.5031713,0.0,0.0,0.0,,,0.0
122,1.0994471,0.0,0.0,0.0,,,0.0
123,1.3162898,0.0,0.0,0.0,,,0.0
124,4.8887167,0.0,0.0,0.0,,,0.0
125,0.22569202,0.0,0.0,0.0,,,0.0
126,8.4062605,1.0,0.0,0.0,,,0.0
127,2.5630596,0.0,0.0,0.0,,,0.0
128,0.5538758,0.0,0.0,0.0,,,0.0
129,0.78486454,0.0,0.0,0.0,,,0.0
130,9.077922,1.0,0.0,0.0,,,0.0
131,2.8286278,0.0,0.0,0.0,,,0.0
132,2.8757524,0.0,0.0,0.0,,,0.0
133,0.2302129,0.0,0.0,0.0,,,0.0
134,6.9630346,0.0,0.0,0.0,,,0.0
135,1.093209,0.0,0.0,0.0,,,0.0
136,4.8887167,0.0,0.0,0.0,,,0.0
137,1.0796422,0.0,0.0,0.0,,,0.0
138,0.45482638,0.0,0.0,0.0,,,0.0
139,0.7818445,0.0,0.0,0.0,,,0.0
140,7.1408415,0.0,0.0,0.0,,,0.0
141,0.61507463,0.0,0.0,0.0,,,0.0
142,5.9754753,0.0,0.0,0.0,,,0.0
143,0.22569202,0.0,0.0,0.0,,,0.0
144,1.010566,0.0,0.0,0.0,,,0.0
145,1.7992158,0.0,0.0,0.0,,,0.0
146,8.874072,1.0,0.0,0.0,,,0.0
147,0.6107461,0.0,0.0,0.0,,,0.0
148,5.9754753,0.0,0.0,0.0,,,0.0
149,0.76410294,0.0,0.0,0.0,,,0.0
150,9.349802,1.0,0.0,0.0,,,0.0
151,2.8798153,0.0,0.0,0.0,,,0.0
152,4.0975394,0.0,0.0,0.0,,,0.0
153,1.0597916,0.0,0.0,0.0,,,0.0
154,0.91208464,0.0,0.0,0.0,,,0.0
155,9.077922,1.0,0.0,0.0,,,0.0
156,2.781044,0.0,0.0,0.0,,,0.0
157,0.7564932,0.0,0.0,0.0,,,0.0
158,1.562781,0.0,0.0,0.0,,,0.0
159,8.874072,1.0,0.0,0.0,,,0.0
160,5.9754753,0.0,0.0,0.0,,,0.0
161,2.0784252,0.0,0.0,0.0,,,0.0
162,2.2445486,0.0,0.0,0.0,,,0.0
163,1.0558524,0.0,0.0,0.0,,,0.0
164,5.4710083,0.0,0.0,0.0,,,0.0
165,5.9754753,0.0,0.0,0.0,,,0.0
166,2.5630596,0.0,0.0,0.0,,,0.0
167,1.0464631,0.0,0.0,0.0,,,0.0
168,5.9754753,0.0,0.0,0.0,,,0.0
169,1.3255486,0.0,0.0,0.0,,,0.0
170,4.8805933,0.0,0.0,0.0,,,0.0
171,1.0041244,0.0,0.0,0.0,,,0.0
172,5.9754753,0.0,0.0,0.0,,,0.0
173,5.4710083,0.0,0.0,0.0,,,0.0
174,0.2769379,0.0,0.0,0.0,,,0.0
175,9.28881,1.0,0.0,0.0,,,0.0
176,0.5488128,0.0,0.0,0.0,,,0.0
177,3.363303,0.0,0.0,0.0,,,0.0
178,0.7377524,0.0,0.0,0.0,,,0.0
179,4.777863,0.0,0.0,0.0,,,0.0
180,0.2769379,0.0,0.0,0.0,,,0.0
181,1.0578719,0.0,0.0,0.0,,,0.0
182,2.369579,0.0,0.0,0.0,,,0.0
183,0.2302129,0.0,0.0,0.0,,,0.0
184,4.8887167,0.0,0.0,0.0,,,0.0
185,6.0758057,0.0,0.0,0.0,,,0.0
186,0.7910065,0.0,0.0,0.0,,,0.0
187,0.81736153,0.0,0.0,0.0,,,0.0
188,4.8887167,0.0,0.0,0.0,,,0.0
189,2.8783176,0.0,0.0,0.0,,,0.0
190,0.2769379,0.0,0.0,0.0,,,0.0
191,4.9091578,0.0,0.0,0.0,,,0.0
192,1.3880211,0.0,0.0,0.0,,,0.0
193,2.8783176,0.0,0.0,0.0,,,0.0
194,1.0839857,0.0,0.0,0.0,,,0.0
195,8.874072,1.0,0.0,0.0,,,0.0
196,4.8887167,0.0,0.0,0.0,,,0.0
197,0.0,0.0,0.0,0.0,,,0.0
198,6.0758057,0.0,0.0,0.0,,,0.0
199,0.30010164,0.0,0.0,0.0,,,0.0
200,0.2675464,0.0,0.0,0.0,,,0.0
201,1.2379843,0.0,0.0,0.0,,,0.0
202,4.8887167,0.0,0.0,0.0,,,0.0
203,6.0758057,0.0,0.0,0.0,,,0.0
204,1.1434681,0.0,0.0,0.0,,,0.0
205,2.8783176,0.0,0.0,0.0,,,0.0
206,1.2397425,0.0,0.0,0.0,,,0.0
207,0.28126642,0.0,0.0,0.0,,,0.0
208,9.28881,1.0,0.0,0.0,,,0.0
209,9.077922,1.0,0.0,0.0,,,0.0
210,2.8783176,0.0,0.0,0.0,,,0.0
