,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,7.74948,0.0,0.75,0.0,,,1.0
1,17.316177,1.0,1.5,1.0,,,1.0
2,5.1907005,0.0,2.75,1.0,,,1.0
3,13.503691,0.0,0.0,1.0,,,1.0
4,7.4344516,0.0,0.5,0.0,,,1.0
5,12.359131,0.0,0.25,0.0,,,1.0
6,7.1293206,0.0,1.0,1.0,,,1.0
7,7.6914997,0.0,0.75,0.0,,,1.0
8,5.1878743,0.0,1.25,1.0,,,1.0
9,14.528259,1.0,7.75,1.0,,,1.0
10,10.537023,0.0,28.75,1.0,,,1.0
11,7.877731,0.0,1.75,1.0,,,1.0
12,12.352286,0.0,1.75,1.0,,,1.0
13,11.547929,0.0,20.75,1.0,,,1.0
14,17.056757,1.0,8.5,1.0,,,1.0
15,10.07978,0.0,0.0,0.0,,,1.0
16,6.491258,0.0,0.25,0.0,,,1.0
17,12.432566,0.0,15.0,1.0,,,1.0
18,10.604492,0.0,3.0,1.0,,,1.0
19,10.971984,0.0,4.75,1.0,,,1.0
20,8.694096,0.0,7.5,1.0,,,1.0
21,8.960471,0.0,4.75,1.0,,,1.0
22,9.856954,0.0,6.25,1.0,,,1.0
23,18.016935,1.0,7.5,1.0,,,1.0
24,7.70035,0.0,0.5,0.0,,,1.0
25,11.673805,0.0,0.75,1.0,,,1.0
26,7.6674805,0.0,0.5,1.0,,,1.0
27,11.436538,0.0,0.0,1.0,,,1.0
28,5.8329415,0.0,17.0,1.0,,,1.0
29,7.203988,0.0,1.25,1.0,,,1.0
30,13.905993,0.0,1.75,1.0,,,1.0
31,11.455777,0.0,0.25,0.0,,,1.0
32,9.625577,0.0,7.75,1.0,,,1.0
33,12.787152,0.0,19.5,1.0,,,1.0
34,9.428473,0.0,0.0,1.0,,,1.0
35,12.76207,0.0,9.0,1.0,,,1.0
36,14.762495,1.0,0.25,0.0,,,1.0
37,6.26545,0.0,0.75,1.0,,,1.0
38,7.304622,0.0,1.75,1.0,,,1.0
39,10.014944,0.0,2.75,1.0,,,1.0
40,11.808481,0.0,2.5,1.0,,,1.0
41,4.2389226,0.0,0.0,0.0,,,1.0
42,18.421593,1.0,0.25,0.0,,,1.0
43,17.073448,1.0,1.0,1.0,,,1.0
44,8.322136,0.0,0.0,0.0,,,1.0
45,17.97606,1.0,2.0,1.0,,,1.0
46,10.246332,0.0,13.75,1.0,,,1.0
47,6.7138777,0.0,0.75,1.0,,,1.0
48,16.92946,1.0,6.5,1.0,,,1.0
49,7.603107,0.0,2.0,1.0,,,1.0
50,16.1389,1.0,0.25,1.0,,,1.0
51,7.0087156,0.0,0.5,1.0,,,1.0
52,6.5773377,0.0,0.75,1.0,,,1.0
53,15.70031,1.0,7.5,1.0,,,1.0
54,10.02594,0.0,6.75,1.0,,,1.0
55,4.1685658,0.0,26.75,1.0,,,1.0
