,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,77.58462,1.0,0.5,0.0,,,1.0
1,13.681248,0.0,2.25,0.0,,,1.0
2,9.692432,0.0,37.5,1.0,,,1.0
3,81.90818,1.0,22.0,1.0,,,1.0
4,61.11644,1.0,66.25,1.0,,,1.0
5,83.57446,1.0,13.5,1.0,,,1.0
6,19.872192,0.0,9.0,1.0,,,1.0
7,14.469153,0.0,5.25,0.0,,,1.0
8,68.05916,1.0,0.75,0.0,,,1.0
9,24.893215,0.0,10.25,1.0,,,1.0
10,40.99937,1.0,2.75,0.0,,,1.0
11,27.972942,0.0,1.25,0.0,,,1.0
12,74.10389,1.0,11.25,1.0,,,1.0
13,31.743198,1.0,2.25,0.0,,,1.0
14,64.038895,1.0,0.25,0.0,,,1.0
15,9.404716,0.0,0.0,0.0,,,1.0
16,13.64653,0.0,8.5,0.0,,,1.0
17,10.245759,0.0,5.0,1.0,,,1.0
18,67.231995,1.0,141.25,1.0,,,1.0
19,61.749535,1.0,16.0,1.0,,,1.0
20,23.054846,0.0,25.25,1.0,,,1.0
21,1.7348865,0.0,0.0,0.0,,,1.0
22,114.60339,1.0,12.25,1.0,,,1.0
23,101.18458,1.0,97.75,1.0,,,1.0
24,8.807524,0.0,2.5,0.0,,,1.0
25,13.115329,0.0,0.0,0.0,,,1.0
26,39.174854,1.0,16.0,1.0,,,1.0
27,39.938225,1.0,0.5,0.0,,,1.0
28,19.828968,0.0,0.25,0.0,,,1.0
29,16.172844,0.0,1.0,0.0,,,1.0
30,48.501186,1.0,48.75,1.0,,,1.0
31,72.4549,1.0,46.0,1.0,,,1.0
32,44.852917,1.0,6.0,0.0,,,1.0
33,18.678135,0.0,6.75,1.0,,,1.0
34,20.041847,0.0,1.0,0.0,,,1.0
35,49.903923,1.0,275.25,1.0,,,1.0
36,95.122444,1.0,14.5,1.0,,,1.0
37,78.786964,1.0,31.0,1.0,,,1.0
38,22.703259,0.0,25.5,1.0,,,1.0
39,31.964464,1.0,16.5,1.0,,,1.0
40,27.824839,0.0,1.75,0.0,,,1.0
41,39.774784,1.0,1.5,0.0,,,1.0
42,8.1821575,0.0,16.5,1.0,,,1.0
43,7.6806197,0.0,0.0,0.0,,,1.0
44,9.897613,0.0,8.0,1.0,,,1.0
45,27.875769,0.0,1.25,0.0,,,1.0
46,11.955789,0.0,3.75,0.0,,,1.0
47,7.636444,0.0,20.5,1.0,,,1.0
48,17.762136,0.0,5.0,0.0,,,1.0
49,43.051975,1.0,13.5,1.0,,,1.0
50,37.865845,1.0,8.25,1.0,,,1.0
51,125.588554,1.0,132.5,1.0,,,1.0
52,38.04033,1.0,23.5,1.0,,,1.0
53,61.35382,1.0,65.0,1.0,,,1.0
54,21.27269,0.0,0.0,0.0,,,1.0
55,10.232852,0.0,0.25,0.0,,,1.0
56,22.861813,0.0,0.5,0.0,,,1.0
57,18.441492,0.0,99.75,1.0,,,1.0
58,16.59207,0.0,42.5,1.0,,,1.0
59,16.59207,0.0,9.25,1.0,,,1.0
60,15.750759,0.0,9.25,1.0,,,1.0
