,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,41.21965,0.0,2.6853497,1.0,,,1.0
1,3.1227777,0.0,0.0,0.0,,,1.0
2,73.85303,0.0,0.0,1.0,,,1.0
3,28.201538,0.0,0.0,0.0,,,1.0
4,9.102789,0.0,0.0,0.0,,,1.0
5,94.92083,0.0,0.0,1.0,,,1.0
6,15.561301,0.0,0.0,1.0,,,1.0
7,62.621204,0.0,0.0,1.0,,,1.0
8,0.24423933,0.0,0.0,0.0,,,1.0
9,81.41712,0.0,0.0,1.0,,,1.0
10,85.04763,0.0,32.5356,1.0,,,1.0
11,4.1402054,0.0,0.0,0.0,,,1.0
12,16.582802,0.0,0.0,0.0,,,1.0
13,14.90001,0.0,0.0,0.0,,,1.0
14,206.60295,1.0,0.0,1.0,,,1.0
15,26.160442,0.0,0.0,1.0,,,1.0
16,18.186232,0.0,0.0,1.0,,,1.0
17,20.112686,0.0,0.0,0.0,,,1.0
18,9.247852,0.0,1.0,1.0,,,1.0
19,29.712675,0.0,0.0,1.0,,,1.0
20,185.19078,1.0,4.8989797,1.0,,,1.0
21,117.82616,1.0,0.0,1.0,,,1.0
22,47.82832,0.0,0.0,1.0,,,1.0
23,63.807842,0.0,0.0,1.0,,,1.0
24,160.65651,1.0,0.0,1.0,,,1.0
25,18.74416,0.0,0.0,1.0,,,1.0
26,41.41267,0.0,8.166598,1.0,,,1.0
27,8.284342,0.0,0.0,0.0,,,1.0
28,35.15787,0.0,0.0,1.0,,,1.0
29,32.05783,0.0,0.0,0.0,,,1.0
30,34.174114,0.0,0.0,1.0,,,1.0
31,12.019957,0.0,0.0,0.0,,,1.0
32,20.532516,0.0,0.0,1.0,,,1.0
33,96.00585,0.0,0.0,1.0,,,1.0
34,97.0259,0.0,0.0,1.0,,,1.0
35,33.263126,0.0,0.0,1.0,,,1.0
36,42.83151,0.0,15.680498,1.0,,,1.0
37,1.027832,0.0,0.0,0.0,,,1.0
38,113.84345,1.0,0.0,0.0,,,1.0
39,124.52518,1.0,16.134048,1.0,,,1.0
40,0.0,0.0,0.0,0.0,,,1.0
41,20.17401,0.0,18.103275,1.0,,,1.0
42,8.473887,0.0,0.0,0.0,,,1.0
43,287.83304,1.0,3.309751,1.0,,,1.0
44,18.04705,0.0,0.0,1.0,,,1.0
45,55.011303,0.0,0.0,1.0,,,1.0
46,52.505386,0.0,0.0,1.0,,,1.0
47,17.369524,0.0,0.0,0.0,,,1.0
48,33.455345,0.0,0.0,0.0,,,1.0
49,20.04775,0.0,0.0,1.0,,,1.0
50,264.1061,1.0,0.0,1.0,,,1.0
51,10.509768,0.0,0.0,0.0,,,1.0
52,53.81833,0.0,0.0,0.0,,,1.0
53,14.862239,0.0,0.0,0.0,,,1.0
54,23.93046,0.0,0.0,1.0,,,1.0
55,28.092455,0.0,0.0,0.0,,,1.0
56,8.282741,0.0,0.0,0.0,,,1.0
57,9.62684,0.0,0.0,0.0,,,1.0
58,47.35148,0.0,0.0,1.0,,,1.0
59,41.867615,0.0,9.7291975,1.0,,,1.0
