,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,15.792705,0.0,0.02173913,1.0,,,1.0
1,8.412471,0.0,0.035714287,1.0,,,1.0
2,9.728643,0.0,0.0,0.0,,,1.0
3,9.445582,0.0,0.028985508,0.0,,,1.0
4,13.732551,0.0,0.024096385,0.0,,,1.0
5,2.0119166,0.0,0.06451613,0.0,,,1.0
6,12.433112,0.0,0.015037594,1.0,,,1.0
7,16.843134,1.0,0.0,0.0,,,1.0
8,6.3160806,0.0,0.036363635,1.0,,,1.0
9,7.5738683,0.0,0.04761905,1.0,,,1.0
10,2.956326,0.0,0.057142857,1.0,,,1.0
11,5.9594283,0.0,0.040816326,0.0,,,1.0
12,14.660901,0.0,0.041666668,0.0,,,1.0
13,12.078283,0.0,0.037037037,1.0,,,1.0
14,29.904568,1.0,0.008368201,1.0,,,1.0
15,11.729161,0.0,0.02631579,1.0,,,1.0
16,21.253046,1.0,0.016528925,1.0,,,1.0
17,4.241893,0.0,0.045454547,0.0,,,1.0
18,7.054476,0.0,0.04,1.0,,,1.0
19,25.495646,1.0,0.014492754,1.0,,,1.0
20,7.980677,0.0,0.036363635,1.0,,,1.0
21,23.025085,1.0,0.013513514,1.0,,,1.0
22,9.607711,0.0,0.028571429,0.0,,,1.0
23,12.607483,0.0,0.025,0.0,,,1.0
24,30.460663,1.0,0.027027028,1.0,,,1.0
25,31.163143,1.0,0.01923077,1.0,,,1.0
26,3.4909425,0.0,0.05263158,0.0,,,1.0
27,8.301115,0.0,0.048780486,0.0,,,1.0
28,10.172056,0.0,0.014925373,0.0,,,1.0
29,7.1011796,0.0,0.04255319,0.0,,,1.0
30,16.542667,1.0,0.016666668,0.0,,,1.0
31,9.429335,0.0,0.01980198,0.0,,,1.0
32,18.069798,1.0,0.05882353,1.0,,,1.0
33,14.46881,0.0,0.007751938,0.0,,,1.0
34,17.631445,1.0,0.035714287,1.0,,,1.0
35,13.233967,0.0,0.0,0.0,,,1.0
36,8.627003,0.0,0.045454547,0.0,,,1.0
37,6.3789625,0.0,0.0125,0.0,,,1.0
38,36.7678,1.0,0.01369863,1.0,,,1.0
39,10.920981,0.0,0.0,0.0,,,1.0
40,12.69404,0.0,0.021052632,1.0,,,1.0
41,10.307947,0.0,0.024096385,0.0,,,1.0
42,34.338886,1.0,0.010204081,1.0,,,1.0
43,8.110426,0.0,0.03773585,1.0,,,1.0
44,5.3542147,0.0,0.05882353,0.0,,,1.0
45,12.317121,0.0,0.013333334,0.0,,,1.0
46,10.683357,0.0,0.014084507,0.0,,,1.0
47,33.985935,1.0,0.0,1.0,,,1.0
48,7.857892,0.0,0.040816326,0.0,,,1.0
49,24.979317,1.0,0.031746034,1.0,,,1.0
50,16.554588,1.0,0.0036363637,0.0,,,1.0
51,7.5404415,0.0,0.044444446,0.0,,,1.0
52,15.273034,0.0,0.014705882,0.0,,,1.0
53,19.10189,1.0,0.015625,0.0,,,1.0
54,2.7468607,0.0,0.06451613,0.0,,,1.0
55,4.173785,0.0,0.060606062,0.0,,,1.0
56,29.873692,1.0,0.018018018,1.0,,,1.0
57,4.3852043,0.0,0.0952381,0.0,,,1.0
58,5.81628,0.0,0.0,0.0,,,1.0
59,13.232084,0.0,0.03508772,0.0,,,1.0
60,19.306896,1.0,0.016806724,1.0,,,1.0
61,32.584328,1.0,0.024096385,1.0,,,1.0
62,5.7731476,0.0,0.055555556,0.0,,,1.0
63,14.675215,0.0,0.010638298,1.0,,,1.0
64,9.882857,0.0,0.037037037,1.0,,,1.0
65,2.6459374,0.0,0.054054055,0.0,,,1.0
66,4.452706,0.0,0.0,0.0,,,1.0
67,8.034075,0.0,0.09090909,1.0,,,1.0
68,29.364042,1.0,0.016,1.0,,,1.0
69,31.052881,1.0,0.0,1.0,,,1.0
70,10.935167,0.0,0.10526316,0.0,,,1.0
71,14.725207,0.0,0.016260162,0.0,,,1.0
72,17.248209,1.0,0.0,0.0,,,1.0
73,24.695192,1.0,0.024390243,1.0,,,1.0
74,7.5738683,0.0,0.05263158,1.0,,,1.0
75,19.653877,1.0,0.012987013,0.0,,,1.0
76,0.967519,0.0,0.0,0.0,,,1.0
77,5.39061,0.0,0.021505376,0.0,,,1.0
78,19.653877,1.0,0.024691358,0.0,,,1.0
79,3.8420794,0.0,0.0,0.0,,,1.0
80,11.050423,0.0,0.016806724,0.0,,,1.0
81,13.650693,0.0,0.025974026,1.0,,,1.0
82,8.925433,0.0,0.027777778,0.0,,,1.0
83,9.990844,0.0,0.0,0.0,,,1.0
84,17.825497,1.0,0.018348623,0.0,,,1.0
85,6.4427443,0.0,0.05882353,0.0,,,1.0
86,23.483122,1.0,0.030303031,1.0,,,1.0
87,24.467861,1.0,0.015625,1.0,,,1.0
88,8.806396,0.0,0.03448276,1.0,,,1.0
89,3.9336169,0.0,0.14285715,0.0,,,1.0
90,7.4591756,0.0,0.0,0.0,,,1.0
91,13.937405,0.0,0.0,0.0,,,1.0
92,14.967552,0.0,0.014705882,0.0,,,1.0
93,22.822872,1.0,0.012738854,0.0,,,1.0
94,7.275456,0.0,0.125,1.0,,,1.0
95,13.739218,0.0,0.014705882,0.0,,,1.0
96,2.8633995,0.0,0.0,0.0,,,1.0
97,3.522807,0.0,0.01010101,0.0,,,1.0
98,3.4250307,0.0,0.083333336,0.0,,,1.0
99,19.628164,1.0,0.0,0.0,,,1.0
100,9.518427,0.0,0.027777778,1.0,,,1.0
101,8.484996,0.0,0.025641026,1.0,,,1.0
102,10.827649,0.0,0.014084507,0.0,,,1.0
103,5.476281,0.0,0.016528925,0.0,,,1.0
