,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,8.260057,1.0,1.2161562,1.0,1.8204784,1.0,1.0
1,4.804792,1.0,0.30692768,1.0,0.0,1.0,1.0
2,5.2731633,1.0,1.1578307,1.0,1.6021917,1.0,1.0
3,3.2510803,1.0,1.2802277,1.0,0.0,1.0,1.0
4,3.856043,1.0,1.3691517,1.0,0.607514,1.0,1.0
5,7.104425,1.0,1.0267678,1.0,0.9889902,1.0,1.0
6,8.978681,1.0,0.98864543,1.0,0.9407728,1.0,1.0
7,4.3501024,1.0,1.2411467,1.0,1.1339451,1.0,1.0
8,11.7232685,1.0,0.97990113,1.0,0.9672844,1.0,1.0
9,4.3261323,1.0,1.258632,1.0,1.1439986,1.0,1.0
10,1.8798503,1.0,0.0,1.0,0.0,1.0,1.0
11,8.745206,1.0,0.98396116,1.0,0.9461251,1.0,1.0
12,2.9346762,1.0,0.0,1.0,0.0,1.0,1.0
13,4.1493936,1.0,1.5482221,1.0,1.5221171,1.0,1.0
14,4.6653566,1.0,1.5559124,1.0,1.456156,1.0,1.0
15,9.59819,1.0,0.9882318,1.0,0.98589784,1.0,1.0
16,6.100855,1.0,1.2740283,1.0,0.0,1.0,1.0
17,3.3231614,1.0,1.3090138,1.0,1.1913118,1.0,1.0
18,4.1872354,1.0,0.0,1.0,0.0,1.0,1.0
19,4.8424997,1.0,0.68585086,1.0,0.71708757,1.0,1.0
20,4.3101597,1.0,0.3338082,1.0,0.0,1.0,1.0
21,11.7232685,1.0,0.97150964,1.0,0.9227513,1.0,1.0
22,8.973997,1.0,1.014752,1.0,0.98654187,1.0,1.0
23,8.745206,1.0,0.98396116,1.0,0.95816207,1.0,1.0
24,4.035405,1.0,0.0,1.0,0.0,1.0,1.0
25,3.4160132,1.0,0.0,1.0,0.0,1.0,1.0
26,6.3019586,1.0,0.5114026,1.0,0.0,1.0,1.0
27,8.978681,1.0,0.98864543,1.0,0.95816207,1.0,1.0
28,3.767178,1.0,1.237988,1.0,1.1415743,1.0,1.0
29,7.2514277,1.0,1.0668966,1.0,0.97717977,1.0,1.0
30,2.9080937,1.0,1.4990685,1.0,1.7113351,1.0,1.0
31,8.978681,1.0,0.9793018,1.0,0.9308863,1.0,0.0
32,4.7295156,1.0,0.0,1.0,0.0,1.0,0.0
33,3.6852605,1.0,0.0,1.0,0.0,1.0,0.0
34,7.7088323,1.0,0.49700093,1.0,0.2675464,1.0,
