,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,62.092384,1.0,0.7933916,1.0,0.4,1.0,1.0
1,52.731388,1.0,0.8013304,1.0,0.8,1.0,1.0
2,69.0188,1.0,0.0,1.0,0.2,1.0,1.0
3,5.9129686,1.0,0.0,1.0,0.0,1.0,1.0
4,26.2438,1.0,0.87726694,1.0,42.0,1.0,1.0
5,23.726357,1.0,0.34597626,1.0,0.0,1.0,1.0
6,6.41624,1.0,0.0,1.0,0.0,1.0,1.0
7,54.922436,1.0,0.835625,1.0,1.2,1.0,1.0
8,11.8821125,1.0,0.0,1.0,0.0,1.0,1.0
9,75.954185,1.0,0.3216196,1.0,4.6,1.0,1.0
10,10.149638,1.0,0.0,1.0,0.0,1.0,1.0
11,23.50667,1.0,0.69096863,1.0,0.2,1.0,1.0
12,13.609352,1.0,0.9219645,1.0,5.6,1.0,1.0
13,98.85127,1.0,0.18668607,1.0,0.0,1.0,1.0
14,41.520275,1.0,0.7078622,1.0,36.8,1.0,1.0
15,1.8074077,1.0,0.0,1.0,0.2,1.0,1.0
16,70.05334,1.0,0.70471895,1.0,6.2,1.0,1.0
17,66.484024,1.0,0.37113374,1.0,0.6,1.0,1.0
18,11.604903,1.0,0.45909184,1.0,23.2,1.0,1.0
19,5.831436,1.0,0.314658,1.0,0.0,1.0,1.0
20,46.722343,1.0,0.76056075,1.0,0.4,1.0,1.0
21,20.005856,1.0,0.1934055,1.0,0.0,1.0,1.0
22,6.331823,1.0,0.0,1.0,0.0,1.0,1.0
23,38.157097,1.0,0.86722326,1.0,6.2,1.0,1.0
24,11.355679,1.0,0.0,1.0,0.0,1.0,1.0
25,31.111603,1.0,0.44722614,1.0,0.2,1.0,1.0
26,22.461721,1.0,0.97539055,1.0,5.6,1.0,1.0
27,41.034294,1.0,0.3802422,1.0,2.6,1.0,1.0
28,22.638475,1.0,0.0,1.0,0.2,1.0,1.0
29,34.124268,1.0,0.74695283,1.0,24.2,1.0,1.0
30,6.2509613,1.0,0.0,1.0,1.4,1.0,1.0
31,45.49795,1.0,0.0,1.0,0.2,1.0,1.0
32,39.561718,1.0,0.8882336,1.0,60.0,1.0,1.0
33,27.665176,1.0,0.93847275,1.0,2.4,1.0,1.0
34,29.810085,1.0,0.2940141,1.0,0.4,1.0,1.0
35,88.46156,1.0,0.6826444,1.0,5.4,1.0,1.0
