,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2,3.168659,1.0,0.0,1.0,0.0,1.0,1.0
3,7.0202227,1.0,1.0332711,1.0,0.0074626864,1.0,1.0
4,20.936476,1.0,0.7862259,1.0,0.008403362,1.0,1.0
5,0.0,1.0,0.0,1.0,0.0,1.0,1.0
6,0.0,1.0,0.0,1.0,0.0,1.0,1.0
7,1.4432468,1.0,1.7010128,1.0,0.2857143,1.0,1.0
8,0.0,1.0,0.0,1.0,0.0,1.0,1.0
9,0.0,1.0,0.0,1.0,0.0,1.0,1.0
10,1.9915677,1.0,1.6097184,1.0,0.15384616,1.0,1.0
11,0.0,1.0,0.0,1.0,0.0,1.0,1.0
12,4.3663917,1.0,1.2940618,1.0,0.071428575,1.0,1.0
13,4.435041,1.0,1.134314,1.0,0.03846154,1.0,1.0
14,0.0,1.0,0.0,1.0,0.0,1.0,1.0
15,1.2852458,1.0,1.2009101,1.0,0.016528925,1.0,1.0
16,0.0,1.0,0.0,1.0,0.0,1.0,1.0
17,0.0,1.0,0.0,1.0,0.0,1.0,1.0
18,2.682252,1.0,1.9235934,1.0,0.06779661,1.0,1.0
19,3.1290147,1.0,1.3352329,1.0,0.08,1.0,1.0
20,1.9931974,1.0,0.0,1.0,0.0,1.0,1.0
21,1.442695,1.0,0.0,1.0,0.0,1.0,1.0
22,0.7774018,1.0,0.0,1.0,0.0,1.0,1.0
23,0.9102392,1.0,0.0,1.0,0.0,1.0,1.0
24,0.0,1.0,0.0,1.0,0.0,1.0,1.0
25,0.0,1.0,0.0,1.0,0.0,1.0,1.0
26,1.1464165,1.0,2.88539,1.0,0.0,1.0,1.0
27,0.0,1.0,0.0,1.0,0.0,1.0,1.0
28,2.4540744,1.0,1.737178,1.0,0.2,1.0,1.0
29,0.0,1.0,0.0,1.0,0.0,1.0,1.0
30,7.812399,1.0,0.24627854,1.0,0.0,1.0,1.0
31,8.050611,1.0,0.0,1.0,0.0,1.0,1.0
32,0.0,1.0,0.0,1.0,0.0,1.0,1.0
33,0.0,1.0,0.0,1.0,0.0,1.0,1.0
34,2.008638,1.0,1.6097184,1.0,0.0754717,1.0,1.0
35,0.0,1.0,0.0,1.0,0.0,1.0,1.0
36,2.4951923,1.0,1.9235934,1.0,0.056338027,1.0,1.0
37,0.0,1.0,0.0,1.0,0.0,1.0,1.0
38,3.51454,1.0,1.258632,1.0,0.0,1.0,1.0
39,1.767126,1.0,0.0,1.0,0.0,1.0,1.0
40,0.988622,1.0,0.0,1.0,0.0,1.0,1.0
41,1.8062681,1.0,1.3720162,1.0,0.033613447,1.0,1.0
42,3.6063511,1.0,1.383905,1.0,0.04494382,1.0,1.0
43,15.9370575,1.0,0.8270816,1.0,0.010869565,1.0,1.0
44,13.679929,1.0,0.861254,1.0,0.011627907,1.0,1.0
45,0.0,1.0,0.0,1.0,0.0,1.0,1.0
46,0.0,1.0,0.0,1.0,0.0,1.0,1.0
47,2.1805432,1.0,1.0952795,1.0,0.019417476,1.0,0.0
48,1.9867207,1.0,1.737178,1.0,0.2,1.0,0.0
49,2.6359472,1.0,1.2940618,1.0,0.071428575,1.0,0.0
50,2.0453908,1.0,1.6097184,1.0,0.15384616,1.0,0.0
