,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,115.64726,0.0,0.67167693,0.0,46.0,1.0,1.0
1,152.73921,0.0,0.0,0.0,0.0,0.0,1.0
2,36.8195,0.0,0.0,0.0,0.4,1.0,1.0
3,65.390434,0.0,0.74806315,0.0,0.2,0.0,1.0
4,128.4384,0.0,0.6490809,0.0,20.8,1.0,1.0
5,90.44251,0.0,0.6252112,0.0,1.2,0.0,1.0
6,78.20842,0.0,0.3371111,0.0,0.0,0.0,1.0
7,16.215841,0.0,0.798901,0.0,231.0,1.0,1.0
8,38.480064,0.0,0.8284133,0.0,37.4,1.0,1.0
9,39.711693,0.0,0.0,0.0,0.0,0.0,1.0
10,41.759403,0.0,0.7303203,0.0,120.0,1.0,1.0
11,149.0456,0.0,0.5991875,1.0,3.6,0.0,1.0
12,55.736225,0.0,0.16175772,0.0,0.2,0.0,1.0
13,10.250151,0.0,0.14970958,0.0,0.4,0.0,1.0
14,95.20914,0.0,0.6424352,0.0,2.8,0.0,1.0
15,12.936043,0.0,0.85541445,0.0,99.0,1.0,1.0
16,14.750845,0.0,0.8469368,0.0,16.8,1.0,1.0
17,87.54852,0.0,0.0,0.0,0.0,0.0,1.0
18,106.48364,0.0,0.70149904,0.0,32.8,1.0,1.0
19,80.67548,0.0,0.7264208,0.0,0.0,0.0,1.0
20,37.63066,0.0,0.15785185,0.0,0.2,0.0,1.0
21,66.21052,0.0,0.3485505,0.0,0.0,0.0,1.0
22,112.8659,0.0,0.64524585,0.0,0.4,0.0,1.0
23,93.5378,0.0,0.68243486,0.0,6.0,1.0,1.0
24,158.10068,0.0,0.61192834,1.0,54.8,1.0,1.0
25,139.33086,0.0,0.6421586,1.0,1.4,0.0,1.0
26,12.032816,0.0,0.0,0.0,1.4,0.0,1.0
27,26.967714,0.0,0.0,0.0,0.6,0.0,1.0
28,52.96043,0.0,0.6866587,0.0,0.6,0.0,1.0
29,92.16311,0.0,0.64061034,0.0,2.0,0.0,1.0
30,48.056118,0.0,0.0,0.0,0.4,0.0,1.0
31,91.61713,0.0,0.6574349,0.0,1.6,0.0,1.0
32,128.75761,0.0,0.74197257,1.0,27.8,1.0,1.0
33,126.391884,0.0,0.33792683,0.0,2.0,0.0,1.0
34,46.38079,0.0,0.0,0.0,0.0,0.0,1.0
35,95.750244,0.0,0.61387897,0.0,1.8,0.0,1.0
36,100.11809,0.0,0.7058472,0.0,0.6,0.0,1.0
37,28.495234,0.0,0.0,0.0,0.6,0.0,1.0
38,68.52412,0.0,0.72841793,0.0,2.6,0.0,1.0
39,126.71901,0.0,0.63239336,0.0,1.4,0.0,1.0
40,63.325203,0.0,0.7144211,0.0,0.0,0.0,1.0
41,33.170216,0.0,0.15848066,0.0,0.0,0.0,1.0
42,51.558174,0.0,0.7361742,0.0,1.2,0.0,1.0
43,48.51999,0.0,0.72081697,0.0,0.2,0.0,1.0
44,62.334343,0.0,0.0,0.0,0.0,0.0,1.0
45,39.714252,0.0,0.77198476,0.0,222.2,1.0,1.0
46,104.301796,0.0,0.32386875,0.0,0.0,0.0,1.0
47,36.732384,0.0,0.7668178,0.0,0.4,0.0,1.0
48,128.4384,0.0,0.5990162,0.0,23.0,1.0,1.0
49,44.934,0.0,0.0,0.0,0.0,0.0,1.0
50,83.40139,0.0,0.0,0.0,0.0,0.0,1.0
51,111.5009,0.0,0.6039888,0.0,8.4,0.0,1.0
52,30.261389,0.0,0.7863053,0.0,3.6,0.0,1.0
53,45.694134,0.0,0.7344307,0.0,6.8,0.0,1.0
54,93.693756,0.0,0.73658776,0.0,175.0,1.0,1.0
55,54.246178,0.0,0.0,0.0,0.0,0.0,1.0
56,24.762926,0.0,0.35463095,0.0,0.0,0.0,1.0
57,35.007805,0.0,0.34824786,0.0,0.4,0.0,1.0
58,26.431139,0.0,0.14691128,0.0,0.2,0.0,1.0
59,108.17619,0.0,0.66212714,0.0,4.8,1.0,1.0
60,14.6640215,0.0,0.0,0.0,3.0,0.0,1.0
61,95.06373,0.0,0.6502419,0.0,0.8,0.0,1.0
62,70.10246,0.0,0.32296762,0.0,0.8,0.0,1.0
63,126.71904,0.0,0.61785525,0.0,1.6,0.0,1.0
64,62.38413,0.0,0.15264657,0.0,0.0,0.0,1.0
65,99.47873,0.0,0.68655145,0.0,0.2,0.0,1.0
66,102.366325,0.0,0.6323579,0.0,0.0,0.0,1.0
67,70.29495,0.0,0.6843963,0.0,106.8,1.0,1.0
68,20.097834,0.0,0.73056805,0.0,8.4,0.0,1.0
69,74.01593,0.0,0.7016349,0.0,19.0,1.0,1.0
70,43.958538,0.0,0.7286681,0.0,210.8,1.0,1.0
71,28.320982,0.0,0.7270681,0.0,77.4,1.0,1.0
72,73.40483,0.0,0.64863354,0.0,0.4,0.0,1.0
73,75.47137,0.0,0.66742045,0.0,332.8,1.0,1.0
74,85.7905,0.0,0.66829586,0.0,2.8,1.0,1.0
75,6.726222,0.0,0.0,0.0,0.0,0.0,1.0
76,82.49987,0.0,0.33353278,0.0,0.6,0.0,1.0
77,25.72665,0.0,0.0,0.0,0.0,0.0,1.0
78,11.481782,0.0,0.0,0.0,0.0,0.0,1.0
79,57.90005,0.0,0.16895048,0.0,0.4,0.0,1.0
80,70.163704,0.0,0.6620574,0.0,0.6,0.0,1.0
81,80.69896,0.0,0.8224254,0.0,5.8,0.0,1.0
82,4.3377395,0.0,0.0,0.0,0.0,0.0,1.0
83,74.288284,0.0,0.16649038,0.0,0.0,0.0,1.0
84,60.075706,0.0,0.32782027,0.0,1.0,0.0,1.0
85,122.943306,0.0,0.0,0.0,0.0,0.0,1.0
86,70.29495,0.0,0.837072,0.0,0.0,0.0,1.0
87,108.938576,0.0,0.6693529,0.0,0.0,0.0,1.0
88,137.82503,0.0,0.59502006,1.0,7.6,0.0,1.0
89,76.01604,0.0,0.3562944,0.0,0.0,0.0,1.0
90,79.987076,0.0,0.67879164,0.0,17.0,1.0,1.0
91,55.82013,0.0,0.36280602,0.0,0.0,0.0,1.0
92,158.10068,0.0,0.643461,1.0,53.6,1.0,1.0
93,47.58189,0.0,0.17658608,0.0,0.0,0.0,1.0
94,102.54446,0.0,0.66362184,0.0,4.2,0.0,1.0
95,79.01768,0.0,0.71218646,0.0,0.6,0.0,1.0
96,57.727634,0.0,0.94155437,0.0,0.2,0.0,1.0
97,37.43663,0.0,0.0,0.0,0.0,0.0,1.0
98,70.372154,0.0,0.36876902,0.0,0.2,0.0,1.0
99,116.84033,0.0,0.71877724,0.0,86.2,1.0,1.0
100,83.1432,0.0,0.0,0.0,0.0,0.0,1.0
101,15.125604,0.0,0.84059834,0.0,12.2,1.0,1.0
102,35.56737,0.0,0.0,0.0,0.0,0.0,1.0
103,79.01768,0.0,0.664264,0.0,2.4,0.0,1.0
104,27.60252,0.0,0.70302504,0.0,271.2,1.0,1.0
105,88.021255,0.0,0.0,0.0,0.2,0.0,1.0
106,105.278595,0.0,0.6509025,0.0,3.4,0.0,1.0
107,76.5905,0.0,0.78301114,0.0,47.2,1.0,1.0
108,102.99871,0.0,0.6226401,0.0,2.8,0.0,1.0
109,71.30154,0.0,0.6890641,0.0,0.4,1.0,1.0
110,107.62708,0.0,0.6450913,0.0,7.8,1.0,1.0
111,117.778656,0.0,0.3540653,0.0,0.2,1.0,1.0
112,114.70404,0.0,0.3284942,0.0,1.0,1.0,1.0
113,58.94201,0.0,0.0,0.0,24.6,1.0,1.0
114,10.345531,0.0,0.17637055,0.0,0.0,0.0,1.0
115,12.224393,0.0,0.0,0.0,0.0,0.0,1.0
116,127.062675,0.0,0.61940324,0.0,144.8,1.0,1.0
117,194.95319,1.0,0.15034041,1.0,0.0,0.0,1.0
118,77.69497,0.0,0.6890548,0.0,0.4,0.0,1.0
119,37.86413,0.0,0.42532307,0.0,0.2,0.0,1.0
120,29.162613,0.0,0.0,0.0,0.0,0.0,1.0
121,44.20675,0.0,0.8451637,0.0,0.2,0.0,1.0
122,105.83216,0.0,0.6377042,0.0,3.6,0.0,1.0
123,48.203835,0.0,0.15970635,0.0,3.2,0.0,1.0
124,102.41267,0.0,0.651315,0.0,2.6,0.0,1.0
125,94.13288,0.0,0.6770381,0.0,1.4,0.0,1.0
126,38.326576,0.0,0.9007048,0.0,85.2,1.0,1.0
127,44.971355,0.0,0.76186335,0.0,0.2,0.0,1.0
128,74.73793,0.0,0.6627598,0.0,2.2,0.0,1.0
129,152.73921,0.0,0.6634134,1.0,0.4,0.0,1.0
130,30.261389,0.0,0.72035444,0.0,3.4,0.0,1.0
131,19.327848,0.0,1.0034254,0.0,2.4,0.0,1.0
