,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,57.28665,1.0,0.0,1.0,0.0,1.0,1.0
1,65.66929,1.0,0.0,1.0,0.0,1.0,1.0
2,162.10637,1.0,0.0,1.0,0.0,1.0,1.0
3,68.64914,1.0,0.9130029,1.0,0.0,1.0,1.0
4,79.46341,1.0,0.0,1.0,0.0,1.0,1.0
5,7.986012,1.0,0.0,1.0,0.0,1.0,1.0
6,5.69032,1.0,0.0,1.0,0.0,1.0,1.0
7,0.5582333,1.0,0.0,1.0,0.0,1.0,1.0
8,124.4137,1.0,0.0,1.0,0.0,1.0,1.0
9,42.34822,1.0,0.89970446,1.0,0.0,1.0,1.0
10,88.78342,1.0,0.74167216,1.0,0.0,1.0,1.0
11,32.744717,1.0,0.49019513,1.0,0.0,1.0,1.0
12,6.382724,1.0,0.0,1.0,0.0,1.0,1.0
13,49.903564,1.0,0.3460426,1.0,0.0,1.0,1.0
14,111.2369,1.0,0.16264214,1.0,0.028571429,1.0,1.0
15,1.3164138,1.0,0.0,1.0,0.0,1.0,1.0
16,231.24829,1.0,0.14993632,1.0,0.0,1.0,1.0
17,18.292154,1.0,0.28853902,1.0,0.0,1.0,1.0
18,89.63397,1.0,0.3799702,1.0,0.0,1.0,1.0
19,32.292572,1.0,0.81836116,1.0,0.015384615,1.0,1.0
20,41.961803,1.0,0.0,1.0,0.0,1.0,1.0
21,14.634718,1.0,0.0,1.0,0.0,1.0,1.0
22,20.560911,1.0,0.0,1.0,0.0,1.0,1.0
23,9.953909,1.0,0.0,1.0,0.0,1.0,1.0
24,29.626575,1.0,0.58814806,1.0,0.0,1.0,1.0
25,13.298349,1.0,0.0,1.0,0.0,1.0,1.0
26,10.517511,1.0,0.4045077,1.0,0.0,1.0,1.0
27,190.90645,1.0,0.76150984,1.0,0.0,1.0,1.0
28,16.722725,1.0,0.0,1.0,0.0,1.0,1.0
29,158.93372,1.0,0.17190664,1.0,0.0,1.0,1.0
30,6.6594825,1.0,0.0,1.0,0.0,1.0,1.0
31,110.09889,1.0,0.7654456,1.0,0.0,1.0,1.0
32,18.322922,1.0,0.54245394,1.0,0.0,1.0,1.0
33,3.0164244,1.0,0.0,1.0,0.0,1.0,1.0
34,10.052483,1.0,1.0068357,1.0,0.0,1.0,1.0
35,8.555195,1.0,0.0,1.0,0.0,1.0,1.0
36,24.46453,1.0,0.0,1.0,0.0,1.0,1.0
37,13.288756,1.0,0.8362931,1.0,0.0,1.0,1.0
38,13.167502,1.0,1.0419811,1.0,0.0,1.0,1.0
39,11.565572,1.0,0.0,1.0,0.0,1.0,1.0
40,198.1251,1.0,0.15608221,1.0,0.0,1.0,1.0
41,71.918175,1.0,0.42746425,1.0,0.0,1.0,1.0
42,6.6291523,1.0,0.0,1.0,0.0,1.0,1.0
43,34.52543,1.0,0.187017,1.0,0.0,1.0,1.0
44,1.6920124,1.0,0.0,1.0,0.0,1.0,1.0
45,206.04527,1.0,0.1581188,1.0,0.0,1.0,1.0
46,31.815395,1.0,0.0,1.0,0.0,1.0,1.0
47,7.9467206,1.0,0.0,1.0,0.0,1.0,1.0
48,23.360474,1.0,1.0118423,1.0,0.0,1.0,1.0
49,80.31439,1.0,0.37846866,1.0,0.0,1.0,1.0
50,42.13734,1.0,0.3789438,1.0,0.0,1.0,1.0
51,0.9957633,1.0,0.0,1.0,0.0,1.0,1.0
52,9.818413,1.0,0.44166398,1.0,0.0,1.0,1.0
53,39.614323,1.0,0.39164102,1.0,0.0,1.0,1.0
54,103.15361,1.0,0.0,1.0,0.0,1.0,1.0
55,2.8210855,1.0,0.0,1.0,0.0,1.0,1.0
56,48.970623,1.0,0.75159264,1.0,0.020942409,1.0,1.0
57,4.9577317,1.0,0.0,1.0,0.0,1.0,1.0
58,55.099663,1.0,0.0,1.0,0.0,1.0,1.0
59,164.27107,1.0,0.0,1.0,0.0,1.0,1.0
60,51.225227,1.0,0.5211861,1.0,0.0,1.0,1.0
61,194.60464,1.0,0.7415109,1.0,0.0,1.0,1.0
62,155.84161,1.0,0.3684718,1.0,0.0,1.0,1.0
63,36.552547,1.0,1.0147873,1.0,0.0,1.0,1.0
64,146.27457,1.0,0.34654522,1.0,0.0,1.0,1.0
65,20.117353,1.0,0.0,1.0,0.0,1.0,1.0
66,92.32878,1.0,0.0,1.0,0.0,1.0,1.0
67,18.878464,1.0,0.24627854,1.0,0.0,1.0,1.0
68,31.006155,1.0,0.0,1.0,0.0,1.0,1.0
69,3.600128,1.0,0.0,1.0,0.0,1.0,1.0
70,97.44238,1.0,0.3538896,1.0,0.012048192,1.0,1.0
71,6.7708197,1.0,0.0,1.0,0.0,1.0,1.0
72,14.130738,1.0,0.0,1.0,0.0,1.0,1.0
73,45.353874,1.0,0.0,1.0,0.0,1.0,1.0
74,30.640175,1.0,0.0,1.0,0.0,1.0,1.0
75,33.944546,1.0,0.0,1.0,0.0,1.0,1.0
76,7.7950296,1.0,0.2153135,1.0,0.0,1.0,1.0
77,23.110348,1.0,0.4665957,1.0,0.0,1.0,1.0
78,6.1986756,1.0,0.0,1.0,0.0,1.0,1.0
79,8.92516,1.0,0.0,1.0,0.0,1.0,1.0
80,111.54788,1.0,0.36682206,1.0,0.010362694,1.0,1.0
81,24.449982,1.0,1.3095268,1.0,0.0,1.0,1.0
82,20.876774,1.0,0.0,1.0,0.0,1.0,1.0
83,55.997486,1.0,0.85211504,1.0,0.0,1.0,1.0
84,23.11481,1.0,0.0,1.0,0.0,1.0,1.0
85,8.783898,1.0,0.0,1.0,0.0,1.0,1.0
86,5.939084,1.0,0.0,1.0,0.0,1.0,1.0
