,input_dim1,pred_dim1,input_dim2,pred_dim2,input_dim3,pred_dim3,label
0,116.02314,1.0,0.6711046,1.0,4.0,1.0,1.0
1,78.38588,0.0,0.33751726,0.0,0.0,0.0,1.0
2,82.521774,0.0,0.83265114,1.0,2.0,1.0,1.0
3,16.970032,0.0,0.79565233,0.0,2.0,0.0,1.0
4,37.808746,0.0,0.8239947,0.0,1.0,1.0,1.0
5,41.27455,0.0,0.7320607,0.0,0.0,1.0,1.0
6,45.50985,0.0,0.0,0.0,0.0,0.0,1.0
7,150.44609,1.0,0.5996075,1.0,2.0,1.0,1.0
8,54.561455,0.0,0.16101503,0.0,0.0,0.0,1.0
9,88.870514,0.0,0.31096783,0.0,0.0,0.0,1.0
10,137.74266,1.0,0.6670613,1.0,0.0,1.0,1.0
11,113.41852,1.0,0.6677149,1.0,4.0,1.0,1.0
12,74.8587,0.0,0.6564521,1.0,4.0,1.0,1.0
13,74.19138,0.0,0.0,0.0,0.0,0.0,1.0
14,108.15832,1.0,0.70359397,1.0,4.0,1.0,1.0
15,54.900257,0.0,0.38400283,0.0,1.0,0.0,1.0
16,80.85102,0.0,0.0,0.0,0.0,0.0,1.0
17,53.47516,0.0,0.0,0.0,0.0,0.0,1.0
18,66.48469,0.0,0.3490565,0.0,0.0,0.0,1.0
19,158.65173,1.0,0.61216825,1.0,4.0,1.0,1.0
20,93.973885,0.0,0.6810509,1.0,2.0,1.0,1.0
21,73.38384,0.0,0.36314133,0.0,0.0,0.0,1.0
22,21.36437,0.0,0.0,0.0,0.0,0.0,1.0
23,26.435854,0.0,0.0,0.0,0.0,0.0,1.0
24,146.96063,1.0,0.6529211,1.0,4.0,1.0,1.0
25,53.151176,0.0,0.6875598,0.0,0.0,1.0,1.0
26,59.465336,0.0,0.6781801,0.0,4.0,1.0,1.0
27,14.915806,0.0,0.0,0.0,0.0,0.0,1.0
28,10.348567,0.0,0.0,0.0,0.0,0.0,1.0
29,48.718765,0.0,0.7216762,0.0,0.0,1.0,1.0
30,16.92565,0.0,0.0,0.0,0.0,0.0,1.0
31,65.161446,0.0,0.7337932,1.0,0.0,1.0,1.0
32,28.06833,0.0,0.7297068,0.0,4.0,1.0,1.0
33,100.54565,1.0,0.70737964,1.0,0.0,1.0,1.0
34,47.05469,0.0,0.0,0.0,0.0,0.0,1.0
35,68.44857,0.0,0.7283366,1.0,2.0,1.0,1.0
36,118.67184,1.0,0.6583866,1.0,4.0,1.0,1.0
37,165.62083,1.0,0.38374713,1.0,0.0,1.0,1.0
38,13.667853,0.0,0.9293829,0.0,4.0,0.0,1.0
39,71.25339,0.0,0.66616887,1.0,0.0,1.0,1.0
40,31.340857,0.0,0.70854306,0.0,4.0,1.0,1.0
41,33.396137,0.0,0.15848066,0.0,0.0,0.0,1.0
42,111.220856,1.0,0.680898,1.0,0.0,1.0,1.0
43,100.98054,1.0,0.62306607,1.0,1.0,1.0,1.0
44,49.13146,0.0,0.71799475,0.0,0.0,1.0,1.0
45,62.708046,0.0,0.0,0.0,0.0,0.0,1.0
46,39.579132,0.0,0.7755338,0.0,4.0,1.0,1.0
47,59.382153,0.0,0.66798586,0.0,2.0,1.0,1.0
48,62.978466,0.0,0.69105256,1.0,0.0,1.0,1.0
49,32.711105,0.0,0.14867161,0.0,0.0,0.0,1.0
50,154.10922,1.0,0.6364431,1.0,0.0,1.0,1.0
51,30.140873,0.0,0.35091963,0.0,2.0,0.0,1.0
52,45.955517,0.0,0.7342135,0.0,2.0,1.0,1.0
53,94.506256,0.0,0.73692167,1.0,4.0,1.0,1.0
54,59.71355,0.0,0.725046,1.0,1.0,1.0,1.0
55,73.8791,0.0,0.1632155,0.0,0.0,0.0,1.0
56,54.070366,0.0,0.0,0.0,0.0,0.0,1.0
57,130.17868,1.0,0.6194178,1.0,0.0,1.0,1.0
58,93.3826,0.0,0.0,0.0,0.0,0.0,1.0
59,24.133083,0.0,0.35538304,0.0,0.0,0.0,1.0
60,75.261215,0.0,0.69807154,1.0,4.0,1.0,1.0
61,34.49791,0.0,0.34888107,0.0,0.0,0.0,1.0
62,26.940844,0.0,0.1468636,0.0,0.0,0.0,1.0
63,26.033245,0.0,0.0,0.0,0.0,0.0,1.0
64,59.998825,0.0,0.73050654,1.0,4.0,1.0,1.0
65,119.306984,1.0,0.5940306,1.0,4.0,1.0,1.0
66,145.60904,1.0,0.30496636,1.0,0.0,1.0,1.0
67,94.87445,0.0,0.6491186,1.0,0.0,1.0,1.0
68,84.63015,0.0,0.66992307,1.0,4.0,1.0,1.0
69,96.78449,1.0,0.8558179,1.0,4.0,1.0,1.0
70,69.67578,0.0,0.32270825,0.0,1.0,0.0,1.0
71,87.25499,0.0,0.3414378,0.0,0.0,0.0,1.0
72,127.28282,1.0,0.6176824,1.0,4.0,1.0,1.0
73,108.49977,1.0,0.6315477,1.0,4.0,1.0,1.0
74,62.169353,0.0,0.15291488,0.0,0.0,0.0,1.0
75,99.72473,1.0,0.68485755,1.0,0.0,1.0,1.0
76,68.38892,0.0,0.6670038,1.0,2.0,1.0,1.0
77,113.41852,1.0,0.64324707,1.0,4.0,1.0,1.0
78,71.02351,0.0,0.684836,1.0,4.0,1.0,1.0
79,21.16873,0.0,0.7303657,0.0,1.0,1.0,1.0
80,73.48735,0.0,0.70108026,1.0,4.0,1.0,1.0
81,103.74545,1.0,0.6435205,1.0,2.0,1.0,1.0
82,8.612377,0.0,0.5253339,0.0,0.0,0.0,1.0
83,106.425125,1.0,0.734587,1.0,0.0,1.0,1.0
84,44.17329,0.0,0.7275055,0.0,4.0,1.0,1.0
85,107.069626,1.0,0.15640663,0.0,0.0,0.0,1.0
86,88.20699,0.0,0.35453925,0.0,0.0,0.0,1.0
87,97.06286,1.0,0.15075411,0.0,1.0,0.0,1.0
88,128.01613,1.0,0.63408804,1.0,0.0,1.0,1.0
89,40.026836,0.0,0.7657385,0.0,4.0,1.0,1.0
90,33.990364,0.0,0.0,0.0,0.0,0.0,1.0
91,76.35229,0.0,0.6673872,1.0,4.0,1.0,1.0
92,76.72683,0.0,0.71488583,1.0,4.0,1.0,1.0
93,113.78608,1.0,0.15199298,0.0,0.0,0.0,1.0
94,7.162349,0.0,0.0,0.0,0.0,0.0,1.0
95,85.454094,0.0,0.6677804,1.0,2.0,1.0,1.0
96,83.136284,0.0,0.33263355,0.0,0.0,0.0,1.0
97,11.191693,0.0,0.0,0.0,0.0,0.0,1.0
98,47.478725,0.0,0.0,0.0,0.0,0.0,1.0
99,57.890297,0.0,0.16879757,0.0,0.0,0.0,1.0
100,70.4931,0.0,0.66168624,1.0,0.0,1.0,1.0
101,82.521774,0.0,0.8133709,1.0,4.0,1.0,1.0
102,4.338214,0.0,0.0,0.0,0.0,0.0,1.0
103,59.46606,0.0,0.0,0.0,0.0,0.0,1.0
104,71.02351,0.0,0.7322446,1.0,4.0,1.0,1.0
105,127.3514,1.0,0.78107196,1.0,2.0,1.0,1.0
106,41.38453,0.0,0.7353444,0.0,2.0,1.0,1.0
107,108.733215,1.0,0.8020649,1.0,2.0,1.0,1.0
108,122.87133,1.0,0.0,0.0,0.0,0.0,1.0
109,92.1664,0.0,0.70394635,1.0,1.0,1.0,1.0
110,158.65173,1.0,0.6449462,1.0,4.0,1.0,1.0
111,47.614666,0.0,0.17658608,0.0,0.0,0.0,1.0
112,10.816478,0.0,0.0,0.0,0.0,0.0,1.0
113,94.90328,0.0,0.157329,0.0,0.0,0.0,1.0
114,101.73722,1.0,0.664677,1.0,4.0,1.0,1.0
115,71.33387,0.0,0.68593514,1.0,2.0,1.0,1.0
116,77.8331,0.0,0.7362243,1.0,1.0,1.0,1.0
117,81.567986,0.0,0.69725484,1.0,4.0,1.0,1.0
118,75.97326,0.0,0.71988374,1.0,0.0,1.0,1.0
119,14.041631,0.0,0.8392772,0.0,1.0,0.0,1.0
120,126.00595,1.0,0.6285888,1.0,1.0,1.0,1.0
121,90.30563,0.0,0.6337365,1.0,1.0,1.0,1.0
122,79.688644,0.0,0.6635333,1.0,2.0,1.0,1.0
123,61.55618,0.0,0.73541677,1.0,1.0,1.0,1.0
124,72.876656,0.0,0.0,0.0,0.0,0.0,1.0
125,75.12376,0.0,0.78554404,1.0,4.0,1.0,1.0
126,102.4442,1.0,0.62277055,1.0,2.0,1.0,1.0
127,121.87622,1.0,0.6537011,1.0,1.0,1.0,1.0
128,36.443626,0.0,0.0,0.0,0.0,0.0,1.0
129,104.189606,1.0,0.7140962,1.0,4.0,1.0,1.0
130,116.32211,1.0,0.32799914,1.0,1.0,1.0,1.0
131,32.87165,0.0,0.0,0.0,0.0,0.0,1.0
132,104.189606,1.0,0.6251361,1.0,4.0,1.0,1.0
133,127.07795,1.0,0.62002945,1.0,4.0,1.0,1.0
134,193.33922,1.0,0.15075411,1.0,0.0,1.0,1.0
135,132.8425,1.0,0.0,0.0,0.0,0.0,1.0
136,78.17209,0.0,0.68860596,1.0,0.0,1.0,1.0
137,43.327095,0.0,0.7276878,0.0,4.0,1.0,1.0
138,66.09632,0.0,0.73516214,1.0,4.0,1.0,1.0
139,37.958717,0.0,0.4275187,0.0,0.0,0.0,1.0
140,66.122986,0.0,0.0,0.0,0.0,0.0,1.0
141,71.02351,0.0,0.74898964,1.0,4.0,1.0,1.0
142,48.210663,0.0,0.16000064,0.0,0.0,0.0,1.0
143,61.655777,0.0,0.6685086,0.0,2.0,1.0,1.0
144,63.83135,0.0,0.33090407,0.0,0.0,0.0,1.0
145,93.52073,0.0,0.67597085,1.0,2.0,1.0,1.0
